[00:00:11.850 --> 00:00:15.919]  Infowars.com is tomorrow's news.
[00:00:15.919 --> 00:00:20.128]  Today, you're listening to The Alex Jones Show.
[00:00:23.553 --> 00:00:26.876]  Well, ladies and gentlemen, it is the Alex Jones Show.
[00:00:26.876 --> 00:00:31.360]  Alex Jones will be joining us here in just a moment.
[00:00:31.360 --> 00:00:33.722]  It is Thursday, June 14, 2018.
[00:00:33.722 --> 00:00:42.169]  It is President Trump's birthday, and it is the 34-hour broadcast spectacular here at InfoWars.com slash show.
[00:00:42.169 --> 00:00:47.433]  We are expecting the release of the IG report shortly as well, but before we get to that,
[00:00:48.274 --> 00:00:56.037]  In case you didn't think that the Democrats have lost their mind, here's a little more evidence for you.
[00:00:56.037 --> 00:01:02.940]  In just a few years, he'll be in school and Donald Trump wants to give his teacher a gun?
[00:01:02.940 --> 00:01:08.542]  More students have been killed in school shootings in 2018 than US troops in combat operations.
[00:01:08.542 --> 00:01:12.783]  We need common sense gun control, but that's not enough.
[00:01:12.783 --> 00:01:17.225]  There are 310 million guns in the US and millions of assault style weapons.
[00:01:19.239 --> 00:01:20.640]  I'm Levi Tilleman.
[00:01:20.640 --> 00:01:23.742]  Washington needs more doers and innovators.
[00:01:23.742 --> 00:01:25.223]  That's why I'm running for U.S.
[00:01:25.223 --> 00:01:26.404]  Congress.
[00:01:26.404 --> 00:01:31.948]  I'm calling on Congress to stop talking past each other and try something new.
[00:01:31.948 --> 00:01:34.970]  Empower schools and teachers... Okay, so far, you know, not too bad.
[00:01:34.970 --> 00:01:38.652]  ...with non-lethal self-defense tools like this can of pepper spray.
[00:01:38.652 --> 00:01:39.273]  Wait, what?
[00:01:39.273 --> 00:01:45.397]  Pepper spray doesn't cost much, and it can be safely stored in a break glass in case of emergency cabinet.
[00:01:45.397 --> 00:01:48.499]  But it's powerful and won't accidentally kill a kid.
[00:01:48.899 --> 00:01:59.227]  Trust me, this will stop anyone in their tracks.
[00:01:59.227 --> 00:02:00.568]  Come back to the guy!
[00:02:00.568 --> 00:02:02.230]  You cut away for the best part!
[00:02:02.230 --> 00:02:03.951]  It's incredibly painful.
[00:02:03.951 --> 00:02:06.293]  I can't see anything.
[00:02:06.293 --> 00:02:09.536]  A Democrat candidate sprays himself, this is in Colorado.
[00:02:09.536 --> 00:02:13.939]  Can we rewind it to when he has it all over his face?
[00:02:13.939 --> 00:02:18.523]  This is so absurd, I can't even imagine whose idea this was.
