[00:00:06.328 --> 00:00:07.488]  You have the power.
[00:00:07.829 --> 00:00:09.389]  Humanity has the power.
[00:00:09.829 --> 00:00:10.910]  We have the power.
[00:00:10.930 --> 00:00:12.010]  Do you want to fight?
[00:00:12.250 --> 00:00:14.351]  You better believe you got one!
[00:00:16.671 --> 00:00:21.093]  Rallying patriots worldwide in defense of human liberty.
[00:00:21.693 --> 00:00:23.134]  It's Alex Jones.
[00:00:33.206 --> 00:00:37.794]  Well, if you want next year's news today, you have found the place, Infowars.com.
[00:00:39.056 --> 00:00:46.329]  If you go back to January 20th, 2017, myself and Roger Stone were live at the inauguration.
[00:00:47.472 --> 00:01:06.407]  On the street and in a studio, saying over and over again, Trump must launch a DOJ criminal investigation of illegal spying by the Obama campaign and by the Hillary campaign against President Trump.
[00:01:07.248 --> 00:01:15.735]  He said it over and over again, that illegal spying by the Hillary campaign through Obama's DOJ, NSA, CIA.
[00:01:17.748 --> 00:01:27.731]  And they even had, that very day, people like Chuck Schumer going, the intelligence community has seven ways from Sunday to get you.
[00:01:30.492 --> 00:01:32.593]  And we're going to punish you and we're coming for you.
[00:01:32.673 --> 00:01:40.515]  And remember, Brennan famously said, two days before the inauguration, to President Trump, you better watch your mouth.
[00:01:42.396 --> 00:01:46.337]  I mean, these are some of the most arrogant people
[00:01:49.909 --> 00:01:52.911]  That the world has ever seen.
[00:01:53.932 --> 00:02:01.398]  They are absolutely, totally, and completely arrogant and insane and out of their minds.
[00:02:01.958 --> 00:02:17.711]  And I'm gonna recap all of it and roll through all of it, but the reason the media hates us, and the reason the globalists have us targeted, number one, after Trump, is they tune in and they hear what they know is really going on, and they say, how on earth
[00:02:18.746 --> 00:02:20.106]  Do these people know all this?
[00:02:22.227 --> 00:02:23.708]  Well, we know how you guys operate.
[00:02:25.388 --> 00:02:26.229]  We know your history.
[00:02:27.029 --> 00:02:27.849]  We know your M.O.
[00:02:27.949 --> 00:02:32.811]  We know you're very robotic about how you repeat the same things over and over again.
[00:02:33.291 --> 00:02:35.392]  And you guys are very badly disciplined.
[00:02:37.887 --> 00:02:49.533]  You go on print media, you go on TV media, you go on radio and you blabber about what you're going to do to everybody and then later you think we have no memory and you say you never did it.
[00:02:51.033 --> 00:02:57.016]  So we knew you were illegally spying on Trump because that's what you do.
[00:02:57.056 --> 00:03:02.779]  You're a bunch of crooks and you were continually having pieces of information that weren't leaked.
[00:03:03.359 --> 00:03:05.200]  They were being gleaned from wiretaps.
[00:03:06.630 --> 00:03:12.116]  They were being gleaned by electronic surveillance, and Trump knew that during the campaign.
[00:03:12.136 --> 00:03:15.299]  Trump knew that when he was president-elect.
[00:03:15.379 --> 00:03:27.311]  Trump had a consortium of paramilitary organizations and groups counter-surveilling all of you when you were spying on him.
[00:03:28.052 --> 00:03:29.914]  And man, did he set you up.
[00:03:33.171 --> 00:03:39.654]  He set you up so bad when you committed all those crimes, and you perjured yourselves at Congress, and you lied to everybody in the media.
[00:03:41.495 --> 00:03:44.076]  And that's why I want to cue this up first, even though I've already played it twice.
[00:03:44.356 --> 00:03:46.577]  That's what Giuliani said on Fox News last week.
[00:03:46.617 --> 00:03:49.359]  He said, we're ready to tear you apart.
[00:03:50.359 --> 00:03:51.540]  You want to end this peacefully?
[00:03:51.740 --> 00:03:52.660]  Go ahead and stop now.
[00:03:53.361 --> 00:03:54.321]  For the betterment of the country.
[00:03:54.821 --> 00:03:58.423]  But if you want us to tear you apart, we're going to tear you apart.
[00:03:58.683 --> 00:03:59.403]  That's not a threat.
[00:04:00.444 --> 00:04:01.845]  That's called an ultimatum.
[00:04:01.885 --> 00:04:02.225]  Here it is.
[00:04:03.183 --> 00:04:03.884]  They should do it today.
[00:04:03.904 --> 00:04:06.386]  I mean, as soon as possible.
[00:04:07.227 --> 00:04:09.809]  I think that they have the facts from which they can write their report.
[00:04:10.249 --> 00:04:12.251]  If you're going to write a fair report, fine, write it.
[00:04:12.271 --> 00:04:14.453]  If you're going to write an unfair report, write it.
[00:04:15.093 --> 00:04:16.034]  And we will combat it.
[00:04:16.315 --> 00:04:17.656]  We're ready to rip it apart.
[00:04:18.516 --> 00:04:21.219]  And we're ready to rip them apart, if that's what they want.
[00:04:22.100 --> 00:04:25.403]  We would rather peacefully settle this and get it over with.
[00:04:26.784 --> 00:04:28.645]  Rudy Giuliani, always great to see you.
[00:04:28.665 --> 00:04:29.166]  Thanks for coming.
[00:04:32.057 --> 00:04:33.478]  It's really, really bad, folks.
[00:04:33.498 --> 00:04:34.900]  When we come back, I'm going to get into all of it.
[00:04:34.960 --> 00:04:36.221]  There's so much other news.
[00:04:36.881 --> 00:04:39.003]  The election in Venezuela of the dictator.
[00:04:39.023 --> 00:04:41.005]  If you believe that's a real election, I've got a bridge I'll sell you.
[00:04:41.545 --> 00:04:43.587]  Their whole illegal spy network coming down.
[00:04:43.607 --> 00:04:45.869]  What's happening over in Hawaii.
[00:04:45.969 --> 00:04:47.010]  I meant to get to this Friday.
[00:04:47.050 --> 00:04:48.291]  Fox News covered it last night.
[00:04:48.891 --> 00:04:51.574]  NAACP leader said racially profiled.
[00:04:53.675 --> 00:04:54.896]  But then the body cams released.
[00:04:54.916 --> 00:04:56.198]  The police officer's totally polite.
[00:04:57.142 --> 00:04:58.584]  Well, the NAACP leader went further.
[00:04:58.624 --> 00:04:59.645]  He may have a bunch of lies.
[00:05:00.166 --> 00:05:01.808]  We're going to cover all that coming up as well.
[00:05:03.631 --> 00:05:05.593]  Frank in North Carolina, thanks for holding so long.
[00:05:05.613 --> 00:05:06.054]  Go ahead.
[00:05:06.314 --> 00:05:08.497]  Yeah, Alex, I just have to say something, man.
[00:05:08.517 --> 00:05:11.581]  It seems like every time I turn on your broadcast, you're bragging.
[00:05:12.395 --> 00:05:13.456]  It just gets old, man.
[00:05:13.817 --> 00:05:15.519]  I'm gonna shut you down right now, okay?
[00:05:16.240 --> 00:05:18.322]  We're taking calls about your nomination.
[00:05:18.562 --> 00:05:22.547]  Do you understand they're having congressional hearings trying to shut us down?
[00:05:22.567 --> 00:05:25.070]  Do you understand I'm ringing the alarm?
[00:05:25.891 --> 00:05:28.233]  If that was happening to anybody else, I'd be freaked out.
[00:05:28.574 --> 00:05:29.695]  I mean, what's it gonna take?
[00:05:29.935 --> 00:05:30.816]  Us being shut down?
[00:05:31.036 --> 00:05:32.078]  Is that what you want, Frank?
[00:05:32.498 --> 00:05:33.539]  You know what, Alex?
[00:05:33.559 --> 00:05:34.660]  Put him on pause again.
[00:05:34.680 --> 00:05:35.501]  Hey, Frank!
[00:05:35.781 --> 00:05:41.145]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[00:05:41.445 --> 00:05:45.729]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[00:05:45.969 --> 00:05:48.832]  I'm not gonna just stop growth and let them start pushing us backwards.
[00:05:49.092 --> 00:05:49.492]  You understand?
[00:05:49.572 --> 00:05:50.833]  I need your help, Frank!
[00:05:51.214 --> 00:05:52.375]  I need your help, Frank!
[00:05:53.335 --> 00:05:58.259]  Go to Infowarsstore.com right now and help fund the Infowars.
[00:05:59.240 --> 00:05:59.901]  Do you understand?
[00:05:59.921 --> 00:06:01.102]  I need your help, Frank!
[00:06:07.597 --> 00:06:11.639]  You are listening to an InfoWars.com Frontline Report.
[00:06:14.179 --> 00:06:18.201]  If you are receiving this transmission, you are the resistance.
[00:06:25.704 --> 00:06:34.367]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:44.116 --> 00:06:45.077]  Well, it's official.
[00:06:46.077 --> 00:07:05.847]  The DOJ has confirmed that the Inspector General is probing in a criminal investigation the Obama administration, the Hillary campaign, the head of the National Office of Security, the head of the CIA,
