[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[00:00:02.675 --> 00:00:07.807]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:22.048 --> 00:00:23.548]  Ladies and gentlemen, we're live.
[00:00:23.588 --> 00:00:24.569]  Thank you for joining us.
[00:00:24.629 --> 00:00:26.509]  It's the 28th day of January 2018.
[00:00:28.970 --> 00:00:31.470]  I'm your host Alex Jones.
[00:00:31.490 --> 00:00:37.952]  We're going to be live here for the next two hours as we are every Sunday 4 to 6 p.m.
[00:00:37.972 --> 00:00:38.312]  Central.
[00:00:39.172 --> 00:00:44.534]  Dr. Jerome Corsi is going to host the last two segments of the broadcast today because I want to give him the floor.
[00:00:45.752 --> 00:00:54.856]  You know, if I stay on with him, I'll have plenty to add about the phenomenon of QAnon that millions of people read on the 8chan message boards.
[00:00:55.376 --> 00:00:59.237]  And much of what QAnon has put out has turned out to be very accurate information.
[00:01:00.018 --> 00:01:07.961]  Some of it has not transpired exactly how QAnon said, but things are fluid and no one knows the future exactly.
[00:01:08.521 --> 00:01:10.442]  I know that we have some really high-level
[00:01:11.775 --> 00:01:30.286]  Military and intelligence agency sources that have been extremely accurate, in fact, more accurate even, and they're stunning, not just predictions, but exposing huge stories, like Zach, who we should get back on here very, very soon, who's laid out the secrets of the storm.
[00:01:30.887 --> 00:01:39.492]  There is a storm worldwide of nationalism against globalism, a storm of populism taking place.
[00:01:41.008 --> 00:02:01.183]  And the globalists, the insiders, the monopoly men, are in a full panic to stop it and to brand it as racist or evil or all the rest of it because they are the people using race, they are the people using region, they are the people dumbing down the population and playing people off against each other.
[00:02:01.804 --> 00:02:08.269]  And so Corsi will be on in the last two segments of today's transmission.
[00:02:09.878 --> 00:02:27.083]  Coming up at the bottom of the hour, I'm going to basically parallel World War II and some of the factors and some of the factions that the United States, Russia, and England faced.
[00:02:28.450 --> 00:02:34.395]  Versus the factions that you'll find the very same alliances face yet again.
[00:02:34.435 --> 00:02:37.418]  Because history does repeat, but it's been said it also rhymes.
[00:02:38.079 --> 00:02:38.799]  So that's coming up.
[00:02:38.839 --> 00:02:46.586]  And what spurred me to think about this was, I was invited to speak a few years ago at the Oxford Union.
[00:02:47.507 --> 00:02:50.269]  And then I was invited to speak at Cambridge as well.
[00:02:51.432 --> 00:02:53.014]  But I refused.
[00:02:53.054 --> 00:02:58.618]  I was in the middle of a contentious divorce with my first wife and a custody battle at the time, so I didn't do that.
[00:02:59.078 --> 00:03:00.660]  But Roger Stone's going to speak there.
[00:03:00.720 --> 00:03:17.353]  And we were talking last night about what he was going to talk about and just the parallels of what he was going to talk about versus what we talk about here and what I was going to talk about are basically the same because we're looking at the same thing.
[00:03:18.714 --> 00:03:20.015]  But it really struck me
[00:03:21.226 --> 00:03:23.669]  How really black and white the issues are here.
[00:03:24.290 --> 00:03:27.154]  And really how authoritarian and truly evil.
[00:03:28.817 --> 00:03:39.166]  The Globalist Star, but we'll have cameras there covering that because the Oxford Union, and speaking of the faculty, that's where Gandhi and Martin Luther King and Kennedy and everybody else has spoken.
[00:03:39.226 --> 00:03:41.348]  It's one of the most prestigious places to speak.
[00:03:41.949 --> 00:03:44.331]  And I didn't refuse it to snub them.
[00:03:44.791 --> 00:03:46.253]  I was just hunkered down here.
