[00:00:10.020 --> 00:00:12.168]  The Alex Jones Show.
[00:00:12.168 --> 00:00:14.115]  Because there is a war on.
[00:00:14.115 --> 00:00:15.018]  For your mind.
[00:00:44.941 --> 00:00:56.977]  Well, ladies and gentlemen, despite all of their lies, all their propaganda, all their bullying, all of their mob rule, all of George Soros' foreign stolen money from countries he's collapsed,
[00:00:58.069 --> 00:01:23.426]  And the roots that go back to his Nazi collaborating, despite everything they've done to this nation, trying to destroy due process, trying to destroy innocent until proven guilty, trying to turn this nation into a total leftist run police state, like one giant police state college, run by the anti-free speech, anti-family, anti-gun, anti-God, anti-free market scum, despite them throwing everything they had
[00:01:24.864 --> 00:01:41.113]  At the American people in Congress, Trump's poll numbers are up, Kavanaugh got confirmed by two more votes than they thought, and the poll numbers are all coming in that you're seeing people deserting the Democratic plantation in ultra-massive levels.
[00:01:41.113 --> 00:01:45.535]  And you see the economy surging since the best level since the early 1960s.
[00:01:45.535 --> 00:01:49.097]  You see the entire globalist program in deep trouble.
[00:01:50.718 --> 00:01:53.981]  They are going to strike back big time.
[00:01:53.981 --> 00:02:05.452]  Now I've got a lot of amazing clips of the left that our own Millie Weaver and Gavin Wentz shot on the ground in DC, inside the Senate buildings, inside the Capitol, outside the Capitol.
[00:02:05.452 --> 00:02:11.398]  We have incredible footage of men, women, and children being assaulted, women being roundhouse kicked.
[00:02:12.951 --> 00:02:20.614]  By men literally wearing feminist pink uniforms, purple uniforms, old people that are pro-life being attacked.
[00:02:20.614 --> 00:02:23.215]  It's all coming up to show you the insanity.
[00:02:23.215 --> 00:02:37.740]  And then their public threats, their public intimidation, with their whole Hollywood culture projected onto these people, these low-level minions, who again, literally behave and act like what I would expect central casting for a mental institution to be.
[00:02:39.138 --> 00:02:46.941]  If I was trying to recast folks for the remake of The One Who Flew Over the Cuckoo's Nest, I would cast these people.
[00:02:46.941 --> 00:03:06.490]  And then you've got the weird, corrupt, aged, sketchy-like, crone-like villains from Lord of the Rings or something, Schumer and Pelosi and the rest of them, just running around, foaming at the mouth, trying to command their throngs.
[00:03:06.490 --> 00:03:07.551]  But there's a paradox here.
[00:03:08.362 --> 00:03:21.077]  The more their people come out and act like hateful, spiteful thugs, and run around and go crazy, and call everyone rapists by extension with no proof, to all make themselves victims.
[00:03:21.077 --> 00:03:22.079]  You're raping me!
[00:03:22.079 --> 00:03:22.759]  You're raping me!
[00:03:22.759 --> 00:03:25.262]  And I don't know what it is about these women.
[00:03:25.262 --> 00:03:26.103]  I mean, they all look like
[00:03:27.093 --> 00:03:30.916]  They should, you know, be back with their cats at their house.
[00:03:30.916 --> 00:03:33.117]  And I'm not saying women shouldn't be out doing political things.
[00:03:33.117 --> 00:03:37.060]  I'm saying they look like crazy cat ladies.
[00:03:37.060 --> 00:03:37.840]  There's actually a theory.
