[00:00:12.597 --> 00:00:13.960]  Yeah, we're good.
[00:00:43.212 --> 00:00:51.207]  Ladies and gentlemen, we are live broadcasting worldwide.
[00:00:51.628 --> 00:00:53.151]  Our weapon is the truth and we use it.
[00:00:54.198 --> 00:00:59.262]  We fire at will, because we are over the target, and the sleeping giant has awakened.
[00:00:59.282 --> 00:01:02.804]  I'm your host, Alex Jones, Infowars.com, Newswars.com.
[00:01:02.844 --> 00:01:05.106]  It is Sunday, the 24th, the day of June 2018.
[00:01:05.186 --> 00:01:10.210]  We'll be here for two hours, as we'll be back tomorrow, 11 a.m.
[00:01:10.590 --> 00:01:11.270]  to 3 p.m.
[00:01:11.290 --> 00:01:14.573]  David Knight in the morning, doing a great job with the Real News, and of course, Owen Schroeder.
[00:01:18.676 --> 00:01:19.336]  Epic times.
[00:01:21.037 --> 00:01:21.698]  Grave times.
[00:01:22.098 --> 00:01:23.019]  Fortuitous times.
[00:01:25.379 --> 00:01:26.140]  Interesting times.
[00:01:28.241 --> 00:01:29.002]  Dangerous times.
[00:01:31.024 --> 00:01:34.106]  Quick-moving, fast-changing, earth-changing times.
[00:01:36.428 --> 00:01:37.609]  25th Amendment times.
[00:01:40.892 --> 00:01:42.573]  You know, we've seen this before.
[00:01:46.597 --> 00:01:47.598]  We've seen this before.
[00:01:49.733 --> 00:01:53.176]  I was told that Trump would never win office, and I told you that was a lie.
[00:01:53.196 --> 00:01:54.337]  I told you it was fake polls.
[00:01:55.858 --> 00:02:01.142]  And then I was told over and over again he'd be removed, he'd never be seated as president, they would take the delegates.
[00:02:01.963 --> 00:02:13.012]  And then as soon as that failed, even though they'd been all over the news promoting it, they said, oh actually, we never said we were going to keep Trump from having his delegates seated.
[00:02:14.813 --> 00:02:19.057]  And then Nancy Pelosi's daughter went on TV and called for my arrest.
[00:02:20.740 --> 00:02:23.521]  On Fox News and made up lies about me that I threatened her.
[00:02:24.822 --> 00:02:26.262]  How do you threaten a dead dog?
[00:02:26.883 --> 00:02:28.523]  A rotting, soulless corpse?
[00:02:29.784 --> 00:02:30.144]  You don't.
[00:02:34.146 --> 00:02:36.987]  But she was pissed because I was killing her plan to overthrow the President.
[00:02:37.647 --> 00:02:38.688]  Before he ever got into office.
[00:02:42.630 --> 00:02:47.912]  And so now... We have the usual suspects.
[00:02:48.032 --> 00:02:49.913]  Two different former CIA directors.
[00:02:52.369 --> 00:03:03.832]  Coming out over the weekend and saying, we're going to call for the 25th Amendment to be implemented to unseat the president for dereliction of duty and incompetence and mental illness.
[00:03:04.952 --> 00:03:11.494]  The mentally ill person that never ran for office and beat you and turned the economy around and did all this crap and got peace deals, right?
[00:03:13.774 --> 00:03:14.914]  There's the article from The Hill.
[00:03:15.395 --> 00:03:21.196]  Ex-CIA chief calls on White House cabinet to revolt against Trump and remove him from office.
[00:03:23.047 --> 00:03:27.331]  Insurrection by GOP leadership inner circle necessary to stop president he says and who is he?
[00:03:27.891 --> 00:03:32.755]  He's the Wahhabist Brennanite who in college admitted he was part of the Communist Party.
[00:03:33.676 --> 00:03:36.138]  The CIA said well my god let's put you at the top.
[00:03:36.958 --> 00:03:43.744]  He's got Clapper behind him calling for the same garbage and other former CIA directors as well.
[00:03:46.346 --> 00:03:48.848]  They want the 25th amendment implemented to remove
[00:03:52.389 --> 00:03:55.670]  They want it done as soon as possible.
[00:03:55.870 --> 00:03:56.491]  But here's the thing.
[00:03:57.171 --> 00:03:58.411]  They've been pushing this.
[00:03:59.052 --> 00:03:59.972]  Remember the clips we played?
[00:03:59.992 --> 00:04:00.832]  I'm not going to play them again today.
[00:04:00.852 --> 00:04:01.893]  We played them so many times.
[00:04:03.973 --> 00:04:11.656]  Where Phil Mudd and Brennan and Clapper would go on CNN with Wolf Blitzer and say, oh, he'll be out by December.
[00:04:11.676 --> 00:04:13.557]  We're about to remove him extra-judicially.
[00:04:14.317 --> 00:04:20.880]  And our good little buddy Wolf Blitzer would say,
[00:04:22.296 --> 00:04:23.117]  Oh, you mean impeachment?
[00:04:23.137 --> 00:04:25.058]  They said, no, no, no, extra-judicially.
[00:04:26.960 --> 00:04:29.082]  But see, that never happened.
[00:04:31.283 --> 00:04:32.704]  So, why is this done?
[00:04:36.648 --> 00:04:48.257]  This is done so all the crooks that are embedded in the government, stay-behind-networks is the CIA term, they hold on, like the infantry's coming, or the cavalry, it's not coming.
[00:04:49.338 --> 00:04:51.320]  I've looked at all possible permutations.
[00:04:52.230 --> 00:04:53.655]  That have human interaction involved.
[00:04:55.522 --> 00:04:58.032]  If you kill Trump or remove him, it's even worse for you!
[00:05:05.843 --> 00:05:14.733]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:05:15.254 --> 00:05:26.287]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[00:05:26.667 --> 00:05:32.290]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:05:32.571 --> 00:05:43.877]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:05:44.098 --> 00:05:52.042]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:05:52.283 --> 00:05:54.484]  It's time to take care of your morning routine.
[00:05:54.764 --> 00:06:00.466]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:06:00.546 --> 00:06:05.187]  Big Brother.
[00:06:05.627 --> 00:06:06.887]  Mainstream media.
[00:06:07.428 --> 00:06:08.448]  Government cover-ups.
[00:06:09.328 --> 00:06:10.789]  You want to stop tyranny?
[00:06:10.989 --> 00:06:12.189]  Well, so does he.
[00:06:12.669 --> 00:06:17.490]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:24.514 --> 00:06:25.959]  You know, here's the paradox...
[00:06:31.650 --> 00:06:58.927]  You've got mainstream corporate media openly allied with Communist China, the EU, and a bunch of big mega banks who write articles in the Financial Times of London, in the New York Times, in the Washington Post, and just everywhere about how America's done, Americans are dumb, lazy scumbags, white people are bad, but it's like white, old white people saying this, and China's gonna take over, and China's gonna bust America's chops, and
[00:07:00.848 --> 00:07:05.476]  The head, unelected head of the EU, Juncker, will defeat us.
[00:07:05.496 --> 00:07:10.284]  I mean, he said a year and a half ago, I'll crush Trump, we'll have trade war, we'll shut the U.S.
[00:07:10.324 --> 00:07:10.524]  down.
[00:07:12.349 --> 00:07:19.375]  Like, these are fighting words, and I'm reading it in the Financial Times of London, New Yorker Magazine, New York Times, Atlantic Monthly.
[00:07:20.275 --> 00:07:21.917]  These are establishment publications.
[00:07:21.937 --> 00:07:23.478]  They're like, we're ending the family.
[00:07:24.099 --> 00:07:26.360]  We're going to savage the U.S.
[00:07:26.440 --> 00:07:28.762]  China has 97% of the rare earth minerals.
[00:07:28.782 --> 00:07:29.083]  The U.S.
[00:07:29.123 --> 00:07:29.923]  will never come back.
[00:07:30.744 --> 00:07:34.327]  Lloyd Blankfein, before he got kicked out of Goldman Sachs, is like, I was just at China.
[00:07:34.507 --> 00:07:36.328]  They've got 10 times the infrastructure of Trump.
[00:07:36.529 --> 00:07:37.930]  You'll never bring America back.
[00:07:38.310 --> 00:07:38.951]  These are tweets.
[00:07:39.571 --> 00:07:43.936]  They're like, God, these people like breathlessly, we'll get you people.
[00:07:43.976 --> 00:07:45.458]  And it's like, what did we do to you?
[00:07:47.219 --> 00:07:48.901]  But America's the big enchilada.
[00:07:49.001 --> 00:07:50.563]  It had half the wealth in 1955.
[00:07:51.704 --> 00:07:53.887]  So they parlayed it into global corporate power.
[00:07:54.447 --> 00:07:57.411]  So if you're going to screw America over, why not get in the culture of Haiti?
[00:07:59.428 --> 00:08:01.169]  They're not like, well, we're bleeding the country dry.
[00:08:01.189 --> 00:08:04.770]  It was a great, beautiful lady, but we're sacrificing her for our global power.
[00:08:05.250 --> 00:08:09.852]  No, they're too big of cowards to admit they're doing it, so they decide to hate it.
[00:08:11.753 --> 00:08:13.353]  And that's what I want you to understand.
[00:08:13.373 --> 00:08:15.294]  Trump doesn't hate America.
[00:08:16.932 --> 00:08:21.834]  And so, he's like, you see these speeches, and these are real numbers, you've seen them, they don't even debate these.
[00:08:21.854 --> 00:08:28.257]  He's like, Canada has a 270% dairy tax, and we have zero?
[00:08:29.137 --> 00:08:31.638]  Trump goes, okay, I'll put 100% on them.
[00:08:32.158 --> 00:08:35.099]  And they go, oh my god, you backward, hateful person!
[00:08:35.279 --> 00:08:35.960]  He's like, wait, you got a 270!
[00:08:39.712 --> 00:08:51.597]  270!
[00:08:39.752 --> 00:08:51.597]  I mean, if anything, Trump's being too soft, but he knows he could destabilize things, so he's just like, hey China, you got a $900 billion trade deficit, we'll do $50 billion, just pay it, and promise to start taking some of our cars, and I'll leave you alone.
[00:08:52.257 --> 00:08:55.218]  And China goes, trade war.
[00:08:56.199 --> 00:08:57.199]  Trump goes, okay, $200 billion.
[00:09:02.742 --> 00:09:06.083]  I mean, this is all something that morons should be able to understand.
[00:09:07.312 --> 00:09:12.914]  But instead, the clip's coming up, we've got Bill Maher went on Friday night again, that was two weeks ago.
[00:09:12.934 --> 00:09:14.735]  It only works every two weeks, it's a lazy ass.
[00:09:16.355 --> 00:09:20.837]  And he goes, I, you all need to go to college about perspective.
[00:09:22.475 --> 00:09:27.837]  Trump's way worse than a recession, and so I want a recession to make him look bad.
[00:09:27.997 --> 00:09:31.179]  Oh, not, he got us out of a recession.
[00:09:31.699 --> 00:09:32.820]  Not, oh, he's doing a great job.
[00:09:32.860 --> 00:09:34.981]  They admit he's getting us out of the recession depression.
[00:09:35.601 --> 00:09:41.403]  But see, Maher lied there, because if you actually look at what Maher said, he said, I want to crash the economy.
[00:09:42.924 --> 00:09:45.825]  Crashing the economy means people starving in the streets like Venezuela.
[00:09:45.885 --> 00:09:51.748]  It doesn't, or 1929, it doesn't mean, so the PR people had a problem.
[00:09:53.496 --> 00:09:58.841]  He came out two weeks ago and said, I want to crash, that's the quote, crash the U.S.
[00:09:58.881 --> 00:09:59.261]  economy.
[00:09:59.842 --> 00:10:03.846]  And I noticed after I shot a video that day, I saw it right away.
[00:10:05.767 --> 00:10:06.488]  Saw the news about it.
[00:10:06.548 --> 00:10:09.130]  I went and did a video.
[00:10:09.190 --> 00:10:10.932]  He's hoping for a crashing economy.
[00:10:11.072 --> 00:10:11.673]  That's a close quote.
[00:10:13.294 --> 00:10:15.096]  So they spun it that he just meant a recession.
[00:10:23.430 --> 00:10:27.371]  Now, think about that.
[00:10:29.591 --> 00:10:30.691]  They're telling you everything.
[00:10:30.731 --> 00:10:32.071]  They're showing you their hand right there.
[00:10:32.992 --> 00:10:39.513]  Globalism, if you read Atlantic Monthly, or you read what Obama said when he went to Africa or South America, it's the same crap.
[00:10:40.013 --> 00:10:41.653]  He goes to Africa and says you gotta be poor.
[00:10:42.033 --> 00:10:44.494]  He goes everywhere and says you gotta be poor.
[00:10:47.714 --> 00:10:50.675]  Because the globalists want you under their control.
[00:10:51.095 --> 00:10:52.575]  It's called feudalism.
[00:10:53.857 --> 00:11:11.368]  And so how big a deal is it that we elected Trump, and a year and a half later, the whole Russiagate thing's proven to be a fraud, and then now they're just continuing on with the narrative that, oh, he was mean to these kids, and it turns out the little girl was never separated from her mother.
[00:11:11.609 --> 00:11:13.090]  83% of the kids don't even have parents when they come in.
[00:11:13.110 --> 00:11:13.910]  A lot of them have been killed.
[00:11:14.150 --> 00:11:18.213]  There's no discussion of that or that he's continuing the Obama policy and trying to even change the law.
[00:11:19.850 --> 00:11:26.174]  None of that matters to people that just want to have an emotional response, and feel big, and feel powerful, and feel like they've been wronged.
[00:11:28.136 --> 00:11:36.882]  When Trump's already offered Mexico deals to stabilize their economy, their government, dollarize their deal, and bring them way up, because that would be good for U.S.
[00:11:36.922 --> 00:11:39.003]  national security, and Mexico's a great country.
[00:11:39.984 --> 00:11:40.685]  And I don't just say that.
