[00:00:07.004 --> 00:00:08.224]  You found it.
[00:00:08.224 --> 00:00:10.225]  The tip of the spear.
[00:00:10.225 --> 00:00:14.406]  It is the Alex Jones Show.
[00:00:14.406 --> 00:00:23.630]  And now, your host, David Knight.
[00:00:23.630 --> 00:00:25.550]  Welcome on this day after Christmas, 2018.
[00:00:25.550 --> 00:00:27.231]  I hope you had a nice Christmas.
[00:00:28.135 --> 00:00:29.495]  It certainly did in my family.
[00:00:29.495 --> 00:00:35.937]  And as we see in Washington, they've actually even lit the Christmas tree.
[00:00:35.937 --> 00:00:39.498]  This is the sort of thing that we've seen before from the National Park Service.
[00:00:39.498 --> 00:00:51.081]  Not playing reindeer games, but playing the kind of National Park games that they did 20 some odd years ago, when we had the budget fight between Newt Gingrich and the Democrats.
[00:00:52.176 --> 00:00:55.519]  And of course, at that time, if you remember, he was the Gingrich who stole Christmas.
[00:00:55.519 --> 00:01:01.125]  He took all the blame for balancing the budget, but Bill Clinton got all the credit later on.
[00:01:01.125 --> 00:01:06.351]  So we got the National Park Foundation that had to shut down a Christmas tree earlier because somebody had tried to climb it.
[00:01:06.351 --> 00:01:08.253]  They said, well, we don't have the money now to reopen it.
[00:01:09.362 --> 00:01:12.384]  But they short-circuited those optics, because that's what they want to do.
[00:01:12.384 --> 00:01:13.345]  They always want to close down.
[00:01:13.345 --> 00:01:19.889]  Whenever they say there's a threat to the federal government, they come out and they take the most visible, symbolic things.
[00:01:19.889 --> 00:01:21.930]  The parks, the Christmas trees, turn off the lights.
[00:01:21.930 --> 00:01:24.031]  So they short-circuited that optic.
[00:01:24.031 --> 00:01:26.593]  They got a grant from the National Park Foundation.
[00:01:26.593 --> 00:01:31.476]  It's going to keep them open until January the 1st.
[00:01:31.476 --> 00:01:38.320]  But of course, President Trump said he's going to keep open this promise that he made to the American people when he ran for office that he's going to protect the border.
[00:01:39.261 --> 00:01:41.122]  And that really has Washington upset.
[00:01:41.122 --> 00:01:59.291]  We're going to talk today about what is happening in terms of the President standing very strong on protecting our country, bringing us home from foreign wars, and also trying to do something about the Federal Reserve.
[00:01:59.291 --> 00:02:03.653]  You know, as I tweeted out this morning, even as it's Christmas week,
[00:02:04.633 --> 00:02:07.874]  We're going to see the mainstream media pushing back.
[00:02:07.874 --> 00:02:11.835]  When we're talking about peace on earth, they're going to push war on earth.
[00:02:11.835 --> 00:02:22.718]  When we talk about the eternal life that was a gift of God that we celebrate with the advent of Christ, they're going to talk about eternal life using blood.
[00:02:23.877 --> 00:02:28.981]  That they can get from young people, transfusions or whatever, the transhumanist ideas.
[00:02:28.981 --> 00:02:34.445]  You see the mainstream media articles popping up all the place, you know, saying, oh, you can live forever.
[00:02:34.445 --> 00:02:36.046]  A lot of people don't want to die.
[00:02:36.046 --> 00:02:38.988]  They said, of course, who wants to die, right?
[00:02:38.988 --> 00:02:40.990]  And so we have the fake
[00:02:42.194 --> 00:02:46.257]  Alternatives of transhumanism and other things that are presented to us.
[00:02:46.257 --> 00:02:50.360]  And of course, the massive censorship of Christmas.
[00:02:50.360 --> 00:02:52.121]  And then trying to turn it into something it isn't.
[00:02:52.121 --> 00:02:53.802]  It's the censorship of it.
[00:02:53.802 --> 00:02:58.885]  It's trying to take the good news, to counterfeit it, to twist it into something else.
[00:02:58.885 --> 00:03:00.386]  So we're going to push back against that today.
[00:03:00.386 --> 00:03:04.389]  We're going to talk about the good news about eternal life and peace on earth.
[00:03:04.389 --> 00:03:06.570]  You know, it was 104 years ago
[00:03:09.966 --> 00:03:18.447]  At Christmas time, that we had the short truce breakout in World War I. They had the British and German troops were very close to each other.
[00:03:18.447 --> 00:03:22.168]  You know the story, I'm sure, about Silent Night.
[00:03:22.168 --> 00:03:27.429]  They had a tenor from the Berlin Opera stand up and start to sing it, first in German, then in English.
[00:03:27.429 --> 00:03:31.150]  It was joined, it turned into a truce for several days.
[00:03:31.150 --> 00:03:32.910]  But the generals couldn't have that.
[00:03:32.910 --> 00:03:38.431]  Couldn't have peace breaking out around a common culture, a common religion.
[00:03:39.355 --> 00:03:40.576]  Around the time of Christ.
[00:03:40.576 --> 00:03:41.376]  Had to stop that.
[00:03:41.376 --> 00:03:42.917]  They eventually did.
[00:03:42.917 --> 00:03:46.198]  And then they threatened the troops, don't you ever do that again.
[00:03:46.198 --> 00:03:52.321]  We will make very severe penalties for anybody that fraternizes with the enemy.
[00:03:52.321 --> 00:03:59.565]  And so they kept that war going for another four years until they ended it.
[00:03:59.565 --> 00:04:06.928]  We just celebrated the 100th anniversary of the end of the war to end all wars.
[00:04:06.928 --> 00:04:08.429]  But of course it didn't end all wars, did it?
[00:04:09.397 --> 00:04:11.058]  We're going to talk about that.
[00:04:11.058 --> 00:04:17.524]  We're going to talk about the push to try to keep the wars going on, because we've got President Trump saying, look, we've beaten ISIS.
[00:04:17.524 --> 00:04:18.285]  Clearly we have.
[00:04:18.285 --> 00:04:30.035]  As I pointed out when I did the show on Sunday, the Russians, just a couple of weeks ago, they're running 100 to 110 flights per day over Syria.
[00:04:30.035 --> 00:04:31.616]  Then they stopped it in the last couple of weeks.
[00:04:31.616 --> 00:04:33.998]  They're only running two to four flights per week.
[00:04:35.274 --> 00:04:38.656]  And yeah, it's time to bring the troops home, declare victory and come home.
[00:04:38.656 --> 00:04:41.739]  Rand Paul had some amazing things that he put out.
[00:04:41.739 --> 00:04:47.262]  He does it every year under the cover of Festivus and the airing of grievances.
[00:04:47.262 --> 00:04:51.826]  And he had some great things to say about war and the absurdity of Washington.
[00:04:51.826 --> 00:04:53.827]  And we're going to take a look at President Trump.
[00:04:53.827 --> 00:04:55.088]  Home alone in the White House.
[00:04:55.088 --> 00:04:57.049]  Can he keep those creepy burglars out?
[00:04:57.049 --> 00:04:57.730]  We'll be right back.
[00:04:57.730 --> 00:04:58.110]  Stay with us.
[00:05:00.444 --> 00:05:05.966]  The globalists are trying to set up a private, corporate world government that's above the law.
[00:05:05.966 --> 00:05:15.729]  If there's any opposition, if there's any independent media that can call the fact that the emperor has no clothes, that can call BS, it's game over.
[00:05:15.729 --> 00:05:23.812]  But if you look at everybody else, like Michael Savage and Rush Limbaugh and Tucker Carlson and Sean Hannity, they are all beholden to the networks they're on that can be targeted.
[00:05:24.810 --> 00:05:32.716]  There's only two groups in the U.S., Infowars and Matt Drudge of DrudgeReport.com, that are truly independent.
[00:05:32.716 --> 00:05:35.838]  And of course, they're two of the dominant media forces in the world.
[00:05:35.838 --> 00:05:37.340]  It really is amazing.
[00:05:37.340 --> 00:05:44.025]  That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together.
[00:05:44.025 --> 00:05:46.727]  Just remind you that you are the power, you're the strength, you're the will.
[00:05:48.012 --> 00:05:49.553]  Of Infowars.
[00:05:49.553 --> 00:05:50.854]  So please spread the links.
[00:05:50.854 --> 00:05:54.197]  Infowars.com, Newswars.com, PrisonPlanet.com.
[00:05:54.197 --> 00:05:57.520]  Because if you don't spread the articles and the videos, no one else will.
[00:05:57.520 --> 00:05:58.841]  We're all in each other's hands.
[00:05:58.841 --> 00:05:59.962]  God bless you all and thank you.
[00:06:07.817 --> 00:06:08.900]  News.
[00:06:08.900 --> 00:06:10.223]  Analysis.
[00:06:10.223 --> 00:06:11.666]  Reports.
[00:06:11.666 --> 00:06:14.593]  It's the Alex Jones Show.
[00:06:14.593 --> 00:06:17.360]  And now, your host, David Knight.
[00:06:23.374 --> 00:06:25.797]  Welcome on this day after Christmas 2018.
[00:06:25.797 --> 00:06:27.639]  I'm David Knight, your host today.
[00:06:27.639 --> 00:06:29.842]  We're going to take a look at what's happening in Washington.
[00:06:29.842 --> 00:06:32.205]  This is a key moment, folks.
[00:06:32.205 --> 00:06:35.849]  President Trump has made some very strong moves in the last week.
[00:06:35.849 --> 00:06:37.572]  I really do think we need to support him.
[00:06:38.623 --> 00:06:42.127]  He's going to have a lot of opposition as we've seen over the weekend.
[00:06:42.127 --> 00:06:48.933]  The actions of Steve Mnuchin, the Wall Street Journal, the mainstream media pushing back against everything that he's doing.
[00:06:48.933 --> 00:06:50.714]  Criticizing everything that he's doing.
[00:06:50.714 --> 00:06:55.399]  Laying all the blame of all the economic activity that we see.
[00:06:55.399 --> 00:07:00.924]  Even though we know that the Federal Reserve did everything that it could to puncture the bubble that it created.
[00:07:02.966 --> 00:07:05.308]  Uh, and, uh, raising interest rates in everybody's face.
[00:07:05.308 --> 00:07:08.031]  But, of course, it's all about President Trump and what he did.
[00:07:08.031 --> 00:07:11.895]  Nothing that the Federal Reserve does is ever criticized in the mainstream press.
[00:07:11.895 --> 00:07:17.521]  And when President Trump talks about getting rid of the chair of the Federal Reserve,
[00:07:18.615 --> 00:07:28.026]  You have Steve Mnuchin and his new White House Chief of Staff Mick Mulvaney saying, oh he didn't mean that, oh no he can't do that, oh he knows he can't do that.
[00:07:28.026 --> 00:07:34.013]  We know that he can, quite frankly, and we'll tell you later in the program exactly how and why he can do that.
[00:07:34.013 --> 00:07:36.657]  I think the smart move would be to audit the Fed.
[00:07:37.782 --> 00:07:50.407]  If you were to audit the Fed, if you were to expose what they do in secret, you would have everybody demanding that not only the chairman but the rest of them be shown the door.
[00:07:50.407 --> 00:08:00.831]  And it's pretty obvious that it's either gross malpractice or malicious actions that the Fed has been involved in ever since President Trump was elected.
[00:08:01.650 --> 00:08:07.154]  They began raising rates that first December after he was elected early November.
[00:08:07.154 --> 00:08:12.878]  And they've been raising them a quarter of a percent every quarter since then.
[00:08:12.878 --> 00:08:16.260]  I said at the time, I said they're going to do the same thing that Greenspan did.
[00:08:16.260 --> 00:08:25.086]  He took insuratories down, created a bubble holding them at zero, and then he burst that bubble by raising interest rates a quarter of a percent every single quarter.
[00:08:25.086 --> 00:08:26.447]  And that's exactly what they've done.
[00:08:26.447 --> 00:08:29.029]  And they said they're going to continue to do that.
[00:08:29.029 --> 00:08:29.670]  It is malicious.
[00:08:30.731 --> 00:08:36.695]  But let's talk a little bit about what's going on in the news before we get into these other issues we have.
[00:08:36.695 --> 00:08:45.182]  Senator Paul has taken on Lindsey Graham and many other people about war and peace and many other issues and Washington in a hilarious way.
[00:08:45.182 --> 00:08:54.408]  Of course, he does it under cover of celebrating Festivus, the Seinfeld made-up holiday, the airing of grievances and so forth.
[00:08:54.408 --> 00:08:58.752]  But very, very funny what he had to say about Lindsey Graham.
[00:08:59.592 --> 00:09:08.117]  Saying, I haven't seen a senator who loves war this much since the Star Wars prequels, and he shows Senator Palpatine there in his more satanic form.
[00:09:08.117 --> 00:09:14.861]  He's got a lot of stuff there, but we're going to talk about what's really going on with the war in Syria and the pushback against that.
[00:09:14.861 --> 00:09:27.228]  There is a Green New Deal, all the talk around Washington now, from Alexandria Occasional Cortex, and it is a very radical
[00:09:28.266 --> 00:09:29.146]  New Deal.
[00:09:29.146 --> 00:09:30.867]  And it is like FDR's New Deal.
[00:09:30.867 --> 00:09:33.587]  It is going to be a radical expansion of the government.
[00:09:33.587 --> 00:09:38.449]  That's the kind of red and green that we're being offered by the Democrats.
[00:09:38.449 --> 00:09:49.032]  We're going to take a look at that and how it is already playing out in Europe and how they've already tipped their hand that this isn't about saving the environment at all, folks.
[00:09:49.032 --> 00:09:54.113]  It's about controlling your life, about taxing you, it's about tracking you.
[00:09:54.113 --> 00:09:55.913]  It's not about saving the environment.
[00:09:55.913 --> 00:09:57.774]  So we're going to expose that coming up as well.
[00:09:58.214 --> 00:10:05.238]  Let's take a look a little bit at some of the twisting of Christmas that's being done in the mainstream media by many people.
[00:10:05.238 --> 00:10:15.845]  We've got, speaking of Alexandria Occasional Cortex, she was out there pushing this Jesus was a refugee nonsense.
[00:10:15.845 --> 00:10:17.806]  And we've got that being done in a lot of churches.
[00:10:17.806 --> 00:10:26.252]  And folks, if you go by a church that's got their nativity scene in a cage, run as fast as you can the other way.
[00:10:26.997 --> 00:10:40.301]  Not only these people not know anything about the Bible or Christianity, or they're lying to you about it, but they're also subjugating that to their own political agenda, twisting it to fit.
[00:10:40.301 --> 00:10:47.023]  And so what she is saying is, we've got refugee babies in mangers everywhere.
[00:10:47.023 --> 00:10:48.564]  No, not really.
[00:10:48.564 --> 00:10:50.064]  Not really.
[00:10:50.064 --> 00:10:55.886]  Actually, the story of Jesus, he was, his family was forced to travel to their home.
[00:10:56.997 --> 00:10:59.037]  So that they could be taxed.
[00:10:59.037 --> 00:11:10.060]  So if you want a parallel to that, Occasional Cortex, what you would do is you would say, well we're going to send all the Hondurans back to their homes so that they can be taxed.
[00:11:10.060 --> 00:11:14.421]  We're going to force them to make that trip.
[00:11:14.421 --> 00:11:17.962]  These people who are coming here, we're not forced to make this trip.
[00:11:17.962 --> 00:11:18.982]  And they're not refugees.
[00:11:20.103 --> 00:11:28.772]  They are waving the flag of the country that they're supposedly fleeing, as President Trump pointed out, and burning our flag at the same time.
[00:11:28.772 --> 00:11:33.857]  And the Democrats are trying to use them to burn down this country politically.
[00:11:33.857 --> 00:11:41.025]  I think it's absolutely deplorable that these people, these Democrats, who hate everything about Christmas, who try to purge it,
[00:11:41.966 --> 00:11:48.330]  From not only being seen, but heard, would use this to serve their political agenda.
[00:11:48.330 --> 00:11:54.555]  And part of what they're doing is the death, the tragic death, of an eight-year-old Guatemalan boy.
[00:11:54.555 --> 00:11:57.096]  And the headline's everywhere, even in conservative media.
[00:11:57.096 --> 00:11:59.398]  We'll read something like, U.S.
[00:11:59.398 --> 00:12:00.418]  boy dies in U.S.
[00:12:00.418 --> 00:12:05.202]  Customs and Border Patrol custody.
[00:12:05.202 --> 00:12:07.763]  Folks, he was not killed by Border Patrol.
[00:12:07.763 --> 00:12:09.845]  He was not killed by us protecting our border.
[00:12:11.308 --> 00:12:26.458]  Where is the discussion in any of these articles, whether it's coming from mainstream media or the conservative media that parrots them, where is the discussion about parental child endangerment?
