[00:00:05.990 --> 00:00:27.474]  From the front lines of the information war, it's Alex Jones.
[00:00:27.474 --> 00:00:34.635]  Ladies and gentlemen, this is undoubtedly
[00:00:36.425 --> 00:00:40.686]  The most important information I've ever covered on air.
[00:00:40.686 --> 00:00:45.747]  Now, if you go back 20 years ago, I might have said that once a year, because things just got more serious.
[00:00:45.747 --> 00:00:48.267]  Now, you've heard me maybe say it once a month.
[00:00:48.267 --> 00:01:04.671]  This is, hands down, the most incredible, hiding-in-plain-view information that I have ever seen or ever read, and I have been having nothing but non-stop chills since it was sent to me this morning.
[00:01:09.335 --> 00:01:14.456]  My hair is standing up on end right now.
[00:01:14.456 --> 00:01:22.418]  You ever heard the saying that you can be too close to a problem, or know too much, and then sometimes a layperson walks in and finds the problem right away?
[00:01:22.418 --> 00:01:31.259]  I am a leading expert on continuity of government, martial law, police state, everybody knows that.
[00:01:31.259 --> 00:01:34.720]  Because the Clintons, we found out, were looking at trying to pull it off.
[00:01:36.320 --> 00:01:42.086]  A hot martial law, then Obama came out in documents, wanted a civil emergency and wanted to cause race riots.
[00:01:42.086 --> 00:01:51.375]  Wanted to trigger a thing called Strong Cities Initiative under Loretta Lynch to bring UN troops into the US and put our police departments under the UN.
[00:01:51.375 --> 00:01:55.519]  So we were aware that that was on drawing books going back to the days of the weathermen in the 70s.
[00:01:56.897 --> 00:02:08.025]  They had FBI investigations, there were criminal trials where that came out, but that's one thing to have a bunch of PhD communists wanting to have martial law and put 50 million Americans in re-education camps.
[00:02:08.025 --> 00:02:19.472]  It's something entirely different when it's the Democratic Party in control of FEMA trying to set it up.
[00:02:19.472 --> 00:02:21.614]  Now, let's say this.
[00:02:21.614 --> 00:02:23.415]  I thought I was an expert on it.
[00:02:24.761 --> 00:02:27.262]  Hindsight becomes 2020.
[00:02:27.262 --> 00:02:43.266]  And I later learned that Rex 84 was an emergency counter to the Democrats planning a Weather Underground Part 2 collapse of the border and collapse of Latin America in a communist takeover designed to starve Latin America so it would collapse into the U.S.
[00:02:43.266 --> 00:02:44.766]  You're now seeing that happen.
[00:02:46.977 --> 00:02:50.619]  And so the left always demonized Reagan for a martial law plan.
[00:02:50.619 --> 00:03:00.623]  It was a plan to stabilize the country during an internationally triggered crisis by the UN to bring down the United States.
[00:03:00.623 --> 00:03:03.504]  Now they couldn't pull it off then.
[00:03:03.504 --> 00:03:05.705]  They're trying now.
[00:03:05.705 --> 00:03:10.087]  Now, let me just stop right there.
[00:03:10.087 --> 00:03:13.369]  Mike Adams is an engineer, businessman, one of the smartest people I know.
[00:03:15.589 --> 00:03:21.531]  He told me a few days ago, he said, Trump needs to declare martial law and use the military.
[00:03:21.531 --> 00:03:24.213]  And he laid out his argument and I said, well, that's accurate.
[00:03:24.213 --> 00:03:26.754]  But you know, when we say that, they're going to say we're the fascists.
[00:03:26.754 --> 00:03:32.716]  But I said, Mike, we're already under a civil emergency.
[00:03:32.716 --> 00:03:36.098]  We're already under a government soft coup.
[00:03:36.098 --> 00:03:38.138]  Even Senator Graham's calling it that now.
[00:03:38.138 --> 00:03:43.961]  And so we need to explain that only a civil emergency can get rid of the last civil emergency.
[00:03:45.796 --> 00:03:47.397]  Because Obama's operating under that.
[00:03:47.397 --> 00:03:55.039]  He said, it's funny you say that, Alex, because that's exactly what this hour and 15 minute report I just finished shooting is.
[00:03:55.039 --> 00:04:01.221]  And that's the exact report I'm going to be writing that'll be out this weekend.
[00:04:01.221 --> 00:04:03.982]  So, you have to understand.
[00:04:03.982 --> 00:04:06.103]  Everything Mike says is 100% dead on.
[00:04:06.103 --> 00:04:10.625]  Everything I'm saying is 100% dead on because we both researched it from different ends.
[00:04:10.625 --> 00:04:12.265]  He's saying martial law is needed.
[00:04:12.265 --> 00:04:14.066]  We're already under martial law and I'm going to prove it.
[00:04:16.750 --> 00:04:19.531]  And Trump doesn't understand this because they've kept him in the dark.
[00:04:19.531 --> 00:04:26.112]  Rosenstein signed orders when he got in, tricked Trump to sign it, to change the order of succession in the Justice Department.
[00:04:26.112 --> 00:04:27.593]  It all ties into this.
[00:04:27.593 --> 00:04:35.855]  And then I've got Atlantic Monthly, the New York Times, the New York Post, the Council on Foreign Relations, Foreign Affairs, Public Affairs.
[00:04:35.855 --> 00:04:37.575]  All the elite publications are saying it.
[00:04:39.741 --> 00:04:46.827]  But then I went back and read this morning when I read his article, I went back and read two executive orders from Obama before he left.
[00:04:46.827 --> 00:04:53.372]  He continued the emergency and is operating with a total stay-behind network and the U.S.
[00:04:53.372 --> 00:04:57.116]  is under martial law controlled by the Democrats right now.
[00:04:57.116 --> 00:04:58.517]  That's why they're so belligerent.
[00:05:00.356 --> 00:05:07.840]  Whether you're looking to boost the benefits of our fish oil formula, or just want an alternative, InfoWars Lite has the formula for you.
[00:05:07.840 --> 00:05:17.085]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure Krill Oil concentrate.
[00:05:17.085 --> 00:05:26.150]  Containing powerful antioxidants such as Acetazanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:05:27.117 --> 00:05:38.563]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:05:38.563 --> 00:05:47.647]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:05:48.107 --> 00:05:50.849]  Paired with our Ultimate Fish Oil or used separately.
[00:05:50.849 --> 00:05:54.513]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:05:54.513 --> 00:05:56.955]  Now available at InfoWarsStore.com
[00:06:26.195 --> 00:06:31.237]  It is the 23rd day of September 2018 on this Sunday Global Transmission.
[00:06:31.237 --> 00:06:39.601]  We are live broadcasting worldwide.
[00:06:39.601 --> 00:06:47.785]  I'm about to break down the most critical information to the future of this country and the world that you have ever heard 100%.
[00:06:52.236 --> 00:07:08.605]  If you want to know why we're banned, if you want to know why we're demonized by every major news channel every day with incredible lies, it's because they fear the fact that we understand what the deep state and the globalists are doing in this country.
[00:07:08.605 --> 00:07:11.907]  Remember just a few years ago, deep state didn't exist.
[00:07:11.907 --> 00:07:14.188]  I introduced the term deep state 20 years ago.
[00:07:15.481 --> 00:07:20.965]  I learned 30 years ago reading government manuals about the shadow government and continuity of government.
[00:07:20.965 --> 00:07:25.388]  But deep state is a term that I first brought into use.
[00:07:25.388 --> 00:07:27.130]  Not bragging.
[00:07:27.130 --> 00:07:34.875]  I'm just telling you why they hate my guts.
[00:07:34.875 --> 00:07:35.696]  Ladies and gentlemen,
[00:07:39.369 --> 00:08:06.464]  When I began to read this in the last few days, and I went back and read the executive orders, and I went back and read what the executive orders Obama put in place in December of 2016, right before he left office, and I read the entire executive orders again, and then when I read Mike Adams' report this morning, that's on Infowars.com, I could not even breathe, basically.
[00:08:11.678 --> 00:08:15.659]  Let me just put the big issue out there up front.
[00:08:15.659 --> 00:08:21.300]  The United States is under martial law.
[00:08:21.300 --> 00:08:39.264]  The United States is under a civil emergency under continuity of government and a string of executive orders signed going back to the time of John F. Kennedy and reissued by Obama.
[00:08:39.264 --> 00:08:41.005]  And if Trump learns about this,
[00:08:42.622 --> 00:08:50.069]  Just like we've educated him about Google and the censorship and Facebook and the rest of it, and now his executive orders are set to come out next week.
[00:08:50.069 --> 00:08:54.614]  The draft of the executive orders are now on Infowars.com.
[00:08:54.614 --> 00:08:59.098]  If Trump learns about this, it's game over.
[00:08:59.098 --> 00:09:06.025]  You know, we've hammered that there is a soft coup by the bureaucracy and what I call stay-behind networks.
[00:09:08.646 --> 00:09:15.228]  That's what the CIA would call it when the Soviet Union started taking over Eastern and Southern Europe.
[00:09:15.228 --> 00:09:21.469]  They would put groups in the government and in corporations to stay behind to basically try to resist.
[00:09:21.469 --> 00:09:28.591]  And that's what they call it themselves in Atlantic Monthly, in the Council on Foreign Relations, Foreign Affairs, and other publications.
[00:09:28.591 --> 00:09:37.313]  So I've been stating what's going on, but it wasn't till Mike Adams called me two days ago, great researcher, engineer, businessman,
[00:09:38.359 --> 00:09:45.004]  And so that he'd been doing deep research on it, that it all clicked when he said this.
[00:09:45.004 --> 00:09:46.765]  The final piece.
[00:09:46.765 --> 00:09:50.328]  This is so important, I'm shaking.
[00:09:50.328 --> 00:09:51.209]  And I never shake.
[00:09:51.209 --> 00:09:56.293]  My hands are shaking.
[00:09:56.293 --> 00:09:58.194]  We are under martial law.
[00:09:58.194 --> 00:09:58.695]  A form of it.
[00:09:59.369 --> 00:10:00.310]  They admit it.
[00:10:00.310 --> 00:10:08.215]  And when you hear Phil Mudd on TV and Mueller and Comey and saying, we need a civil emergency, we need 25th Amendment to take Trump out.
[00:10:08.215 --> 00:10:11.357]  Remember, I was saying that a year and a half ago.
[00:10:11.357 --> 00:10:14.399]  Because it was in their elite publications.
[00:10:14.399 --> 00:10:16.061]  This is 100% fact.
[00:10:16.061 --> 00:10:18.322]  It's not my opinion.
[00:10:18.322 --> 00:10:20.804]  I want to keep putting that out there for you to be clear.
