[00:00:00.109 --> 00:00:01.310]  Agenda 2030.
[00:00:01.530 --> 00:00:02.611]  Cloward and Piven.
[00:00:02.691 --> 00:00:03.511]  The Great Reset.
[00:00:03.551 --> 00:00:04.992]  You've been covering it for years.
[00:00:05.172 --> 00:00:05.853]  It's here.
[00:00:06.353 --> 00:00:09.455]  We've got about 10% of Congress maybe that understands that.
[00:00:09.815 --> 00:00:13.358]  We have three presidential candidates right now that I think understand that.
[00:00:13.758 --> 00:00:16.079]  RFK Jr., Vivek Ramaswamy, and Donald Trump.
[00:00:16.680 --> 00:00:18.121]  So we're getting a foot in the door.
[00:00:18.161 --> 00:00:22.684]  We're getting a wedge against this globalist system to try to destroy the United States of America.
[00:00:22.704 --> 00:00:24.905]  But Alex, we can talk about Title 42.
[00:00:25.145 --> 00:00:25.926]  We can talk about Title 69.
[00:00:26.066 --> 00:00:27.647]  I mean, we can talk about it all.
[00:00:28.200 --> 00:00:29.721]  This is an attack on America.
[00:00:30.221 --> 00:00:34.484]  The border has been wide open for every year Biden has been in the White House.
[00:00:34.824 --> 00:00:37.005]  And there is an invasion going on.
[00:00:37.185 --> 00:00:37.746]  That is it!
[00:00:38.066 --> 00:00:39.627]  Forget Title 42, folks!
[00:00:39.867 --> 00:00:44.450]  They can sign Title 42 back into existence or burn it in the White House lawn.
[00:00:44.470 --> 00:00:45.730]  It doesn't make a damn difference!
[00:00:45.950 --> 00:00:47.031]  They're still coming in!
[00:00:47.291 --> 00:00:48.292]  And they're never gonna stop!
[00:00:53.095 --> 00:00:57.500]  Rallying patriots worldwide in defense of human liberty.
[00:00:57.580 --> 00:01:22.900]   It's Alex Jones Infowars the most banned network in the world
[00:01:23.620 --> 00:01:29.400]   So I'm not allowed to stand in America I'm not allowed to report in America. He's not allowed to
[00:01:29.400 --> 00:01:34.979]   talk to the media, but criminals rapists pedophiles murderers foreign nationals
[00:01:34.979 --> 00:01:42.159]   Millions of them can come across the southern border all day long and our law enforcement our government pays for it
[00:01:42.159 --> 00:01:45.400]   and Facilitates it I can't even stand on American ground
[00:01:45.400 --> 00:01:50.580]   without getting harassed by so-called law enforcement Oh
[00:01:50.580 --> 00:01:54.580]  [BOOM]
[00:01:54.634 --> 00:01:59.681]  Owen Sawyer here for InfoWars.com and behind me is Gate!
[00:02:00.743 --> 00:02:01.103]  Forty.
[00:02:02.044 --> 00:02:06.588]  Right here in Texas, just outside of El Paso, Gate 40.
[00:02:07.088 --> 00:02:11.392]  One of the major ports of entry, except we're not supposed to know about it.
[00:02:11.852 --> 00:02:12.973]  So what are we doing here?
[00:02:13.493 --> 00:02:28.485]  Well, what goes on behind these gates, whether it's Gate 40 or Gate 42 or many others, is that thousands of illegal immigrants get processed behind these gates before they come into the United States illegally.
[00:02:28.746 --> 00:02:30.347]  Border Patrol, Texas D.C.
[00:02:30.507 --> 00:02:30.747]  Yes.
[00:02:30.787 --> 00:02:31.828]  State troopers.
[00:02:31.848 --> 00:02:33.868]  They're not stopping them from entry.
[00:02:34.229 --> 00:02:36.690]  They're not there as law enforcement or border patrol.
[00:02:36.930 --> 00:02:42.712]  They're there as the final link in the Biden illegal immigrant chain pipeline.
[00:02:43.332 --> 00:02:44.693]  So why is border patrol even there?
[00:02:44.753 --> 00:02:45.853]  Why are the state troopers even there?
[00:02:45.933 --> 00:02:47.754]  Because they're part of the illegal immigration.
