[00:00:00.069 --> 00:00:00.850]  I understand.
[00:00:00.870 --> 00:00:02.231]  A lot of people don't like Israel.
[00:00:02.671 --> 00:00:03.932]  People don't like other countries.
[00:00:03.972 --> 00:00:05.274]  They don't like having to give money to Israel.
[00:00:05.294 --> 00:00:06.715]  I don't think Israel is perfect either.
[00:00:06.935 --> 00:00:07.716]  But understand this.
[00:00:08.376 --> 00:00:11.739]  There are much bigger sleeper cells inside the United States.
[00:00:11.839 --> 00:00:14.622]  Tens of thousands in cities like New York.
[00:00:14.982 --> 00:00:17.324]  Thousands in cities like Dallas, conservatively.
[00:00:17.905 --> 00:00:24.545]   Austin, Texas that are ready to attack when they're given the order over their cell phone.
[00:00:24.545 --> 00:00:26.264]  Ready to shoot you up at the bus station.
[00:00:26.264 --> 00:00:27.625]  Ready to attack your church.
[00:00:27.625 --> 00:00:28.824]  Ready to attack your synagogue.
[00:00:28.824 --> 00:00:30.344]  Ready to attack the police station.
[00:00:30.344 --> 00:00:32.304]  Ready to set up a truck bomb.
[00:00:32.304 --> 00:00:34.344]  Ready to poison a water supply.
[00:00:34.344 --> 00:00:38.944]   Ready to dump chlorine gas, because they're the maintenance man, down a 50-story ventilation
[00:00:38.944 --> 00:00:41.304]  system in your building and kill you.
[00:00:41.304 --> 00:00:43.103]  So understand, that's what they're trained to do.
[00:00:43.274 --> 00:00:44.676]  That's what Iran's training them to do.
[00:00:45.076 --> 00:00:45.897]  They're prepared.
[00:00:46.197 --> 00:00:47.739]  They're ready to do it.
[00:00:48.219 --> 00:00:57.969]  And of course, when it happens, then Biden will just be able to get more power and more control and maybe even suspend the election coming up in only 12 and a half months.
[00:00:58.630 --> 00:00:59.791]  That's what they've been setting up.
[00:01:00.151 --> 00:01:02.113]  That's what they've been preparing.
[00:01:02.713 --> 00:01:04.454]  And this is a life and death situation.
[00:01:04.514 --> 00:01:11.019]  So just like we made their attempts to run new lockdowns a number one issue and backed them down to a great extent in the last two months.
[00:01:11.559 --> 00:01:31.073]   If we get ahead of this and call Congress and call C-SPAN and call our legislatures and go to the meet and greets with Congress people and peacefully but forcefully get in their face very decisively and tell them when the terror attacks come with these Hamas and Hezbollah cells, it'll be Hamas directed, excuse me, Hezbollah directed.
[00:01:31.633 --> 00:01:40.459]  When that happens, they will be held accountable for their criminal negligence and really racketeering and working with these organizations to do it.
[00:01:43.661 --> 00:01:49.764]  Rallying patriots worldwide in defense of human liberty.
[00:01:49.743 --> 00:01:51.743]  It's Alex Jones.
[00:01:51.743 --> 00:02:08.743]  [Music]
[00:02:08.743 --> 00:02:11.743]  InfoWars. Tomorrow's news today.
[00:02:11.743 --> 00:02:21.743]  [BLANK_AUDIO]
[00:02:13.001 --> 00:02:18.304]  Welcome to the Thursday, October 12th, 2023 edition of the Alex Jones Show.
[00:02:18.324 --> 00:02:19.464]  I'm your host, Alex Jones.
[00:02:19.484 --> 00:02:23.326]  I know a lot of folks have been asking, where am I?
[00:02:23.906 --> 00:02:25.207]  Well, I'm not on vacation.
[00:02:25.427 --> 00:02:26.167]  I can tell you that.
[00:02:27.148 --> 00:02:32.891]  And next week, you'll be able to know why I've not been here on Monday, Tuesday, Wednesday, and today, Thursday.
[00:02:33.611 --> 00:02:34.832]  I will be back in Austin.
[00:02:35.552 --> 00:02:44.515]  By the end of the show today, you have my commitment that I'm going to be doing Saturday and Sunday shows straight through for the rest of the month to make up for the four days I've been gone.
[00:02:45.235 --> 00:02:49.976]  But next week, you will see one of the reasons that I've been out of town.
[00:02:50.477 --> 00:02:53.798]  That's very important to the fight against the globalists.
[00:02:54.438 --> 00:03:04.537]   So that said, I want to point out that Owen and of course Harrison and Chase Geiser and everybody have done a great job while I've been gone.
