[00:00:00.189 --> 00:00:04.193]  Ladies and gentlemen, we've got something really special for you here today.
[00:00:04.994 --> 00:00:16.345]  It is the 52nd anniversary of the founding of the Davos Group, itself set up by the Bilderberg Group to leverage political power and global control by the most powerful corporations in the world.
[00:00:16.385 --> 00:00:20.909]  They're meeting right now in Davos, Switzerland with 5,000 troops guarding them.
[00:00:21.930 --> 00:00:29.670]   Ladies and gentlemen, this next guest Has been invited on the show before when he worked at CNN, but he was too scared to come on.
[00:00:30.111 --> 00:00:31.273]  He's attacked many, many times.
[00:00:31.854 --> 00:00:36.681]  But for some reason today, he has agreed to join us.
[00:00:36.721 --> 00:00:38.143]  I guess because he feels triumphant.
[00:00:39.209 --> 00:00:39.849]  He was fired.
[00:00:39.889 --> 00:00:40.730]  People made fun of him.
[00:00:40.770 --> 00:00:44.713]  He was a huge joke in the entire media industry for many years.
[00:00:45.273 --> 00:00:47.114]  He was at the New York Times and at CNN.
[00:00:47.755 --> 00:01:07.367]  Ladies and gentlemen, he is Brian Stelter, who's now hosting a major part of the Davos Group meeting called the Clear and Present Danger of Disinformation, calling for censorship and control by the World Economic Forum over the speech of Americans and others around the world via the World Economic Forum and the UN.
[00:01:08.428 --> 00:01:11.050]  Ladies and gentlemen, Brian Stelter.
[00:01:12.131 --> 00:01:14.192]  Rising like a phoenix out of the ashes now.
[00:01:14.332 --> 00:01:20.517]  A direct, I guess, mini-me of Klaus Schwab, or I guess a salacious crumb to Jabba the Hutt.
[00:01:20.577 --> 00:01:24.920]  Brian Stelter, you're looking confident and smug as usual.
[00:01:25.680 --> 00:01:41.372]  Well, Alex, I would say thank you for having me on, but since I've been working tirelessly for years with Big Tech to take you and other dangerous disinformation operatives off the web, I just wanted to let you know that finally I'm in a place where I can get things done.
[00:01:41.953 --> 00:01:53.282]  We're not just going to surveil you and censor you and people like you, you evil nationalists, that are against the wondrous shots and open borders and what we're doing on so many other fronts.
[00:01:53.882 --> 00:01:59.286]  But now we're going to work directly through the WEF to silence people like you!
[00:01:59.686 --> 00:02:06.332]  And that's why I came on here, to let you know your days are numbered, and so are you other dirty Americans!
[00:02:06.772 --> 00:02:11.676]  I mean, you disinformation, hate-filled racists!
[00:02:12.998 --> 00:02:16.279]  Brian, you really never cease to amaze.
[00:02:17.140 --> 00:02:22.102]  Your arrogance, how you come off as completely fake, how you claim to be the arbiter of truth.
[00:02:22.562 --> 00:02:40.290]  How can you and Klaus Schwab, with the incredible history of the organization and all the lies and things they're pushing and their open admission, they want to put microchips in us to control our lives, have a global cashless society and carbon taxes and we'll have nothing and we'll like it.
[00:02:40.850 --> 00:02:48.015]   How on earth Can you sit there with a straight face and claim that your classic totalitarianism is a good thing?
[00:02:48.896 --> 00:02:58.063]  Well, Alex, that's because we're self-appointed and we control the large central banks, that is my master's do, and have all the money.
[00:02:58.664 --> 00:03:15.236]   You see, that's why we call ourselves the truth, and anyone that disagrees with us, well, we call you dangerous, viruses, and, well, disinformation, and while it's true that You've continued on the air despite our attacks.
[00:03:15.796 --> 00:03:20.238]  Soon, with the new methods we've got through AI, we're finally going to bring you to your knees.
[00:03:20.298 --> 00:03:39.625]  And once my master, I mean my employer, Klaus Schwab, has his social credit score fully in place, you won't just be censored, you won't just be debanked, you will be living on the street homeless like the good slaves in China under Xi Jinping and my master Klaus Schwab's control.
[00:03:40.523 --> 00:03:42.047]  Well, Brian, that's another issue.
[00:03:42.528 --> 00:03:49.565]  Xi Jinping and the Communist Party in China since 1949, in their own admissions, have killed over 100 million, mainly of their own people.
[00:03:50.424 --> 00:03:52.226]  And they're very, very proud of that.
[00:03:52.266 --> 00:04:03.435]  And your boss, your self-described master, Klaus Schwab, has openly said just a month ago that China is the model for the world and we should be living like they do in China.
[00:04:03.816 --> 00:04:10.221]  If you disagree or criticize the government in China, you could be put in a forced labor camp for a decade or even killed in your organs harvested.
[00:04:10.682 --> 00:04:15.987]  Apple and Tim Cook are heavily involved with the slave labor with the Uyghurs in literal death camps.
[00:04:16.587 --> 00:04:25.758]  How can you sit there on your high horse and say I'm a threat to people for criticizing this when you are openly working for someone that endorses Communist China as the model?
[00:04:26.059 --> 00:04:27.500]  Are you actually defending Xi Jinping?
[00:04:28.353 --> 00:04:42.238]  Well, Alex, just like the leader of Canada, a great, wonderful leader, a liberal leader, Trudeau has said he admires the basic dictatorship of China, and so do I. Obviously, I can't make you watch me.
[00:04:42.778 --> 00:04:46.139]  Obviously, I can't make you believe me or listen to me.
[00:04:46.199 --> 00:04:52.741]  But if I could simply send you to a forced labor camp, then you'd come back and learn to respect people like me.
[00:04:52.821 --> 00:04:57.083]  So, of course, we endorse Xi Jinping, even back to Mao Zedong.
[00:04:57.543 --> 00:05:03.027]  And of course, we endorse what Trudeau and other forward-looking leaders are doing.
[00:05:03.387 --> 00:05:08.791]  That's why we're so close to new lockdowns and forced injections and a social credit score.
[00:05:08.831 --> 00:05:15.696]  And that's why I came here today to let you know you made fun of me being fired, but now I'm a Harvard Fellow!
[00:05:15.716 --> 00:05:19.319]  And now I work directly for G.G.
[00:05:19.359 --> 00:05:20.320]  Peek's officer.
[00:05:20.780 --> 00:05:28.073]  Klaus Schwab, that puts me in the direct chain of command to the authoritarian, I mean, to the liberal, loving leaders of Earth!
[00:05:28.414 --> 00:05:30.898]  Wow, it's just mind-blowing that...
[00:05:31.617 --> 00:05:34.417]   Klaus Schwab, your boss, says you'll own nothing, you'll like it.
[00:05:34.417 --> 00:05:35.857]  They're going to get rid of the nuclear family.
[00:05:35.857 --> 00:05:38.257]   They're going to take control of our bodies, that they own our bodies.
[00:05:38.257 --> 00:05:42.337]   They're going to do Joseph Mingula, Nuremberg violating, test on us.
[00:05:42.337 --> 00:05:44.975]  And then he says things like, you will eat the bugs.
[00:05:44.975 --> 00:05:48.016]   And we would talk about that a decade ago when they were first pushing it,
[00:05:48.016 --> 00:05:52.097]   but now they're making schoolchildren in Canada, the US, Australia, the UK, Europe,
[00:05:52.097 --> 00:05:52.897]  eat bugs.
[00:05:52.897 --> 00:05:57.377]   They're telling us they want to ban cows, even gas-powered stoves.
[00:05:57.377 --> 00:06:01.057]   I mean, can't you see that shutting off our pipelines and doing all this is destroying us?
[00:06:01.057 --> 00:06:05.217]   And that China and India and Mexico aren't making carbon cuts, but we are.
[00:06:05.217 --> 00:06:08.097]  And so that means we can't compete against those regimes.
[00:06:08.097 --> 00:06:09.376]  What do you say to that, Brian?
[00:06:09.376 --> 00:06:12.016]  For once in your life, actually don't be disingenuous.
[00:06:12.016 --> 00:06:13.617]  Tell us why you're so anti-American.
[00:06:13.617 --> 00:06:19.296]   Well, I guess, Alex, since you asked, I'll be honest, just for a moment.
[00:06:19.565 --> 00:06:20.266]  I'm a slave.
[00:06:20.346 --> 00:06:29.095]  I mean, I'm a leader in this global organization, and we've all invested in China and their authoritarianism and totalitarianism.
[00:06:29.455 --> 00:06:36.322]  And so our investments are going up when your life goes down, when your standard of living collapses.
[00:06:37.003 --> 00:06:51.393]  And so you just sit there and keep taking the open borders, the human smuggling, the fentanyl, the drag queen penile time that I love so much, and you sit there and you take it because that's why we're winning.
[00:06:51.854 --> 00:06:53.295]  We're destroying your morals.
[00:06:53.775 --> 00:06:59.779]  We're cutting off your energy and there's nothing you pathetic Americans can do.
[00:07:00.240 --> 00:07:09.957]   You know, Brian, what you have in What's common with all authoritarians of the past is you're able to steal control for a time, a season, and you believe you're invincible.
[00:07:09.977 --> 00:07:17.500]  But I can tell you, you've demonized me, you lied about me with the rest of your cohorts and the dinosaur corporate media, and you think it's destroyed InfoWars.
[00:07:17.520 --> 00:07:20.982]  But when I'm on the street, I get more love and more support than ever.
[00:07:21.022 --> 00:07:22.462]  And I believe in my listeners and viewers.
[00:07:22.883 --> 00:07:24.063]  I believe they're going to support us.
[00:07:24.483 --> 00:07:33.687]   And I believe we're going to stay on air throughout the future while zombie media, only propped up by the big megacorporations and central banks, Try to sit there and keep people like you on air.
[00:07:34.048 --> 00:07:39.152]  But regardless of what you do, God's watching, Brian, and we're never going to give up.
[00:07:39.512 --> 00:07:42.955]  We're never going to back down in the face of your tyranny.
[00:07:42.975 --> 00:07:47.698]  And I want you to know, Brian, you are being defeated, and you will be defeated.
[00:07:47.978 --> 00:07:49.360]  Is that clear, scumbag?
[00:07:50.485 --> 00:07:53.287]  All of you so-called patriots said I was finished!
[00:07:53.807 --> 00:07:56.008]  You said I lost my job at CNN!
[00:07:56.469 --> 00:07:58.250]  But now look at me at Harvard!
[00:07:58.730 --> 00:08:00.371]  Look at me at the Deimos Group!
[00:08:01.011 --> 00:08:03.553]  I'm with the most powerful people in the world!
[00:08:03.933 --> 00:08:06.854]  Because I'm an elitist, and I'm better than you!
[00:08:07.255 --> 00:08:07.915]  That's right.
[00:08:07.935 --> 00:08:09.416]  Never forget that.
[00:08:09.716 --> 00:08:12.918]  We know you have incredible grassroots support.
[00:08:13.478 --> 00:08:19.782]  That's why we worked with Twitter illegally to censor and spy on you and millions of others at election medal.
[00:08:20.262 --> 00:08:20.842]  We know that!
[00:08:21.683 --> 00:08:23.183]  But don't think we're finished.
[00:08:23.704 --> 00:08:28.025]  We're only going to intensify our attacks on you.
[00:08:28.546 --> 00:08:38.390]  And I know you're doing the special live broadcast past midnight tonight to try to rally your pathetic American and other listeners who think they've got a hope of stopping us.
[00:08:38.570 --> 00:08:38.890]  No!
[00:08:39.470 --> 00:08:42.392]  We're gonna censor hashtag AlexWasRight.
