[00:00:00.029 --> 00:00:00.509]  Guess what?
[00:00:00.689 --> 00:00:02.651]  About 40% of us didn't take it!
[00:00:03.932 --> 00:00:08.415]  And almost no one's buying the next rollout of your garbage!
[00:00:09.616 --> 00:00:11.157]  And we caught you with your pants down!
[00:00:11.897 --> 00:00:16.100]  And now California admits we're going back to COVID rollouts on their official website.
[00:00:16.420 --> 00:00:20.603]  Mass contact tracing, vaccine passports, lockdowns.
[00:00:21.404 --> 00:00:23.265]  And they're so pissed we learned about it!
[00:00:23.485 --> 00:00:25.206]  They're so pissed we're saying no!
[00:00:26.288 --> 00:00:30.398]  Well, they're going to get more pissed as we don't follow anything they say.
[00:00:31.060 --> 00:00:32.383]  They've dissolved our borders.
[00:00:32.403 --> 00:00:33.686]  They're cutting off our energy.
[00:00:34.047 --> 00:00:35.711]  They're attacking us at every level.
[00:00:37.793 --> 00:00:43.777]  But Larry Fink thinks he's God, and the Rothschilds don't even think they're God, and they're not God.
[00:00:44.318 --> 00:00:57.568]  Because once we identify that they're the ones behind all this, it's game over, and I'm telling you, it's on record that BlackRock owns that power utility, 96% of it, and it's on record everybody's waking up, and that's a microcosm.
[00:00:58.148 --> 00:00:59.971]  You think you're gonna corner the people in Lahaina?
[00:00:59.991 --> 00:01:06.624]  You think you're gonna corner the people in Texas the last two years where you cut the power off in the winter and wouldn't let us up the power during the storms?
[00:01:07.025 --> 00:01:08.367]  You think we don't know it's you?
[00:01:10.486 --> 00:01:11.407]  We do know it's you.
[00:01:11.427 --> 00:01:14.208]  So you try to indict Trump till the cows come home.
[00:01:14.509 --> 00:01:15.790]  You try to intimidate us.
[00:01:16.050 --> 00:01:17.551]  You try to shut me down.
[00:01:17.831 --> 00:01:19.332]  You try to silence us.
[00:01:19.952 --> 00:01:23.695]  We are not going to be silenced, you blood-sucking arsonist.
[00:01:24.155 --> 00:01:28.518]  And they didn't just left us 79 of them caught in Greece setting the giant fires.
[00:01:28.898 --> 00:01:30.379]  They're cultural arsonists.
[00:01:30.740 --> 00:01:32.801]  They're scum from the bottom up.
[00:01:33.101 --> 00:01:40.486]  And just like at the Burning Man with the tribal police running over those blockades that blocked the road, that's where we're going.
[00:01:40.626 --> 00:01:45.231]  What's wrong with you people?
[00:01:47.193 --> 00:01:49.656]  Total resistance!
[00:01:49.676 --> 00:01:49.856]  Woo!
[00:01:50.276 --> 00:01:54.841]  Rallying patriots worldwide in defense of human liberty.
[00:01:54.760 --> 00:02:17.960]   It's Alex Jones Info Wars
[00:02:17.318 --> 00:02:18.204]  Tomorrow's news.
[00:02:18.506 --> 00:02:18.829]  Today.
[00:02:22.950 --> 00:02:27.033]  The breaking news, stay at home, that is the order tonight from four state governors.
[00:02:27.213 --> 00:02:30.655]  You absolutely must stay at home.
[00:02:30.835 --> 00:02:32.396]  You must stay at home.
[00:02:32.636 --> 00:02:35.738]  All gatherings are cancelled until further notice.
[00:02:35.918 --> 00:02:40.801]  I have issued an executive order, it's not a suggestion, it's an order.
[00:02:41.021 --> 00:02:47.825]  We will shut you down, we will cite you, and if we need to, we will arrest you, and we will take you to jail.
[00:02:47.945 --> 00:02:52.328]  This means no weddings, in-person services, or even parties.
[00:02:53.949 --> 00:02:58.030]  The time for educating people into compliance is over.
[00:02:58.311 --> 00:03:03.553]  I'm using my power as governor under an emergency declaration to order you to close.
[00:03:03.733 --> 00:03:06.014]  Quarantine will be mandatory.
[00:03:06.374 --> 00:03:08.575]  I wasn't thinking of the Bill of Rights when we did this.
[00:03:08.895 --> 00:03:15.098]  Those few bad actors will be identified and the Tampa Police Department will handle it.
[00:03:15.238 --> 00:03:18.760]  We're watching you and we are going to take decisive action.
[00:03:22.304 --> 00:03:24.005]  The Alex Jones Show.
[00:03:24.445 --> 00:03:27.327]  Because there is a war on for your mind.
[00:03:27.968 --> 00:03:31.090]  I mean, I'm not even worthy to be bringing you information this powerful.
[00:03:31.710 --> 00:03:35.193]  And I hope that you pay attention to what we cover here, minute by minute.
[00:03:36.574 --> 00:03:39.376]  Because I've had chills since last night.
[00:03:39.476 --> 00:03:42.738]  The question is, will you have the courage to really do the research yourself?
[00:03:42.798 --> 00:03:45.760]  Because I don't want you to just sit here and hear me make these claims.
[00:03:46.000 --> 00:03:48.762]  This just confirms everything else we've already researched.
[00:03:51.112 --> 00:04:01.697]  Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, everything that's in the other documents.
[00:04:01.757 --> 00:04:14.403]  But this dovetails with all the other Rockefeller Foundation documents about the GMO food to sterilize you and force vaccines and the hell we're already living in that's just going to continue to intensify until we take our governments back from these eugenics madmen.
[00:04:16.804 --> 00:04:18.665]  You're not going to be able to go to the ballgames anymore.
[00:04:20.663 --> 00:04:22.987]  You're not gonna be able to just go out and get drunk with your friends.
[00:04:23.007 --> 00:04:26.132]  You're not gonna be able to just, you know, go out and enjoy yourself all the time.
[00:04:26.152 --> 00:04:27.394]  It's scary.
[00:04:30.678 --> 00:04:36.764]  One thing the NFL really plans to do this year is take as many precautions as possible just to keep everybody safe.
[00:04:36.804 --> 00:04:43.071]  And that starts with the vast majority of teams deciding already that there will be no fans at all allowed inside the stadium for the games.
[00:04:43.511 --> 00:04:53.221]  And every single player in the league has been given a smart tag tracking device to help them keep their distance off the field and for contact tracing should it become necessary.
[00:04:53.621 --> 00:04:55.563]  You're not going to be able to go to the ball games anyway.
[00:04:56.184 --> 00:04:59.667]  Players are not excited about this kind of idea of no fans.
[00:05:00.288 --> 00:05:02.010]  Yes, but they may have to get used to it.
[00:05:02.110 --> 00:05:06.314]  But all around the country there will be empty stadiums and masks on the sidelines.
[00:05:06.535 --> 00:05:08.316]  No fans will be allowed in.
[00:05:08.477 --> 00:05:13.942]  I can't imagine Howie playing in the NFL this day and time with no fans there.
[00:05:13.962 --> 00:05:16.265]  I honestly can't even conceive that.
[00:05:16.485 --> 00:05:18.805]  You're not going to be able to just go out and get drunk with your friends.
[00:05:18.825 --> 00:05:21.946]  You're not going to be able to just go out and enjoy yourself all the time.
[00:05:21.966 --> 00:05:23.306]  Don't get the vaccine?
[00:05:23.986 --> 00:05:25.407]  You can't go to the supermarket.
[00:05:25.687 --> 00:05:26.487]  Don't have the vaccine?
[00:05:26.507 --> 00:05:27.867]  You can't go to the ballgame.
[00:05:28.367 --> 00:05:29.227]  Don't have the vaccine?
[00:05:29.847 --> 00:05:30.488]  Can't go to work.
[00:05:32.928 --> 00:05:38.509]  Because everybody in the establishment will still kind of halfway listen now and go, well he's been right about everything else, maybe we should look into this.
[00:05:39.089 --> 00:05:40.970]  Look, you'll believe it if they release it.
[00:05:41.230 --> 00:05:43.090]  So just remember this transmission then.
[00:05:45.293 --> 00:05:51.719]  The Orange County Coroner's Office is investigating the death of a woman who passed away several days after getting her second Moderna vaccine.
[00:05:51.799 --> 00:05:57.665]  She died after suffering blood clots just over a week after receiving the AstraZeneca vaccine.
[00:05:58.125 --> 00:06:02.309]  Her 58-year-old mother died less than an hour after receiving the Pfizer vaccine.
[00:06:02.569 --> 00:06:03.951]  My little sister just died.
[00:06:05.237 --> 00:06:06.197]  Her first dose!
[00:06:06.557 --> 00:06:12.339]  And in Orange County, an x-ray technician has died after getting his second dose of the Pfizer vaccine.
[00:06:12.639 --> 00:06:16.281]  His dad died four days after getting his second shot of Pfizer vaccine.
[00:06:16.661 --> 00:06:19.882]  I'm not asking what's in the infusion.
[00:06:20.342 --> 00:06:24.483]  I'm not looking up all of the ingredients in the infusion.
[00:06:25.624 --> 00:06:29.785]  I am sticking out my arm and I am taking the infusion.
[00:06:31.025 --> 00:06:32.826]  You really need to get vaccinated.
[00:06:35.089 --> 00:06:37.550]  Don't resist when they release the bioweapon.
[00:06:37.750 --> 00:06:40.390]  Submit and die with pleasure!
[00:06:44.511 --> 00:06:45.232]  InfoWars.
[00:06:45.592 --> 00:06:47.192]  Tomorrow's news, today.
[00:06:47.212 --> 00:06:52.894]  If you are receiving this transmission, you are the resistance.
[00:06:52.774 --> 00:06:54.774]  You are the resistance.
[00:06:54.774 --> 00:07:02.774]  It is Tuesday, August 29th, 2023.
[00:07:02.774 --> 00:07:05.774]  And I'm your host, Alex Chia.
[00:07:05.412 --> 00:07:07.433]  We're going to be live here for the next four hours.
[00:07:07.494 --> 00:07:10.136]  I'm hosting all four hours today.
[00:07:10.156 --> 00:07:12.678]  We have so many big guests joining us.
[00:07:12.698 --> 00:07:24.007]  We have eyewitness reporters that have been getting the nightmare bombshell footage of the downed power lines and the cover-up that's going on and the water being turned off.
[00:07:24.427 --> 00:07:27.230]  And eyewitnesses that the police now confirm are telling the truth.
[00:07:27.870 --> 00:07:35.637]  That both ends of the town, only one exit, one entrance, were blocked under orders from the police chief and the emergency managers.
[00:07:37.558 --> 00:07:42.723]  They're going to be joining us coming up in the second hour.
[00:07:42.863 --> 00:07:52.110]  Eric West, a well-known developer and real estate agent, and a very respected community, and of course, Fish, another well-known, respected person in the community.
[00:07:52.130 --> 00:07:54.673]  They're going to be joining us coming up next hour.
[00:07:55.931 --> 00:07:58.915]  Stu Peters is going to be joining us as well.
[00:08:00.016 --> 00:08:02.739]  And then in the fourth hour, Dr. Stella Emanuel.
[00:08:03.720 --> 00:08:10.368]  Now, that said, let me just say something about yesterday's show.
[00:08:10.969 --> 00:08:14.173]  I got a little mad and walked off the show the last 30 minutes of the show.
[00:08:15.100 --> 00:08:15.821]  That's not an act.
[00:08:16.201 --> 00:08:22.846]  Anybody that's watched the show for decades knows occasionally I get so mad just about things in general that I can't do the show.
[00:08:23.587 --> 00:08:29.091]  Or I'm gonna yell and scream and do all those things that go viral but they're not good for me and it's not good for people in general.
[00:08:29.111 --> 00:08:32.995]  It may be entertaining but that's why you don't get the big blow-ups really ever on air anymore.
[00:08:34.035 --> 00:08:36.157]  Or nothing like they used to be because I leave.
[00:08:37.358 --> 00:08:40.060]  And I am fundamentally upset about the world just like you are.
[00:08:40.240 --> 00:08:41.762]  I am so pissed about what's going on.
[00:08:43.198 --> 00:08:46.200]  And I love the audience, I love the crew, I love everybody.
[00:08:47.681 --> 00:08:51.182]  And that just happens occasionally, and I get up here and start threatening to leave or quit.
[00:08:52.003 --> 00:08:55.825]  That's something that's always in my mind, but something I can't ever physically do.
[00:08:57.026 --> 00:09:02.368]  So maybe one one-thousandth of the time, I want to quit.
[00:09:02.388 --> 00:09:06.671]  99% of the time, I don't want to, but I wear my heart on my sleeve.
