[00:00:00.000 --> 00:00:00.500]  [BEEP]
[00:00:00.500 --> 00:00:05.980]  [MUSIC PLAYING]
[00:00:05.980 --> 00:00:24.460]  InfoWars, the most banned network in the world.
[00:00:24.460 --> 00:00:27.460]  [MUSIC PLAYING]
[00:00:27.460 --> 00:00:30.039]  (upbeat music)
[00:00:30.589 --> 00:00:36.792]  Jeremy Brown spent 20 years serving our country in special operations for the U.S.
[00:00:36.932 --> 00:00:52.361]  Army, where he specialized in unconventional warfare, which is probably one of the reasons why the FBI came to his home and tried to recruit him to be a part of their January 6th false flag against peaceful American protesters.
[00:00:53.041 --> 00:01:03.026]  After going public with video evidence of the FBI visit, Jeremy Brown was arrested on trumped-up charges and sentenced to seven years in federal prison.
[00:01:03.526 --> 00:01:07.528]  I recently interviewed Jeremy about his new podcast, Fusion Cell.
[00:01:07.828 --> 00:01:08.709]  Here are the highlights.
[00:01:09.669 --> 00:01:11.790]  Everybody knows something's going on.
[00:01:12.730 --> 00:01:18.792]  There's just some of us who have a much better knowledge of what's going on than others.
[00:01:18.872 --> 00:01:26.575]  But, you know, the reality is that America is an occupied country.
[00:01:27.315 --> 00:01:33.397]  Our savior is not going to be somebody who's popular, who's rich.
[00:01:34.062 --> 00:01:41.784]  Who is successful in the ways of the world right now, whether it's Elon Musk or whether it's Donald Trump.
[00:01:42.244 --> 00:01:45.165]  A politician is not going to save us.
[00:01:45.185 --> 00:01:49.966]  We need to start realizing that we are the answer to these problems.
[00:01:50.326 --> 00:02:01.189]  In essence, America has become a nation of cowards who will only tell you what they believe if they can get three forms of verification that you agree with them.
[00:02:01.610 --> 00:02:09.094]   And this is not The country that our founders established, and it certainly isn't the way they established it.
[00:02:09.414 --> 00:02:24.264]  And until we start to stand up for our own beliefs and principles and not rely on these manufactured heroes, these superheroes that are given to us by the media, well then we're never going to fix the problem.
[00:02:25.004 --> 00:02:26.525]  Tyranny is not coming.
[00:02:26.786 --> 00:02:28.047]  It is already here.
[00:02:28.067 --> 00:02:37.294]  AI is just simply another weapon in the toolbox of those who seek to control the world.
[00:02:37.314 --> 00:02:38.215]  That's all it is.
[00:02:38.235 --> 00:02:44.219]  I mean, the reality is that they want way fewer of us.
[00:02:45.080 --> 00:02:54.587]  But they know that they like all the things that we contribute to the world, and so they have to have some type of replacement, and AI is one of those replacements.
[00:02:55.187 --> 00:03:01.912]  And they've told us that this is what they want through the dystopic pre-programming of Minority Report.
[00:03:02.532 --> 00:03:04.093]  And you know, total recall.
[00:03:04.113 --> 00:03:07.616]  I mean, you ask kids and they're like, yeah, no, I'm good with that.
[00:03:07.656 --> 00:03:12.920]  If I could just be in the video game all day long with the woman in red, I'm fine with that.
[00:03:13.040 --> 00:03:14.121]  And this is the problem.
[00:03:14.141 --> 00:03:17.484]  This is why there's no will and no appetite for liberties.
[00:03:18.084 --> 00:03:36.294]   The true threat is the institutional information dominant that has led multiple generations into believing these massive lies and being okay with them.
[00:03:37.133 --> 00:03:48.242]  This is the problem that people have been conditioned and uneducated and miseducated into not even caring.
[00:03:48.382 --> 00:03:51.585]  You have confused women because there's no men.
[00:03:51.805 --> 00:03:56.849]  You have confused men because they've been bashed by society, right?
[00:03:57.129 --> 00:03:59.631]  Then you have our kids being sexually abused.
[00:03:59.671 --> 00:04:01.793]  I mean, it's such a mess.
[00:04:02.426 --> 00:04:05.688]  And for the most part, people are okay with it.
[00:04:06.209 --> 00:04:10.251]  And to be honest, I think that this country might be.
[00:04:11.447 --> 00:04:18.406]   like a drug addict. But until you hit rock bottom, you're not going to change. And I'm
[00:04:18.406 --> 00:04:27.846]   afraid that that's where we are. It might take the spiraling into complete tyranny and totalitarianism
[00:04:27.846 --> 00:04:33.846]   in order for people to say, "Oh my gosh, we've got to do something." We're not going to change
