[00:00:00.000 --> 00:00:14.660]  [outro music]
[00:00:14.653 --> 00:00:17.493]  I believe it just happened there.
[00:00:17.933 --> 00:00:18.474]  That was it.
[00:00:18.854 --> 00:00:20.334]  Live, raw, and unfiltered.
[00:00:20.153 --> 00:00:22.794]  It appears that that China spy balloon...
[00:00:22.794 --> 00:00:24.792]  Here we go!
[00:00:24.792 --> 00:00:30.794]  Boom!
[00:00:30.794 --> 00:00:31.634]  Woo!
[00:00:32.000 --> 00:00:32.980]  Woo!
[00:00:33.280 --> 00:00:39.782]  That's my Air Force right there, buddy.
[00:00:40.862 --> 00:00:41.542]  InfoWars.
[00:00:41.562 --> 00:00:45.624]  Tomorrow's News.
[00:00:45.483 --> 00:01:10.483]   If you think the awakening we've seen so far is big, this planet and the globalists have
[00:01:10.483 --> 00:01:13.483]  not seen anything yet!
[00:01:13.970 --> 00:01:18.893]  We're aware of your activities, trying to muzzle the American people and gaming your search results.
[00:01:19.514 --> 00:01:21.315]  Google is evil.
[00:01:22.256 --> 00:01:31.923]  We now take the challenge, not to censor like you do, but to stand against you and to fight even harder for our birthright that you are trying to steal!
[00:01:33.576 --> 00:01:34.196]  Remember this.
[00:01:34.716 --> 00:01:40.938]  You killed your profession by becoming nothing but mercenaries for the globalists, and people know that you're fake news, many of you.
[00:01:40.998 --> 00:01:44.879]  Now, with you trying to kill the First Amendment, you're making yourself true villains.
[00:01:44.919 --> 00:01:47.180]  You've declared war on the First Amendment!
[00:01:47.840 --> 00:01:49.700]  You've declared war on free speech!
[00:01:49.740 --> 00:01:54.923]   Since when are hundreds of doctors Today, I'm here to expose this fraud.
[00:01:54.742 --> 00:01:58.862]   In America, they take it off YouTube, they take it off Google, they take it off Twitter,
[00:01:58.862 --> 00:01:59.862]  they take it off Facebook.
[00:01:59.862 --> 00:02:04.542]   There is a giant crackdown, even the New York Times calls it a crackdown, on conservatives
[00:02:04.542 --> 00:02:09.143]   and a plan to de-platform conservatives from the internet and communicating with each other,
[00:02:09.143 --> 00:02:10.382]  just like communist China.
[00:02:10.382 --> 00:02:12.262]  I'm here to expose this fraud.
[00:02:12.262 --> 00:02:16.182]   I'm here, just like in Congress, that's here in Stump Me, I go there.
[00:02:16.182 --> 00:02:18.942]   And I get in their face and I expose the truth and that's what I'm going to do.
[00:02:19.123 --> 00:02:21.805]  We had over 40 million subscribers on Apple.
[00:02:21.825 --> 00:02:24.107]  That was our biggest thing with my three podcasts.
[00:02:24.147 --> 00:02:25.208]  Those were all banned.
[00:02:25.268 --> 00:02:28.810]  The most banned man in America, Alex Jones.
[00:02:33.594 --> 00:02:39.433]   The next chapter in humanity's fight for liberty starts now at alicejoneslive.com.
[00:02:39.433 --> 00:02:54.793]   After publishing my video report on bank bail-ins, a contractor for the European Central
[00:02:54.793 --> 00:03:01.113]   Bank who asked that his name be withheld for security reasons, contacted me with the following
[00:03:01.113 --> 00:03:02.113]  information.
[00:03:02.437 --> 00:03:14.543]  Shortly after the FDIC meeting that went viral, my source was assigned an urgent project related to bail-in capability for the European Central Bank, or ECB.
[00:03:15.843 --> 00:03:24.171]  Bail-ins is when the bank steals money directly from people's accounts, just like we saw in Cyprus in 2013.
[00:03:24.752 --> 00:03:47.551]   The project goal is to build a data infrastructure for the financial market infrastructures Which are the networks that allow financial transactions to take place to report to the ECB about the capability of banks and capital markets to absorb losses and to execute bail-ins as quickly and efficiently as possible.
[00:03:48.312 --> 00:03:58.500]  This urgent project makes it clear that the ECB is expecting a system collapse and that they know it is uncontrollable and unforeseeable.
[00:03:59.261 --> 00:04:06.143]  The current security requirements do not legally compel the banks to provide information to the ECB.
[00:04:06.463 --> 00:04:10.685]  If a bank is insolvent, they have no incentive to tell the ECB.
[00:04:11.065 --> 00:04:20.708]  And so the ECB is not targeting banks directly, but rather financial intermediaries like SWIFT and large settlement houses.
[00:04:21.408 --> 00:04:31.116]  The purpose of this contractor's job is to provide a way for the ECB to pinpoint which banks are insolvent and where the collapse will stem from.
[00:04:31.717 --> 00:04:39.463]  This is being done by creating large data lakes which an engineer can analyze and find meaning at a graphical level.
[00:04:39.984 --> 00:04:45.509]  How much bail-ins each bank has to execute and how much of a loss they can take.
[00:04:46.209 --> 00:04:53.661]  This is evidence that the ECB is definitely planning on bail-ins as a means of surviving an imminent collapse.
[00:04:54.222 --> 00:05:01.293]  And when this occurs, we can expect multiple banks to close and stock markets around the world to shut down.
[00:05:01.993 --> 00:05:06.336]  As the banks steal as much money from the people as they deem necessary.
[00:05:06.936 --> 00:05:22.766]  Most of this work is being done in private, but there are pieces of information available to the public on the EU's SRB website, including operational guidance on bail-in implementation and the operational guidance on bail-in playbooks.
[00:05:23.386 --> 00:05:50.167]  The ECB contractor has also pointed out that the latest directives for the European Union's digital service providers states that governments shall appoint trusted bodies for internet domain registry, meaning that the government will have the sole authority on who is able to have a website, and that these new security directives allow a gaping hole for a major cyber attack, which official commentators are ignoring.
[00:05:51.095 --> 00:05:53.536]  Reporting for InfoWars, this is Greg Reese.
[00:05:58.457 --> 00:06:02.777]  They're going to use the cyber attack globally as a pretext to bring in the new global digital currency.
[00:06:03.238 --> 00:06:04.838]  This is Saturday Emergency Broadcast.
[00:06:04.858 --> 00:06:07.518]  We are live 105 Central Time.
[00:06:08.039 --> 00:06:12.980]  Robert Barnes, Bruno Hernandez, others coming up with massive breaking news on multiple fronts.
[00:06:13.560 --> 00:06:19.521]  But first, here's a clip going viral on Twitter of my analysis of the Chinese EMP balloon.
[00:06:21.417 --> 00:06:29.905]  When you've got these blimps and you've got these dirigibles, you've got these balloons with big high-tech packages flying around, drifting around.
[00:06:31.747 --> 00:06:35.830]  And a lot of them have little propellers on the sides, little boosters or thrusters.
[00:06:36.491 --> 00:06:40.815]  I don't know if this one does, because we haven't gotten a shot of the top of it.
[00:06:41.836 --> 00:06:52.371]   But regardless, That could very easily be an EMP weapon package or a test package to test an EMP attack.
[00:06:53.292 --> 00:07:00.657]  And you can bet your bottom dollar, China's got thousands of them lined up ready to launch and sent over the North Pole right into the United States.
[00:07:01.978 --> 00:07:03.639]  They can detonate them over any targets they want.
[00:07:03.999 --> 00:07:08.522]  And with a couple dozen of these, you would guarantee knock out everything above ground in the U.S.
[00:07:11.084 --> 00:07:12.305]  That's the electrical above ground.
[00:07:15.340 --> 00:07:19.161]  It's Saturday, February 4th, 2023.
[00:07:19.021 --> 00:07:20.381]  2023, we're live.
[00:07:20.381 --> 00:07:33.021]  It's now 1.06 and 52 seconds, central standard time.
[00:07:33.145 --> 00:07:37.846]  You can send out the live link from InfoWars.com, Saturday Emergency Broadcast.
[00:07:40.236 --> 00:07:46.417]  The blimp that you see on screen is much bigger than a football field if you cut it out in little squares.
[00:07:47.257 --> 00:07:58.266]   Just the communications array and the solar panels on the bottom are the equivalent of three school buses lined up
[00:07:58.266 --> 00:07:59.257]  end to end.
[00:07:59.257 --> 00:08:10.257]   And China has bragged, I have a whole stack of articles admitting it, that they have these blimps.
[00:08:10.879 --> 00:08:22.626]  These balloons to deliver EMP blasters, the magnetic field of the Earth will deflect most of the EMP blast that needs to happen in around 60 to 100,000 feet.
[00:08:25.007 --> 00:08:29.390]  If you don't think this isn't being done on purpose, you need your head examined.
[00:08:29.830 --> 00:08:33.392]  Now Canada reports another balloon is coming down from the north, another one's coming from the south.
[00:08:35.435 --> 00:08:37.937]  It's all a very, very serious message.
[00:08:37.977 --> 00:08:39.858]  It's not a spy balloon.
[00:08:39.958 --> 00:08:41.059]  They have satellites for that.
[00:08:41.859 --> 00:08:44.821]  It's an EMP delivery weapons system in their own words.
[00:08:45.322 --> 00:08:48.984]  We'll be covering that with Drew Hernandez coming up here in about 22 minutes.
[00:08:49.024 --> 00:08:53.587]  Then Robert Barnes is also joining us for a full hour for critical key analysis.
[00:08:54.528 --> 00:09:01.911]   I had told listeners that I was going to do the Saturday show out of the InfoWars You know, studios for years, and I've been doing it.
[00:09:02.011 --> 00:09:07.435]  I told you I'm going to do some more live broadcast as well off some new platforms.
[00:09:08.155 --> 00:09:15.420]  And I had talked on Friday about doing this particular Saturday show out of the AlexJonesLive.com studios.
[00:09:15.700 --> 00:09:17.542]  And we launched on Thursday.
[00:09:17.562 --> 00:09:21.724]  That studio has been built over the last two years in my home.
[00:09:22.825 --> 00:09:25.306]  And it's got the satellite uplinks, the radio uplinks, all of it.
[00:09:25.466 --> 00:09:26.187]  And it went off.
[00:09:27.027 --> 00:09:32.750]  I figured a made-in-live Voyage simulcasting on satellite and radio and InfoWars would have more hiccups.
[00:09:33.011 --> 00:09:34.511]  I figured we'd do like a C-minus.
[00:09:34.531 --> 00:09:35.152]  I would have been happy.
[00:09:35.552 --> 00:09:38.654]  Said I'd give the crew about a 92 or so, myself as well.
[00:09:39.374 --> 00:09:46.278]  But there was some sync issues with the satellites and some sync issues with a little bit of the audio and the clips, as a lot of you saw, just a second or so, a few times.
[00:09:46.778 --> 00:09:50.060]   So I decided to let the engineers We're separate from InfoWars.
[00:09:50.080 --> 00:10:00.490]  We'll work on that today and get that completely dialed in before I go live out there sometime next week in the evening as well at AlexJonesLive.com, which is totally separate from InfoWars.
[00:10:00.670 --> 00:10:01.711]  InfoWars continues on.
[00:10:02.311 --> 00:10:03.412]  FreeSpeech continues on.
[00:10:03.432 --> 00:10:06.675]  Everything we do here, all the different operations will continue on.
[00:10:06.695 --> 00:10:08.217]  Because InfoWars is separate from FreeSpeech.
[00:10:08.237 --> 00:10:09.578]  That's its own company, its own system.
[00:10:10.038 --> 00:10:12.461]  Those FreeSpeech systems, those are continuing on.
[00:10:13.581 --> 00:10:23.305]  Really stronger than ever when it comes to reaching the public, but I need to have something that's lean and mean that I can go live from my phone in or in a studio or a podcast, and that's what this has been built to do.
[00:10:24.065 --> 00:10:26.386]  And the podcast studio is basically done as well.
[00:10:26.426 --> 00:10:31.768]  I haven't revealed that or shown that yet, but very soon I'll have a podcast roundtable discussion out of the studio.
[00:10:32.088 --> 00:10:33.168]  We're very, very excited about it.
[00:10:33.248 --> 00:10:34.409]  AlexJonesLive.com.
[00:10:35.609 --> 00:10:41.235]  You can see the really great two-hour commercial free transmission we did Thursday evening from 7 to 9.
[00:10:41.436 --> 00:10:45.160]  And you can see a bunch of other videos that we've shot exclusively for the site.
[00:10:45.560 --> 00:10:50.947]  The site will look different in a week or so because we need to propagate what the site will actually look like.
[00:10:51.547 --> 00:10:56.072]  And the folks that built the site and run it run a lot of other people's subscription sites.
[00:10:56.673 --> 00:10:58.353]  This one is not going to be just subscription.
[00:10:58.413 --> 00:11:08.416]  A lot of the content is going to be free, but folks want subscription, plus it funds the operation that we're setting up to be able to send crew and reporters around the world again, separate from free speech systems.
[00:11:08.456 --> 00:11:09.757]  And so that's why we're doing that.
[00:11:09.777 --> 00:11:21.940]  If you want a free one-month membership, you can simply go to alexjoneslive.com, put in your email, and it's all free right now, but in a few weeks or so, we will send you out the promo code for a free month membership for everybody that signs up.
[00:11:22.359 --> 00:11:23.719]  Just send us your email.
[00:11:23.719 --> 00:11:26.679]   And then all the founding member folks that bought these silver coins,
[00:11:26.679 --> 00:11:30.299]  you'll be getting a free one year membership.
[00:11:30.299 --> 00:11:32.019]  So I salute you and I thank you all.
[00:11:32.019 --> 00:11:33.919]  Check out that new content information.
[00:11:33.919 --> 00:11:37.319]  Please help it go viral at alexjoneslive.com.
[00:11:37.319 --> 00:11:38.278]  Okay.
[00:11:38.278 --> 00:11:40.398]  Wow.
[00:11:40.398 --> 00:11:43.759]  Let's get into the news.
[00:11:43.716 --> 00:11:52.584]  There's a huge awakening to the fact that we were sold out to the Communist Chinese and that powerful corporations, globalist corporations, are setting it up as the model of tearing.
[00:11:53.104 --> 00:11:54.665]  But they didn't get full control of the U.S.
[00:11:54.685 --> 00:11:57.908]  government, so there's a major split that's been happening the last six, seven years.
[00:11:58.989 --> 00:12:11.549]  And now, whether it's the Border Patrol, or whether it's the federal government, or whether it's the Senate, whether it's Trump, they're all coming out saying, we are in a war with China, it's not Russia, and that China has secret police stations here in the U.S.
[00:12:11.589 --> 00:12:12.730]  I told you about that years ago.
[00:12:14.386 --> 00:12:21.011]  And quietly told my security people we confirmed that we were being messed with by Chinese intelligence right here in Austin, Texas and in Houston.
[00:12:21.732 --> 00:12:22.973]  That's now coming out in the news.
[00:12:23.073 --> 00:12:24.494]  It's just hard to believe this is going on.
[00:12:24.835 --> 00:12:30.499]  They've got police stations, they've set up secret police stations, really kidnapping and torture centers around the world.
[00:12:30.539 --> 00:12:31.400]  That's all coming out.
[00:12:32.301 --> 00:12:45.398]   But it's really a special moment that we've reached where people understand that they have their operatives like Swallow's Well and Shif and Biden and Hunter and Obama and the rest of them.
[00:12:45.439 --> 00:12:49.261]  Now, I wouldn't say they fully control them, but they're allied with them and had them on the payroll.
[00:12:50.542 --> 00:12:53.444]  But like a prostitute, anybody can pay for play.
[00:12:53.464 --> 00:12:54.344]  It's like a vending machine.
[00:12:55.025 --> 00:13:02.570]  But the folks spending the most money and the folks getting the most bang for their buck, the people that were using the prostitutes the most are the shy cops.
[00:13:03.553 --> 00:13:05.935]  In fact, I mean, I would say it's a 10 to 1, anybody else.
[00:13:06.535 --> 00:13:08.157]  Israel's in there manipulating our government.
[00:13:08.917 --> 00:13:10.398]  The UK is manipulating our government.
[00:13:10.418 --> 00:13:11.239]  The EU is.
[00:13:12.300 --> 00:13:16.043]  The Russians have been in there buying off people as well, but they're junior players.
[00:13:16.643 --> 00:13:17.343]  You really study it.
[00:13:18.524 --> 00:13:27.879]   And because of that, they made the whole distraction that any true American that was for our sovereignty, for our success, for our security was a Russian spy.
[00:13:27.899 --> 00:13:30.521]  And now, of course, that's even come out in mainstream news.
[00:13:30.561 --> 00:13:32.122]  They admit that it's all a giant hoax.
[00:13:32.702 --> 00:13:38.084]  I'm about as a Russian spy as I am a Martian from the planet Mars.
[00:13:38.845 --> 00:13:39.885]  No, I'm a Texan.
[00:13:39.925 --> 00:13:40.526]  I'm American.
[00:13:41.226 --> 00:13:42.687]  And I've been honest about it.
[00:13:42.707 --> 00:13:45.128]  I've had the Russians twice try to infiltrate me.
[00:13:45.868 --> 00:13:47.369]  They haven't tried it in over 15 years.
[00:13:48.149 --> 00:13:49.670]  And they use the classic very direct.
[00:13:49.690 --> 00:13:52.412]  Later, I learned about it from intelligence folks that know how they operate.
[00:13:53.032 --> 00:13:53.612]  Very direct.
[00:13:53.632 --> 00:13:54.773]  You want the woman, you want money.
[00:13:55.615 --> 00:13:56.315]  Putin's your friend.
[00:13:56.375 --> 00:13:57.515]  He wants you to work with him.
[00:13:57.855 --> 00:13:58.496]  You want the woman?
[00:13:58.516 --> 00:13:59.236]  You want the man?
[00:13:59.296 --> 00:14:00.096]  No, I don't want the woman.
[00:14:00.636 --> 00:14:01.436]  Well, you want money?
[00:14:02.696 --> 00:14:03.877]  And it's very direct.
[00:14:03.917 --> 00:14:04.777]  And I said, no.
[00:14:05.977 --> 00:14:09.418]  And I reported it to the FBI.
[00:14:11.418 --> 00:14:15.359]  But I've really had the New World Order try to buy me off.
[00:14:15.379 --> 00:14:16.879]  I never had the Chai Coms try to do it.
[00:14:17.540 --> 00:14:18.840]  I had Big Tech try to do it.
