[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[00:00:02.170 --> 00:00:06.211]  Biden aid package risk collapse Ukraine on cusp of losing war.
[00:00:10.773 --> 00:00:14.314]  George Soros went on Fareed Zarqari's show seven years ago.
[00:00:14.334 --> 00:00:16.655]  Played the clip probably 500 times.
[00:00:17.616 --> 00:00:29.100]  We played it again and he said, two years ago we got five billion dollars and we overthrew the government and now we're going to start a war with Russia and they're going to call me the new czar of Russia.
[00:00:31.312 --> 00:00:34.875]  All of that is meant to enrage the Russians and start a war with them.
[00:00:35.555 --> 00:00:42.461]  And then if you're against a war on the edge of Russian territory, starting a fight with them, you're a Russian agent, folks.
[00:00:44.122 --> 00:00:49.586]  You don't like sending hundreds of billions of dollars into a black hole so Hunter Biden can get more hookers and crack cocaine.
[00:00:51.527 --> 00:00:52.368]  You're a Russian agent.
[00:00:52.388 --> 00:00:56.952]  If you don't like Biden being on the Chai Com titty, you're a Russian agent.
[00:00:57.012 --> 00:00:58.112]  No, I'm an American.
[00:00:58.653 --> 00:00:59.714]  But first, I'm a Christian.
[00:01:01.138 --> 00:01:03.340]  And then I'm a father, and then I'm an American.
[00:01:04.660 --> 00:01:05.701]  I serve God.
[00:01:05.721 --> 00:01:07.603]  I serve my family.
[00:01:08.083 --> 00:01:09.164]  Then I serve my country.
[00:01:09.184 --> 00:01:11.005]  I'm proud of our Republic.
[00:01:12.266 --> 00:01:19.331]  And it's the left claiming those of us that are against nuclear war with Sean Penn saying how great it is and we should go ahead and have it.
[00:01:19.371 --> 00:01:20.752]  You want to see the clip again?
[00:01:21.929 --> 00:01:27.254]  They're the ones that have stood by and said America sucks and stood by while our jobs were all shipped overseas.
[00:01:27.814 --> 00:01:31.978]  And they have no credibility pointing their fingers at us.
[00:01:36.642 --> 00:01:41.066]  Rallying patriots worldwide in defense of human liberty.
[00:01:41.146 --> 00:01:50.546]   It's Alex Jones It's official
[00:01:49.985 --> 00:01:53.487]  They're now admitting Zelensky and NATO have lost the war in Ukraine.
[00:01:54.007 --> 00:01:55.387]  It's Tuesday, December 12th, 2023.
[00:01:55.847 --> 00:01:58.188]  This is gonna be one hell of a transmission.
[00:01:58.228 --> 00:02:00.089]  Tell everybody you know, tune in now!
[00:02:02.630 --> 00:02:03.390]  InfoWars.
[00:02:03.549 --> 00:02:05.549]  Tomorrow's News Today.
[00:02:05.549 --> 00:02:16.550]   And it's time for humanity to stand up in the info war and say,
[00:02:16.550 --> 00:02:19.550]   "I don't know what's going to happen at the end of this, but you want to fight?"
[00:02:19.905 --> 00:02:22.087]  You better believe you've got one!
[00:02:22.347 --> 00:02:47.546]   From the front lines of the information war, it's Alex Jones.
[00:02:47.546 --> 00:02:53.907]   Former Italian Health Minister Roberto Speranza is under investigation for homicide after
[00:02:53.907 --> 00:02:59.187]   emails reveal that from the very start of the vaccinations, he knew the shots were killing
[00:02:59.187 --> 00:03:05.706]   people and gave orders to local health authorities to conceal deaths and serious side effects
[00:03:05.706 --> 00:03:11.467]   in order to reassure Italian citizens of their safety and to not jeopardize the vaccination
[00:03:11.467 --> 00:03:12.227]  campaign.
[00:03:12.704 --> 00:03:16.585]  The story has been reported on both German and Italian news networks.
[00:03:17.265 --> 00:03:19.466]  I will now provide an English translation.
[00:03:20.727 --> 00:03:30.051]  The Rome Public Prosecutor's Office is investigating Roberto Speranza, the Italian government's health minister, during the time of COVID measures.
[00:03:30.531 --> 00:03:33.072]  He was responsible for the vaccination campaign.
[00:03:33.712 --> 00:03:41.280]  The investigations are the result of complaints related to the so-called AIFA emails from the Italian Medicines Agency.
[00:03:41.881 --> 00:03:47.107]  The former director of AIFA, Nicola Magrini, is also under investigation.
[00:03:47.707 --> 00:03:55.557]   The publication of these internal emails Revealed that they had been aware of the dangers of the COVID vaccination from the start.
[00:03:56.118 --> 00:04:06.993]  The accusation is that the responsible minister and the head of the drug authority knowingly and deliberately exposed the unsuspecting Italian population to this risk.
[00:04:07.614 --> 00:04:10.995]  Yes, they encouraged Italians to get vaccinated.
[00:04:11.495 --> 00:04:15.356]  Vaccination was even made mandatory for certain professional groups.
[00:04:15.836 --> 00:04:20.418]  Consequently, many side effects, including fatal ones, came to light.
[00:04:20.878 --> 00:04:44.107]   The investigations are for murder, serious bodily harm, and more, because Speranza and Magrini evidently gave instructions to the local health authorities To conceal the deaths and serious side effects that occurred immediately after the vaccinations began in order not to jeopardize the vaccination campaign and to reassure the citizens about their safety.
[00:04:44.667 --> 00:04:49.970]  The responsible minister and the head of IEFA are now expected to answer for these actions.
[00:04:50.470 --> 00:04:58.034]  According to the complaints from the police unions and the financial police, as well as from the private organization, listen to me.
[00:04:58.414 --> 00:05:02.278]  Which represents 4,200 people damaged by vaccines.
[00:05:03.199 --> 00:05:08.865]  In Italy, police officers and teachers were subjected to mandatory COVID vaccination.
[00:05:09.266 --> 00:05:16.233]  Here is the former health minister, Roberto Speranza, proudly announcing vaccination statistics in Italy.
[00:05:17.113 --> 00:05:21.957]  We have now reached a massively significant percentage of vaccinated people in Italy, 89.41%.
[00:05:21.797 --> 00:05:29.237]   89.41 percent. Therefore, currently in Italy, just over 10 percent of the
[00:05:29.237 --> 00:05:35.277]   population remains unvaccinated. Well, today Roberto Speranza is under
[00:05:35.277 --> 00:05:41.076]  investigation for lies he allegedly told about vaccines.
[00:05:39.783 --> 00:05:44.186]  Among the crimes he is accused of are ideological falsehood and murder.
[00:05:44.707 --> 00:05:48.169]  Look, this is the document we are showing you tonight exclusively.
[00:05:48.630 --> 00:06:00.856]   It states the former minister, Roberto Speranza, along with Nicola Magrini, the former general manager of AIFA, Are both registered in the investigative records of the Rome Prosecutor's Office.
[00:06:01.696 --> 00:06:12.638]  Last week, the House of Representatives of the Philippines passed a resolution to investigate over 260,000 unexplained excess deaths in 2021 and 67,000 unexplained excess deaths in 2022.
[00:06:12.497 --> 00:06:17.497]  in 2021 and 67,000 unexplained excess deaths in 2022.
[00:06:17.497 --> 00:06:24.617]  The next day, they were hit by a 7.6 magnitude earthquake.
[00:06:24.617 --> 00:06:28.237]  Reporting for InfoWars, this is Greg Reese.
[00:06:28.237 --> 00:06:31.778]  (upbeat music)
[00:06:31.778 --> 00:06:34.356]  (upbeat music)
[00:06:34.356 --> 00:06:36.937]  (upbeat music)
[00:06:37.176 --> 00:06:39.757]  (upbeat music)
[00:06:40.757 --> 00:06:43.336]  (upbeat music)
[00:06:43.336 --> 00:06:45.677]  (explosion)
[00:06:45.964 --> 00:06:46.685]  We're live!
[00:06:46.705 --> 00:06:49.467]  Another historic transmission now begins.
[00:06:50.488 --> 00:06:52.449]  Tuesday, December 12th, 2023.
[00:06:53.390 --> 00:06:55.111]  Coming to you from deep in the heart of Texas.
[00:06:55.632 --> 00:06:57.453]  Broadcasting worldwide.
[00:06:57.914 --> 00:07:00.596]  328 days, 12 hours, 23 minutes, 27 seconds left.
[00:07:02.417 --> 00:07:05.480]  Till the most important election in world history.
[00:07:07.942 --> 00:07:09.643]  The Great Awakening is here!
[00:07:09.663 --> 00:07:11.725]  Alright!
[00:07:13.416 --> 00:07:18.220]  I was already coming in this morning, I hadn't looked at Drudge, and I was planning to go with this headline, and oh, there it is!
[00:07:20.061 --> 00:07:20.962]  Z for Defeat!
[00:07:23.083 --> 00:07:24.905]  That was the earlier headline, overhead shot please.
[00:07:25.525 --> 00:07:26.686]  Z for Defeat!
[00:07:27.447 --> 00:07:31.490]  Biden Aid Package Risk Collapse Ukraine on Cusp of Losing War.
[00:07:36.073 --> 00:07:39.536]  George Soros went on Fareed Zarqari's show seven years ago.
[00:07:40.623 --> 00:07:41.923]  We played the clip probably 500 times.
[00:07:42.883 --> 00:07:54.446]  We played it again and he said, two years ago we got five billion dollars and we overthrew the government and now we're going to start a war with Russia and they're going to call me the new czar of Russia.
[00:07:56.586 --> 00:08:00.147]  All of that is meant to enrage the Russians and start a war with them.
[00:08:00.827 --> 00:08:07.708]  And then if you're against a war on the edge of Russian territory, starting a fight with them, you're a Russian agent folks.
[00:08:09.377 --> 00:08:17.644]  If you don't like sending hundreds of billions of dollars into a black hole so Hunter Biden can get more hookers and crack cocaine, you're a Russian agent.
[00:08:17.664 --> 00:08:22.228]  If you don't like Biden being on the Chai Com titty, you're a Russian agent.
[00:08:22.268 --> 00:08:28.634]  No, I'm an American, but first I'm a Christian, and then I'm a father, and then I'm an American.
[00:08:29.955 --> 00:08:31.016]  I serve God.
[00:08:31.036 --> 00:08:32.898]  I serve my family.
[00:08:33.378 --> 00:08:34.459]  Then I serve my country.
[00:08:34.479 --> 00:08:36.281]  I'm proud of our Republic.
[00:08:37.523 --> 00:08:44.590]  And it's the left claiming those of us that are against nuclear war with Sean Pence saying how great it is and we should go ahead and have it.
[00:08:44.650 --> 00:08:46.071]  You want to see the clip again?
[00:08:47.212 --> 00:08:52.557]  They're the ones that have stood by and said America sucks and stood by while our jobs were all shipped overseas.
[00:08:53.118 --> 00:08:57.222]  And they have no credibility pointing their fingers at us.
[00:09:00.407 --> 00:09:05.109]  RT, main channel, broadcast all over the world today, live for 35 minutes.
[00:09:05.909 --> 00:09:08.030]  And I laid all this out, and they're going to have headlines everywhere.
[00:09:08.351 --> 00:09:10.271]  Challenges of Russian Age, and he went on Russian TV.
[00:09:11.192 --> 00:09:13.013]  I think Biden should be on Russian TV.
[00:09:14.233 --> 00:09:15.814]  I think Senator Rand Paul should be on there.
[00:09:16.034 --> 00:09:17.174]  I think Elon Musk should be on there.
[00:09:17.194 --> 00:09:19.535]  I think Putin should be on US TV.
[00:09:20.216 --> 00:09:23.657]  Like, you know, Kennedy did, and Khrushchev did.
[00:09:24.037 --> 00:09:27.339]  We need to start talking to these people, and we need to stop this right now.
[00:09:28.868 --> 00:09:30.510]  No, I'm an agent of living.
[00:09:31.572 --> 00:09:33.855]  I'm an agent of not having a nuclear war.
[00:09:33.875 --> 00:09:37.319]  Because I love all my children.
[00:09:37.339 --> 00:09:42.787]  I got four of them, but the other three are pretty much grown up.
[00:09:42.807 --> 00:09:43.808]  21, 19, and 15.
[00:09:45.390 --> 00:09:51.493]   But man, there's something about Your little girls, little boys too, my six and a half year old daughter.
[00:09:51.893 --> 00:09:53.695]  She's so innocent, so good, so sweet.
[00:09:54.215 --> 00:09:55.176]  You see God in there.
[00:09:55.356 --> 00:09:56.738]  God made that, the innocence.
[00:09:57.258 --> 00:10:00.941]  And I just get beyond pissed off, I get committed.
[00:10:01.822 --> 00:10:08.368]  When I look at her, I know the world these psychos are building and trying to force us into, and I just tell them, I'm not going along with this.
[00:10:09.049 --> 00:10:14.174]  I want stability, I want prosperity, I want security, I want freedom.
[00:10:15.683 --> 00:10:19.604]  And if you look at what the globalists offer, they offer the opposite on every front.
[00:10:19.684 --> 00:10:26.346]  I mean, folks, a document has now come out in the State House, and we know this because it's already happened.
[00:10:26.366 --> 00:10:29.746]  They've already proposed it around the country, and a bunch of cities have already put it in place.
[00:10:30.607 --> 00:10:37.028]  Last time I checked, over 100 major cities, it was 107, the last document I saw, let illegal aliens vote.
[00:10:38.188 --> 00:10:42.089]  Oh, but only local elections, but then they actually vote the state and federal.
[00:10:43.610 --> 00:10:44.670]  And there's a new document out.
[00:10:45.689 --> 00:10:47.810]  In New York, where they're going to have the illegal aliens vote, period.
[00:10:49.652 --> 00:10:52.393]  I mean, just that's an incredible story right there.
[00:10:54.094 --> 00:10:54.835]  Frontlines.
[00:10:54.935 --> 00:11:00.298]  Mayorkas warns of heightened terror threat amid war in the Middle East and immigration crisis.
[00:11:02.780 --> 00:11:04.801]  New York lawmaker claims smoking gun.
[00:11:05.581 --> 00:11:07.242]  It's not smoking gun, it's a real document.
[00:11:07.563 --> 00:11:09.524]  In New York City, migrant voter fraud scheme.
[00:11:10.044 --> 00:11:11.025]  I got the documents right here.
[00:11:12.290 --> 00:11:14.090]  And then freezing weather hits New York.
[00:11:14.451 --> 00:11:19.832]  They have hundreds of thousands of illegals just everywhere, sleeping in unheated warehouses.
[00:11:19.872 --> 00:11:21.312]  I mean, they tell people, come here.
[00:11:21.332 --> 00:11:27.654]  We have more video out of Chicago where 3,000 people are in a tiny warehouse with two bathrooms.
[00:11:30.215 --> 00:11:33.315]  I mean, this is just so out of control.
[00:11:33.475 --> 00:11:39.197]  And we're going to be hitting on all of that because that's front and center in the third hour with Anthony Rubin.
[00:11:40.660 --> 00:12:10.461]   You know, when we talk to Michael Young, who's such a great reporter and former Special Forces operative, been in hundreds of battles, this is a reporter, he says, talking about a stud, this guest we've got coming on, Anthony Rubin, he's the guy for years, with some of his other compadres, on the trains from Central America all the way up to Texas and California and Arizona, With the illegal alien hordes coming in, and now it's into the hundreds of thousands every couple weeks.
[00:12:10.601 --> 00:12:11.501]  I mean, it is crazy.
[00:12:11.521 --> 00:12:12.242]  He's got all the footage.
[00:12:12.462 --> 00:12:12.842]  He's here.
[00:12:13.203 --> 00:12:16.525]  He was on American Journal with Harris Smith this morning.
[00:12:17.346 --> 00:12:18.807]  He'll be with us in studio in the third hour.
[00:12:18.907 --> 00:12:24.551]  Jack Posobiec has got to come on again today, because Jack is just so 100% dead on.
[00:12:25.211 --> 00:12:28.294]  So I asked him to come on today to talk about the Zelensky situation.
[00:12:29.691 --> 00:12:32.912]  And the war, it's rapidly moving so quickly.
[00:12:33.392 --> 00:12:42.534]  He said, sure, I'll come on, but I also want to get into, he said, Iowa Governor Kim Reynolds under fire over satanic idol and altar on display inside the state capitol.
[00:12:43.954 --> 00:12:45.054]  This is going on everywhere.
[00:12:45.475 --> 00:12:47.775]  So they're taking down George Washington and Thomas Jefferson.
[00:12:47.795 --> 00:12:50.376]  I told you it would start with Robert E. Lee.
[00:12:52.176 --> 00:12:53.376]  And now it's that.
[00:12:53.516 --> 00:12:55.317]  Oh, it's their right too, their free speech.
[00:12:55.337 --> 00:12:55.377]  No.
[00:12:56.451 --> 00:13:21.333]   Ladies and gentlemen, this group says they conduct abortions as a ritual to kill babies and even major publications like the Washington Post and women's magazines and others, we covered it last week, major ones, are saying how women can go kill their baby and how much fun it is and how much power Satan will give them.
[00:13:21.353 --> 00:13:26.374]  And you go to Target and like they've got dozens of books about for little kids to conjure demons.
