[00:00:00.000 --> 00:00:02.980]  [BEEPING]
[00:00:02.980 --> 00:00:06.480]  [CHANTING]
[00:00:06.480 --> 00:00:15.140]   Carlos Arellano, major DSA whistleblower, trafficking the children, being exposed, coming up, and
[00:00:15.140 --> 00:00:16.518]  more.
[00:00:15.873 --> 00:00:21.058]  From the front lines of the information war, it's Alex Jones.
[00:00:21.719 --> 00:00:24.802]  The globalists are going to be devastated by this information.
[00:00:25.843 --> 00:00:29.466]  Coming up in the third hour today.
[00:00:30.106 --> 00:00:37.771]  But first, Mike Adams and the deep dive on the AI globalist takeover.
[00:00:38.912 --> 00:00:45.256]  It's all coming up on this December 26, 2023 transmission.
[00:00:45.376 --> 00:00:50.860]  And if you're watching this today, it's taped.
[00:00:52.301 --> 00:01:01.015]   But, Lord willing, I will return tomorrow live at 11 a.m.
[00:01:01.135 --> 00:01:02.556]  Central Standard Time.
[00:01:04.795 --> 00:01:06.616]  And heaven knows what evil will be going on.
[00:01:07.136 --> 00:01:09.657]  They'll probably launch some war, so we'll probably even air this tape show.
[00:01:09.677 --> 00:01:11.038]  I'll be back live if that's going on.
[00:01:11.858 --> 00:01:15.820]  You got the American Journal, weekday mornings, 8 a.m.
[00:01:15.840 --> 00:01:16.660]  with Harrison Smith.
[00:01:16.680 --> 00:01:17.761]  You got Owen Schroer, 3 p.m.
[00:01:17.781 --> 00:01:18.261]  The War Room.
[00:01:18.781 --> 00:01:25.704]  We should all be back on Wednesday, but I said the crew gets a few days off, so I'm here taping this right before Christmas.
[00:01:27.665 --> 00:01:29.346]  So Carlos Arellano's coming up.
[00:01:32.967 --> 00:01:34.288]  The great Mike Adams is coming up.
[00:01:38.061 --> 00:01:42.805]  Straight ahead on the other side of this quick break.
[00:01:43.846 --> 00:01:46.928]  So I hope that you will all stay with us and I hope you will share this info.
[00:01:46.948 --> 00:01:56.455]  But I interviewed Carlos last Tuesday and I was not trying to cry like a faucet.
[00:01:56.515 --> 00:01:59.858]  It wasn't like some Hollywood actor trying to do that.
[00:02:01.239 --> 00:02:03.461]  When I have family die and I've been there when they die, I don't cry.
[00:02:03.581 --> 00:02:04.862]  I cry like a month later when I think about them.
[00:02:05.697 --> 00:02:14.043]  But when you're talking about trafficked children begging for money, being raped, and the government protecting them, I just involuntarily start doing it because my emotions are so high.
[00:02:15.184 --> 00:02:20.868]  And it's... When that's happening, you can tear somebody's arms out of their sockets, you know what I mean?
[00:02:20.888 --> 00:02:30.295]  I mean, that's not crying like you're a little... Your body is like, I am pissed, I am upset, and I'm giving you endorphins to stop people.
[00:02:32.110 --> 00:02:35.292]  Your body is like, you're not just getting chills, man, you got tears coming out of your eyes.
[00:02:35.692 --> 00:02:38.354]  Because you need to stop this.
[00:02:38.834 --> 00:02:40.596]  You need to put an end to this.
[00:02:41.176 --> 00:02:45.099]  And that's really, if you gotta describe what we do here, it's about having a soul, folks.
[00:02:45.139 --> 00:02:46.099]  We're not heroes.
[00:02:46.479 --> 00:02:47.600]  We're not badasses.
[00:02:47.640 --> 00:02:48.741]  We don't have all the answers.
[00:02:49.101 --> 00:02:53.404]  But dammit, we're not into child trafficking, devil worship, and pedophilia, and New World War.
[00:02:56.306 --> 00:03:00.589]  And you see the whole establishment coming out against us, which is sick.
[00:03:01.650 --> 00:03:03.712]  Because it shows how they're on the payroll.
[00:03:03.772 --> 00:03:10.197]  Most of them aren't involved in that crap, but they're on the payroll, and they are selfish, and they just want to get their paycheck.
[00:03:10.217 --> 00:03:12.559]  They're a bunch of soulless sociopaths.
[00:03:14.160 --> 00:03:15.281]  Well, I'm not soulless.
[00:03:16.102 --> 00:03:19.605]  My soul may have some big, dark, black spots in it.
[00:03:20.445 --> 00:03:29.533]  Some big, fiery red spots in it, but it's got big, snow-topped mountains, and starry skies, and suns, and moons, and the eye of God staring out of it.
[00:03:30.919 --> 00:03:31.779]  So I can see God.
[00:03:33.400 --> 00:03:37.021]  So 90% of me is good, 10% of me is bad, but the good's in charge, folks.
[00:03:37.441 --> 00:03:41.442]  But God made me this way with a little twist of evil, so I can see the devil.
[00:03:42.482 --> 00:03:43.202]  I know the devil.
[00:03:43.302 --> 00:03:44.963]  I know his plans, I know his operations.
[00:03:45.603 --> 00:03:46.543]  I smell him.
[00:03:48.083 --> 00:03:49.204]  There's a little bit of the devil in me.
[00:03:50.124 --> 00:03:51.284]  There's a little bit of the devil in you.
[00:03:51.304 --> 00:03:54.965]  But it's not there to run your life, not there to be in charge of you.
[00:03:55.365 --> 00:03:58.446]  It's there so you know it, because you got skin in the game.
[00:04:01.127 --> 00:04:03.408]  Yeah, I got a touch of evil.
[00:04:03.428 --> 00:04:06.369]  A little more than most people.
[00:04:07.770 --> 00:04:09.330]  But I got a lot more good, too.
[00:04:10.171 --> 00:04:15.833]  And it way outmatches and way outweighs, pound for pound, that little devil on my shoulder.
[00:04:16.233 --> 00:04:19.615]  I got that devil on my shoulder, but I got that angel standing behind me.
[00:04:20.975 --> 00:04:21.595]  We're gonna go to break.
[00:04:22.836 --> 00:04:23.496]  We're gonna come back.
[00:04:24.537 --> 00:04:25.837]  We're gonna do the deep dive on AI.
[00:04:25.877 --> 00:04:27.578]  This is dead on information.
[00:04:29.087 --> 00:04:35.669]  Vivek Ramaswamy just came out and said, AI's power is convincing you it's in charge, it's infallible, but it's not.
[00:04:38.070 --> 00:04:39.070]  AI is just another tool.
[00:04:39.090 --> 00:04:41.011]  It's not our AI God.
[00:04:42.251 --> 00:04:45.893]  We'll be back with a giant transmission.
[00:04:46.873 --> 00:04:48.753]  DHS whistleblowers and more.
[00:04:49.714 --> 00:04:52.455]  I'll do the show, but the rest is in your hands.
[00:04:53.395 --> 00:04:54.435]  The ball's in your court.
