[00:00:00.000 --> 00:00:02.480]  [BEEPING]
[00:00:02.480 --> 00:00:07.440]  [MUSIC PLAYING]
[00:00:07.440 --> 00:00:25.199]  InfoWars, the most banned network in the world.
[00:00:24.146 --> 00:00:31.729]  And it's time for humanity to stand up in the InfoWars and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:00:31.789 --> 00:00:34.268]  You better believe you got one!
[00:00:34.268 --> 00:00:40.269]  [Cheering]
[00:00:40.269 --> 00:00:47.269]  [Music]
[00:00:47.269 --> 00:00:53.269]  It's Thursday, November 2nd, 2023.
[00:00:53.549 --> 00:01:04.074]  And last night, President Trump released a very short video that we're going to air next segment that is the most important minute and a half of video I've seen politically in my lifetime.
[00:01:05.214 --> 00:01:15.679]  This is the former president of the United States, the 43rd president, the 45th president who had the election stolen from him three plus years ago.
[00:01:17.320 --> 00:01:17.800]  Literally.
[00:01:18.999 --> 00:01:32.766]  Laying out the fact that there'll never be real elections again, just like Venezuela, or just like the old Soviet Union, and that they are, in multiple states like Colorado, trying to take him off the ballot, using their criminal charges to do it.
[00:01:33.206 --> 00:01:40.330]  They are directly, not just election meddling, but election stealing, by denying you a candidate in your face.
[00:01:41.170 --> 00:01:41.891]  Where are the governors?
[00:01:42.674 --> 00:01:43.575]  Where are the legislatures?
[00:01:43.655 --> 00:01:44.255]  Where are the people?
[00:01:45.095 --> 00:01:48.137]  Whether you love Trump or hate Trump or you're neutral on Trump, it doesn't matter.
[00:01:48.857 --> 00:01:56.802]  This is the permanent bureaucracy that's launching all these wars and destroying our borders and sexualizing our children and transgenderism.
[00:01:58.473 --> 00:02:01.614]  Literally telling you, you can't have President Trump.
[00:02:02.334 --> 00:02:07.375]  The same people that are surveilling you and censoring you and controlling you, it's all come out.
[00:02:08.156 --> 00:02:10.936]  Everything they're doing is beyond criminal.
[00:02:11.676 --> 00:02:13.497]  It is treason against humanity.
[00:02:14.237 --> 00:02:15.497]  And we've gotten numb.
[00:02:15.918 --> 00:02:16.898]  And quite frankly, I have.
[00:02:16.918 --> 00:02:18.458]  I'm not criticizing viewers and listeners.
[00:02:19.018 --> 00:02:21.019]  But all of us have gotten really numb.
[00:02:22.697 --> 00:02:25.921]  To the level of corruption and bullying and oppression we're put up with.
[00:02:26.502 --> 00:02:29.966]  Look at all the things the establishment's doing right now.
[00:02:30.307 --> 00:02:31.348]  Look at all the wars.
[00:02:31.428 --> 00:02:32.810]  Look at the devaluation of the dollar.
[00:02:33.251 --> 00:02:34.292]  Look at the inflation.
[00:02:34.332 --> 00:02:40.400]  Look at Biden's bulldozers smashing over legal fences put up on the Texas border.
[00:02:41.561 --> 00:02:48.783]  So we're going to come back in a few minutes and we're going to play this incredibly historic clip from President Trump, who did win the election.
[00:02:49.383 --> 00:02:53.384]  And they've indicted him in Georgia at a state level and federally in D.C.
[00:02:54.064 --> 00:02:58.186]  and the District of Mordor saying he's indicted for questioning elections.
[00:02:59.826 --> 00:03:03.827]  This isn't somebody getting arrested for the N-word, which is bad enough, or arrested for Holocaust denial.
[00:03:04.907 --> 00:03:06.648]  This is somebody being indicted.
[00:03:07.995 --> 00:03:14.960]  And then turning himself in to the police and facing decades in jail for questioning an election that we all saw them steal.
[00:03:16.180 --> 00:03:24.106]  They've gone through his lawyers, a bunch of cowards on average, and charged them so they're rolling on Trump saying, oh, I knew it wasn't stolen.
[00:03:25.427 --> 00:03:32.091]  They have charged him in Georgia for saying illegal aliens voted, even though it's on record they did.
[00:03:32.151 --> 00:03:32.751]  Look up the news.
[00:03:33.820 --> 00:03:39.562]  They're legalizing illegal aliens voting in cities and liberal leftist states all over the country.
[00:03:40.303 --> 00:03:42.744]  So this is an incredible time, ladies and gentlemen.
[00:03:43.104 --> 00:03:46.145]  This is the bureaucratic corporate coup of America.
[00:03:46.565 --> 00:03:47.066]  It's illegal.
[00:03:48.186 --> 00:03:48.866]  It's illegitimate.
[00:03:49.507 --> 00:03:51.567]  And it's our right and our duty to say no against it.
[00:03:51.607 --> 00:03:55.269]  So we're going to lay all of this out geopolitically and what it means.
[00:03:55.789 --> 00:03:57.210]  NATO's losing the war in Ukraine.
[00:03:57.930 --> 00:04:00.431]  The German defense minister says prepare for war to Germans.
[00:04:00.831 --> 00:04:01.912]  Get ready for full-scale war.
[00:04:03.044 --> 00:04:03.344]  Israel.
[00:04:03.685 --> 00:04:04.546]  The things are happening there.
[00:04:05.006 --> 00:04:06.208]  This is insanity.
[00:04:06.228 --> 00:04:09.912]  But this is what happens when the big globalist debt bubble starts imploding.
[00:04:10.873 --> 00:04:15.478]  They need a new war to distract from all the crimes they've committed.
[00:04:15.498 --> 00:04:16.619]  What does Gerald Cilenti always say?
[00:04:17.059 --> 00:04:20.548]   When all else fails for the establishment, They take you to war.
[00:04:21.128 --> 00:04:24.190]  When all else fails, they take you to major conflict.
[00:04:24.230 --> 00:04:25.731]  And that's where we are right now.
[00:04:25.751 --> 00:04:27.792]  And that's why I know a lot of you are punch-drunk.
[00:04:27.812 --> 00:04:29.013]  So am I. We've been doing this so long.
[00:04:29.473 --> 00:04:34.237]  We've been in the fight so deep that just to survive, we kind of compartmentalize it.
[00:04:34.277 --> 00:04:37.118]  But now is the critical part of the battle happening right now.
[00:04:37.138 --> 00:04:43.002]  And that's why I want you, today, this minute, to share the live links at infowars.com forward slash show and video.
[00:04:43.022 --> 00:04:46.164]  Tell folks to tune in because the American Resistance is live on air.
[00:04:46.405 --> 00:04:46.785]  Stay with us.
[00:04:48.342 --> 00:04:54.190]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:04:55.412 --> 00:04:59.778]  Visit InfoWars.com forward slash show and support the InfoWars.
[00:05:04.224 --> 00:05:05.225]  Please remember.
[00:05:06.331 --> 00:05:13.501]  We are listener supported, and we've got something back in stock that everybody needs, that is so good to have in your medicine cabinet, sports broadcast.
[00:05:13.801 --> 00:05:16.264]  We've got the best 30 parts per million in coil silver out there.
[00:05:16.745 --> 00:05:17.726]  It's Silver Bullet.
[00:05:18.507 --> 00:05:19.929]  It's at InfoWarStore.com.
