[00:00:00.000 --> 00:00:10.000]  [MUSIC]
[00:00:10.000 --> 00:00:15.140]   My dad used to say the single worst abuse of all was the abuse
[00:00:15.723 --> 00:00:23.745]  What I really don't like is the puppet president that clearly stole the election, Joe Biden, who couldn't get 50 people to a rally and hid in the basement during the campaign.
[00:00:24.245 --> 00:00:35.168]  Leaks have come out that he plans to tap, quote, an expansive stable of friends and allies to go where he can't, say what he won't, and be what he'll never be, this according to NBC News.
[00:00:35.448 --> 00:00:37.408]  Is this a new version of campaigning for the basement?
[00:00:37.548 --> 00:00:39.669]  The campaign for the basement is the right analogy.
[00:00:40.009 --> 00:00:43.653]  You had an excuse to do that in 2020 because of COVID.
[00:00:43.673 --> 00:00:48.779]  You can't campaign by search, especially in some of these smaller swing states.
[00:00:48.859 --> 00:00:53.484]  Those are folks who want to see the candidate in person, shake the hands, look him in the eye.
[00:00:53.825 --> 00:00:59.271]  And now he's come out in the last few days and spoken against the Second Amendment.
[00:00:59.804 --> 00:01:03.166]  And above all, we all agree, we are not finished.
[00:01:03.507 --> 00:01:04.847]  We are not finished.
[00:01:05.208 --> 00:01:09.030]  It made it harder for people to buy stabilized braces.
[00:01:09.571 --> 00:01:11.932]  Put a pistol on a brace, it turns into a gun.
[00:01:11.952 --> 00:01:16.855]  Makes it more, you can have a higher caliber weapon, a higher caliber bullet coming out of that gun.
[00:01:17.336 --> 00:01:23.940]  And for those that are not gun owners or don't know basic stuff, a gun brace does not make a higher caliber go out the barrel.
[00:01:24.260 --> 00:01:28.003]  You can only shoot the caliber in a gun that the barrel's made for, or it'll blow up on you.
[00:01:28.590 --> 00:01:32.392]  So it's just made up there, and everything else he says is a lie too.
[00:01:32.412 --> 00:01:43.019]  And in most cities down in Philadelphia and New York, there is, I know well, like up here, you'd see a truck pull up, pull to the curb, and selling weapons.
[00:01:43.439 --> 00:01:49.823]  Of course, the only time we've seen trucks pull up and hand guns out is Fast and Furious, and Eric Holder in the Obama Justice Department, that got confirmed.
[00:01:49.863 --> 00:01:55.907]  So I guess there are trucks pulling up, handing out guns in Mexico from the ATF so they can get traced back to the U.S.
[00:01:56.267 --> 00:01:57.328]  so they can blame the Second Amendment.
[00:01:58.048 --> 00:02:02.049]  You're saying internally, have we... Internally, have you pulled all that information?
[00:02:02.501 --> 00:02:09.424]  We've looked at 240 custodians, we have processed millions of electronic records, and we've reviewed over 140,000 documents and produced 7,600.
[00:02:09.684 --> 00:02:11.925]  Look, I don't want to hear about the 7,600.
[00:02:12.466 --> 00:02:31.615]  Chairman, I would beg to allow... The lady is out of order, would the lady please... Mr. Chairman, a parliamentary inquiry... Excuse me, Mr. Chairman... In late 2009, ATF agents in Phoenix noticed a flurry of gun purchases in the United States by suspected traffickers from Mexican drug cartels, including giant .50 caliber rifles.
[00:02:33.442 --> 00:02:39.104]  But instead of stopping the weapons, agents say their superiors ordered them to let the guns cross the border.
[00:02:39.345 --> 00:02:40.485]  It's called gun walking.
[00:02:41.706 --> 00:02:45.787]  To see where they ended up and see if they would lead to a major drug cartel leader.
[00:02:46.388 --> 00:02:50.769]  Agents videotaped suspected dealers for Mexican drug cartels buying weapons.
[00:02:51.150 --> 00:02:53.991]  The case grew to include thousands of weapons.
[00:02:54.671 --> 00:03:02.654]  Then in December 2010, two fast and furious rifles turned up at the murder of a border patrol agent in Arizona, Brian Terry.
[00:03:02.834 --> 00:03:05.415]  But not to be outdone, here he is with the Fetterman.
[00:03:05.455 --> 00:03:06.375]  Fetterman introducing him.
[00:03:06.536 --> 00:03:10.637]  I'm standing next to the president again, next to a collapsed bridge here.
[00:03:11.057 --> 00:03:20.641]  And he is here to commit to work with the governor and the delegation to make sure that we get this fixed quick.
[00:03:21.161 --> 00:03:22.262]  Fast as well too.
[00:03:22.562 --> 00:03:25.244]  This is a president that is committed to infraction.
[00:03:25.664 --> 00:03:28.927]  It's getting so insane that I don't know what to even say at this point.
[00:03:29.267 --> 00:03:40.316]   When this administration took office in January 2021 We were briefed on a number of sensitive efforts by Beijing around the world.
[00:03:41.356 --> 00:03:48.538]  Based on the information we have, the PRC conducted an upgrade of its intelligence collection facilities in Cuba in 2019.
[00:03:48.998 --> 00:03:53.859]  About this base now in Cuba, and you're saying it goes back much farther than 2019.
[00:03:53.979 --> 00:03:55.820]  How long back does this go?
[00:03:56.440 --> 00:04:04.159]  Well, Secretary of State Blinken and the White House Press Secretary were not incorrect in stating that this goes back to a previous administration.
[00:04:05.575 --> 00:04:11.379]  But it was the Obama administration when this particular signals intelligence base was operative.
[00:04:12.380 --> 00:04:14.581]  2016 is when this started.
[00:04:16.402 --> 00:04:19.464]  A lot more has been added to it since.
[00:04:19.865 --> 00:04:24.167]  So in 2019, there was more money and more equipment placed in the facility.
[00:04:25.428 --> 00:04:28.330]  This is a deep, ugly story, Justin.
[00:04:29.747 --> 00:04:38.932]  The globalists have done this to put these puppets in, so they get all the blame, while the actual controllers are in the background de-industrializing society, consolidating control.
[00:04:39.332 --> 00:04:48.137]  If we are to be successful, CBDCs could not be fragmented national propositions.
[00:04:49.498 --> 00:04:59.078]   To have transactions more efficient and fairer, we need systems that connect In other words, we need interoperability.
[00:04:59.937 --> 00:05:07.538]   And for this reason at the IMF we are working hard on the concept of a global CBDC platform.
[00:05:28.177 --> 00:05:30.976]  InfoWars. Tomorrow's news, today.
[00:05:31.042 --> 00:05:35.964]  I want to thank you all for joining us today.
[00:05:35.984 --> 00:05:38.406]  I am your host Alex Jones.
[00:05:38.426 --> 00:05:41.748]  We're going to be broadcasting live here for the next four hours.
[00:05:43.669 --> 00:05:47.751]  It is Wednesday, June 21st, 2023.
