[00:00:00.000 --> 00:00:20.000]  [MUSIC]
[00:00:20.162 --> 00:00:22.783]  It's October 31st, 2023.
[00:00:22.863 --> 00:00:23.563]  It's Halloween.
[00:00:24.544 --> 00:00:30.387]  And just about two hours ago, the big third interview that Joe Rogan's done with Elon Musk dropped.
[00:00:31.407 --> 00:00:35.710]  And I took out about an hour to watch most of it.
[00:00:36.250 --> 00:00:38.951]  And it is a watershed event.
[00:00:40.392 --> 00:00:53.304]   My entire 29 year operation has been about exposing The largest, most powerful banks in the world's plan to take over the world and cut off the resources and kill 90% of the world population.
[00:00:54.085 --> 00:01:02.270]  Now what's incredible is it's in their documents, it's in their admissions, and now they're out in the open saying it at the UN and the World Economic Forum.
[00:01:03.174 --> 00:01:08.016]  Boris Johnson, the former head of the UK, during the pandemic said, well, it's time for old people to die.
[00:01:08.597 --> 00:01:09.757]  This is nature's way of doing it.
[00:01:10.217 --> 00:01:15.340]  They don't want to pay the pension funds in the Western world who has the oldest population in history.
[00:01:15.820 --> 00:01:20.322]  The largest group of old people from Japan to Germany to the US, the UK to Canada, Australia.
[00:01:21.723 --> 00:01:37.057]   So to watch this interview and to have must say there is a mind virus incubated and developed in San Francisco of a cult of death To exterminate humans and to celebrate the end of the species completely.
[00:01:38.217 --> 00:01:39.698]  He said, I had to stand up against that.
[00:01:40.458 --> 00:01:43.399]  Now, obviously, I've been educating Joe about this for 25 years.
[00:01:44.120 --> 00:01:46.361]  And I've told Joe over and over again, it's a death cult.
[00:01:47.441 --> 00:01:57.305]  And because I was the first on a major stage, there were others before me that did the research, to actually reach hundreds of millions of people with this message, I've been targeted for destruction.
[00:01:58.499 --> 00:02:08.507]  So I'm very glad and it's very satisfying to go through all this hell and then see the biggest show in the world, Joe Rogan, with one of the richest men in the world, Elon Musk, opposing it.
[00:02:09.167 --> 00:02:12.290]  So this is a watershed, crossroads event.
[00:02:13.310 --> 00:02:30.487]   I said this over a decade ago, I said I'm betting on humanity, and I'm saying all these really scary things that are true, and I'm going to be demonized for saying them, but when it all starts unfolding, I'm going to have a lot of credibility, and people are going to remember what I've said, even if I've been taken off the air by then.
[00:02:30.807 --> 00:02:34.568]  Because I predicted I would be attacked, maybe even killed.
[00:02:34.788 --> 00:02:36.289]  And you've seen what we've gone through.
[00:02:36.349 --> 00:02:37.789]  So this is very paradoxical.
[00:02:38.229 --> 00:02:46.731]  Here's Elon Musk that says he's a First Amendment absolutionist, that he buys into the official reason I've been taken off Twitter, even though that isn't the reason I was taken off Twitter, Sandy Hook.
[00:02:47.551 --> 00:02:53.213]  And here he is literally quoting me word for word, and so is Joe Rogan, and no credit.
[00:02:54.193 --> 00:03:01.859]  Absolutely zero, hey Alex Jones said this, Alex Jones warned about this, Alex Jones is the archetypal populist pro-human saying it.
[00:03:01.899 --> 00:03:05.081]  But I want to be clear, that doesn't take away from how good this is.
[00:03:05.541 --> 00:03:12.546]  Because thanks to our viewers and listeners and supporters, and our army of info warriors, we have the credit for this, you have the credit for this.
[00:03:12.606 --> 00:03:14.888]  And I'm not mad at Joe, I'm not mad at Elon.
[00:03:15.208 --> 00:03:21.833]  In their view, why spoil exposing this and dampen this victory?
[00:03:23.103 --> 00:03:32.409]  By bringing me into the mix, because you see tens of thousands of articles, thousands of news reports on TV conservatively by the corporate media attacking me.
[00:03:33.439 --> 00:03:43.729]  For what's now coming out, I had to hit the barbed wire, I had to be attacked, I had to be destroyed so that others could then safely talk about it today and take the credit for it.
[00:03:44.329 --> 00:03:53.898]  And to be clear, Joe's going to be attacked for this, Elon's being attacked for this, the CIA, the Justice Department, the ADL are trying to take him off air, they've got a whole bunch of criminal investigations open.
[00:03:54.218 --> 00:04:06.369]   So this doesn't take away from the courage of Joe or Elon Musk, I just want listeners to realize The success you've had backing us and the fact that we're not just telling you this 25 years ago or 10 years ago and now it's come true.
[00:04:06.829 --> 00:04:10.792]  I'm telling you what's coming next and Elon hasn't gotten to that point yet.
[00:04:11.733 --> 00:04:12.473]  Elon listens.
[00:04:12.734 --> 00:04:13.374]  Joe listens.
[00:04:13.534 --> 00:04:14.195]  I'll leave it at that.
[00:04:15.036 --> 00:04:16.397]  And I appreciate what they're doing.
[00:04:17.217 --> 00:04:18.618]  And I have a question to listeners and viewers.
[00:04:18.738 --> 00:04:20.340]  Is it time for me to hang up my spurs?
[00:04:21.414 --> 00:04:38.368]  Because it is very surreal, paradoxical, to see everything we warned about coming true, and the new Great Awakening taking place, or the Great Waking, as Musk calls it, to resist it, and then to still be relegated to the Phantom Zone.
[00:04:39.244 --> 00:04:40.985]  But I understand why Joe and Musk are doing this.
[00:04:41.385 --> 00:04:44.427]  They realize that all the demonization, all the evil was heaped on me.
[00:04:44.908 --> 00:04:45.868]  I'm a sacrificial goat.
[00:04:46.689 --> 00:05:02.919]  And so, if they recognize what Infowars has done, they take on all the attacks I went through, whereas they can now just take the success of our audience and myself, tell them the truth, and then ride in on the wave of human resistance and be popular.
[00:05:03.259 --> 00:05:04.000]  Which is a good thing!
[00:05:05.339 --> 00:05:06.440]  I want to stop nuclear war.
[00:05:06.500 --> 00:05:07.761]  I want to stop the poison shots.
[00:05:07.821 --> 00:05:09.021]  I want to stop depopulation.
[00:05:09.061 --> 00:05:10.663]  I want to stop the open borders and sex trafficking.
[00:05:10.943 --> 00:05:13.064]  So I'm very positive about Elon Musk.
[00:05:13.665 --> 00:05:15.145]  I'm very positive about what the show's doing.
[00:05:16.727 --> 00:05:24.492]  But at the same time, if we don't celebrate the people that stood up first to this, what does that say to other people coming in the future to oppose evil?
[00:05:25.032 --> 00:05:33.698]  But I guess my just desserts and my reward is sitting back quietly and seeing our incredible success against the enemy and your success supporting us.
[00:05:34.659 --> 00:05:43.724]  So I'm not mad, but it is a little frustrating and a little weird to hear what I've said thousands of times, word for word, out of their mouths.
[00:05:44.926 --> 00:05:49.950]  And to know Joe, and be friends with Joe, and talk to Joe all the time, and Joe's getting more and more hardcore, and that's great.
[00:05:50.350 --> 00:05:55.655]  And to know that Musk listens to the show, and to still have Musk say, no, Alex can't come back on.
[00:05:56.275 --> 00:06:00.879]  Iranian dictators can be on Twitter, and Hamas can post footage of murdering Israelis.
[00:06:00.979 --> 00:06:03.341]  That's okay, because that's free speech, and that's what's going on.
[00:06:03.881 --> 00:06:04.682]  I agree with that, actually.
[00:06:04.702 --> 00:06:06.403]  We need to see the evil for itself.
[00:06:06.463 --> 00:06:10.186]  But I can't be heard, because they built this straw man.
[00:06:10.707 --> 00:06:12.288]  They've stolen my identity in corporate media.
[00:06:13.436 --> 00:06:27.255]  And they've created this fake Alex Jones, and then only at InfoWars.com, only at Bandot Video, only on my show, still reaches millions, can I sit here in my jail cell to a limited number of people and not be able to defend myself to the wider world?
[00:06:27.515 --> 00:06:29.538]  Because I don't just have the enemy's next plans.
[00:06:31.019 --> 00:06:35.982]  I also have a lot of ideas about an alternate future and alternate plans that we could debate and discuss.
[00:06:36.002 --> 00:06:38.263]  And I've seen Elon say we need an alternate plan for the future.
[00:06:38.703 --> 00:06:39.783]  Well, let's see it, Elon.
[00:06:40.064 --> 00:06:42.545]  Yeah, let's not depopulate.
[00:06:42.645 --> 00:06:43.705]  Let's have space exploration.
[00:06:43.725 --> 00:06:44.666]  That's all amazing.
[00:06:45.987 --> 00:06:47.828]  And so maybe, okay, Alex Jones was right.
[00:06:47.908 --> 00:06:50.229]  He's not the guy to be the poster boy for the resistance.
[00:06:50.269 --> 00:06:50.769]  That's fine.
[00:06:51.629 --> 00:06:57.658]   But at the same time, I need to ask the listeners then, have I completed my mission?
