[00:00:00.149 --> 00:00:01.670]  So this is now in our country, folks.
[00:00:02.110 --> 00:00:09.012]  This centuries-old holy war between Jews and Arabs is now in our country, with both sides on the streets calling for genocide.
[00:00:09.312 --> 00:00:11.733]  From the peace and prosperity of the Christian nation.
[00:00:11.993 --> 00:00:13.234]  And we just sit here and take it.
[00:00:15.375 --> 00:00:16.715]  And we just sit here and take it.
[00:00:17.155 --> 00:00:21.697]  And then again, here's what neocon warmongers like Lindsey Graham have to say in clip 14.
[00:00:23.238 --> 00:00:24.618]  We're in a religious war here.
[00:00:24.798 --> 00:00:25.578]  I am with Israel.
[00:00:25.818 --> 00:00:28.279]  Do whatever the hell you have to do to defend yourself.
[00:00:28.640 --> 00:00:29.480]  Level the place.
[00:00:31.138 --> 00:00:34.799]  Now, that's coming from a supposed Christian in Congress.
[00:00:35.559 --> 00:00:48.923]  And now here's Rashida Tlaib, she was asked multiple times to condemn the beheading of babies, or is that, is the beheading of babies the next babies in incubators story?
[00:00:49.243 --> 00:00:52.284]  Well, Rashida Tlaib couldn't even condemn that, here that is in clip 15.
[00:00:54.572 --> 00:00:59.376]  Hamas terrorists have cut off babies' heads and burned children alive.
[00:00:59.396 --> 00:01:03.079]  Do you support Israel's rights to defend themselves against this brutality?
[00:01:03.619 --> 00:01:04.980]  We're just gonna go through here?
[00:01:05.120 --> 00:01:12.826]  You can't comment about Hamas terrorists chopping off babies' heads?
[00:01:12.866 --> 00:01:16.889]  Now she still has the Palestinian flag outside of her office, so it's obvious where she stands.
[00:01:17.170 --> 00:01:18.731]  But yeah, okay.
[00:01:18.771 --> 00:01:20.772]  Yeah, I condemn people chopping off heads.
[00:01:21.113 --> 00:01:23.034]  I also condemn genocide of any group of people.
[00:01:23.234 --> 00:01:24.035]  Shouldn't be that hard!
[00:01:25.632 --> 00:01:30.293]  Shouldn't be that hard, but Vivek Ramaswamy weighing in with the right take here.
[00:01:31.273 --> 00:01:35.694]  Rapidly shouting, finish them, isn't a coherent solution to a complex problem.
[00:01:35.734 --> 00:01:53.638]  He calls out Nikki Haley, he calls out Lindsey Graham, he calls out Mike Pence, and he says, why are we behaving like warmongers and genocidal maniacs in response to this war, a holy war that's not even supposed to involve our Christian nation, but now they have brought to our homeland.
[00:01:58.190 --> 00:02:02.598]  Rallying patriots worldwide in defense of human liberty.
[00:02:02.679 --> 00:02:04.679]  It's Alex Jones.
[00:02:04.679 --> 00:02:21.179]   The infamous Albert Pike letter to Mussini known as the Illuminati plan for three world wars
[00:02:21.179 --> 00:02:26.679]   was allegedly written by Albert Pike in 1871
[00:02:25.938 --> 00:02:31.802]  The letter outlines a plan to foment three world wars in an attempt to take over the world.
[00:02:32.362 --> 00:02:36.525]  It is claimed that the letter was on display in the British Museum Library until 1977.
[00:02:38.386 --> 00:02:40.469]  But the British Museum denies this claim.
[00:02:41.029 --> 00:02:47.276]  Some suggest that the use of the word Nazism in 1871 proves that the letter is a fraud.
[00:02:47.857 --> 00:02:49.959]  And others say the same about Zionism.
[00:02:50.420 --> 00:02:52.122]  But Zionism existed back then.
[00:02:53.183 --> 00:03:12.299]  Zionism was made official in the late 1800s as a non-religious nationalist movement arguing that the Bible was proof that Jews had a lawful claim to the land of Palestine, an area that was currently inhabited by a population that has lived there, relatively peacefully, for centuries.
[00:03:12.900 --> 00:03:21.287]  Around the alleged writing of this Albert Pike letter, Jews began immigrating to Palestine with the intention of someday creating a state of Israel.
[00:03:21.847 --> 00:03:28.151]  Which did not happen until 1948, after World War II and the creation of the United Nations.
[00:03:28.851 --> 00:03:34.335]  Albert Pike joined the Fraternal Independent Order of Oddfellows in 1840.
[00:03:34.655 --> 00:03:45.042]  By 1859, he was elected Sovereign Grand Commander of the Scottish Rites Southern Jurisdiction, and remained Sovereign Grand Commander for the rest of his life.
[00:03:45.842 --> 00:03:53.490]  He was definitely aware of Zionism, and if this Illuminati plan is true, then his use of the word Nazi is plausible.
[00:03:54.030 --> 00:04:00.837]  Either way, the letter is worth a read, and the closer we get to the endgame, the more accurate this letter appears to be.
[00:04:01.738 --> 00:04:04.300]  The Illuminati Plan for Three World Wars.
[00:04:05.120 --> 00:04:14.786]  The First World War must be brought about in order to overthrow the Tsars in Russia and make that country a fortress of atheistic communism.
[00:04:15.346 --> 00:04:23.851]  The divergences caused by agents of the Illuminati between the British and Germanic Empires will be used to foment this war.
[00:04:24.532 --> 00:04:30.015]  After the war, communism will be used to destroy other governments and weaken the religions.
[00:04:30.655 --> 00:04:38.120]  The Second World War must be fomented by taking advantage of the differences between the fascists and the political Zionists.
[00:04:38.661 --> 00:04:48.948]  This war must be brought about so that Nazism is destroyed and political Zionism is strong enough to institute a sovereign state of Israel in Palestine.
[00:04:49.548 --> 00:05:03.611]  During the Second World War, international communism must become strong enough to balance Christendom, which would be restrained and held in check until the time when we would need it for the final social cataclysm.
[00:05:04.311 --> 00:05:14.754]  The Third World War must be fomented by taking advantage of the differences caused by the agents of the Illuminati between the political Zionists and the leaders of Islam.
[00:05:15.254 --> 00:05:22.038]  The war must be conducted in such a way that Islam and political Zionism mutually destroy each other.
[00:05:22.778 --> 00:05:34.605]  Meanwhile, the other nations, once more divided on this issue, will be constrained to fight to the point of complete physical, moral, spiritual, and economic exhaustion.
[00:05:35.385 --> 00:05:52.154]  We shall unleash the nihilists and the atheists, and we shall provoke a formidable social cataclysm, which in all its horror will show clearly to the nations the effect of absolute atheism, origin of savagery, and of the most bloody turmoil.
[00:05:52.674 --> 00:06:04.121]  Then, everywhere, the citizens, obliged to defend themselves against the world minority of revolutionaries, will exterminate those destroyers of civilization.
[00:06:04.841 --> 00:06:27.205]  And the multitude, disillusioned with Christianity, whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer, brought finally out in the public view.
[00:06:27.825 --> 00:06:39.493]  This manifestation will result from the general reactionary movement which will follow the destruction of Christianity and Atheism, both conquered and exterminated at the same time.
[00:06:41.234 --> 00:06:44.997]  Whoever wrote this letter had the vision to see where this is all going.
[00:06:45.597 --> 00:06:53.162]  By manipulating our beliefs and emotions, mankind has been herded into these wars like cattle to the slaughter.
[00:06:54.283 --> 00:06:56.923]  Reporting for InfoWars, this is Greg Reese.
[00:06:56.923 --> 00:07:13.562]  Alright, ladies and gentlemen.
[00:07:13.608 --> 00:07:28.880]  Yet again, humanity is being thrown into a state of perpetual war, whether it's the meat grinder in Ukraine or now the meat grinder in the Middle East.
