[00:00:00.369 --> 00:00:01.290]  FBI report?
[00:00:01.530 --> 00:00:03.352]  Didn't need to read it to know the truth, already knew it.
[00:00:03.872 --> 00:00:07.916]  No Russian meddling, no one they targeted was connected to Russians in any way.
[00:00:08.236 --> 00:00:10.498]  They were all red-blooded Americans.
[00:00:10.538 --> 00:00:11.379]  Here's Jake Tapper.
[00:00:11.879 --> 00:00:17.284]  Regardless, the report is now here, it has dropped, and it might not have produced everything of what some Republicans hoped for.
[00:00:17.304 --> 00:00:24.370]  It is, regardless, devastating to the FBI, and to a degree, it does exonerate Donald Trump.
[00:00:29.293 --> 00:00:34.257]  Rallying patriots worldwide in defense of human liberty.
[00:00:34.277 --> 00:00:54.913]  It's Alex Jones.
[00:00:55.254 --> 00:00:56.054]  InfoWars.
[00:00:56.374 --> 00:00:57.896]  Tomorrow's news, today.
[00:01:00.293 --> 00:01:11.740]  I don't mean to brag, I don't care, but I want you to know, double vaxxed, booster, flu shot, and I'm gonna be honest, I have the shingle shot too.
[00:01:13.521 --> 00:01:15.222]  And I still get my period.
[00:01:15.302 --> 00:01:15.782]  What?
[00:01:16.023 --> 00:01:16.363]  Yes!
[00:01:19.463 --> 00:01:27.369]  Traveled, went to Mexico twice, did shows, meet and greets, never got COVID.
[00:01:27.589 --> 00:01:30.331]  Clearly, Jesus loves me the most.
[00:01:30.732 --> 00:01:31.352]  Seriously.
[00:01:32.893 --> 00:01:33.634]  So nice.
[00:01:33.634 --> 00:01:35.634]  So nice!
[00:01:35.634 --> 00:01:37.634]  Ah!
[00:01:37.634 --> 00:01:39.634]  [laughter]
[00:01:39.634 --> 00:01:41.634]  [laughter]
[00:01:41.634 --> 00:01:43.634]  Um, so I'm in the emergency room.
[00:01:43.634 --> 00:01:45.313]  emergency room.
[00:01:45.343 --> 00:01:45.984]  I look weird.
[00:01:47.185 --> 00:01:48.986]  I'm so, so, so, so sorry.
[00:01:49.006 --> 00:01:51.466]  I passed out on stage.
[00:01:51.546 --> 00:01:54.247]  I got up, I did one joke, and I felt so dizzy.
[00:01:54.267 --> 00:01:56.168]  You can see my eye.
[00:01:56.188 --> 00:01:58.008]  I fell on my eye.
[00:01:58.028 --> 00:02:01.209]  Oh, my God.
[00:02:01.229 --> 00:02:04.050]  I cannot believe this happened.
[00:02:04.110 --> 00:02:09.351]  I feel so terrible that they had to tell everyone to leave and then cancel the second show.
[00:02:09.571 --> 00:02:11.052]  Tempe, I will be back.
[00:02:13.092 --> 00:02:15.092]  I've never ever fainted in my life.
[00:02:15.092 --> 00:02:29.092]  [Gunfire]
[00:02:29.092 --> 00:02:31.092]  Mandate.
[00:02:30.473 --> 00:02:30.973]  Yes, Jack?
[00:02:32.714 --> 00:02:34.974]  Have you ever seen a commie drink a glass of water?
[00:02:36.414 --> 00:02:40.835]  Well, no, I... I can't say I have, Jack.
[00:02:42.135 --> 00:02:42.655]  Vodka.
[00:02:43.396 --> 00:02:44.516]  That's what they drink, isn't it?
[00:02:45.476 --> 00:02:46.036]  Never water?
[00:02:47.156 --> 00:02:50.617]  Well, I... I believe that's what they drink, Jack, yes.
[00:02:51.697 --> 00:02:54.418]  On no account will a commie ever drink water.
[00:02:55.138 --> 00:02:56.478]  And not without good reason.
[00:02:58.576 --> 00:03:00.557]  Oh, uh, yes.
[00:03:01.377 --> 00:03:06.499]  I, um, can't quite see what you're getting at, Jack.
[00:03:07.619 --> 00:03:07.959]  Water.
[00:03:08.739 --> 00:03:09.780]  That's what I'm getting at.
[00:03:09.840 --> 00:03:10.160]  Water.
[00:03:12.240 --> 00:03:14.961]  Mandrake, water is the source of all life.
[00:03:17.282 --> 00:03:19.263]  Seven-tenths of this Earth's surface is water.
[00:03:20.823 --> 00:03:24.624]  Why do you realize that 70% of you is water?
[00:03:27.635 --> 00:03:28.415]  Oh, God.
[00:03:28.895 --> 00:03:36.077]  And as human beings, you and I need fresh, pure water to replenish our precious bodily fluids.
[00:03:36.137 --> 00:03:36.297]  Yes.
[00:03:37.657 --> 00:03:38.997]  Are you beginning to understand?
[00:03:39.337 --> 00:03:39.537]  Yes.
[00:03:44.058 --> 00:03:44.458]  Mandrake.
[00:03:47.839 --> 00:03:52.539]  Mandrake, have you never wondered why I drink only distilled water?
[00:03:53.259 --> 00:03:53.980]  Or rainwater?
[00:03:54.320 --> 00:03:56.100]  And only pure grain alcohol?
[00:03:57.642 --> 00:04:00.064]  Well, it did occur to me, Jack, yes.
[00:04:02.005 --> 00:04:04.207]  Have you ever heard of a thing called fluoridation?
[00:04:04.227 --> 00:04:05.608]  Fluoridation of water?
[00:04:07.229 --> 00:04:09.791]  Uh, yes, I have heard of that, Jack, yes.
[00:04:10.492 --> 00:04:10.832]  Yes.
[00:04:11.112 --> 00:04:12.053]  Well, do you know what it is?
[00:04:12.073 --> 00:04:12.113]  No.
[00:04:12.874 --> 00:04:15.936]  No, I don't know what it is now.
[00:04:15.936 --> 00:04:25.365]   Do you realize that fluoridation is the most monstrously conceived and dangerous communist plot we have ever had to
[00:04:25.365 --> 00:04:25.936]  face?
[00:04:25.936 --> 00:04:28.936]  [Gunshots]
[00:04:28.936 --> 00:04:34.936]  [Gunshots]
[00:04:34.936 --> 00:04:35.936]  [Static]
[00:04:35.936 --> 00:04:57.936]   So, it's a tragic role that they are playing because of the tremendous pain.
[00:04:57.936 --> 00:05:07.936]  [Music]
[00:05:08.751 --> 00:05:11.233]  It's Tuesday, May 16, 2023.
[00:05:11.293 --> 00:05:17.216]  I'm in the chair in Austin, Texas, ready to launch an incredibly powerful transmission.
[00:05:17.836 --> 00:05:21.178]  The New World Order is out in the open, and man is it tyrannical.
[00:05:21.718 --> 00:05:24.259]  But humanity is waking up fast.
[00:05:25.180 --> 00:05:26.521]  And that's what matters.
[00:05:27.501 --> 00:05:28.342]  Strap yourselves in.
[00:05:28.362 --> 00:05:29.522]  Tell everybody you know, tune in.
[00:05:29.562 --> 00:05:32.384]  That's how you Paul Revere their New World Order asses.
[00:05:33.004 --> 00:05:33.544]  Stay with us.
[00:05:33.584 --> 00:05:36.306]  Main transmission launches in T-minus 60 seconds.
[00:05:37.031 --> 00:05:39.312]  We're live, Tuesday, May 16th.
[00:05:39.932 --> 00:05:45.314]  Regardless, the report is now here, it has dropped, and it might not have produced everything of what some Republicans voted for.
[00:05:45.334 --> 00:05:52.457]  It is, regardless, devastating to the FBI, and to a degree, it does exonerate Donald Trump.
[00:05:52.678 --> 00:05:54.278]  Trump, Putin, Russian collusion.
[00:05:54.318 --> 00:05:55.799]  Trump, Russian sort of collusion.
[00:05:55.899 --> 00:05:57.420]  Trump, Russian possible collusion.
[00:05:57.460 --> 00:05:59.140]  Trump, Russian metal collusion.
[00:05:59.160 --> 00:06:00.621]  Trump, Russian possible collusion.
[00:06:01.241 --> 00:06:02.482]  Trump.
[00:06:02.642 --> 00:06:02.982]  Russia.
[00:06:03.102 --> 00:06:03.823]  Possible collusion.
[00:06:03.883 --> 00:06:04.083]  Trump.
[00:06:04.243 --> 00:06:04.623]  Russia.
[00:06:04.683 --> 00:06:05.384]  Possible collusion.
[00:06:05.424 --> 00:06:05.624]  Trump.
[00:06:05.864 --> 00:06:06.224]  Russia.
[00:06:06.284 --> 00:06:06.985]  Possible collusion.
[00:06:07.045 --> 00:06:07.265]  Trump.
[00:06:07.445 --> 00:06:07.785]  Russia.
[00:06:07.825 --> 00:06:08.585]  Possible collusion.
[00:06:08.625 --> 00:06:08.826]  Trump.
[00:06:09.006 --> 00:06:09.366]  Russia.
[00:06:09.406 --> 00:06:10.206]  Possible collusion.
[00:06:10.266 --> 00:06:11.747]  Russia hacked our election.
[00:06:11.787 --> 00:06:13.368]  Here comes a big change.
[00:06:14.129 --> 00:06:15.209]  Because all of a sudden, Trump.
[00:06:15.229 --> 00:06:15.389]  Russia.
[00:06:15.409 --> 00:06:16.210]  Possible collusion.
[00:06:16.650 --> 00:06:16.950]  Russia.
[00:06:16.970 --> 00:06:17.130]  Russia.
[00:06:17.170 --> 00:06:17.791]  Possible collusion.
[00:06:18.191 --> 00:06:18.571]  Trump.
[00:06:18.611 --> 00:06:18.871]  Russia.
[00:06:19.012 --> 00:06:20.552]  Possible collusion.
[00:06:20.773 --> 00:06:21.753]  Trump.
[00:06:21.793 --> 00:06:22.113]  Russia.
[00:06:22.153 --> 00:06:22.934]  Possible collusion.
[00:06:22.974 --> 00:06:23.354]  Trump.
[00:06:23.394 --> 00:06:23.734]  Russia.
[00:06:23.954 --> 00:06:24.655]  Possible collusion.
[00:06:29.411 --> 00:06:30.452]  Prove collusion.
[00:06:30.952 --> 00:06:34.053]  Prove collusion.
[00:06:34.173 --> 00:06:35.074]  Was there collusion?
[00:06:35.354 --> 00:06:35.914]  Absolutely.
[00:06:35.994 --> 00:06:37.555]  Trump.
[00:06:37.655 --> 00:06:37.955]  Russia.
[00:06:38.015 --> 00:06:38.756]  Possible collusion.
[00:06:38.996 --> 00:06:39.156]  Trump.
[00:06:39.236 --> 00:06:39.556]  Russia.
[00:06:39.616 --> 00:06:40.336]  Possible collusion.
[00:06:40.376 --> 00:06:40.556]  Trump.
[00:06:40.797 --> 00:06:41.157]  Russia.
[00:06:41.217 --> 00:06:41.957]  Possible collusion.
[00:06:42.157 --> 00:06:42.377]  Trump.
[00:06:42.417 --> 00:06:42.738]  Russia.
[00:06:42.818 --> 00:06:43.538]  Possible collusion.
[00:06:43.598 --> 00:06:43.878]  Trump.
[00:06:43.998 --> 00:06:44.318]  Russia.
[00:06:44.358 --> 00:06:45.239]  Possible collusion.
[00:06:45.339 --> 00:06:45.579]  Trump.
[00:06:45.599 --> 00:06:45.919]  Russia.
[00:06:45.979 --> 00:06:46.759]  Possible collusion.
[00:06:46.819 --> 00:06:47.000]  Trump.
[00:06:47.220 --> 00:06:47.560]  Russia.
[00:06:47.580 --> 00:06:48.560]  Potential collusion.
[00:06:48.600 --> 00:06:48.800]  Trump.
[00:06:48.820 --> 00:06:49.121]  Russia.
[00:06:49.141 --> 00:06:49.961]  Potential collusion.
[00:06:50.000 --> 00:06:56.500]   and the Kremlin and be in collusion with Putin and the Kremlin and be in collusion with Putin
[00:06:56.500 --> 00:07:02.500]   and the Kremlin and be in collusion with Putin and the Kremlin and be in collusion
[00:07:02.500 --> 00:07:06.000]   This president, this president and collusion with Putin
