[00:00:00.169 --> 00:00:00.910]  It's official.
[00:00:01.671 --> 00:00:02.051]  U.S.
[00:00:03.853 --> 00:00:06.756]  orders Europe to begin official war with Russia.
[00:00:06.957 --> 00:00:10.961]  I mean, there's not a headline crazy enough to describe this, because you're right.
[00:00:11.181 --> 00:00:12.482]  It's all moving in that direction.
[00:00:12.523 --> 00:00:13.464]  It's already begun.
[00:00:14.184 --> 00:00:17.087]  Lloyd Austin told Congress last week... This is the pressure of the U.S.
[00:00:17.128 --> 00:00:17.908]  neocons.
[00:00:18.229 --> 00:00:21.933]  This is the Axis, as you and I have been talking about all week here, Alex.
[00:00:22.273 --> 00:00:24.415]  Victoria Nuland is running U.S.
[00:00:24.455 --> 00:00:25.316]  foreign policy.
[00:00:25.596 --> 00:00:37.125]  Victoria Nuland, who has said in the middle of the Maidan coup, all the way back in 2014, it was Victoria Nuland who said, F the EU, we'll make them do whatever we tell them.
[00:00:37.265 --> 00:00:37.786]  Guess what?
[00:00:38.106 --> 00:00:40.949]  Victoria Nuland is doing the same exact thing.
[00:00:41.009 --> 00:00:47.474]  Whenever you get her or her husband Kagan involved in any of these things, it ultimately turns towards war.
[00:00:47.614 --> 00:00:57.816]  This is why they hate Trump so much, because all of these... And Alex, remember, had Trump not been in office, and Hillary had been in office, we would have been in this position six years ago.
[00:00:58.096 --> 00:00:59.217]  We would have been here by 2018.
[00:00:59.317 --> 00:00:59.917]  That's right.
[00:01:00.017 --> 00:01:01.597]  You'd be on the brink with Russia.
[00:01:01.617 --> 00:01:02.217]  Trump just hit pause.
[00:01:02.257 --> 00:01:03.458]  And now they're trying to rush it.
[00:01:03.777 --> 00:01:07.917]   Now they're trying to rush it to launch this thing because this has always been the plans
[00:01:07.917 --> 00:01:14.097]   because they can see 2024 and the election coming and the patriots that are coming out in droves
[00:01:14.097 --> 00:01:18.158]   from the hills and from the mountains all the way coming down to vote for Trump,
[00:01:18.158 --> 00:01:22.237]   to vote these people the hell out of office, but they're trying to launch it beforehand
[00:01:22.237 --> 00:01:26.137]   because Alex, as we said, if they can get this emergency situation in,
[00:01:26.137 --> 00:01:28.918]   then suddenly they get the funding, they turn up the military orders.
[00:01:28.918 --> 00:01:30.918]  And look, Russia is responding already.
