[00:00:00.000 --> 00:00:16.359]  [Music]
[00:00:16.426 --> 00:00:17.306]  Tomorrow's news.
[00:00:17.406 --> 00:00:24.406]  today.
[00:00:24.406 --> 00:00:31.005]   Well, Trump spoke to a crowd of around 50,000 people yesterday.
[00:00:31.033 --> 00:00:32.014]  The corporate media said 25,000.
[00:00:32.334 --> 00:00:33.534]  I've seen the numbers.
[00:00:33.594 --> 00:00:35.435]  It was at least 50,000.
[00:00:35.475 --> 00:00:36.676]  We had some crew there covering it.
[00:00:38.717 --> 00:00:40.078]  And he did a great job.
[00:00:41.769 --> 00:00:49.474]  He also, on Friday, after we criticized him for his death and destruction comment, tweeting a picture of a baseball bat, and we don't need that, he deleted it.
[00:00:49.734 --> 00:00:50.755]  So that's a good thing.
[00:00:51.255 --> 00:00:52.476]  We're winning this nonviolently.
[00:00:52.536 --> 00:00:55.237]  We don't need to step into the provocateur actions.
[00:00:56.078 --> 00:01:09.026]  And speaking of that, before we play a few of these clips, there is a new video that's been released of the Metro Police behaving just like Ray Epps, telling people, break in, go over the barriers, go into the building.
[00:01:09.912 --> 00:01:11.573]  So we have the new videos coming out of that.
[00:01:11.613 --> 00:01:14.374]  I mean, this was a total and complete setup.
[00:01:14.394 --> 00:01:15.135]  We've got that tonight.
[00:01:15.155 --> 00:01:19.377]  But here's a few clips of Trump in Central Texas last night in Waco.
[00:01:20.537 --> 00:01:23.259]  He said either the deep state destroys America or we destroy the deep state.
[00:01:23.299 --> 00:01:23.939]  Totally true.
[00:01:24.859 --> 00:01:26.000]  Says this is the final battle.
[00:01:26.060 --> 00:01:26.580]  Here's the clips.
[00:01:30.082 --> 00:01:36.445]  Either the deep state destroys America or we destroy the deep state.
[00:01:36.665 --> 00:01:37.706]  That's the way it's gotta be.
[00:01:39.568 --> 00:01:41.748]  We're at a very pivotal point in our country.
[00:01:42.489 --> 00:02:04.353]  Either we descend into a lawless abyss of open borders, rampant killings, super hyperinflation, which is what we have right now, and not coming down, and festering corruption, or we evict Joe Biden and the Democrats from the White House and we make America great again.
[00:02:04.373 --> 00:02:06.134]  2024 is the final battle.
[00:02:06.174 --> 00:02:07.294]  That's going to be the big one.
[00:02:08.814 --> 00:02:17.880]  If you put me back in the White House, their reign will be over, and America will be a free nation once again.
[00:02:22.684 --> 00:02:27.927]  Well, he could have done a lot better job when he first got in, but I think he's awake to what's happening and going on now.
[00:02:28.568 --> 00:02:30.409]  I definitely like everything I'm hearing from Trump.
[00:02:31.089 --> 00:02:36.033]  Now, mainstream news is reporting that the Santas donors are telling him, drop out before he ever announces.
[00:02:37.435 --> 00:02:40.517]  Trump comes out and says it's very unlikely that Sanders will be his running mate.
[00:02:41.818 --> 00:02:48.182]  This attempt to have him arrested has really blown up in their face and shows how disconnected the establishment is.
[00:02:49.023 --> 00:02:51.564]  But Trump does look like he's lost about 40 pounds.
[00:02:52.285 --> 00:02:53.866]  I like to look without the red tie.
[00:02:54.626 --> 00:02:57.208]  But I really like the things he's saying, the things he's doing.
[00:02:57.828 --> 00:03:04.933]  Jack Posobiec said, born too late to explore the earth, born too early to explore the galaxy, born just in time to make America great again.
[00:03:06.499 --> 00:03:06.739]  Wow.
[00:03:07.299 --> 00:03:11.181]  Trump describes the 2024 election as the final battle from podium in Waco.
[00:03:12.321 --> 00:03:13.622]  The windshield against me is dead.
[00:03:13.682 --> 00:03:14.982]  Trump says Manhattan D.A.
[00:03:15.042 --> 00:03:16.443]  tricked by fraud.
[00:03:16.483 --> 00:03:20.204]  Star Witness wasn't into horse-face storming.
[00:03:22.401 --> 00:03:24.362]  And it just goes on from there.
[00:03:24.443 --> 00:03:27.505]  But I do have to say Trump looked really good yesterday.
[00:03:27.525 --> 00:03:30.807]  He looked younger than when he ran seven years ago.
[00:03:31.007 --> 00:03:32.749]  Weird stuff going on.
[00:03:33.109 --> 00:03:33.409]  Huge.
