[00:00:00.000 --> 00:00:02.660]  [BEEPING]
[00:00:02.660 --> 00:00:07.620]  [MUSIC PLAYING]
[00:00:07.620 --> 00:00:10.419]  Wow, hard to believe it's Friday, December--
[00:00:10.541 --> 00:00:11.161]  We're almost at 2024!
[00:00:11.241 --> 00:00:12.002]  It's wild!
[00:00:12.022 --> 00:00:12.263]  InfoWars.
[00:00:12.103 --> 00:00:15.103]  We're almost at 2024!
[00:00:15.103 --> 00:00:16.103]  Ha ha!
[00:00:16.103 --> 00:00:17.103]  Woo!
[00:00:17.103 --> 00:00:18.103]  It's wild!
[00:00:18.103 --> 00:00:19.103]  InfoWars.
[00:00:19.103 --> 00:00:20.103]  Tomorrow's news.
[00:00:20.103 --> 00:00:21.103]  Today.
[00:00:21.103 --> 00:00:30.103]  All right, coming up, Vivek Ramaswamy interviewed me.
[00:00:30.144 --> 00:00:33.309]  I thought it was really in-depth and informative and thought-provoking.
[00:00:33.349 --> 00:00:35.613]  He just continues to impress me by how smart he is.
[00:00:36.214 --> 00:00:39.559]  We're going to premiere that here on the InfoWars Network in a moment.
[00:00:40.482 --> 00:00:45.884]  Coming up, Steve Bannon, Michael Malice, and more on this Friday transmission.
[00:00:46.564 --> 00:00:49.405]  And you remember, you're the power, you override the censors.
[00:00:49.445 --> 00:00:50.945]  When you get excited, nothing can stop you.
[00:00:50.985 --> 00:00:52.125]  You are the Paul Reveres.
[00:00:52.545 --> 00:00:53.766]  You are the answer to 1984.
[00:00:53.645 --> 00:00:57.805]  1984. You are 1776.
[00:00:57.805 --> 00:01:05.435]   When they censor you and deplatform you, they can then steal your identity and misrepresent what you've said and
[00:01:05.435 --> 00:01:07.164]  done and then build a straw man.
[00:01:07.259 --> 00:01:10.602]  And transferring the power themselves, that's the new world order, that's global.
[00:01:10.622 --> 00:01:11.823]  But it's actually the old world order.
[00:01:12.043 --> 00:01:12.603]  It is, you're right.
[00:01:12.823 --> 00:01:15.725]  It's really just the old world order in new world clothing.
[00:01:15.826 --> 00:01:16.906]  Don't let anybody hold you back.
[00:01:17.407 --> 00:01:17.727]  Amen.
[00:01:17.887 --> 00:01:18.247]  Just do it.
[00:01:18.607 --> 00:01:20.529]  Presidential candidate, Vivek Ramaswamy.
[00:01:20.549 --> 00:01:22.610]  Vivek Ramaswamy, a Republican running for president.
[00:01:22.630 --> 00:01:27.474]  We should not be apologetic to stand up and speak for the truth.
[00:01:27.934 --> 00:01:28.715]  Let's talk truth.
[00:01:30.970 --> 00:01:33.531]  I'm talking today to somebody who I'm meeting for the first time.
[00:01:33.571 --> 00:01:35.872]  I met him a few minutes ago for the first time.
[00:01:36.892 --> 00:01:38.672]  I actually don't know a lot about him.
[00:01:38.933 --> 00:01:42.314]  The number one thing I know about him is that everybody has told me not to talk to him.
[00:01:43.514 --> 00:01:47.155]  Which is what made me want to actually sit down and talk to him.
[00:01:48.115 --> 00:01:53.657]  The United States of America were founded on free speech and open debate.
[00:01:53.737 --> 00:01:57.038]  It's in the First Amendment for a reason.
[00:01:57.858 --> 00:01:58.699]  And so, you know what?
[00:02:00.655 --> 00:02:01.095]  Wrong.
[00:02:01.295 --> 00:02:05.217]  That we've become a culture that wants to censor free speech and open debate.
[00:02:06.098 --> 00:02:10.040]  And I think that part of the American way of life is we don't just embrace moderate ideals.
[00:02:10.100 --> 00:02:11.321]  That is an extreme idea.
[00:02:11.901 --> 00:02:15.763]  The idea that you get to speak your mind as long as I get to in return.
[00:02:16.703 --> 00:02:17.564]  That's a wild idea.
[00:02:18.524 --> 00:02:21.566]  For most of human history, it was done the other way.
[00:02:22.879 --> 00:02:24.781]  And that's what makes America great.
[00:02:24.981 --> 00:02:26.782]  That's what makes America itself.
[00:02:27.042 --> 00:02:31.926]  And so, if somebody tells me, don't listen to this person, my reaction is, you know what?
[00:02:31.946 --> 00:02:33.347]  I'm going to listen to them.
[00:02:33.547 --> 00:02:37.951]  I'm going to keep an open mind and hear what every person has to say because I'm a human being.
[00:02:38.111 --> 00:02:39.672]  Each of us as Americans is a human being.
[00:02:39.712 --> 00:02:45.757]  We can judge for ourselves what we believe the actual right way forward is for our country.
[00:02:46.505 --> 00:02:48.987]  So with that said, I've been looking forward to this conversation for a long time.
[00:02:49.027 --> 00:02:49.868]  I'm excited about it.
[00:02:50.929 --> 00:02:52.350]  Alex Jones, it's good to see you, man.
[00:02:53.171 --> 00:03:02.639]  Vivek, thanks for doing this because when they censor you and de-platform you, they can then steal your identity and misrepresent what you've said and done and then build a straw man.
[00:03:03.160 --> 00:03:03.380]  Yeah.
[00:03:03.680 --> 00:03:05.061]  And that's why they fight so hard.
[00:03:06.042 --> 00:03:08.404]  Ninety-nine percent of the things they say about me aren't true.
[00:03:08.504 --> 00:03:09.405]  They never show a clip.
[00:03:10.026 --> 00:03:12.008]  They just say I've done these things I haven't done.
[00:03:12.688 --> 00:03:22.157]  Yeah, it reminds me of them saying that Trump said after the thing that happened in Virginia, Charlottesville, that he said Hispanics are horrible criminals, bad people.
[00:03:22.277 --> 00:03:22.938]  He didn't say that.
[00:03:23.398 --> 00:03:26.701]  He said they're wonderful, good people, but they're also a lot of bad people coming across the border.
[00:03:27.161 --> 00:03:28.182]  They wouldn't show the clip.
[00:03:28.763 --> 00:03:33.307]  They would just say he said that, but he had a big enough bully pulpit to override that.
[00:03:33.347 --> 00:03:42.191]   And so it doubled the number of Hispanics when he first got elected towards the end uh... yeah uh... first-term
[00:03:42.191 --> 00:03:45.031]   understood that that that that it was a lie and they didn't raise them because
[00:03:45.031 --> 00:03:48.371]   of that that was because he could show them the actual club
[00:03:48.371 --> 00:03:51.471]   and show them that that they're gonna lie i'm not as big as trump
[00:03:51.471 --> 00:03:57.110]   and i like five percent of the police got and so i have been successfully in many ways
[00:03:57.110 --> 00:04:03.260]   uh... destroyed me they built another alex jones that's not me and that's what i say don't ever interview alex
[00:04:03.260 --> 00:04:05.311]   jones because they're gonna hear something that probably most
[00:04:05.311 --> 00:04:07.922]   were gonna agree with Yes, it's interesting.
[00:04:09.409 --> 00:04:20.413]  I think that, I mean, I wouldn't be here if it weren't for the fact that, you know, somebody came up, I don't know if it was someone from your team or someone who's part of your, you know, one of your followers or something, suggested it.
[00:04:20.773 --> 00:04:23.534]  And I said, okay, well, several people are saying, suggest, talk to this guy.
[00:04:23.594 --> 00:04:24.975]  Let's see if that's something we're open to.
[00:04:25.015 --> 00:04:28.176]  And then the reaction that I get is, no, no, no, no, this is a guy.
[00:04:29.036 --> 00:04:29.737]  You don't want to talk to.
[00:04:29.757 --> 00:04:31.277]  It's going to be politically toxic for you.
[00:04:31.297 --> 00:04:32.038]  And my view is, no, no, no.
[00:04:32.058 --> 00:04:33.159]  We're the United States of America.
[00:04:33.179 --> 00:04:36.361]  So I have no idea if I'm going to agree with everything you're going to say or not.
[00:04:36.481 --> 00:04:37.501]  Well, I mean, here's your comeback, though.
[00:04:37.521 --> 00:04:38.162]  I'm curious about this.
[00:04:38.242 --> 00:04:38.482]  Yeah.
[00:04:38.542 --> 00:04:39.082]  Here's your comeback.
[00:04:39.443 --> 00:04:46.887]  Lester Holt last week did a really important interview, or two weeks ago, with the Ayatollah Khomeini, the leader of Iran.
[00:04:46.927 --> 00:04:49.249]  Now, that guy is praising the attacks on Israel.
[00:04:49.309 --> 00:04:49.749]  It's terrible.
[00:04:49.769 --> 00:04:50.710]  I think he's a bad guy.
[00:04:50.730 --> 00:04:52.131]  Yeah, Khomeini's not a good guy.
[00:04:52.291 --> 00:04:56.814]  Doesn't mean I want World War III with him, either, and Hezbollah, who's got sleeper cells in America and our open border.
[00:04:57.434 --> 00:05:02.634]   That said, everybody doesn't attack Lester Holt interviewing the leader of Iran.
[00:05:03.634 --> 00:05:04.213]   Infowarstore.com We also have store-wide free shipping, double Patriot
[00:05:04.213 --> 00:05:09.634]  points.
[00:05:09.634 --> 00:05:12.634]  We have X2 about to sell out.
[00:05:12.634 --> 00:05:15.633]  We have Winter Sun, the best D3, finally back in stock.
[00:05:15.633 --> 00:05:16.633]  So good for your immune system.
[00:05:16.633 --> 00:05:21.633]   We have VazoBeats with nitrous oxide to boost your heart health.
[00:05:21.633 --> 00:05:23.633]  All of it.
[00:05:23.820 --> 00:05:31.651]  We have TurboForce, the most powerful, high-quality, brain-boosted tropic out there that's also good for you, unlike other brain boosters that aren't.
[00:05:32.172 --> 00:05:33.373]  TurboForce discounted.
[00:05:33.393 --> 00:05:34.775]  Infowarrestore.com.
[00:05:35.116 --> 00:05:36.378]  Get TurboForce.
[00:05:38.208 --> 00:05:39.328]  Get Winter Son.
[00:05:40.389 --> 00:05:42.769]  Get it all at InfoWarsTore.com.
[00:05:43.089 --> 00:05:45.130]  And I want to thank you all for keeping us on air over the years.
[00:05:45.190 --> 00:05:46.910]  You've seen that we've delivered together.
[00:05:47.290 --> 00:05:48.511]  You delivered supporting us.
[00:05:48.951 --> 00:05:50.151]  I've delivered not giving up.
[00:05:50.511 --> 00:05:53.772]  Praise God and pass the ammunition in the information war.
[00:05:53.792 --> 00:05:55.693]  Get a copy of my book, The Great Awakening.
[00:05:56.933 --> 00:05:57.693]  Sign or unsign.
[00:05:57.713 --> 00:05:59.074]  InfoWarsTore.com.
[00:05:59.234 --> 00:06:01.234]  Take action!
[00:06:01.234 --> 00:06:19.234]   Ladies and gentlemen, you are listening to an InfoWars.com Frontline Report.
[00:06:19.405 --> 00:06:23.267]  If you are receiving this transmission, you are the resistance.
[00:06:25.466 --> 00:06:27.248]  It's Friday, December 22nd, 2023.
[00:06:27.288 --> 00:06:28.869]  I'm your host, Alex Jones.
[00:06:29.010 --> 00:06:32.152]  We've got something really special for you today.
[00:06:32.172 --> 00:06:40.960]  Vivek Ramaswamy in studio interviews me, Michael Malice, author, great researcher, Steve Bannon knocks it out of the park.
[00:06:40.980 --> 00:06:45.424]  This is going to be powerful information today.
[00:06:45.845 --> 00:06:48.027]  So let's jump right into it now.
[00:06:50.117 --> 00:06:58.622]  You see Hamas publishing videos of kidnapping Israelis, killing Israelis, dead bodies, whole houses shot up with dead families.
[00:06:58.662 --> 00:06:59.782]  That's posted on Twitter.
[00:07:00.182 --> 00:07:00.903]  That's okay.
[00:07:01.903 --> 00:07:06.466]  I actually think that's... I mean, I guess free speech, as long as it has an advisory on it.
[00:07:06.786 --> 00:07:07.486]  The kids don't see it.
[00:07:07.546 --> 00:07:08.307]  Okay, it's horrible.
[00:07:08.667 --> 00:07:09.267]  First Amendment.
[00:07:09.387 --> 00:07:11.549]  I don't agree with it, but I understand it needs to be shown.
[00:07:11.569 --> 00:07:12.129]  That's where I'm at.
[00:07:12.489 --> 00:07:13.830]  Is free speech an open debate?
[00:07:13.910 --> 00:07:14.970]  I haven't killed anybody.
[00:07:15.150 --> 00:07:21.433]  I'm not storming Israeli towns and murdering people en masse or coming on, you know, powered hang gliders slaughtering people.
[00:07:21.913 --> 00:07:39.602]   But they don't want this to be heard because when I see your message, and I'm not kissing your ass, which is true, you are the most informed, and that leads us to attack you, which is true, geopolitically You name it, compared to anybody I've ever basically interviewed.
[00:07:39.642 --> 00:07:45.086]  And Tucker Carlson is super smart, and I would say has more charisma, but he's a close second.
[00:07:45.406 --> 00:07:50.530]  Your grasps, I see the random questions you're asking, of just a wide spectrum of things is amazing.
[00:07:51.111 --> 00:08:05.972]   And your understanding that America, the idea of a free market competitive culture, is something the globalists can't have because they have a competing corporate oligarchy or tyranny and cashless society social credit
[00:08:05.972 --> 00:08:10.042]   score they're setting up with the ESG's and that's the potential of
[00:08:10.042 --> 00:08:15.651]   America is so powerful because people aspire to that America has to be wiped out
[00:08:15.651 --> 00:08:18.612]   the political correctness all the rest of it so that the whole world can
[00:08:18.612 --> 00:08:22.311]   be leveled down to one giant third world population that BlackRock and the
[00:08:22.311 --> 00:08:26.222]   mega corporations can exploit and control and quote control our behavior as Larry
[00:08:26.222 --> 00:08:29.792]   Fink said so congratulations on the work you've done the number one
[00:08:29.792 --> 00:08:33.761]   candidate I support Donald Trump if something happened to him I would support
[00:08:33.761 --> 00:08:37.522]   you for president and I'm very very impressed let me will say well five years
[00:08:37.522 --> 00:08:41.362]   ago his views were a little bit different well so were mine and so people say
[00:08:41.362 --> 00:08:46.091]   well he wasn't perfect in the past well I'm not perfect today
[00:08:44.915 --> 00:08:51.517]  We have to be ready, as the world awakens to the real political system, to have converts to liberty and freedom and Americana.
[00:08:52.317 --> 00:08:56.218]  And so the fact that you are a leading light, really promoting the truth, is amazing.
[00:08:56.658 --> 00:09:00.619]  And the few people that criticize you saying, well, he just showed up on the scene.
[00:09:00.659 --> 00:09:04.480]  Well, that's what happens with innovation and ideas.
[00:09:04.740 --> 00:09:07.760]  Of course, you didn't just show up on the scene, but exploded on the national scene.
[00:09:08.120 --> 00:09:09.721]  And so I really appreciate your campaign.
[00:09:09.741 --> 00:09:11.101]  I think it's the best thing out there.
[00:09:11.121 --> 00:09:14.302]  When you watch these Republican debates, they're unwatchable except for you.
[00:09:14.742 --> 00:09:28.553]  My listeners all agree, the crew all agrees, that why don't we just have you up there for two hours instead, because there's nothing but talking points and canned garbage from the rest of them, because I can tell you run your campaign.
[00:09:28.933 --> 00:09:36.259]  All the rest of these people are told what to say, and they're looking at polls and numbers, and it's synthetic with you, it's real.
[00:09:36.700 --> 00:09:39.762]  They're puppets, and that's not even their fault, actually.
[00:09:39.802 --> 00:09:43.085]  I've realized, at first I would think I'm running against these other candidates.
[00:09:44.557 --> 00:09:51.826]  They're puppets of a broken, super PAC puppet master system, and that's just the state of American politics today.
[00:09:52.367 --> 00:10:02.533]   And my view is, you know, if you look at some of the stuff that I've written in my books, my first book, Woke, Inc., even years ago, I agree with 90, still 99% of what I said, but I moved a little bit.
[00:10:02.593 --> 00:10:03.494]  And that's good.
[00:10:03.554 --> 00:10:04.575]  We're human beings.
[00:10:04.615 --> 00:10:06.136]  That's why I'm having this conversation.
[00:10:06.396 --> 00:10:09.259]  That's why people listen to contrary voices.
[00:10:09.739 --> 00:10:11.962]  We're human beings, not partisan hacks.
[00:10:12.142 --> 00:10:12.702]  Well, exactly.
[00:10:12.742 --> 00:10:16.346]  The world's got to respond to information and think about it and evolve our views.
[00:10:16.406 --> 00:10:18.868]  That's what it means to be a thinking human being, at least to me.
[00:10:19.349 --> 00:10:20.670]  And the globalists have come out in the open.
[00:10:21.243 --> 00:10:21.443]  Yeah.
[00:10:21.864 --> 00:10:23.765]  I mean, I was talking to Tucker Carlson just the other day.
[00:10:23.785 --> 00:10:29.830]  I went and visited him in Maine, and we did some hunting and stuff, and he was like, man, I'm more radical than you now.
[00:10:29.850 --> 00:10:33.193]  We were sitting there talking because the world, it's out in the open.
[00:10:33.213 --> 00:10:34.454]  The globalists have taken the mask off.
[00:10:34.814 --> 00:10:37.997]  So I know you've been a pro-freedom of speech, liberty guy for a decade or more.
[00:10:38.497 --> 00:10:42.583]   All I'm saying is, What you say is dead on.
[00:10:42.643 --> 00:10:45.804]  I mean, I sit there and I watch it and I go, gosh, I wish I could nail it.
[00:10:46.484 --> 00:10:47.504]  And I'm not kissing your ass, it's true.
[00:10:47.524 --> 00:10:48.045]  I appreciate it.
[00:10:48.065 --> 00:10:48.425]  Nail it.
[00:10:49.465 --> 00:10:58.869]  And regardless of what happens, we need people like you at the top of government that actually know the subjects and aren't just getting talking points from the donor class.
[00:10:58.929 --> 00:10:59.169]  Yeah.
[00:10:59.629 --> 00:11:03.650]   So let's just, since we're meeting for the first time, Just a few minutes.
[00:11:03.670 --> 00:11:10.654]  I mean, your audience is probably very well familiar with this, but in your own words, just hear it without, I didn't Google any of this beforehand, etc.
[00:11:10.674 --> 00:11:11.535]  I don't want to be biased.
[00:11:13.303 --> 00:11:16.605]  What's your journey to the views that you have now?
[00:11:16.745 --> 00:11:19.426]  I mean, what gets you going in terms of your mission?
[00:11:19.466 --> 00:11:30.391]  You're a clearly passionate guy, want to revive the essence of our founding ideals of the free exchange of ideas, not be controlled in a way that impedes the sovereignty of the United States.
[00:11:30.411 --> 00:11:34.973]  I know these topics animate you, but what personally got you to that place right now?
[00:11:35.393 --> 00:11:40.439]  I had a lot of family that worked in the sharp end of the stick in U.S.
[00:11:40.479 --> 00:11:44.364]  intelligence, and they never really told me any of the classified or secret stuff.
[00:11:44.925 --> 00:11:47.368]  But like my uncle was high level, I ran contra and a bunch of other stuff.
[00:11:48.189 --> 00:11:48.609]  Oh really?
[00:11:48.809 --> 00:11:49.791]  So I wouldn't have ever guessed that.
[00:11:49.831 --> 00:11:51.853]  Your parents or uncles?
[00:11:51.893 --> 00:11:52.514]  Just a lot of people.
[00:11:52.794 --> 00:11:54.555]  Okay, a lot of people in your family were in U.S.
[00:11:54.595 --> 00:11:55.116]  intelligence.
[00:11:55.576 --> 00:12:04.122]  Well, back during the 70s, 80s and stuff, before they went from HUMET to electronic intelligence, there was a mobilization of the population against the Russians and others.
[00:12:04.182 --> 00:12:04.402]  Yeah.
[00:12:04.842 --> 00:12:07.063]  And so, yeah, I mean, I had a lot of family.
[00:12:07.083 --> 00:12:17.550]   I went to a family reunion, it was like a Soldier of Fortune convention, and they would just talk about What the government was doing, what was going on.
[00:12:17.691 --> 00:12:18.431]  They were patriots.
[00:12:18.871 --> 00:12:20.593]  Just like we see all these whistleblowers now in the government.
[00:12:21.573 --> 00:12:22.754]  They didn't like what was happening.
[00:12:23.154 --> 00:12:26.997]  So it's not that the government's our enemy, it's that criminals at the top have basically captured it.
[00:12:27.057 --> 00:12:32.061]  So when you're a child growing up hearing all this, I just kind of absorbed it.
[00:12:32.081 --> 00:12:34.902]  I wasn't even really listening to it until later I realized how true it was.
[00:12:35.683 --> 00:12:41.105]  And then I started to go to college a little bit, but I was already very successful in business by the time I was like 19 as a salesman.
[00:12:42.366 --> 00:12:52.429]  And boom, I saw really this anti-American race-based brainwashing that we see out in the open now that was going on here in Austin on the college campuses.
[00:12:52.910 --> 00:12:54.230]  And so I decided... When was this?
[00:12:54.470 --> 00:12:55.511]  Just so we track the time.
[00:12:55.531 --> 00:12:56.791]  This was in about 1993.
[00:12:57.091 --> 00:12:57.271]  Okay.
[00:12:57.611 --> 00:12:59.692]  And I've been on air since 1994, officially 95.
[00:12:59.772 --> 00:12:59.912]  Okay.
[00:12:59.932 --> 00:13:02.093]  But you were a salesman before that.
