[00:00:00.000 --> 00:00:02.080]  (static)
[00:00:02.080 --> 00:00:27.079]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:27.079 --> 00:00:28.219]  What a legend!
[00:00:28.406 --> 00:00:29.446]  The war is now.
[00:00:30.627 --> 00:00:34.868]  The new world order foretold in Revelation is upon us.
[00:00:38.650 --> 00:00:40.051]  Time to wield the blade.
[00:00:42.872 --> 00:00:44.512]  The horsemen are drawing nearer.
[00:00:46.133 --> 00:00:47.694]  Let us steeds they ride.
[00:00:48.914 --> 00:00:50.255]  They come to take your life.
[00:00:51.903 --> 00:00:53.004]  On to the dead of night!
[00:00:56.047 --> 00:00:59.630]  You see the four horsemen ride, so choose your fate!
[00:01:01.672 --> 00:01:02.553]  Yeah!
[00:01:04.734 --> 00:01:08.137]  You've been dying since the day you were born, you know it's all been planned.
[00:01:10.078 --> 00:01:34.038]   Center once a sinner twice you need no confession now Horseman a drawing mirror
[00:01:34.038 --> 00:01:39.038]  [Music]
[00:01:36.641 --> 00:01:39.003]  You will be tested and you will face death.
[00:01:39.863 --> 00:01:41.284]  It is the great equalizer.
[00:01:41.764 --> 00:01:42.745]  Honor the dead of night!
[00:01:44.886 --> 00:01:46.367]  You see the four horsemen ride!
[00:01:50.749 --> 00:01:51.509]  Choose your fate!
[00:01:52.330 --> 00:01:52.950]  Oh yeah!
[00:01:54.871 --> 00:01:56.172]  Alright, we're gonna go to break in a few minutes.
[00:01:56.192 --> 00:02:00.014]  We're gonna come back with the big Elon Musk, Alex Jones.
[00:02:01.266 --> 00:02:08.551]  General Flynn, Patrick Bent David, Vivit Rameshwani, the list goes on and on.
[00:02:09.272 --> 00:02:11.673]  Mark Dice, they do not want you to hear this.
[00:02:11.693 --> 00:02:15.556]  It got 20 million views, hundreds of millions of views, the clips, it's all coming up.
[00:02:17.500 --> 00:02:23.544]  If I were the devil, if I were the prince of deception, I'd want to shroud the world in unyielding darkness.
[00:02:24.385 --> 00:02:30.649]  I'd seize control over the lands and masses, but I wouldn't be satisfied until I had quashed the boldest voice of truth.
[00:02:31.089 --> 00:02:32.150]  Info Wars.
[00:02:32.470 --> 00:02:35.112]  So I'd work meticulously to control the world.
[00:02:35.572 --> 00:02:38.214]  I'd target platforms like Info Wars first.
[00:02:38.654 --> 00:02:40.436]  I'd initiate a campaign of silence.
[00:02:40.696 --> 00:02:47.922]   With the subtlety of a serpent, I would whisper to you as I whispered to Eve, believe only what you're told.
[00:02:48.282 --> 00:02:53.187]  To the young I would whisper, InfoWars is a fake news conspiracy theory network.
[00:02:53.527 --> 00:03:00.073]  I would convince them that man needs no alternate perspectives, no dissenting voices, no questions against the status quo.
[00:03:00.493 --> 00:03:10.439]  I would assure them that InfoWars is false, and what's approved is true, and the old I would teach to say after me, our father which art in censorship.
[00:03:10.719 --> 00:03:22.166]  If I were the devil, I'd soon have people at war with InfoWars, platforms at war with free speech, and nations at war with freedom of thought, until each in its turn was uniform.
[00:03:22.626 --> 00:03:34.093]  If I were the devil, I would undermine platforms like InfoWars from being a refuge for the inquisitive until before you knew it, you'd have suppression and censorship at every door.
[00:03:34.494 --> 00:03:37.175]  Soon, I'd have unity and misinformation.
[00:03:37.616 --> 00:03:40.477]  I'd have influential figures promoting a single narrative.
[00:03:40.758 --> 00:03:45.581]  Soon, I could evict InfoWars from social media, then from search engines.
[00:03:46.221 --> 00:03:53.867]  And then from the homes of patriots, I would lure society into believing only one perspective, dismissing info wars as falsehood.
[00:03:54.188 --> 00:03:58.231]  And what do you bet I could get whole states to promote uniformity as progress?
[00:03:59.011 --> 00:04:08.239]  I would convince the young that independent platforms are outdated, that compliance is more comfortable, that what you see in the mainstream media is the only perspective.
[00:04:08.799 --> 00:04:29.045]   In other words, If I were the devil, I wouldn't want you to visit infowars.com forward slash show today I wish I could tell you more pertinent news, but we're in a rating system here and the key factor is Sensationalism they've got you running in circles nine to five and five to nine
[00:04:29.960 --> 00:04:30.681]  You're mine.
[00:04:31.581 --> 00:04:35.784]  I tell you what they want you to know, and you consider it the truth.
[00:04:36.145 --> 00:04:38.567]  Nobody is opening their eyes!
[00:04:38.887 --> 00:04:44.931]  Our global economy is depleting the world of our lives and natural resources!
[00:04:45.272 --> 00:04:46.733]  And are you happy?
[00:04:47.433 --> 00:04:49.114]  Come on!
[00:04:49.975 --> 00:04:56.038]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:04:56.578 --> 00:05:01.101]  Visit InfoWars.com forward slash show and share the link today.
[00:05:03.182 --> 00:05:04.322]  InfoWarsStore.com.
[00:05:06.103 --> 00:05:08.525]  We also have storewide free shipping, double pay three points.
[00:05:09.858 --> 00:05:11.519]  We have X2 about to sell out.
[00:05:11.879 --> 00:05:14.581]  We have Winter Sun, the best D3, finally back in stock.
[00:05:14.841 --> 00:05:15.822]  Still good for your immune system.
[00:05:16.222 --> 00:05:20.345]  We have Vazobeats with nitrous oxide to boost your heart health.
[00:05:21.325 --> 00:05:21.725]  All of it.
[00:05:22.766 --> 00:05:30.491]  We have TurboForce, the most powerful, high-quality brain booster tropic out there that's also good for you, unlike other brain boosters that aren't.
[00:05:31.091 --> 00:05:32.312]  TurboForce discounted.
[00:05:32.332 --> 00:05:33.673]  Infowarstore.com.
[00:05:34.053 --> 00:05:35.294]  Get TurboForce.
[00:05:37.148 --> 00:05:38.249]  Get Winter Son.
[00:05:39.310 --> 00:05:41.693]  Get it all at InfoWarsTore.com.
[00:05:42.013 --> 00:05:44.055]  And I want to thank you all for keeping us on air over the years.
[00:05:44.075 --> 00:05:45.837]  You've seen that we've delivered together.
[00:05:46.217 --> 00:05:47.439]  You delivered supporting us.
[00:05:47.879 --> 00:05:49.080]  I've delivered not giving up.
[00:05:49.441 --> 00:05:52.724]  Praise God and passing ammunition in the information war.
[00:05:52.744 --> 00:05:54.646]  Get a copy of my book, The Great Awakening.
[00:05:55.887 --> 00:05:56.668]  Sign or unsign.
[00:05:56.808 --> 00:05:58.009]  InfoWarsTore.com.
[00:05:58.170 --> 00:06:00.170]  Take action!
[00:06:00.170 --> 00:06:12.170]  It's Sunday, December 24th, 2023, Christmas Eve.
[00:06:12.170 --> 00:06:13.730]  [MUSIC PLAYING]
[00:06:13.605 --> 00:06:17.787]  You are listening to an Infowars.com frontline report.
[00:06:18.747 --> 00:06:22.668]  If you are receiving this transmission, you are the resistance.
[00:06:22.848 --> 00:06:27.330]  Think how pathetic the globalist control freaks are, trying to tell us not to even say Christmas.
[00:06:28.010 --> 00:06:30.792]  Look how far they've sucked us down into their mind control.
[00:06:31.012 --> 00:06:33.833]  But we're waking up from it and we're breaking free.
[00:06:34.113 --> 00:06:34.313]  All right.
[00:06:36.442 --> 00:06:44.851]  About a week and a half ago, almost two weeks ago, I get a call by one of the biggest people on X and they say, hey, you want to be on tomorrow with Elon Musk?
[00:06:45.172 --> 00:06:46.393]  He's going to go on with you if you're ready.
[00:06:46.453 --> 00:06:46.954]  I said, yeah.
[00:06:47.354 --> 00:06:48.956]  We did almost three hours.
[00:06:48.976 --> 00:06:50.277]  Elon was on for two and a half.
[00:06:51.218 --> 00:06:51.859]  It was incredible.
[00:06:52.700 --> 00:06:57.505]  And where else do you get 20 million views on a digital phone system?
[00:06:58.388 --> 00:07:08.334]  And as of today, there's 20-plus million views just of the main interview, over 100 million views just on X of clips.
[00:07:09.274 --> 00:07:16.798]  But I thought, why not on Christmas Eve play, we're not going to play the whole two and a half hours, the show's only two hours long, but big excerpts.
[00:07:16.818 --> 00:07:19.680]  We're going to hear about an hour and a half of this tonight.
[00:07:20.802 --> 00:07:23.524]  And sometimes the audio is great, sometimes it's a little weird, but it doesn't matter.
[00:07:23.644 --> 00:07:25.806]  It's real, and it's the future of media.
[00:07:25.826 --> 00:07:27.967]  Remember, the average CNN show has about 100,000 viewers.
[00:07:28.307 --> 00:07:33.191]  This got 10 million that first day, another 10 million over the next week, and it'll continue just to grow.
[00:07:33.471 --> 00:07:34.071]  It's insane.
[00:07:35.252 --> 00:07:38.234]  That's why the EU is coming after Elon Musk right now, because of this.
[00:07:38.314 --> 00:07:40.556]  So, here it is.
[00:07:41.076 --> 00:07:45.900]  Large excerpts of this extravaganza of free speech.
[00:07:47.159 --> 00:07:49.660]  Alex, welcome to X. How are you?
[00:07:50.300 --> 00:07:51.080]  Thanks for having me.
[00:07:51.400 --> 00:08:00.924]  Just so I don't get in trouble or Chase Geyser doesn't get in trouble, I'm going to really try to follow all the rules so they can't try to get me off with all the complaints that the woke thought police engaged in.
[00:08:00.984 --> 00:08:02.644]  Chase Geyser works here at InfoWars.
[00:08:03.465 --> 00:08:06.326]  He's co-hosting with me tonight on my regular show at InfoWars.
[00:08:07.891 --> 00:08:08.971]  I've been very happy to come on.
[00:08:09.172 --> 00:08:14.454]  I know this is one of the biggest spaces here on Twitter, so I'm very honored to be here.
[00:08:14.894 --> 00:08:18.235]  And then I've been frantically trying to get on, but I think the code hasn't propagated yet.
[00:08:18.275 --> 00:08:30.480]  I'm not an IT guy, but I think the code hasn't propagated because I'm still locked out of a lot of features and a lot of things, and I was unable to get verified today until Jack Posobiec called some folks he knew at Twitter, and they were able to even allow me to get on the Twitter.
[00:08:31.220 --> 00:08:33.001]   So I'm I'm here.
[00:08:33.101 --> 00:08:37.425]  And as soon as they fix that glitch, I'll be glad to call in from my phone.
[00:08:37.445 --> 00:08:38.906]  But for now, I'm with Chase Geiser.
[00:08:39.286 --> 00:08:41.268]  First, I want to applaud you for coming here.
[00:08:41.288 --> 00:08:45.251]  You could have gone anywhere, but you came on a platform that, you know, we ask the hard questions.
[00:08:45.311 --> 00:08:49.714]  We always try to represent all sides of every discussion and avoid echo chambers.
[00:08:49.754 --> 00:08:56.500]  And that was the first place you came on as you got reinstated on X. So I want to applaud that step.
[00:08:57.060 --> 00:08:58.041]  First question I have for you.
[00:08:59.342 --> 00:09:00.283]  How does it feel to be back?
[00:09:01.109 --> 00:09:04.190]  Well, I've got to say it's it's not about me.
[00:09:04.730 --> 00:09:09.792]  It's about everybody having the courage to stand up for free speech, particularly Elon Musk, Tucker Carlson and others.
[00:09:10.712 --> 00:09:27.576]   And because when we put up with somebody else being censored for whatever reason the media says, or whether something they said that was wrong or something that hurts our feelings, when we censor somebody else or go along with it, we end up censoring Everybody else, including ourselves.
[00:09:27.597 --> 00:09:35.539]  So I want to applaud everybody for after five, six years of this nightmare for waking up to the truth of what's really going on.
[00:09:35.559 --> 00:09:36.999]  And so it's very exciting.
[00:09:37.039 --> 00:09:39.400]  I feel like the tide has really turned.
[00:09:39.960 --> 00:09:51.143]  And I'm not just seeing this, you know, here in cyberspace on Twitter, which is obviously exploded and just is dominating while the old big tech dinosaurs die because they are like Pravda, the old Soviet Union.
[00:09:51.163 --> 00:09:52.484]  So it's very, very exciting.
[00:09:53.144 --> 00:09:55.326]  To be part of history, but really this isn't about me.
[00:09:55.346 --> 00:10:04.674]  This is about the public recognizing that the process that was used to demonize me, misrepresent what I said and did, and then silence me, and then build straw men.
[00:10:05.979 --> 00:10:16.434]  Once they silence you off all major platforms, they're able to then steal your identity and then turn you into something you weren't with edited clips and out of context stuff.
[00:10:16.494 --> 00:10:21.020]  And now even everybody's experiencing it as prominent with these deep fakes.
[00:10:21.080 --> 00:10:44.153]   So that's why it's so important that everybody Have a voice even we disagree with them because we need to hear what they actually have to say in real time, especially in this so connected world because this is the real discrimination of the future with these social credit scores and AI systems is using excuses to block humans off the web, but then giving bots free reign.
[00:10:44.193 --> 00:10:51.196]  That's another visionary thing that Elon Musk has done is declare war on the bots, declare war on robots.
[00:10:51.656 --> 00:10:54.577]  That are stealing identities and masquerading as humans.
[00:10:54.597 --> 00:10:55.517]  That's really critical.
[00:10:56.017 --> 00:11:09.541]  So, one thing I did in a post today, and I think Tucker was the first one to do this, and not only calling you the most censored man on the planet, he said that you were, I think, the first major personality to be censored by big tech.
[00:11:09.842 --> 00:11:20.629]   And he told a story on how Tim Cook had a meeting with other platforms in 2017, end of 2017, and they made the decision to censor you not only from social media platforms, But that included your bank account, that included everything.
[00:11:21.089 --> 00:11:27.651]  Can you tell us more about the platforms that censored you, the excuse that they gave, and the experience that you went through?
[00:11:28.911 --> 00:11:29.311]  Absolutely.
[00:11:29.331 --> 00:11:30.551]  I think that was back in August of 2017-18.
[00:11:30.672 --> 00:11:33.772]  I don't remember the exact date, but it was in August.
[00:11:34.293 --> 00:11:42.415]  And I normally get up at about four in the morning, so I got up, got a cup of coffee, turned the computer on, and I had hundreds of messages saying it was just announced you were banned.
[00:11:43.335 --> 00:11:51.225]   And Tim Cook said, yeah, we had our weekend meeting, and I met with the other heads of Big Tech and we decided to curate like it's a museum.
[00:11:51.725 --> 00:11:54.447]  And I'm a museum piece that he just took out and put something else in there.
[00:11:54.767 --> 00:11:56.068]  You know, a nice word for liquidating.
[00:11:56.668 --> 00:11:59.229]  And then they really didn't have excuses for why they did it.
[00:11:59.269 --> 00:12:09.756]  They used some really, really strange excuses that I was rude to a CNN reporter, Oliver Darcy, and that I'd also beat up a child in Missouri because the guy looked like me, but it was on ABC News.
[00:12:09.816 --> 00:12:12.558]  It was just really, really, really flimsy reasons.
[00:12:13.438 --> 00:12:16.100]  And then I was taken off.
[00:12:17.048 --> 00:12:19.549]  We lost most of our software that we were already paying for.
[00:12:19.589 --> 00:12:21.209]  We lost our shopping cart software.
[00:12:21.249 --> 00:12:22.530]  We lost the sub software.
[00:12:22.570 --> 00:12:24.310]  We lost LinkedIn.
[00:12:24.590 --> 00:12:27.491]  We lost over a hundred things.
[00:12:27.571 --> 00:12:28.851]  And then we lost our banking.
[00:12:29.852 --> 00:12:33.533]  We launched our, uh, uh, our credit card processor.
[00:12:34.073 --> 00:12:37.634]  We lost over a hundred things in the next week or two.
[00:12:37.654 --> 00:12:40.655]  Uh, and it was really, really intense.
[00:12:40.955 --> 00:12:41.455]  And then.
[00:12:42.600 --> 00:12:46.942]  Then they had, we later learned, I'm not going to say names or even get into it because that's what they want attention.
[00:12:46.982 --> 00:12:55.245]  But we learned there was a big, powerful New York PR firm that actually does the PR for the UN and also for some of the CIA operations.
[00:12:55.925 --> 00:12:57.306]  And that's really what we're talking about here.
[00:12:57.506 --> 00:12:58.706]  That's all come out in Congress now.
[00:12:59.507 --> 00:13:10.631]  And then they went and dredged up stuff in my timeline, out of context, blew it up times a million, and then said that I was currently doing things I'd never done.
[00:13:11.260 --> 00:13:18.103]  Just outrageous, horrible things, but notice never proof, never a clip, never a video, never anything.
[00:13:18.784 --> 00:13:24.067]  And so other than like three second clips out of context, so I was unable to defend myself.
[00:13:24.767 --> 00:13:28.129]  And so they were able to then create this new Alex Jones.
[00:13:28.829 --> 00:13:30.770]  But then I was very blessed over the next five years.
[00:13:31.960 --> 00:13:51.104]  The public really on their own, because they kept demonizing, kept attacking, sent them thousands of articles a week, hundreds of TV programs a week, I'm not exaggerating, I mean, AP articles syndicated in every newspaper in the country, at least once a week, and Daily Mail attack pieces every week, just thousands and thousands and thousands of articles, like I was a third world country they were about to invade.
[00:13:51.144 --> 00:14:11.233]   There was that much propaganda, but it wasn't as they were really that scared of me, They knew, in documents that later came out, that once they used me as a training tool, like a chew toy for attack dogs, that once the public got scared and didn't defend me and self-censored and didn't promote me, then they could move on to everybody else.
[00:14:11.333 --> 00:14:14.134]  So I was simply the first big domino to fall.
[00:14:14.674 --> 00:14:17.535]  And then once they did that, they were able to take the whole thing over.
[00:14:17.575 --> 00:14:25.710]   And since then, I mean, they had NATO summits five years ago saying, we got Alex Jones, and now we're going to get everybody.
[00:14:25.750 --> 00:14:28.431]  We're going to basically shut down left, right, everybody.
[00:14:28.451 --> 00:14:29.792]  We're going to bring in total control.
[00:14:30.292 --> 00:14:32.593]  The internet will soon be like Netflix.
[00:14:32.613 --> 00:14:34.995]  There'll only be approved channels and approved programs.
[00:14:35.015 --> 00:14:35.655]  These are quotes.
[00:14:36.436 --> 00:14:40.838]  And so I was there on still some talk radio stations and my own website, InfoWars.com.
[00:14:41.843 --> 00:14:47.146]  Desperately trying to explain, look, they're having congressional hearings about AI censoring people.
[00:14:47.946 --> 00:14:50.288]  They're having EU and NATO meetings.
[00:14:50.328 --> 00:14:51.068]  Here are the documents.
[00:14:51.088 --> 00:14:51.769]  Here are the videos.
[00:14:52.349 --> 00:14:58.292]  And they were so confident then because no one was talking about it in cyberspace and was just little pockets talking about it.
[00:14:58.673 --> 00:14:59.653]  So they got away with it.
[00:14:59.693 --> 00:15:01.094]  But then they got so arrogant.
[00:15:02.250 --> 00:15:13.319]  With the Hunter Biden laptop and with what we saw in the build up to 2020 and after that, and then they censored so many tens of millions of people, really more than that, and removed billions of posts.
[00:15:14.413 --> 00:15:24.019]  On questioning COVID origins, or questioning the Libya pullout, or questioning open borders, that it just infuriated the public because they went too far.
[00:15:24.679 --> 00:15:27.981]  And then people went back and said, oh, well, what happened to Alex Jones?
[00:15:28.442 --> 00:15:39.528]  And so they basically dug me up, exhumed me, and did an autopsy and found out that I was just the first test subject.
[00:15:39.948 --> 00:15:44.176]   And so quite frankly, I'm just very honored for everybody's support and people seeing through this.
[00:15:44.216 --> 00:15:49.000]  I'm certainly not perfect, but 99% of what people hear about me is not true.
[00:15:49.060 --> 00:15:56.166]  It's the same thing they do to Elon, where he says nice things, and then they lie and say, Elon Musk just said this.
[00:15:56.747 --> 00:16:01.311]  And then you spend an hour trying to find where he actually said what he said, and you finally find it, and it's the opposite.
[00:16:01.911 --> 00:16:03.953]  And so I'm telling you folks, that's what they do.
[00:16:04.533 --> 00:16:13.163]   They completely twist everything, and I think So many people got a large serving of what I had, that there was a lot of camaraderie.
[00:16:13.363 --> 00:16:15.884]  And quite frankly, everybody are veterans.
[00:16:15.904 --> 00:16:19.866]  I wouldn't call us victims, but we're veterans of real information war now.
[00:16:20.327 --> 00:16:22.287]  We've all had a real chance to experience it.
[00:16:23.208 --> 00:16:25.789]  And so it's a major tide turning point.
[00:16:26.850 --> 00:16:35.674]  I know that like a poison battery, they charged me up with so much negativity, such a straw man lie, such a horrible, terrible demon.
[00:16:36.494 --> 00:16:44.777]  That Elon knew that if he brought me back early, I think that that would have been too far because the public wasn't educated yet, and he had to free the rest of the captives first.
[00:16:45.417 --> 00:16:51.900]  But I think as more evidence came out, he made that bold move that these people are, there's never enough censorship.
[00:16:52.180 --> 00:16:53.700]  You never can bend enough to them.
[00:16:54.360 --> 00:16:55.921]  You never can compromise with them.
[00:16:56.001 --> 00:16:57.362]  They never compromise with us.
[00:16:57.782 --> 00:17:01.403]  So you finally reach that, well, you moment.
[00:17:01.663 --> 00:17:03.444]  So I think that's the shot heard around the world.
[00:17:03.484 --> 00:17:06.686]   I think that Well, I think he said that yesterday.
[00:17:06.505 --> 00:17:11.465]   completely turned when Elon Musk said go f*** yourself you can mark that day as a shot heard
[00:17:11.465 --> 00:17:14.365]  around the world in the info war and when we turn the tide.
[00:17:14.365 --> 00:17:19.024]   Now that you're back do you expect Elon who also quote I think he replied to Brian who's on stage
[00:17:19.024 --> 00:17:23.704]   one of his replies he said I expect revenue to potentially drop from this decision do you
[00:17:23.704 --> 00:17:29.634]   expect there to be attacks or pressure on Elon after he reinstated you? Well I think he said that
[00:17:29.634 --> 00:17:36.384]   yesterday he I don't I don't have the the comment on x in front of me but he basically said it's it's
[00:17:36.384 --> 00:17:41.434]   the right thing to do because the principle and it's also what the majority of the vote
[00:17:41.434 --> 00:17:46.764]   said so this probably will hurt x monetarily but justice be done may the heavens fall
[00:17:46.764 --> 00:17:47.544]  basically.
