[00:00:03.544 --> 00:00:04.325]  We're live.
[00:00:04.865 --> 00:00:06.627]  It's Sunday, January 8th.
[00:00:07.247 --> 00:00:14.593]  English historian Peter Heather controversially argued that Rome was ultimately overcome by illegal immigration.
[00:00:14.693 --> 00:00:23.241]  Heather accepted the academic analysis that the Huns on the Pontic Steppe in the late 4th century set these migrations in motion.
[00:00:25.762 --> 00:00:35.824]  However, according to Heather, the assumption that the barbarians were then peacefully absorbed into Rome smells more of wishful thinking than likely reality.
[00:00:36.104 --> 00:00:39.885]  Rome had always been an inclusive society that welcomed immigrants.
[00:00:40.225 --> 00:00:45.707]  Immigrants were given employment in the Roman army, but were welcome only if they assimilated.
[00:00:45.967 --> 00:00:47.587]  Of course, Rome still fell.
[00:00:48.047 --> 00:01:02.110]  What makes anyone think that the United States and Europe can absorb violent, non-assimilating immigrants from all over the world, with the result not ultimately collapsing 21st century civilization?
[00:01:04.810 --> 00:01:07.711]  The drug crisis in the United States continues to escalate.
[00:01:07.731 --> 00:01:11.391]  This year, more than 100,000 Americans died due to a drug overdose.
[00:01:11.811 --> 00:01:14.692]  It is now one of the top ten reasons for deaths in America.
[00:01:14.892 --> 00:01:27.617]  Breitbart reported that Texas Attorney General Ken Paxton filed a lawsuit against the Biden administration over its rule change allowing immigrants into the country who will be dependent on welfare.
[00:01:28.157 --> 00:01:39.581]  Federal immigration law has required a public charge determination for immigrants which bars them from staying in the country if they are likely to use welfare programs.
[00:01:40.041 --> 00:01:42.484]  Like food stamps, Medicaid or government housing.
[00:01:42.984 --> 00:01:54.356]  Studies show taxpayers are being billed about $1,600 a year per immigrant and that immigrants use 33% more cash welfare than American citizens.
[00:01:55.137 --> 00:02:10.565]  Similarly, about 63% of non-citizen households use at least one form of public welfare, while only about 35% of native-born American households are on welfare.
[00:02:10.886 --> 00:02:14.427]  The architects of this collapse know full well what they're doing.
[00:02:14.868 --> 00:02:19.590]  We hear frequently that people are at the center of sustainable development.
[00:02:20.671 --> 00:02:24.633]  And we know that, by definition, people are at the center of populations.
[00:02:25.731 --> 00:02:36.987]  Well, from these two simple observations, it follows that an understanding of population patterns and trends will be essential for the successful implementation of the 2030 Agenda for Sustainable Development.
[00:02:38.049 --> 00:02:38.790]  Let me be clear.
[00:02:39.605 --> 00:02:44.187]  Title 42 or not, the border is not open.
[00:02:44.867 --> 00:02:51.549]  The collapse is right in front of us as Californians flee for Mexico under California Governor Newsom.
[00:02:51.609 --> 00:02:53.630]  Both are leaving California too.
[00:02:54.050 --> 00:03:01.453]  Some fear that mass departures by the state's billionaires and tech companies could reduce local and state tax revenues.
[00:03:01.873 --> 00:03:08.235]  Just 1% of California's top income earners are responsible for half of all income tax revenue.
[00:03:08.715 --> 00:03:13.517]  Those drops could have the potential to affect government services for years to come.
[00:03:13.837 --> 00:03:17.898]  And illegals kill Americans at a higher rate than Americans kill each other.
[00:03:18.179 --> 00:03:24.481]  How many American children are going to be burned alive before our elected leaders decide to take action?
[00:03:24.901 --> 00:03:26.081]  The Republicans don't care.
[00:03:26.121 --> 00:03:27.742]  They don't want to stand up to the donor class.
[00:03:28.002 --> 00:03:29.283]  The Democrats sure don't care.
[00:03:29.303 --> 00:03:30.363]  They want new voters.
[00:03:30.423 --> 00:03:31.043]  Big business?
[00:03:31.463 --> 00:03:32.564]  They want cheap labor.
[00:03:33.084 --> 00:03:43.993]  Meanwhile, ICE is confirming that Jose Rosales, who is accused of killing Harris County, Texas, Corporal Charles Galloway, is in the country illegally when he murdered that officer.
[00:03:44.233 --> 00:03:45.434]  Tell us what happened to your brother.
[00:03:45.554 --> 00:03:49.958]  He was murdered in 2018 by an illegal criminal alien.
[00:03:50.178 --> 00:03:54.162]  She was rear-ended by Eswin Mejia, who was 19 years old.
[00:03:55.257 --> 00:03:56.258]  Here illegally.
[00:03:56.798 --> 00:04:03.081]  Margarito Quintero Rosales told authorities he fell asleep at the wheel and his van drifted into the oncoming lane.
[00:04:03.661 --> 00:04:04.562]  He was here illegally.
[00:04:05.182 --> 00:04:14.987]  There's not a day goes by in this country that there isn't at least one American citizen that dies at the hands of someone who's unlawfully present in the United States.
[00:04:15.687 --> 00:04:33.140]   Whether it is an act of homicide, whether it's an act of willful manslaughter, whether it's an OWI on the streets of America, Hardly anybody has gone through the last 10 years and doesn't at least see that show up in their local newspaper if it doesn't show up in their neighborhood.
[00:04:33.921 --> 00:04:40.828]  The cold reality ignored by the media industrial complex lingers in the shadows of a crumbling America.
[00:04:41.348 --> 00:04:57.997]  Vomiting the United Nations Replacement Migration Directive, fueled by globalist trillionaire NGOs, kept in motion by runaway government corruption, and rammed down the throats of the American taxpayer in order to usher in a new world order.
[00:04:58.097 --> 00:04:59.097]  John Bowne.
[00:04:59.097 --> 00:05:02.097]  [MUSIC PLAYING]
[00:05:02.097 --> 00:05:09.616]  It's Sunday.
[00:05:09.663 --> 00:05:10.223]  January 8th.
[00:05:13.928 --> 00:05:14.728]  InfoWars.
[00:05:15.088 --> 00:05:16.648]  Tomorrow's news today.
[00:05:16.668 --> 00:05:47.993]   Holding high above my head the eternal torch of liberty in defense of life and free will, In the worship of the creator of the universe.
[00:05:48.994 --> 00:05:52.177]  Well, we have quite the transmission lined up for you this evening.
[00:05:54.031 --> 00:06:07.440]  I returned yesterday after a very important time spent with family and cogitating and really thinking about what's currently happening in the future and what's about to unfold and how we can be part of that future and not just be bystanders and let the new world order run over us.
[00:06:07.860 --> 00:06:10.843]  And I am recharged and ready and back in studio.
[00:06:11.143 --> 00:06:15.286]  I won't just be hosting, obviously, this Sunday show, but the weekday program, 11 a.m.
[00:06:15.306 --> 00:06:15.866]  to 3 p.m.
[00:06:15.886 --> 00:06:22.951]  Central at the demonized, attacked, censored, lied about Fulcrum of Liberty InfoWars.com.
[00:06:24.304 --> 00:06:26.965]  All right, let's dive straight into it.
[00:06:29.007 --> 00:06:31.688]  I'm going to get to all the other huge news coming up at the bottom of the hour.
[00:06:31.728 --> 00:06:37.571]  But right now, let's drill in to the puppet globalist Joe Biden following the U.N.
[00:06:37.611 --> 00:06:45.636]  replacement migration plan that the United Nations developed that Europe's been following and that we've been following for decades.
[00:06:46.936 --> 00:06:50.078]  He touched down about two hours ago in El Paso.
[00:06:50.598 --> 00:06:53.500]  He's scheduled to take off in the next 30 minutes, a touch and go.
[00:06:54.745 --> 00:07:02.927]  And he's wandering around basically claiming that he's surveying the supposed broken border and saying it's just fine.
[00:07:04.148 --> 00:07:13.370]  They have openly cleaned out all the illegal alien camps and UN camps and shipped the tent city set up on the other side of the U.S.
[00:07:13.410 --> 00:07:14.931]  border in El Paso out.
[00:07:15.411 --> 00:07:28.939]   So it's quite the Potemkin village or the Matrix-like deception that we are witnessing right now.
[00:07:29.719 --> 00:07:31.000]  And here are some of the headlines.
[00:07:31.100 --> 00:07:31.541]  Crisis?
[00:07:31.581 --> 00:07:32.221]  What crisis?
[00:07:32.822 --> 00:07:36.205]  El Paso clears out migrant camps ahead of Biden's first trip to the border.
[00:07:37.226 --> 00:07:43.050]  Sunday, as frustrated agents say numbers always fall in January and he might as well have gone to Des Moines.
[00:07:44.572 --> 00:07:52.166]   Meanwhile, Biden's readying to announce his Relaunched for his 2024 campaign.
[00:07:52.206 --> 00:07:53.347]  Yes, he's that arrogant.
[00:07:53.428 --> 00:07:58.936]  Can't even hardly talk or walk now, but they want a zombie just like Fetterman in office they can control.
[00:07:59.336 --> 00:08:01.660]  They'll probably steal the next election and stall him again.
[00:08:03.208 --> 00:08:06.651]  Biden inspects busy port of entry along US-Mexico border.
[00:08:06.911 --> 00:08:09.053]  That's what AP calls the collapsed border.
[00:08:09.413 --> 00:08:11.775]  A busy port of entry.
[00:08:12.355 --> 00:08:23.084]  And here is the actual White House schedule where you can see where he landed here at 2 o'clock and is scheduled to take off anytime now.
[00:08:23.584 --> 00:08:28.467]  So basically a touch and go visit there while saying there wasn't a border crisis.
[00:08:28.907 --> 00:08:31.329]  Now he blames it on the Republicans.
[00:08:31.729 --> 00:08:35.732]  Joe Biden arrives in El Paso for the first border visit of his presidency.
[00:08:36.192 --> 00:08:39.974]  Texas governor says Biden team failed to communicate on border visit.
[00:08:40.795 --> 00:08:42.356]  But here's what's really important.
[00:08:44.517 --> 00:08:47.379]  Biden came out when he was the vice president.
[00:08:50.242 --> 00:08:52.003]  This particular clip's from nine years ago.
[00:08:52.643 --> 00:08:58.767]  And then there's another clip from two and a half, three years ago when he was running for office saying basically the same thing.
[00:08:59.087 --> 00:09:12.175]  So here are these clips from the past, back to back, where he is announcing the globalist plan for replacement migration and to bring in giant third world populations, permanent underclasses, the globalists can control.
[00:09:12.215 --> 00:09:12.575]  Here it is.
