[00:00:00.000 --> 00:00:27.000]  [MUSIC]
[00:00:27.000 --> 00:00:32.000]  InfoWars. Tomorrow's news, today.
[00:00:30.287 --> 00:00:45.900]   Now ladies, one of the biggest, ladies and gentlemen, one of the biggest stories this week has been how the Wuhan lab leak theory was actually correct.
[00:00:46.580 --> 00:00:54.145]  And the mainstream media that told you that was disinformation, told you not to share that, not to spread that, would censor you, ban you if you did.
[00:00:55.866 --> 00:01:02.470]  All the American news outlets, politicians saying, no, it did not come from a laboratory.
[00:01:02.570 --> 00:01:05.492]  And in fact, that's racist for you to say that.
[00:01:05.632 --> 00:01:07.473]  And Trump is a racist for him to say that.
[00:01:09.972 --> 00:01:12.013]  And of course, they were wrong.
[00:01:12.693 --> 00:01:14.494]  Now, why are they talking about this now?
[00:01:14.574 --> 00:01:19.936]  Is it because China is getting involved with Russia going into Ukraine?
[00:01:20.756 --> 00:01:31.180]  Is it because Joe Biden and his family have been caught in many of their criminal enterprises laundering money, 10% for the big guy, foreign influence, blackmail, bribery?
[00:01:32.440 --> 00:01:35.541]  He just sent a guy to jail who exposed it.
[00:01:36.061 --> 00:01:37.202]  You didn't hear about that, did you?
[00:01:38.302 --> 00:01:40.322]  I've already, I mean, you don't know his name.
[00:01:40.342 --> 00:01:41.803]  I think it's, it was Galt.
[00:01:42.043 --> 00:01:42.743]  I covered it yesterday.
[00:01:42.763 --> 00:01:43.663]  I already forgot the guy's name.
[00:01:44.763 --> 00:01:46.984]  Because they're not talking about it 24-7 on the news.
[00:01:48.224 --> 00:01:53.225]  But yeah, a guy that showed Biden's potential foreign business dealings being criminal.
[00:01:54.645 --> 00:01:55.745]  Biden had him arrested.
[00:01:57.105 --> 00:01:58.166]  Isn't that something?
[00:01:59.506 --> 00:02:02.246]  And that's a theme, by the way, that we're going to have today.
[00:02:03.327 --> 00:02:05.827]  Because Infowars is the canary in the coal mine.
[00:02:09.986 --> 00:02:13.370]  So what they do to Alex Jones, what they do to InfoWars, eventually they'll do to everybody else.
[00:02:13.390 --> 00:02:14.911]  But that'll be the theme ongoing.
[00:02:16.813 --> 00:02:19.637]  But I want to play a clip for you from April 2022.
[00:02:21.687 --> 00:02:23.408]  From Anne Applebaum.
[00:02:23.928 --> 00:02:25.748]  You want to know how propaganda works, folks?
[00:02:25.788 --> 00:02:26.889]  This is how it works right here.
[00:02:26.909 --> 00:02:29.170]  You want to know how the leftist ideology justifies it?
[00:02:29.510 --> 00:02:30.430]  This is all right here.
[00:02:30.470 --> 00:02:37.753]  Now, today, Anne Applebaum is out supporting the war in Ukraine, supporting the war propaganda for the Atlantic, just like she always does.
[00:02:38.173 --> 00:02:41.894]  State-sponsored, state-run propaganda from Anne Applebaum.
[00:02:42.394 --> 00:02:45.035]  But if you want to know how it all works, listen to what she said in April 2022.
[00:02:46.736 --> 00:02:50.558]  After they all told us the Hunter Biden laptop was Russian disinformation.
[00:02:50.819 --> 00:02:51.299]  Remember that?
[00:02:51.339 --> 00:02:53.880]  They told you the Hunter Biden laptop was Russian disinformation.
[00:02:54.261 --> 00:03:01.045]  Same people that told you that COVID-19 did not come out of a Wuhan laboratory.
[00:03:01.225 --> 00:03:05.267]  Same people that told you that told you Hunter Biden's laptop was disinformation.
[00:03:05.287 --> 00:03:06.008]  They lied.
[00:03:06.708 --> 00:03:13.492]  And here was Ann Applebaum addressing that lie during a question and answer session.
[00:03:14.413 --> 00:03:15.473]  Listen to what she says here.
[00:03:15.493 --> 00:03:16.174]  It tells you everything.
[00:03:17.592 --> 00:03:18.120]  Let's take a...
[00:03:20.248 --> 00:03:20.608]  Amazing.
[00:03:20.648 --> 00:03:21.008]  Thank you.
