[00:00:00.109 --> 00:00:01.030]  They will destroy us?
[00:00:01.230 --> 00:00:01.750]  Well, guess what?
[00:00:01.770 --> 00:00:02.771]  We didn't start this fight.
[00:00:02.811 --> 00:00:03.372]  We don't want it.
[00:00:03.832 --> 00:00:07.655]  But if you want to fight, you better believe you've got one!
[00:00:07.895 --> 00:00:09.736]  I've not been this excited ever!
[00:00:13.279 --> 00:00:15.881]  The replatforming begins now.
[00:00:15.801 --> 00:00:19.801]  Join Mug Club and get one month free with promo code "Alex"
[00:00:19.801 --> 00:00:36.311]   at jonescrowder.com Have you been compromising day in and day out when no
[00:00:36.311 --> 00:00:38.160]  compromise is necessary?
[00:00:38.160 --> 00:00:40.921]  (dramatic music)
[00:00:40.921 --> 00:00:43.921]  [Music]
[00:00:42.094 --> 00:00:42.994]  And I'll go one further.
[00:00:43.395 --> 00:00:46.978]  Where no compromise should ever be expected from you.
[00:00:49.660 --> 00:00:51.900]  It is time to match intensity.
[00:00:51.900 --> 00:01:03.019]   Every single one of you watching or listening right now needs to flip a switch in your head
[00:01:03.019 --> 00:01:12.699]   where you will make those sons of bitches embarrassed that they ever even thought of asking that compromise.
[00:01:12.878 --> 00:01:16.481]  Imagine the founding fathers looking down and going, what the fuck are you people doing?
[00:01:16.501 --> 00:01:22.405]  You're talking about the same people that rail against misinformation, who platform Adam Schiff.
[00:01:22.445 --> 00:01:25.267]  This case needs to be blown up and the ATF needs to be held accountable.
[00:01:25.447 --> 00:01:28.805]  Why can't we not condemn evil behavior?
[00:01:28.805 --> 00:01:47.806]  [Music]
[00:01:47.806 --> 00:01:51.806]  [Music fades]
[00:01:51.806 --> 00:01:55.207]  Hello Mug Club and all you strange animals out there.
[00:01:55.184 --> 00:02:05.786]  We've been hard at work with our friends at Rumble to bring you the first network controlled by creators.
[00:02:06.007 --> 00:02:10.848]  And two of the biggest giants in this industry are joining forces under the same umbrella.
[00:02:11.288 --> 00:02:12.248]  No more censorship.
[00:02:12.508 --> 00:02:13.988]  No more big tech dependents.
[00:02:14.229 --> 00:02:15.729]  No more one-sided contracts.
[00:02:16.229 --> 00:02:20.370]  The time for an open, honest, and transparent network has arrived.
[00:02:20.870 --> 00:02:24.071]  The time for a network controlled by the creators has arrived.
[00:02:24.091 --> 00:02:29.713]  The time for a network that allows creators to focus on their audience has arrived.
[00:02:30.053 --> 00:02:35.855]  If you're signing up for Mug Club today, use promo code replatforming for a free Fight Like Hell t-shirt.
[00:02:36.235 --> 00:02:37.336]  Join us in that fight.
