[00:00:00.330 --> 00:00:00.991]  It's official.
[00:00:01.431 --> 00:00:05.819]  The White House just announced a return to all the COVID tyranny.
[00:00:06.620 --> 00:00:08.343]  Confirming, InfoWars Whistleblower.
[00:00:08.664 --> 00:00:10.127]  It is now official.
[00:00:10.475 --> 00:00:15.477]  President Biden tested negative last night for COVID-19 and tested negative again today.
[00:00:15.957 --> 00:00:17.958]  He's not experiencing any symptoms.
[00:00:18.518 --> 00:00:28.742]  As far as the steps he is taking, since the president was with the first lady yesterday, he will be masking while indoors and around people in alignment with CDC guidance.
[00:00:29.242 --> 00:00:39.106]  And as has been the practice in the past, the president will remove his mask when sufficiently distanced from others indoors and while outside as well.
[00:00:39.520 --> 00:00:43.882]  Well, unfortunately, we've been proven right again, and in just two weeks.
[00:00:44.602 --> 00:00:51.786]  The White House press secretary just announced that Biden is going back to the quote, standard COVID protocols.
[00:00:52.806 --> 00:00:57.729]  All the tyranny we've just seen in the last three and a half years, again, starting now.
[00:00:58.294 --> 00:01:06.382]  Since the President was with the First Lady yesterday, he will be masking while indoors and around people in alignment with CDC guidance.
[00:01:06.862 --> 00:01:11.847]  And as has been the practice in the past... Did you catch that?
[00:01:12.968 --> 00:01:15.290]  Oh, we're not going back to COVID protocols.
[00:01:15.350 --> 00:01:15.670]  No, no.
[00:01:16.291 --> 00:01:18.453]  We're just going back to the way it's always been.
[00:01:19.053 --> 00:01:21.636]  As has been the practice in the past...
[00:01:22.372 --> 00:01:24.714]  If there's one case at a rock concert, it's shut down.
[00:01:25.094 --> 00:01:26.555]  One case at a college, it's closed.
[00:01:26.875 --> 00:01:28.236]  One case at a hospital, it's closed.
[00:01:28.617 --> 00:01:30.618]  I mean, your family can't come visit your loved ones.
[00:01:31.259 --> 00:01:31.859]  Well, they kill them.
[00:01:32.880 --> 00:01:38.484]  Ladies and gentlemen, our high-level TSA whistleblower over two weeks ago told us this was coming.
[00:01:38.564 --> 00:01:39.945]  I checked with other feds.
[00:01:39.965 --> 00:01:44.889]  They said, yeah, we were just told it's coming back by mid-September and that the new shot will be available.
[00:01:45.509 --> 00:01:50.212]  It was over a week after I broke that that the White House Press Secretary came out and said, yeah!
[00:01:50.852 --> 00:01:52.852]  September 15th we have the new shot.
[00:01:52.852 --> 00:01:57.352]   FDA and CDC, they've made an announcement on the new vaccine.
[00:01:57.352 --> 00:02:04.852]   So certainly they said that they will have an, there will be an updated vaccine September, mid-September, I believe.
[00:02:04.852 --> 00:02:11.853]   So Metallica's canceling concerts and colleges are demanding you have to have a shot to be there.
[00:02:11.776 --> 00:02:14.338]  The new quote booster's not even out yet.
[00:02:14.798 --> 00:02:23.503]  So they're clearly trying this again, but they didn't want opposition to form up front, so they said a few weeks ago, oh no, Alex Jones is wrong.
[00:02:23.723 --> 00:02:26.025]  The TSA, the White House, oh no, no no.
[00:02:26.345 --> 00:02:27.686]  Nobody's planning to bring stuff back.
[00:02:28.146 --> 00:02:29.047]  And then today.
[00:02:30.009 --> 00:02:33.315]  The White House press secretary says, well, of course, it's no big deal.
[00:02:33.375 --> 00:02:34.637]  It's what we've always done.
[00:02:35.138 --> 00:02:41.749]  So all the lies, all the masks, all the testing, all the pushing the shots, all the vaccine passports, she's like, hey.
[00:02:43.066 --> 00:02:45.508]  We're just going back the way it always was.
[00:02:45.968 --> 00:02:47.209]  And then the view!
[00:02:47.589 --> 00:02:51.631]  Whoopi Goldberg, who's had COVID three times and had all these shots and quote, boosters.
[00:02:52.092 --> 00:02:53.353]  Well, she's got COVID again.
[00:02:53.433 --> 00:02:54.253]  She can't be there.
[00:02:54.613 --> 00:02:56.595]  So they're bringing it all back right now.
[00:02:56.935 --> 00:02:59.116]  As you can see, Whoopi is not here.
[00:02:59.316 --> 00:03:00.337]  She has COVID.
[00:03:00.357 --> 00:03:01.798]  Yes!
[00:03:02.178 --> 00:03:02.678]  It's back.
[00:03:04.319 --> 00:03:05.280]  But she's on the mend.
[00:03:05.300 --> 00:03:07.461]  She's on the tail end and she'll probably be back this week.
[00:03:07.501 --> 00:03:08.682]  But I'm sorry she's not here.
[00:03:09.122 --> 00:03:11.264]  For those of you who are looking forward to seeing her.
[00:03:11.755 --> 00:03:14.036]  Let's not forget they lied about where the virus came from.
[00:03:14.756 --> 00:03:17.497]  Let's not forget they lied about the so-called vaccines working.
