[00:00:00.000 --> 00:00:18.000]  [Outro]
[00:00:18.977 --> 00:00:23.599]  I knew when humanity found out about the plan to kill us all that we'd start rallying.
[00:00:24.179 --> 00:00:24.939]  And it's begun.
[00:00:25.039 --> 00:00:31.302]  It's Sunday, December 10th, 2023, and we are all men and women in the arena.
[00:00:32.402 --> 00:00:32.942]  Get ready.
[00:00:33.402 --> 00:00:34.163]  InfoWars.
[00:00:34.503 --> 00:00:36.103]  Tomorrow's news, today.
[00:00:36.123 --> 00:00:46.307]  I will run around, and I'll jump off the ground and shine!
[00:00:46.126 --> 00:00:53.126]  I will show my feet and I will clap my hands and shout.
[00:00:53.126 --> 00:01:02.126]  I will run around, I'll jump off the ground and shout.
[00:01:02.126 --> 00:01:06.126]  I'm gonna let 'em shine.
[00:01:06.126 --> 00:01:10.126]  Jesus is the light and I'm gonna let 'em shine.
[00:01:10.126 --> 00:01:14.126]  Jesus is the light and I'm gonna let 'em shine.
[00:01:14.126 --> 00:01:18.925]  Two hour plus interview with Elon Musk.
[00:01:17.073 --> 00:01:18.474]  Spaniard.
[00:01:19.935 --> 00:01:20.616]  Spaniard.
[00:01:20.656 --> 00:01:23.277]  I interviewed Elon Musk for two hours today.
[00:01:23.297 --> 00:01:25.459]  So entertained!
[00:01:25.779 --> 00:01:27.040]  A lot's happening right now.
[00:01:27.120 --> 00:01:28.521]  We are all men and women in the arena.
[00:01:29.361 --> 00:01:30.362]  And we're about to win.
[00:01:30.382 --> 00:01:33.584]  The globalists are in desperate straits right now.
[00:01:34.544 --> 00:01:36.185]  Are you not entertained?
[00:01:36.965 --> 00:01:41.365]   is the question on this live Sunday December 10th, 2023 transmission.
[00:01:41.365 --> 00:01:51.365]  [MUSIC]
[00:02:10.365 --> 00:02:15.365]  You can't ever win a fight if you don't know you're in one.
[00:02:15.481 --> 00:02:18.482]  But once you know you're in one, you realize who you are.
[00:02:19.243 --> 00:02:21.063]  Winning fights becomes quite easy.
[00:02:22.024 --> 00:02:25.265]  So awaken to the information war.
[00:02:26.026 --> 00:02:28.026]  Are you not entertained?
[00:02:28.026 --> 00:02:33.146]  Are you not entertained?
[00:02:33.146 --> 00:02:35.146]  Are you not entertained?
[00:02:34.945 --> 00:02:41.945]  Is this not why you are here?
[00:02:41.945 --> 00:02:48.945]  [crowd chanting]
[00:03:09.664 --> 00:03:12.945]  There is a civil war inside the republic.
[00:03:13.496 --> 00:03:16.098]  The decision, the future is being decided now.
[00:03:16.959 --> 00:03:20.221]  An InfoWars is being put back in the arena.
[00:03:21.122 --> 00:03:22.383]  Back in the game.
[00:03:24.445 --> 00:03:25.906]  It's the nature of the universe.
[00:03:27.047 --> 00:03:27.527]  Struggle.
[00:03:28.528 --> 00:03:29.349]  And conflict.
[00:03:29.909 --> 00:03:32.591]  Alright, you see that headline, and it's a true headline.
[00:03:33.272 --> 00:03:36.174]  Alex Jones interviews Elon Musk for 2 plus hours live.
[00:03:36.675 --> 00:03:38.836]  It just ended like 45 minutes ago.
[00:03:38.856 --> 00:03:41.719]  As soon as we get the file, I'm told we have it.
[00:03:42.931 --> 00:03:47.891]   We're going to be playing large excerpts of it, but regardless, it was big.
[00:03:47.891 --> 00:04:07.891]   So, you would imagine the rest of the broadcast would be about that and the incredible things covered.
[00:04:08.636 --> 00:04:11.097]  And it will be, over the next few days.
[00:04:14.534 --> 00:04:20.918]  But instead, in the first part of the broadcast, we're talking about what's really important.
[00:04:21.739 --> 00:04:31.525]  We have the Secretary of Defense and now the head of the State Department, Blinken, come out and say, yeah, we're going to full war with Russia unless you give us unlimited money for Russia.
[00:04:33.566 --> 00:04:34.327]  Kind of a big deal.
[00:04:36.728 --> 00:04:37.689]  And it's all coming up.
[00:04:38.369 --> 00:04:39.931]  The last resort of tyrants is war.
[00:04:42.142 --> 00:04:44.965]  And the health of a corrupt, parasitic, cancerous state is war.
[00:04:45.665 --> 00:04:49.569]  It's all getting covered tonight, Sunday, December 10th, 2023.
[00:04:49.769 --> 00:04:54.173]  Infowars.com and Band.Video are the coordinates of Liberté.
[00:04:54.493 --> 00:04:59.278]  There aren't many people in the world that are affecting the battle plan for the future of humanity.
[00:05:00.559 --> 00:05:04.342]  There's less than a few dozen on the enemy side, less than ten on our side.
[00:05:05.404 --> 00:05:08.187]  And I say this not as a matter of bragging, but as a matter of fact.
[00:05:08.867 --> 00:05:22.259]  This transmission, our guests, myself, this transmission, this broadcast is seen on the side of liberty as one of the main fountains or the progenitors or the source of the pro-human resistance against the globalists.
[00:05:24.061 --> 00:05:25.863]  A pro-human future.
[00:05:28.493 --> 00:05:29.433]  That's what we're talking about.
[00:05:29.913 --> 00:05:37.775]  330 days, 7 hours, 3 minutes, 24 seconds from the most important election in world history.
[00:05:39.836 --> 00:05:42.256]  Thank you so much for joining us tonight.
[00:05:42.276 --> 00:05:51.299]  Alright, if you see the live show headline, you're like, wow, Alex Jones is about to interview Elon Musk for two plus hours live!
[00:05:52.439 --> 00:05:56.020]  And I guarantee you I am, because it already happened.
[00:05:57.219 --> 00:06:00.262]  About 45 minutes before this live show began at 4 p.m.
[00:06:00.302 --> 00:06:16.115]  Central Standard Time, I interviewed Elon Musk for over two hours on a live feed of Spaces on X, formerly Twitter, and I got some great questions in.
[00:06:17.496 --> 00:06:18.777]  Vivek Ramaswamy was there.
[00:06:19.417 --> 00:06:27.432]   Here's the Headline, Alex Jones joins Elon Musk, Andrew Tate, Vivek Ranaswani in a wild X-Spaces conversation.
[00:06:27.952 --> 00:06:29.454]  Congressman Matt Gaetz was there.
[00:06:29.914 --> 00:06:31.335]  General Michael Flynn was there.
[00:06:32.997 --> 00:06:33.877]  Mark Tice was there.
[00:06:33.937 --> 00:06:35.138]  He's joining us at the bottom of the hour.
[00:06:35.639 --> 00:06:36.540]  It was incredible.
[00:06:37.588 --> 00:06:52.980]  But we'll get to that when Mark Dice joins us, because I'd love to talk about that and how positive it was and how he came out against the New World Order and talked about their plan to depopulate humanity and all the rest of it and what that signifies with millions watching and tens of millions more to watch later.
[00:06:54.061 --> 00:07:04.669]  But up front and in our grill is Biden a week ago, Secretary of Defense five, six days ago, Lloyd Austin, and now.
[00:07:06.690 --> 00:07:38.221]   The Secretary of State Blinken, we have the clip, we'll play it in a moment, saying that if we don't give a hundred plus billion dollars, no questions asked, on top of the hundreds of billions of dollars, to the cokehead, gay prostitute, Zelensky, who plays the piano with his penis on TV, in between wearing black leather fetish outfits, dresses a woman with high heels, slapping men's butts, Point is it's fully compromised.
[00:07:39.243 --> 00:07:43.030]  If we don't give him that money, we're going to be at war with U.S.
[00:07:43.070 --> 00:07:46.376]  troops dying on the ground, which is already happening.
[00:07:48.861 --> 00:07:49.703]  In fact, here's the clip.
[00:07:52.554 --> 00:07:56.155]  Trump is scrambling to reach a deal to pass foreign aid for Ukraine and Israel.
[00:07:56.195 --> 00:08:02.837]  Republicans are insisting on more border funding and new asylum restrictions that that be added to the bill.
[00:08:03.277 --> 00:08:08.138]  What would it mean for Ukraine and Israel if Congress does not pass any additional support by the end of the year?
[00:08:08.178 --> 00:08:13.520]  And why not agree to tougher border protections, which is an issue of national security as well?
[00:08:16.445 --> 00:08:21.152]  Well, Jake, the border piece, as you know, is out of my purview, but I can say this.
[00:08:21.313 --> 00:08:29.866]  I know on day one of this administration, or at least day two, the President put before Congress, I think, the first bill on immigration reform.
[00:08:29.886 --> 00:08:31.368]  Unfortunately, Congress hasn't acted on that.
[00:08:32.069 --> 00:08:42.254]  In this request for additional funds, there is $6 billion to enhance border security, including having more people on the border.
[00:08:42.554 --> 00:08:47.217]  So I know that's very much part of the discussion and something the President is prepared to engage on.
[00:08:47.657 --> 00:09:00.403]   But in terms of what it would mean for Ukraine, what it would mean for Israel, what it would mean for our efforts to be competitive in the Indo-Pacific, I think the only people who'd be happy if this supplemental budget request is not Really?
[00:09:00.423 --> 00:09:00.984]  No, that's true.
[00:09:00.803 --> 00:09:06.203]   by Congress are sitting in Moscow, sitting in Tehran, sitting in Beijing.
[00:09:06.203 --> 00:09:08.163]  For Ukraine, this is absolutely vital.
[00:09:08.163 --> 00:09:11.562]  They've made remarkable progress over the last year in --
[00:09:11.562 --> 00:09:12.562]  Really?
[00:09:12.562 --> 00:09:13.562]  No, that's true.
[00:09:13.562 --> 00:09:15.963]   -- taking back more than 50 percent of the territory that was seized --
[00:09:15.963 --> 00:09:16.963]  Not true.
[00:09:16.963 --> 00:09:18.443]  -- since February of 2022.
[00:09:18.443 --> 00:09:21.703]   But they're in a ferocious battle now in the south and the east.
[00:09:21.703 --> 00:09:24.083]  We are running out of funding for them.
[00:09:24.083 --> 00:09:27.403]   By the way, 90 percent of the assistance, the security assistance that we've provided
[00:09:27.403 --> 00:09:31.884]   Ukraine is actually invested right here in the United States to our companies, to our
[00:09:31.884 --> 00:09:32.882]  manufacturers.
[00:09:33.383 --> 00:09:37.005]  Similarly, we've had extraordinary burden sharing with our allies and partners.
[00:09:37.065 --> 00:09:41.467]  We've provided very significant assistance, about $70 billion over the last two years.
