[00:00:00.000 --> 00:00:08.240]  [Music]
[00:00:08.231 --> 00:00:11.899]  Another massively important transmission is now live.
[00:00:14.223 --> 00:00:14.964]  InfoWars.
[00:00:15.345 --> 00:00:16.868]  Tomorrow's news, today.
[00:00:17.972 --> 00:00:23.456]  From the front lines of the Information War, it's Alex Jones.
[00:00:23.516 --> 00:00:44.676]   From the front lines of the information war, it's Alex Jones.
[00:00:44.676 --> 00:00:53.915]   A global prison to enslave our bodies and minds is in the final stages of completion.
[00:00:53.915 --> 00:00:56.954]  [MUSIC PLAYING]
[00:00:55.228 --> 00:01:15.795]  But thanks to the work of Infowars and millions of other people around the world, humanity is awakening quickly and is quickly moving towards a mass epiphany or mass Great Awakening that will reverse the fortunes of the New World Order and empower humanity to the level ever foreseen.
[00:01:17.554 --> 00:01:21.856]  I've been talking a lot about the Great Awakening and the fact that we've reached chain reaction.
[00:01:22.156 --> 00:01:33.701]  I can't even keep track of all of the prominent public figures and individuals even on state-run media like ABC News in Australia and CNN here in the U.S.
[00:01:34.381 --> 00:01:46.847]  coming out and saying they were wrong about COVID and they're sorry and why there is a globalist new world order and Russell Brands, the new Alex Jones and Elon Musk sounds just like Alex Jones and on and on and on.
[00:01:48.339 --> 00:02:00.444]  That's because now, ladies and gentlemen, it's safe to do it because a large minority approaching a majority now understands they're under attack by the New World Order.
[00:02:01.244 --> 00:02:02.864]  That said, this is not enough.
[00:02:04.545 --> 00:02:07.246]  We can't just wake up to the last attack and realize what happened to us.
[00:02:07.266 --> 00:02:11.228]  We have to bring the criminals to justice before they launch new attacks.
[00:02:12.348 --> 00:02:14.409]  We have to break down what those new attacks are going to be.
[00:02:15.370 --> 00:02:17.291]   We're going to be talking about Bill Gates and the U.N.' 's new war games.
[00:02:17.311 --> 00:02:18.932]  We've been talking about it for several months.
[00:02:19.553 --> 00:02:20.734]  But now it's starting to get some attention.
[00:02:21.334 --> 00:02:27.118]  We're going to discuss their plan to target children for the new virus that mainly only kills children.
[00:02:27.598 --> 00:02:33.762]  They believe that will get everybody to permanently lock themselves in their houses and accept the World ID Card, the Cashless Society and more.
[00:02:35.283 --> 00:02:36.184]  But we have good news.
[00:02:37.445 --> 00:02:49.830]   Remember about a year and a half ago, the head British health minister, Matt Hancock, Got removed supposedly because he got caught during lockdown out partying with his girlfriend, cheating on his wife.
[00:02:50.230 --> 00:02:51.191]  That wasn't the real reason.
[00:02:52.113 --> 00:03:00.664]  We now know that over 100,000 emails of the government officials communicating was leaked to the press at the time and only now has hit the news.
[00:03:01.264 --> 00:03:02.126]  And what are they discussing?
[00:03:03.510 --> 00:03:08.652]  Deploying a new variant to scare the hell out of the public and make them submit to tyranny.
[00:03:09.452 --> 00:03:12.313]  And now they only wore the mask to scare the public.
[00:03:12.693 --> 00:03:14.193]  Real criminal activity.
[00:03:14.233 --> 00:03:15.574]  Now, we already know all this.
[00:03:17.514 --> 00:03:22.676]  And then it was globally deployed, globally standardized, but this really is smoking gun information.
[00:03:22.696 --> 00:03:24.277]  It's up on Infowars.com.
[00:03:24.297 --> 00:03:25.097]  Project Fear.
[00:03:26.657 --> 00:03:30.058]  Authors discussed when to deploy new COVID variant.
[00:03:30.098 --> 00:03:31.839]  London Telegraph broke it a few days ago.
[00:03:33.356 --> 00:03:34.277]  Now it's all over the news.
[00:03:34.977 --> 00:03:45.084]  UK lockdown files text message reveal how top British health officials conspired to quote, scare the pants off everyone and asking when do we deploy the new variant?
[00:03:48.187 --> 00:03:48.887]  Big Brother.
[00:03:49.327 --> 00:03:50.588]  Mainstream media.
[00:03:51.129 --> 00:03:52.249]  Government cover-ups.
[00:03:53.010 --> 00:03:54.491]  You want to stop tyranny?
[00:03:54.711 --> 00:03:56.332]  Well so does he.
[00:03:56.372 --> 00:04:01.076]  Live from the InfoWars.com studios, it's Alex Jones.
[00:04:04.435 --> 00:04:06.218]  It's Sunday, March 5th, 2023.
[00:04:06.819 --> 00:04:14.369]  I am your embattled talk show host and freedom-loving compatriot Alex Jones.
[00:04:14.690 --> 00:04:33.640]   Very honored and blessed to still be in the fight Leading from the front with you here this evening, very, very blessed and graced that you have decided to spend some time with us to really talk about saving our world, not just for ourselves and our children, but because that's the mission God has laid out before us.
[00:04:34.520 --> 00:04:36.921]  Facing the truth and defeating lies.
[00:04:37.942 --> 00:04:43.005]  All right, I've done a lot of preparation for today's show, and I do like to make my points and I like to talk.
[00:04:44.929 --> 00:04:49.552]  But today, I really, in the next two hours, am going to play a lot of clips.
[00:04:50.132 --> 00:04:53.194]  But probably 60% of the airtime will be clips because these have got to be played.
[00:04:54.155 --> 00:04:56.736]  You put the live show headline up for TV viewers, please.
[00:04:58.097 --> 00:04:58.797]  It says it all.
[00:04:58.917 --> 00:05:01.699]  Trump declares war on the globalists and the New World Order.
[00:05:02.319 --> 00:05:08.283]  Trump declares America will have retribution in final battle against New World Order globalists.
[00:05:10.985 --> 00:05:24.843]   Now, countless Top talk show hosts around the world, including liberals like Russell Brand, are coming out against the New World Order and saying they're deliberately depopulating us and that Alex Jones was right.
[00:05:25.383 --> 00:05:28.305]  He just knocked you out of the park Friday night on Bill Maher.
[00:05:28.325 --> 00:05:29.625]  We've got clips of that.
[00:05:30.386 --> 00:05:31.487]  Robert F. Kennedy Jr.
[00:05:31.527 --> 00:05:34.768]  says he's looking to run as a primary challenger.
[00:05:34.788 --> 00:05:38.771]  Of course, they killed his father because he was winning in the primaries back in the 60s.
[00:05:40.711 --> 00:05:42.252]  But Robert F. Kennedy Jr.
[00:05:42.712 --> 00:05:47.115]  pulling primary challenge against Biden, I would support Robert F. Kennedy Jr.
[00:05:47.995 --> 00:05:48.956]  in the general election.
[00:05:49.716 --> 00:05:53.999]  A total integrity, super good guy, absolutely the real deal.
[00:05:55.320 --> 00:06:01.143]  I gotta tell you, I'm not a partisan, folks, since the Democratic Party is such a cesspool of evil.
[00:06:01.964 --> 00:06:08.728]  It could be reformed with that type of leadership, because we need Republicans and Democrats that are anti-New World Order and pro-America and pro-freedom.
[00:06:09.622 --> 00:06:15.745]  But I do like DeSantis, I do like Trump, but I gotta tell you, that's really an awesome unifying idea of Robert F. Kennedy Jr.
[00:06:15.765 --> 00:06:19.247]  I've followed his work for decades and he's really grown a lot, knows a lot.
[00:06:19.267 --> 00:06:20.568]  I'm gonna give you my take on that coming up.
[00:06:20.588 --> 00:06:24.911]  We've got some really dangerous war developments with the U.S.
[00:06:24.931 --> 00:06:40.400]   government confirming that they are indeed training Ukrainian pilots to be given F-16s In Ukraine to fight the Russians.
[00:06:41.220 --> 00:06:42.860]  We've got all of that information.
[00:06:46.901 --> 00:06:53.363]  But when it comes to COVID news, I've been covering COVID news so much and so intensely for three years.
[00:06:53.383 --> 00:06:59.645]  The last few months, I've kind of backed off of it a bit because there's so much other news that's important to hit as well, like stopping World War III.
[00:06:59.685 --> 00:07:04.046]  But if you stop the COVID rollout, you discredit the whole globalist system and we win.
[00:07:06.141 --> 00:07:10.683]  And so the stack of news on the COVID front is so incredibly important.
[00:07:10.744 --> 00:07:12.444]  That's what I'm going to cover first here.
[00:07:12.484 --> 00:07:16.547]  It'll probably take a good 30 minutes, maybe 40 minutes to do.
[00:07:17.127 --> 00:07:19.388]  Then we'll shift gears into all the other subjects.
[00:07:19.428 --> 00:07:20.749]  And boy, there are a lot of them.
[00:07:21.629 --> 00:07:33.656]  Like Phil Washington, where they want to head up the FAA, does not know basic things that even somebody that has a video game flight simulator knows the answers to.
