[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[00:00:09.332 --> 00:00:15.694]  Now, I'm willing to wait and see what this technology does, what it brings.
[00:00:15.994 --> 00:00:21.236]  The one thing that is already bad is that they have tested this on animals.
[00:00:22.922 --> 00:00:25.823]  And that's usually kind of a gateway into Satanism, folks.
[00:00:26.023 --> 00:00:30.045]  That's usually a gateway into sacrifice, human sacrifice.
[00:00:31.266 --> 00:00:41.890]  And there's a lot of stories out there where doctors and others that refuse to be engaged in animal abuse for testing end up losing everything, because it's kind of the test.
[00:00:41.930 --> 00:00:42.951]  Like, are you going to be in the club?
[00:00:42.971 --> 00:00:44.031]  Are you going to be in the Satanist club?
[00:00:44.051 --> 00:00:45.952]  Are you going to be in the criminal cabal?
[00:00:45.972 --> 00:00:49.934]  Well, let's see if they're willing to do harm to animals, and then if it's yes, well, we can take them to the next level.
[00:00:49.954 --> 00:00:52.015]  If they refuse at that level, then they don't make it.
[00:00:53.430 --> 00:00:56.751]  So what Neuralink was doing with animals is extremely concerning to me.
[00:00:57.131 --> 00:01:07.655]  Now, I'm willing to give it all a chance because I'm not a Luddite, and if Elon Musk creates technology that can make blind people see or stuff like that, then why would I be against that?
[00:01:08.215 --> 00:01:08.655]  I don't know.
[00:01:08.835 --> 00:01:09.876]  You might have a different opinion.
[00:01:10.656 --> 00:01:11.536]  But I will tell you this.
[00:01:12.917 --> 00:01:17.078]  From where I stand right now, I have zero interest in this technology.
[00:01:18.018 --> 00:01:22.740]  I want nothing to do with anything being drilled into my head or attached to my brain.
[00:01:27.717 --> 00:01:32.621]  Rallying patriots worldwide in defense of human liberty.
[00:01:32.521 --> 00:01:34.521]  It's Alex Jones.
[00:01:34.521 --> 00:01:54.521]  [MUSIC]
[00:01:54.777 --> 00:01:55.677]  Tomorrow's news.
[00:01:55.777 --> 00:01:57.777]  today.
[00:01:57.777 --> 00:02:04.488]   Well ladies and gentlemen here we are Can you even believe it?
[00:02:05.028 --> 00:02:07.369]  Friday, May 26th, 2023.
[00:02:10.390 --> 00:02:12.671]  Time is certainly flying by.
[00:02:15.952 --> 00:02:23.995]  And... The unstoppable force meeting the immovable object.
[00:02:25.775 --> 00:02:30.177]  The unstoppable force being the awakening of the planet.
[00:02:31.189 --> 00:02:40.471]  The citizens of this planet, the citizens of the United States of America, all the lies we've been told, all the corruption we've been forced to endure.
[00:02:40.491 --> 00:03:00.531]   The awakening is on, but the immovable object being the globalists, as we call them, the one world corporate government, the World Health Organization, the UN, The U.S.
[00:03:00.551 --> 00:03:07.973]  government and its agents committed to collapsing the U.S.
[00:03:08.153 --> 00:03:09.534]  into a one-world government.
[00:03:09.954 --> 00:03:11.654]  You see it with the open borders.
[00:03:11.694 --> 00:03:22.118]  You see it with the Biden administration saying, yes, the World Health Organization can have a say over health protocols in the country.
[00:03:22.158 --> 00:03:31.461]   So it's the unstoppable force, the awakening of humanity versus the immovable object The plan to enslave humanity and conquer the planet.
[00:03:32.861 --> 00:03:35.422]  That's the epic that we are in.
[00:03:36.523 --> 00:03:49.606]  And so everything you will see today is a result of that paradigm, of that phenomenon, being revealed in real time.
[00:03:50.207 --> 00:03:59.228]   Now, there's an old saying, I hate to say I told you so.
[00:04:03.195 --> 00:04:09.346]  And it kind of has a new meaning to me when I see stuff like this.
[00:04:11.957 --> 00:04:22.742]  The Heritage Foundation has exposed that the DHS, the Department of Homeland Security, has an anti-terrorism program that's been weaponized against conservatives.
[00:04:22.762 --> 00:04:34.226]  80 grants, 40 million taxpayer dollars later, and here's a look at how Joe Biden and Secretary Mayorkas are outsourcing their efforts to conflate conservatives with terrorists.
[00:04:35.387 --> 00:04:48.620]   And so it's an I-hate-to-say-I-told-you-so moment, and I just... I thought I liked being right all the time.
[00:04:48.740 --> 00:04:49.980]  I hate being right about this.
[00:04:51.621 --> 00:05:00.144]  I hate that we were totally right, that InfoWars is totally vindicated, that the US government is being weaponized against you.
[00:05:02.144 --> 00:05:16.014]   And of course, they even have InfoWars on this list, as well as other groups like Breitbart, But then there's the old twist.
[00:05:16.194 --> 00:05:20.956]  There's the old lie, as they have a bunch of Nazi symbolism, Nazi logos.
