[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[00:00:02.493 --> 00:00:04.015]  MAGA Nightmare before Christmas.
[00:00:04.075 --> 00:00:05.197]  Don kicked off ballot.
[00:00:05.217 --> 00:00:06.458]  Supremes to make final decision.
[00:00:06.799 --> 00:00:08.882]  No, it's your nightmare.
[00:00:10.404 --> 00:00:16.193]  A snail going along the edge of a straight razor and surviving.
[00:00:18.327 --> 00:00:24.327]   While the left are all delusional in their ivory towers, giggling and laughing and celebrating and taking drugs,
[00:00:24.327 --> 00:00:30.686]   we're out here in the jungle getting stronger, getting persecuted, getting attacked, getting run through the
[00:00:30.686 --> 00:00:31.327]  drills.
[00:00:31.327 --> 00:00:36.326]  [laughs]
[00:00:36.326 --> 00:00:39.326]  They're gonna lose, ladies and gentlemen.
[00:00:39.326 --> 00:00:42.326]  But it's gonna be rough.
[00:00:42.796 --> 00:00:45.779]  They should just surrender now, but they don't know how to.
[00:00:46.460 --> 00:00:53.248]  Because on average, they're a 65-year-old lawyer on methamphetamines.
[00:00:57.792 --> 00:01:04.793]   rallying patriots worldwide in defense of human liberty. It's Alex Jones.
[00:01:23.793 --> 00:01:26.793]  InfoWars. Tomorrow's news today.
[00:01:26.793 --> 00:01:29.793]  [Music]
[00:01:28.031 --> 00:01:34.512]   Ladies and gentlemen, the Democratic Party just stole the 2024 election
[00:01:34.512 --> 00:01:36.152]  long before the polls opened.
[00:01:36.152 --> 00:01:47.951]   The Supreme Court of Colorado in a four, three decision without Trump
[00:01:47.951 --> 00:01:51.751]   ever being convicted of January 6th or any of that other garbage.
[00:01:51.751 --> 00:02:01.751]  [BLANK_AUDIO]
[00:01:52.924 --> 00:01:59.607]  Just said Trump is off the ballot in the primary, so you can't vote for him to be president.
[00:01:59.847 --> 00:02:01.288]  And they say other states will follow.
[00:02:02.028 --> 00:02:04.809]  We've seen Jack Smith and the politically motivated operations.
[00:02:05.109 --> 00:02:08.631]  We've seen trials in New York without juries against Trump.
[00:02:09.631 --> 00:02:12.873]  This is criminal activity in front of everyone.
[00:02:12.993 --> 00:02:19.976]  This is the oligarchy that's hijacked our country, setting up a totalitarian dictatorship in our face.
[00:02:21.055 --> 00:02:24.700]  The Supreme Court must act quickly to overturn this.
[00:02:24.741 --> 00:02:27.605]  But you see the incredible pressure going on against the U.S.
