[00:00:00.000 --> 00:00:10.000]  [MUSIC]
[00:00:10.000 --> 00:00:17.100]  It's Thursday, September 21st, 2023.
[00:00:17.100 --> 00:00:22.820]   And the biggest development yet in the ongoing proxy war between
[00:00:22.820 --> 00:00:26.320]  the West and Russia has now taken place.
[00:00:27.303 --> 00:00:37.042]   Poland has officially announced Zero military aid now to Ukraine when Poland has been the biggest supporter of Ukraine.
[00:00:38.123 --> 00:00:42.226]  And the Polish president has been very clear on why this is happening.
[00:00:43.246 --> 00:00:50.231]  Ukraine and NATO have completely abused Poland in the last year and a half on a massive scale.
[00:00:51.312 --> 00:00:53.193]  And that's really the moral of the story.
[00:00:53.753 --> 00:00:55.795]  When you serve the globalists, you're a schmuck.
[00:00:56.940 --> 00:01:05.203]  When you work with them in any way, you will be abused, you will be used, you will be punished for being an idiot, for being a servile fool.
[00:01:05.823 --> 00:01:07.283]  That's the name of the game.
[00:01:08.103 --> 00:01:09.104]  Total betrayal.
[00:01:10.424 --> 00:01:23.468]  This is a criminal, worldwide operation carried out by the owners of BlackRock, who are seeking to undermine and collapse civilization towards their goal of forced depopulation.
[00:01:23.908 --> 00:01:25.469]  That's all coming up in great detail.
[00:01:26.633 --> 00:01:27.234]  Next segment.
[00:01:28.575 --> 00:01:31.598]  Then we're going to get into the Attorney General and play some of the clips.
[00:01:31.679 --> 00:01:32.479]  Merrick Garland.
[00:01:33.723 --> 00:01:55.072]  Completely freaking out in front of Congress when their own documents and memos come out that they're persecuting Christians, that they're persecuting Amish, they're persecuting Catholics, traditional Catholics, massively they're going after, as we all know, parents that peacefully go to school boards and say we don't want our children taught they're evil because they're white or taught how pedophilia is good.
[00:01:55.632 --> 00:01:59.914]  He started crying saying he's trying to basically stop another Holocaust.
[00:02:00.834 --> 00:02:03.796]  And that his, sort of his family died in the Holocaust.
[00:02:04.856 --> 00:02:16.102]  And so he's got to protect America from extremism by carrying out things that are very closely aligned, politically, in the strategy of control that the Nazis did.
[00:02:16.603 --> 00:02:18.103]  The strategy of fear.
[00:02:18.804 --> 00:02:20.425]  The strategy of totalitarianism.
[00:02:20.965 --> 00:02:22.066]  We have that massiveness.
[00:02:23.106 --> 00:02:37.525]   And now, in the case of the persecution of Russell Brand, it has become crystal clear In fact, Tim Bull made a great point last night when Harrison Smith was on his show, that this is the fastest conspiracy theory he's ever seen come true.
[00:02:38.385 --> 00:02:41.166]  That's right, Rumble did not bow down to the British government.
[00:02:43.286 --> 00:02:59.690]  Rumble was sent a letter, obviously YouTube was as well, demanding by the British government that Russell Brand, because he's been accused, no criminal charges, guilty until proven guilty, simple accusation, YouTube had demonetized him and is now moving to remove him off the platform.
[00:03:00.766 --> 00:03:03.568]  And that's exactly what the British government did.
[00:03:04.990 --> 00:03:13.496]  They reached out to Rumble and said, we want you to demonetize slash remove Russell Brand off your platform.
[00:03:13.917 --> 00:03:20.382]  And they had all these publications attack Rumble, saying, why do you have Russell Brand there?
[00:03:21.663 --> 00:03:23.084]  Why are you allowing him to have free speech?
[00:03:23.124 --> 00:03:26.167]  And all this was done in concert with the corporate media.
[00:03:26.447 --> 00:03:33.332]   Again, two days ago, Rumble sent a letter by the British government demanding that they censor and
[00:03:33.332 --> 00:03:37.171]  demonetize/remove Russell Brand.
[00:03:37.171 --> 00:03:41.532]   At the same time, YouTube removed him but didn't really give a reason.
[00:03:41.532 --> 00:03:46.252]   And now we know that the corporate press was basically the artillery of the propaganda
[00:03:46.252 --> 00:03:51.932]   offensive and attacked Rumble and demanded that Rumble take him off without telling the
[00:03:51.932 --> 00:03:55.652]   world that they were working in concert with the British government.
[00:03:55.652 --> 00:04:00.332]   And when you look at these different fact-checking organizations and groups, they're all multinational,
[00:04:00.332 --> 00:04:01.652]  they're all international.
[00:04:01.652 --> 00:04:07.251]   We have the UN, the EU, the WEF all bragging that they're in control of the Western world,
[00:04:07.251 --> 00:04:11.971]   including America and Canada of the censorship bureaus and systems.
[00:04:11.971 --> 00:04:16.512]   So just like we saw in the weaponization hearings in Congress the last few months, it is intelligence
[00:04:16.512 --> 00:04:24.891]   agencies with the different prosecution and federal boards of the UK, the EU, the United
[00:04:24.891 --> 00:04:30.692]   States, Canada, Australia, New Zealand, literally ganging up and coming and going after people
[00:04:30.692 --> 00:04:36.292]   in concert with media attacks, government demands for people to be silenced, along with
[00:04:36.292 --> 00:04:39.610]  false criminal charges.
[00:04:39.610 --> 00:04:42.110]   *sniff* It's a very good question.
[00:04:41.286 --> 00:04:43.547]  Or just tons of satiated accusations.
[00:04:44.387 --> 00:04:47.289]  So this is a total and complete formula.
[00:04:47.389 --> 00:04:48.509]  It's absolutely illegal.
[00:04:49.050 --> 00:04:50.630]  It is incredible oppression.
[00:04:50.650 --> 00:04:53.552]  It is an absolute travesty.
[00:04:53.972 --> 00:04:56.013]  We'll be laying that out as well when we come back.
[00:04:56.033 --> 00:04:57.093]  But this is massive.
[00:04:57.233 --> 00:04:59.233]  We've caught them with their pants down.
[00:04:59.233 --> 00:05:01.233]  [Gun cocks]
[00:05:01.233 --> 00:05:03.233]  [Gunshot]
[00:05:03.233 --> 00:05:06.233]  [Music]
[00:05:06.233 --> 00:05:11.733]   And it's time for humanity to stand up in the end for war and say, "I don't know what's going to happen at the end of
[00:05:11.733 --> 00:05:13.233]  this, but you ought to fight!"
[00:05:13.272 --> 00:05:15.433]  You better believe you got one!
[00:05:16.013 --> 00:05:23.013]   From the front lines of the information war, it's Alex Jones.
[00:05:23.013 --> 00:05:36.013]  [Music]
[00:05:36.013 --> 00:05:41.013]  [Music]
[00:05:41.013 --> 00:05:51.013]   Ladies and gentlemen, the biggest, most positive development in the nearly two year war is
[00:05:50.951 --> 00:06:00.335]  In Ukraine, the massive hybrid or proxy war between the United States and NATO against Russia has now taken place.
[00:06:01.396 --> 00:06:09.339]  The Polish president has officially come out and said zero military support now to Ukraine and has laid out the reasons.
[00:06:09.399 --> 00:06:16.862]  This is extremely good news because again, this war is leading us towards thermal nuclear conflagration.
[00:06:17.402 --> 00:06:20.825]   It's already The middle stages of World War 3.
[00:06:20.865 --> 00:06:23.327]  It's destroying the world economy.
[00:06:24.207 --> 00:06:34.956]  And the crime syndicate that's hijacked America is using the war to launder hundreds of billions of dollars back to themselves that they then use to buy a political process and oppress us.
[00:06:35.056 --> 00:06:47.972]   And while our borders completely collapse and our veterans commit suicide at record levels and pedophilia is openly promoted in the schools, The religion of the left is censorship and surveillance and war and control.
[00:06:48.472 --> 00:06:56.219]  And polls show upwards of 80% of Americans are against this war and the polls are turning against them as well across Europe.
[00:06:56.559 --> 00:06:59.042]  Pun intended, the polls in Poland.
[00:06:59.983 --> 00:07:07.752]  The political analysis, the polls of the Polish people are showing they are now turning against the war rapidly.
[00:07:07.772 --> 00:07:12.077]  And they have big elections coming up on October 15th.
[00:07:12.477 --> 00:07:14.319]  And so the Polish government knows.
[00:07:15.200 --> 00:07:16.921]  Which way the wind is blowing.
[00:07:17.581 --> 00:07:26.006]  So let's go ahead and read this excellent Zero Hedge article that is up on InfoWars.com right now.
[00:07:26.786 --> 00:07:29.268]  NATO fractures in U-turn.
[00:07:29.368 --> 00:07:32.289]  Poland announces it will no longer arm Ukraine.
[00:07:33.850 --> 00:07:42.673]  The dam is breaking on Unified Western Support for Ukraine, and the timing couldn't be worse for Zelensky given tomorrow he's expected to meet with President Biden at the White House on Wednesday evening.
[00:07:43.073 --> 00:07:49.596]  There's a monumental news out of Poland, which could potentially change the entire course of the war.
[00:07:49.676 --> 00:07:50.716]  And this broke last night.
[00:07:51.316 --> 00:07:52.897]  This is the live Thursday transmission.
[00:07:53.477 --> 00:07:57.920]  Poland will no longer arm Ukraine to focus on its own defense.
[00:07:58.440 --> 00:08:07.605]  Polish Prime Minister announced just hours after Warsaw summoned Ukraine's ambassador related to fresh war of words and a spat over blocking grain.
[00:08:07.805 --> 00:08:19.076]   According to AFP, Warsaw has throughout More than a year and a half of the Ukraine-Russian war, been Kiev's staunchest and most outspoken supporter.
[00:08:19.556 --> 00:08:24.442]  With this massive and hugely significant about-face, mark the beginning of the end.
[00:08:24.721 --> 00:08:31.281]   beginning of the end, or peace negotiations and ceding of territory in the Donbass, inevitable
[00:08:31.281 --> 00:08:32.281]  at this point.
[00:08:32.281 --> 00:08:37.521]   In the last 48 hours, relations between Poland and Ukraine quickly spiraled to their lowest
[00:08:37.521 --> 00:08:41.961]   point since the Russian invasion, and is directly related to Warsaw, leading a handful of EU
[00:08:41.961 --> 00:08:47.441]   countries to extend a grain export ban on Ukraine amid continuing anger and outrage
[00:08:47.441 --> 00:08:51.162]   from Polish farmers who are suffering due to their country being flooded with cheap
[00:08:51.162 --> 00:08:53.760]  Ukrainian wheat and a bunch of other corruption.
[00:08:53.760 --> 00:08:55.441]  I'll get into in a moment.
[00:08:55.441 --> 00:08:58.601]   Critically, Poland will hold parliamentary elections on October 15th.
[00:08:58.635 --> 00:09:03.478]  The prior atmosphere of enthusiastic pro-Kiev rhetoric has drastically changed.
[00:09:03.858 --> 00:09:08.860]  Now, with comparisons like in Ukraine to a drowning man, as the Associated Press explains.
[00:09:09.400 --> 00:09:17.463]  Polish leaders have compared Ukraine to a drowning person hurting his helper and threatening to expand a ban on food products from the war-torn country.
[00:09:17.804 --> 00:09:28.771]   Meanwhile, Ukrainian President Vladimir Zelensky suggested That the EU allies that are prohibiting imports of the nation's grain are helping Russia.
[00:09:29.272 --> 00:09:46.729]   Now Polish officials who are trying to win parliamentary elections next month with the help of farmers votes are expressing dismay over some of Ukraine's latest moves including a World Trade Organization complaint over bans on Ukraine is behaving like a drowning person clinging to anything available.
[00:09:46.608 --> 00:09:52.487]   EU countries. In a surprisingly blunt and terse statement given to reporters on the
[00:09:52.487 --> 00:09:57.367]   sidelines of the UN General Assembly, Polish President said on Tuesday, Ukraine is behaving
[00:09:57.367 --> 00:10:02.328]   like a drowning person clinging to anything available. He went on to say, a drowning person
[00:10:02.328 --> 00:10:08.408]   is extremely dangerous, capable of pulling you down to the depths, simply drowning the
[00:10:08.408 --> 00:10:13.608]   rescuer. Given Ukraine's battlefield losses and it's currently bogged down and failing
[00:10:13.608 --> 00:10:18.408]  counter offensive, the words no doubt had a major sting.
[00:10:18.408 --> 00:10:25.208]   But as The Hill notes, the future of the domestic political context in Poland is...
[00:10:25.208 --> 00:10:26.308]  (sniffling)
[00:10:26.289 --> 00:10:27.830]  Now, let's lay out the issue here.
[00:10:28.129 --> 00:10:33.219]   Public sentiment around the issue however has started to deteriorate putting the ruling party in a difficult
[00:10:33.219 --> 00:10:37.269]   position Ahead of a close October election the far-right Confederation
[00:10:37.269 --> 00:10:41.409]   Party is hoping to capitalize on the winning support in the country
[00:10:41.409 --> 00:10:45.688]   Now let's lay out the
[00:10:45.688 --> 00:10:52.689]   Issue here Poland has given them Meaning Ukraine
[00:10:52.689 --> 00:10:59.840]   massive amounts of their own weapons stockpile They've also had Polish soldiers in Ukraine fighting the
[00:10:59.840 --> 00:11:10.568]   Russians [BLANK_AUDIO]
[00:11:02.119 --> 00:11:08.804]  At the same time, the EU is trying to flood Poland with Islamic and African refugees.
[00:11:09.765 --> 00:11:13.728]  The EU has been trying to sanction Poland because of it.
[00:11:14.168 --> 00:11:16.870]  You can see the famous map showing terror attacks around Europe.
[00:11:16.910 --> 00:11:17.691]  They're all over the place.
[00:11:18.091 --> 00:11:20.013]  Churches being burned by the thousands all over the place.
[00:11:20.433 --> 00:11:33.244]   But no terrorism, no churches being burned in Poland because, like Hungary and Romania, they are not putting up with the Islamic and Other third world invasion operations of the replacement migration program.
[00:11:34.165 --> 00:11:39.210]  But larger than that, the criminal regime in Ukraine, again, isn't just laundering money.
[00:11:39.250 --> 00:11:40.471]  They aren't just human trafficking.
[00:11:40.491 --> 00:11:42.653]  They aren't just kidnapping children and selling their organs.
[00:11:42.734 --> 00:11:43.574]  All of this is confirmed.
[00:11:44.560 --> 00:11:50.585]  They are absolutely emboldened and believe that they're owed everything.
[00:11:51.125 --> 00:11:55.268]  And as you remember last year, Zelensky said, oh, we've got to attack Russia.
[00:11:55.348 --> 00:11:59.872]  Russia just fired two missiles into Poland.
[00:12:00.192 --> 00:12:05.816]  And then the Poles shot down the missiles and were able to show that they had tell numbers on them that were Ukrainian.
[00:12:07.077 --> 00:12:09.578]  Poland understands they're being sucked into a wider war.
[00:12:09.998 --> 00:12:12.338]  They understand that Ukraine is losing.
[00:12:12.738 --> 00:12:15.259]  They know that nine years ago the U.S.
[00:12:15.279 --> 00:12:33.942]   government overthrew the elected government of Ukraine and they understand that this is escalating very very quickly and that now Poland has been approached by NATO to build giant weapons factories inside Poland and NATO is saying this war may last 10 10 years or longer.
[00:12:33.942 --> 00:12:36.782]  So the Polish people are having major second thoughts.
[00:12:36.782 --> 00:12:39.581]  And this is an incredibly positive development.
[00:12:39.581 --> 00:12:42.182]  The Russians don't want to expand any further into Poland.
[00:12:42.182 --> 00:12:45.701]   They just want that region in the east that's always been Russian.
[00:12:45.701 --> 00:12:50.821]   They want to be able to control and protect their Black Sea fleet
[00:12:50.821 --> 00:12:57.862]   and their only deep water port that they have on the Black Sea that is there in Crimea.
[00:12:57.862 --> 00:13:00.461]  And Putin is ready to make the deal.
[00:13:00.461 --> 00:13:03.222]  And again, this will massively deescalate problems.
[00:13:03.222 --> 00:13:07.302]   It will end the grain shortages that are hurting Africa and other countries
