[00:00:01.863 --> 00:00:04.007]  Waging war on corruption.
[00:00:04.326 --> 00:00:11.326]   It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:12.326 --> 00:00:20.326]   Sargon Akkad, also known as Carl, has millions and millions of followers on YouTube and other platforms.
[00:00:20.931 --> 00:00:36.041]  He's also been deplatformed some places, and he's with us right now in studio to just talk about the world, the place it's in right now, and where he thinks these revolutions of populism versus, what would you call it, globalism are going.
[00:00:36.301 --> 00:00:37.362]  Thanks for coming to the studio with us.
[00:00:37.382 --> 00:00:38.522]  My pleasure, thanks for having me.
[00:00:38.602 --> 00:00:39.823]  Been a fan of your work for a while.
[00:00:40.043 --> 00:00:40.484]  Thank you, same.
[00:00:41.164 --> 00:00:46.869]  So, first off, your handle, Sargon, where does that name come from?
[00:00:47.470 --> 00:00:49.251]  It comes from a Middle Eastern emperor.
[00:00:49.892 --> 00:01:01.162]  I didn't think anything was ever going to come of anything when I first started uploading videos to YouTube, and so I just used it because it was the tag that I used when I was playing video games online.
[00:01:02.683 --> 00:01:08.028]  Completely inauspicious, no thought put into it whatsoever, and if I could go back and redo it, I'd just use my real name.
[00:01:08.860 --> 00:01:10.522]  Well, it's good to have you here with us.
[00:01:10.542 --> 00:01:11.123]  Thank you.
[00:01:11.764 --> 00:01:19.154]  You were on yesterday, did a great job with Owen Schroyer, covered some of the big breaking news, but commercial free here right now.
[00:01:19.274 --> 00:01:20.556]  What do you want to get into today?
[00:01:20.596 --> 00:01:22.078]  What's front and center for you?
[00:01:23.215 --> 00:01:27.598]  Um, well at the moment I'm doing a part two to the Jeffrey Epstein video I just did.
[00:01:28.218 --> 00:01:35.702]  These are taking quite a lot of time because there's a lot of stuff happening and a lot of strange information coming out about the whole case.
[00:01:36.223 --> 00:01:52.012]  The fact that he had broken bones in his throat that were broken in such a way as to indicate that it was most likely strangling rather than choking on a paper thin bit of sheet from his bunk bed.
[00:01:53.253 --> 00:02:03.881]  That's particularly interesting to me because, and especially since his cellmate was moved out of the cell the day before he died and all of this, it's all very, very suspect.
[00:02:05.687 --> 00:02:09.948]  But we're hearing from the new Attorney General that, oh, it probably was suicide.
[00:02:09.968 --> 00:02:18.611]  I mean, I find that very, very suspicious when Epstein told people that the previous cellmate had tried to basically kill him.
[00:02:18.911 --> 00:02:20.752]  He told people that he feared for his life.
[00:02:21.252 --> 00:02:27.294]  And then to just have the media say it's a conspiracy theory out of the gates to question it, that just doesn't hold water.
[00:02:28.160 --> 00:02:35.228]  Yeah, I mean, I don't think they have much room to call people conspiracy theorists after the whole Russia thing, but I agree.
[00:02:35.248 --> 00:02:41.995]  There is definitely something to this, and there is definitely... It's definitely easier for them if it just goes away.
[00:02:43.868 --> 00:02:55.103]  Where do you at a gut level, and I know you're not a guy that even theorizes, you just go with the facts, that you pride yourself on that, eloquently so, but I mean, gut level, if you had to just dead reckon, where is this going?
[00:02:55.123 --> 00:02:58.527]  I mean, I see it as another bellwether of the collapse of confidence in the system.
[00:02:59.941 --> 00:03:21.371]  I think that, I mean, personally, if I would speculate or hypothesize, I would suggest that Epstein was using his particular interest in sex trafficking young girls in order to create a very deep network of connections with very powerful and high-profile people, including people like Matt Groening from The Simpsons and things like this.
[00:03:22.511 --> 00:03:27.854]  I mean, I don't know why he was doing it, but it seems that that's the sort of thing that he was facilitating.
[00:03:28.510 --> 00:03:30.071]  Well, I happen to know what he was doing.
[00:03:30.131 --> 00:03:41.381]  I mean, he was heading up as one of the main promoters of this Eugenics Institute that was set up by the Rockefellers and others inside the Albert Einstein Institute.
[00:03:41.601 --> 00:03:41.861]  Right.
[00:03:41.921 --> 00:03:53.631]  And a lot of this, I covered it 10-12 years ago when it came out in ABC News, Leningradium, that he was in there quarterbacking and organizing these meetings that were, quote, creating an alternative world government for depopulation.
[00:03:53.951 --> 00:03:59.837]  Behind closed doors on this New York campus, a secret gathering of some of the world's most powerful people.
[00:04:00.177 --> 00:04:02.559]  Gates, Buffett, Bloomberg, Winfrey.
[00:04:02.819 --> 00:04:10.947]  Together with others at the meeting, including George Soros, Ted Turner, David Rockefeller, they're worth more than 125 billion dollars.
[00:04:11.127 --> 00:04:17.253]  That much money, that much power around one table, it begs the question, what were they doing?
[00:04:17.433 --> 00:04:18.755]  What were they scheming?
[00:04:19.415 --> 00:04:21.641]  The new Superman and Wonder Woman.
[00:04:22.061 --> 00:04:23.685]  The super rich friends.
[00:04:24.066 --> 00:04:27.514]  Not fighting bad guys, but fighting for good nonetheless.
[00:04:27.990 --> 00:04:36.212]  I haven't been able to find anything about that, but there was a report that he apparently wished to seed the human race with his genes?
[00:04:36.352 --> 00:04:36.572]  Yes.
[00:04:36.873 --> 00:04:38.373]  Which is particularly strange.
[00:04:38.613 --> 00:04:54.097]  Well, after we're off air today, and since this isn't live, I may just add it in post, we have the articles out of the Guardian, ABC News, you name it, where the group that he was one of the main heads of was organizing an alternate world government and a plan for depopulation.
[00:04:54.438 --> 00:04:55.778]  Bill and Melinda Gates went.
[00:04:56.238 --> 00:04:56.438]  Right.
[00:04:56.618 --> 00:04:58.540]  A bunch of other people wouldn't... Oprah Winfrey!
[00:04:58.820 --> 00:05:03.003]  Well, the population control is something that they are concerned about because of climate change, isn't it?
[00:05:03.363 --> 00:05:06.265]  They think that this is... and they're not wrong, either.
[00:05:07.126 --> 00:05:09.808]  It's creating climate change as far as they're concerned.
[00:05:11.109 --> 00:05:13.091]  But this is not in Western countries.
