[00:00:00.000 --> 00:00:11.000]  [music]
[00:00:11.000 --> 00:00:16.000]  Defending the republic from enemies, foreign and domestic.
[00:00:15.778 --> 00:00:17.778]  It's Alex Jones.
[00:00:17.778 --> 00:00:27.378]  InfoWars presents Real Stable Genius.
[00:00:27.389 --> 00:00:30.012]  Real Stable Genius.
[00:00:30.032 --> 00:00:33.995]  Today we salute you, Mr. Fake News Anchorman.
[00:00:34.015 --> 00:00:36.097]  Mr. Fake News Anchorman.
[00:00:36.508 --> 00:00:43.131]  Night after night, you robotically read off a teleprompter, words written by someone else.
[00:00:44.011 --> 00:00:44.651]  I think my writer!
[00:00:44.671 --> 00:00:50.034]  When it comes out what you reported was fake, you feel no guilt.
[00:00:50.354 --> 00:00:53.515]  After all, you were just doing your job.
[00:00:53.755 --> 00:00:54.776]  It's not my fault!
[00:00:55.216 --> 00:01:02.339]  Less and less tune in every night, but that won't hurt your ego, because you're on television.
[00:01:03.857 --> 00:01:06.479]  So crack open an ice-cold Cuck Light.
[00:01:06.800 --> 00:01:09.222]  Mr. Fake News Anchorman.
[00:01:09.322 --> 00:01:15.427]  Because despite the fancy suit and big salary, we know you're just a puppet.
[00:01:15.447 --> 00:01:17.409]  What the hell did I just read?
[00:01:17.489 --> 00:01:18.210]  Cuck Light.
[00:01:18.370 --> 00:01:19.411]  Infowarsstore.com.
[00:01:19.611 --> 00:01:21.273]  Austin, Texas.
[00:01:23.194 --> 00:01:24.936]  We are in an information war.
[00:01:26.953 --> 00:01:36.135]  Our objective is to destroy the false narrative by reminding as many people as possible to think for themselves and question everything.
[00:01:37.691 --> 00:01:40.712]  We were effective, and so they tried to destroy us.
[00:01:41.152 --> 00:01:46.955]  Alex Jones' YouTube channel posted a video that was seen by 2.3 million subscribers.
[00:01:47.115 --> 00:01:51.577]  Alex Jones obviously is a well-known conspiracy theorist whose brand is bullying.
[00:01:52.017 --> 00:01:56.218]  This stuff is not speech, it's incitement, harassment, defamation.
[00:01:56.839 --> 00:02:03.181]  This is a real-time example of when we talk about this information being weaponized.
[00:02:03.541 --> 00:02:04.382]  We survived.
[00:02:05.302 --> 00:02:06.203]  But we were wounded.
[00:02:06.703 --> 00:02:17.151]  Apple, Facebook, Spotify, Vimeo, YouTube, Twitter, all of them pulled or froze Jones' accounts on the grounds that his views are too dangerous to be heard publicly.
[00:02:17.571 --> 00:02:20.513]  InfoWars just lost their war on info.
[00:02:21.254 --> 00:02:23.815]  Obviously what he spews is hate and it's abhorrent.
