[00:00:00.000 --> 00:00:13.000]  [MUSIC]
[00:00:13.000 --> 00:00:19.000]  Ladies and gentlemen, welcome to the main event.
[00:00:19.000 --> 00:00:20.219]  (upbeat music)
[00:00:20.302 --> 00:00:29.405]  Trump is in downtown Dallas, and there may be a special guest at the rally tonight.
[00:00:29.625 --> 00:00:40.248]  I don't know how an individual could get to Austin and Dallas in less than an hour, but if any man can do it, I think his name might be Alex Jones.
[00:00:41.294 --> 00:00:55.211]  Alright, I may or may not have some breaking news to report right now, but we don't know what's going on, so I'm not sure if I even want to mention this, but apparently people are having trouble accessing banned out video.
[00:00:56.272 --> 00:00:57.174]  And I will tell you this.
[00:00:58.775 --> 00:00:59.576]  Okay, it's back up.
[00:00:59.756 --> 00:01:03.839]  We have massive DDoS attacks happening on us regularly.
[00:01:03.899 --> 00:01:06.781]  They've tried to take down BannedOutVideo with it multiple times.
[00:01:08.182 --> 00:01:09.362]  But BannedOutVideo is still working.
[00:01:09.382 --> 00:01:12.264]  You can tune in to BannedOutVideo to get all of our live coverage tonight.
[00:01:12.304 --> 00:01:15.687]  Myself and Leanne McAdoo will be with you till at least 9 o'clock.
[00:01:17.817 --> 00:01:20.758]  And we will be hearing from InfoWars reporters on the ground.
[00:01:21.458 --> 00:01:28.160]  Harrison Smith is down there, Greg Reese, Will Johnson, who normally hosts Firepower, right now on Bandot Video, is down there as well.
[00:01:28.200 --> 00:01:33.162]  And of course, President Trump will be going live in the near future.
[00:01:33.202 --> 00:01:37.583]  We'll have that live coverage for you right here at Bandot Video.
[00:01:38.564 --> 00:01:40.504]  In fact, you know what?
[00:01:40.564 --> 00:01:41.645]  We're literally running around here.
[00:01:41.685 --> 00:01:43.485]  I'm running around here with my head cut off, basically.
[00:01:43.505 --> 00:01:45.306]  I don't even know, what clock are we going off, guys?
[00:01:46.937 --> 00:01:48.338]  Sorry, this is totally unprofessional.
[00:01:48.398 --> 00:01:50.860]  I literally don't even know what clock we're going off of.
[00:01:51.160 --> 00:01:53.121]  I've been running around here like a chicken with my head cut off.
[00:01:56.243 --> 00:01:57.925]  Okay, so, okay, thank you guys.
[00:01:57.965 --> 00:01:59.105]  Sorry for doing that live on air.
[00:01:59.446 --> 00:02:01.567]  Alright, this is just how we do here at InfoWars.
[00:02:01.647 --> 00:02:07.011]  I know Leanne McAdoo remembers these days from all her years spent here.
[00:02:07.671 --> 00:02:08.432]  But so here we are.
[00:02:08.852 --> 00:02:10.353]  It's incredible to be in this moment.
[00:02:11.874 --> 00:02:16.305]   And you know, maybe People can say, oh my gosh, you're fear-mongering.
[00:02:16.365 --> 00:02:17.826]  Trump's not gonna be assassinated tonight.
[00:02:18.346 --> 00:02:19.387]  Okay, well, maybe not tonight.
[00:02:19.467 --> 00:02:22.409]  You know damn well these people have thought about assassinating Trump.
[00:02:22.649 --> 00:02:24.230]  They've probably even tried it.
[00:02:24.530 --> 00:02:27.471]  You had his motorcade get rammed off a road in Springfield, Missouri.
[00:02:27.852 --> 00:02:29.472]  You had a guy run up on the podium.
[00:02:29.833 --> 00:02:34.215]  I believe it was at a airfield in Ohio, I think it was.
[00:02:34.975 --> 00:02:39.518]  Nancy Pelosi fondling bullets on her wrist saying, we're not gonna stop Trump.
[00:02:40.138 --> 00:02:41.159]  Looks like a skeksi.
[00:02:42.881 --> 00:02:43.782]  So this is all going on.
[00:02:43.842 --> 00:02:46.124]  So yeah, of course they want Trump dead.
[00:02:46.184 --> 00:02:47.585]  They killed JFK.
[00:02:48.246 --> 00:02:52.810]  Hell, they killed JFK Jr., who was running against Hillary, died in a plane crash.
[00:02:53.890 --> 00:02:55.071]  Oh, nothing to see here.
[00:02:55.752 --> 00:02:59.195]  Hillary Clinton starts her political career with her opponent dying in a plane crash.
[00:02:59.215 --> 00:03:03.399]  So I'm just going off on a tangent right now, but Leanne McAtee was in studio.
[00:03:03.419 --> 00:03:04.760]  We're going to be covering the Trump rally.
[00:03:06.613 --> 00:03:13.779]  Leanne, what do you think, what is the difference between a Trump rally today and a Trump rally in 2016?
[00:03:15.540 --> 00:03:18.643]  What is the biggest difference or approach or mentality, do you think?
[00:03:19.303 --> 00:03:23.967]  Well, it seems like the Trump supporters are actually getting a little bit more vocal.
[00:03:24.047 --> 00:03:33.975]  I think in 2016 they were still kind of afraid to wear the MAGA hats and to be out there and to let their friends know loud and proud, I'm a Trump supporter.
[00:03:34.395 --> 00:03:41.719]  I think now it's coming around that people are starting to say, look, you're not going to intimidate me and tell me what clothing I'm allowed to wear or not.
[00:03:42.119 --> 00:03:43.600]  And we're going to show up in droves.
[00:03:43.780 --> 00:03:50.904]  And in fact, they're putting themselves in harm's way, knowing they're going to show up to an event where Antifa is going to be there trying to attack them.
[00:03:51.404 --> 00:03:53.126]  Yeah, I haven't seen any rabid protesters yet.
[00:03:53.146 --> 00:03:53.366]  Right.
[00:03:53.186 --> 00:03:59.006]   So they're, you know, people are getting more brave and standing up for their president.
[00:03:59.006 --> 00:04:02.326]   But I don't think, I'm curious, I don't know what kind of scene we're going to see tonight
[00:04:02.326 --> 00:04:06.926]   in Dallas because it seems to be, you know, much more conservative area.
[00:04:06.926 --> 00:04:10.445]  Yeah, I haven't seen any rabid protesters yet.
[00:04:10.445 --> 00:04:11.445]  Right.
[00:04:11.445 --> 00:04:14.326]  I haven't heard of any rabid protesters.
[00:04:14.326 --> 00:04:19.405]   You know, if they were holding the rally here in Austin, I think, yes, we would definitely
[00:04:19.405 --> 00:04:21.006]  see some rabid protesters.
[00:04:21.044 --> 00:04:25.105]  But Dallas, I think... Do you miss the Austin Antifa?
[00:04:25.666 --> 00:04:26.426]  They're so friendly.
[00:04:27.206 --> 00:04:27.766]  I do not.
[00:04:28.166 --> 00:04:34.348]  You know, I don't miss wondering if my food's been poisoned at the local vegetarian restaurant.
[00:04:35.208 --> 00:04:39.049]  Because that's where they like to hang out and I do too.
[00:04:39.569 --> 00:04:46.133]   So, you know, I don't know, I feel much safer now knowing my food is Just straight up lovely.
[00:04:46.954 --> 00:04:56.740]  What do you make of all the fake polls saying, oh, Biden could defeat Trump, Sanders could defeat Trump, Warren could defeat Trump, a baked potato could defeat Trump.
[00:04:56.900 --> 00:05:00.362]  I mean, not a baked potato could get 50,000 people at a rally.
[00:05:00.802 --> 00:05:01.243]  Right.
