[00:00:00.000 --> 00:00:15.000]  [MUSIC]
[00:00:15.000 --> 00:00:20.000]  InfoWars, the most banned network in the world.
[00:00:20.000 --> 00:00:22.000]  (boing)
[00:00:21.763 --> 00:00:27.950]  Jeffrey Epstein's reported death yesterday has sent shockwaves across the world.
[00:00:29.051 --> 00:00:32.695]  No one that I've talked to believes the official story.
[00:00:33.424 --> 00:00:39.592]  We've seen the Attorney General come out and launch a major investigation with the Inspector General.
[00:00:40.153 --> 00:00:48.023]  We've seen Democrats, people like Al Green that I normally don't agree with, come out and say, listen, we need to see the surveillance footage of what happened in his jail cell right now.
[00:00:48.463 --> 00:00:50.246]  Two massive points I want to hit first.
[00:00:51.957 --> 00:01:02.248]  This Jeffrey Epstein story is so huge because it's at the heart of a multinational intelligence and corporate blackmail operation that's been going on for at least 40 years.
[00:01:02.689 --> 00:01:09.456]  He was a key pimp and procurer running stables of these underage girls and, yes, even children.
[00:01:10.037 --> 00:01:24.459]  Now, remember, 10 years ago, we first reported on Epstein and had an expert guest on, specifically talking about his island in the Caribbean, the aircraft, the Clintons, the manifestos, our Secret Service sources.
[00:01:25.780 --> 00:01:27.800]  And now, it's all coming out.
[00:01:28.020 --> 00:01:40.361]   So remember, the corporate media and big tech have all worked to suppress Jeffrey Epstein, to suppress the knowledge of this, and to protect the people that have been involved In this operation.
[00:01:41.301 --> 00:01:43.303]  Now we've seen the Catholic Church taken over by this.
[00:01:43.343 --> 00:01:45.265]  We've seen all these other big institutions.
[00:01:45.725 --> 00:01:47.547]  The Boy Scouts now being taken over.
[00:01:48.687 --> 00:01:55.573]  This is a cult of power that uses this evil of corrupting people and compromising them to control.
[00:01:55.913 --> 00:01:57.535]  It's a gang initiation.
[00:01:58.700 --> 00:02:19.919]  Now we're going to get into Epstein himself in a moment, but again, Friday I had Mark Rondazza, the lawyer that sued and got these documents with Mike Cernovich and others, on the show and it's so damaging and so dangerous what's in the thousands of pages that he said he wouldn't even get into it.
[00:02:20.659 --> 00:02:24.643]  He just pointed people to the documents that we have linked on InfoWars.com.
[00:02:25.947 --> 00:02:29.388]  A couple days later, they're still not even getting into what's in the documents.
