[00:00:00.169 --> 00:00:00.710]  We've got it.
[00:00:00.750 --> 00:00:07.178]  The transmission is coming to you.
[00:00:07.278 --> 00:00:09.341]  Waging war on corruption.
[00:00:11.664 --> 00:00:17.351]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:21.168 --> 00:00:35.901]  We are live, my friends.
[00:00:35.981 --> 00:00:38.043]  Thank you so much for joining us.
[00:00:38.824 --> 00:00:40.965]  It is Sunday, the 24th day of July, 2011.
[00:00:43.880 --> 00:00:56.247]  I am going to attempt to be calm today and look over every facet and angle of the incredibly devastating attack in Oslo, Norway.
[00:00:56.267 --> 00:01:11.194]  I'm not talking about the seven dead, of course that's bad enough with the car bomb, but the 93 dead and scores of others injured in this nightmarish attack reportedly carried out by Anders Breivik.
[00:01:14.185 --> 00:01:19.013]  I am hoping and praying right now that as bad as this is, that this is a lone nut.
[00:01:22.364 --> 00:01:33.928]  Unfortunately, all the evidence points towards it being a provocateur-ed event in the mold of countless other confirmed provocateur-ed events that we've seen.
[00:01:35.028 --> 00:01:50.093]  A doctor of history, also an economist, Webster Tarpley, has published an article that's just gone up at Infowars.com where he concurs in his own analysis with our research that this is a false flag terror attack.
[00:01:53.049 --> 00:01:58.810]  We also have an eyewitness who was actually blown back by the bomb going off.
[00:01:58.850 --> 00:02:03.772]  He'd have left 20 seconds earlier from work walking down the street towards the car bomb.
[00:02:04.172 --> 00:02:06.792]  He would have been killed or seriously injured by it.
[00:02:06.872 --> 00:02:07.972]  He's going to be joining us.
[00:02:07.993 --> 00:02:13.454]  I'm sure I'm going to butcher this name, but we talked to him some Friday, Robert Jeppestal.
[00:02:14.874 --> 00:02:18.436]  Who lives and works in Oslo and contacted us.
[00:02:18.476 --> 00:02:20.877]  We called him back at his Oslo phone number Friday.
[00:02:20.897 --> 00:02:28.960]  And now he'll have a lot more for us on the developments coming up in about 30 minutes from now.
[00:02:29.420 --> 00:02:33.062]  And then Dr. Webster Griffin Tarpley, of course, will be joining us coming up in the second hour.
[00:02:33.722 --> 00:02:42.886]  We'll also intersperse your phone calls later in the hour and into the second hour when I open the phones up specifically on this issue.
[00:02:45.612 --> 00:02:50.974]  Now, how do you sit here and explain to someone how your gut knows that something's an inside job?
[00:02:51.014 --> 00:02:52.575]  I mean, there's data that goes into that.
[00:02:53.435 --> 00:02:59.078]  But it's thousands of pieces of data and research and history and understanding and timing.
[00:03:01.299 --> 00:03:09.382]  How do you tell people about things that most folks are not aware of and that most people subconsciously find very frightening?
[00:03:09.722 --> 00:03:10.362]  And you should.
[00:03:10.983 --> 00:03:13.424]  If megacorporations running governments
[00:03:14.548 --> 00:03:26.839]  Our staging terror attacks and framing patsies and creating elaborate backstories or provocateuring psychopaths, as we know they've been caught doing in the past, then we're in a lot of trouble.
[00:03:28.322 --> 00:03:33.585]  We're going to come back from break and get into the body of this information on this very important Sunday broadcast.
[00:03:33.625 --> 00:03:37.688]  But here's another example of people not being able to deal with reality.
[00:03:38.208 --> 00:03:42.471]  Jaron came in here right before I went live and said, here's the Daily Mail article.
[00:03:42.551 --> 00:03:43.872]  It's also in the BBC.
[00:03:44.572 --> 00:03:53.858]  In England, they've created 150 or done 150 different studies crossing humans and animals right out of the island of Dr. Maroon.
[00:03:57.523 --> 00:04:14.214]  Now, I remember 15 years ago, this being in scientific publications, I remember 10 years ago it being in the Washington Post, or nine years ago, that in Costa Rica, they actually have brought the human clones to term.
[00:04:15.515 --> 00:04:21.559]  They've got humanses down there, a lot of other things, and it was in the news, buried in that particular article.
[00:04:22.657 --> 00:04:24.820]  Uh, and in England, they've gotten approval for this.
[00:04:25.741 --> 00:04:27.283]  And so here it is, mainstream news.
[00:04:27.324 --> 00:04:29.707]  Now, just like a lot of you have been listening for 15 years.
[00:04:30.127 --> 00:04:31.089]  I've been on 16 plus.
[00:04:31.770 --> 00:04:35.595]  And you heard me talk about all this and give people the news items at the time.
[00:04:36.316 --> 00:04:38.799]  But just like false flag terror sounds crazy,
[00:04:39.900 --> 00:04:42.722]  Uh, so does this headline.
[00:04:42.742 --> 00:04:45.504]  150 human-animal hybrids grown in UK labs.
[00:04:45.524 --> 00:04:48.786]  Embryos have been produced secretly for the past three years.
[00:04:48.906 --> 00:04:49.927]  I try at least 15.
[00:04:50.447 --> 00:04:52.829]  See, we're not in Kansas anymore.
[00:04:53.409 --> 00:04:53.789]  It's 2011.
[00:04:54.590 --> 00:04:55.190]  Buck Rogers.
[00:04:55.511 --> 00:04:55.971]  We'll be right back.
[00:04:58.868 --> 00:05:03.091]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:03.411 --> 00:05:04.012]  Number 1.
[00:05:04.332 --> 00:05:07.494]  New climate legislation could easily double or triple your electric bill.
[00:05:07.755 --> 00:05:08.315]  Number 2.
[00:05:08.615 --> 00:05:13.159]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:13.499 --> 00:05:13.959]  It's true.
[00:05:14.239 --> 00:05:18.803]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:19.123 --> 00:05:19.663]  Number 3.
[00:05:19.944 --> 00:05:23.226]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:23.526 --> 00:05:27.229]  And now, new socialist legislation is only compounding the problem.
[00:05:27.429 --> 00:05:27.930]  Number 4.
[00:05:28.230 --> 00:05:30.592]  Dangerous weather is always a threat to local grids.
[00:05:30.992 --> 00:05:34.376]  Every year, thousands of families lose their power from weather-related outages.
[00:05:34.676 --> 00:05:34.876]  Number 5.
[00:05:35.457 --> 00:05:39.380]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:39.620 --> 00:05:44.365]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:44.645 --> 00:05:48.668]  You can get more information at www.mysolarbackup.com.
[00:05:48.828 --> 00:05:50.389]  That's mysolarbackup.com.
[00:05:50.609 --> 00:05:52.691]  Remember, the government doesn't own the sun.
[00:05:52.871 --> 00:05:55.472]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:05:55.493 --> 00:06:04.899]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:05.239 --> 00:06:07.501]  Because there's a war on for your mind.
[00:06:24.855 --> 00:06:26.557]  We are live, my friends.
[00:06:26.597 --> 00:06:29.379]  Again, thank you so much for joining us.
[00:06:30.120 --> 00:06:31.441]  It is Sunday, the 24th day of July.
[00:06:35.945 --> 00:06:37.266]  2011 I'm your host Alex Jones.
[00:06:37.286 --> 00:06:44.933]  We're going to be live here for the next two hours with the abbreviated Sunday special edition special news coverage.
[00:06:45.594 --> 00:06:49.017]  Of course I'm also live Monday through Friday 11 a.m.
[00:06:49.037 --> 00:06:50.319]  until 2 p.m.
[00:06:52.120 --> 00:06:58.805]  Weekdays, but we always come in and engage in a special news reportage Every Sunday 4 to 6 p.m.
[00:06:58.845 --> 00:07:21.400]  Central because other radio hosts rest on their laurels I am a complete workaholic totally and completely obsessed with reality and information and geopolitical developments and Science and technology and so if I was at home, I would be working right now and researching So why not just come in on Sundays for two hours as well
[00:07:22.020 --> 00:07:23.261]  Again, thank you for joining us.
[00:07:24.402 --> 00:07:29.887]  Obviously, we're going to be covering the Anders Breivik story.
[00:07:30.928 --> 00:07:43.418]  The 93 reportedly shot to death on an island media slash government retreat with a lot of young people and children at it off the coast of Norway, close to Oslo.
[00:07:43.959 --> 00:07:47.462]  And of course, that came just a few hours after the tragic
[00:07:49.500 --> 00:08:00.468]  Car bombing that ripped through the government building, primarily the Prime Minister's office, as well on Friday.
[00:08:01.609 --> 00:08:16.000]  Now, I want to calmly go through this news and information, and I want to ask radio listeners, especially if you're a new listener, to take notes on the things I say, the news articles I mention, and to go check out these claims for yourself.
[00:08:17.068 --> 00:08:22.014]  So that you'll understand why this Breivik situation is so incredibly dangerous.
[00:08:26.482 --> 00:08:42.152]  You will notice that on Thursday, we had a article that according to Alexa.com, run by Amazon, the main web rating system, Google Analytics showed it as the fifth largest story on the web.
[00:08:42.172 --> 00:08:47.415]  Alexa showed it as the sixth largest story in the world on Thursday.
[00:08:47.435 --> 00:08:55.080]  And this, of course, will integrate into the, quote, right-wing attack in Norway.
[00:08:55.841 --> 00:08:59.107]  And the government hyping that more attacks are on the way.
[00:08:59.648 --> 00:09:00.891]  I'll get into that in a moment.
[00:09:01.271 --> 00:09:05.881]  And I'll get into the evidence that points towards false flag staged event.
[00:09:07.435 --> 00:09:17.339]  But first I want to direct you to the article that was the fifth or sixth biggest story in the world on the web on Thursday into Friday.
[00:09:17.739 --> 00:09:25.762]  We've actually had articles rated as number one on Google Analytics and Alexa before and we're routinely now in the top ten.
[00:09:26.082 --> 00:09:33.965]  Just want to point out this is a major news operation here and the world is watching and is listening because of our track record of accuracy.
[00:09:34.525 --> 00:09:37.557]  Now the mainstream media could be accurate as well if they wanted to be.
[00:09:38.635 --> 00:09:43.399]  We told you three years ago that the depression would get worse, not better, with the banker bailout.
[00:09:43.719 --> 00:09:46.941]  Because that was the plan of the big six megabanks.
[00:09:47.482 --> 00:09:51.084]  And of course now they admit the recession never ended and we're really in a depression.
