[00:00:00.029 --> 00:00:00.571]  Oh, no!
[00:00:04.571 --> 00:00:08.794]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.394 --> 00:00:10.234]  You want answers?
[00:00:10.995 --> 00:00:11.935]  Well, so does he.
[00:00:12.536 --> 00:00:16.098]  He's Alex Jones on the GCN Radio Network.
[00:00:16.718 --> 00:00:20.861]  And now, live from Austin, Texas, Alex Jones.
[00:00:20.881 --> 00:00:25.643]  Welcome, my friends.
[00:00:25.663 --> 00:00:26.084]  Welcome.
[00:00:26.244 --> 00:00:29.286]  Alex Jones here, coming to you live from
[00:00:30.660 --> 00:00:32.501]  Arizona, Northern Arizona.
[00:00:33.182 --> 00:00:44.730]  It is of course the 18th day of November 2011 on this live Friday edition and we are going to be here for the next three hours.
[00:00:45.270 --> 00:00:54.617]  I am coming to you via video Skype again from Arizona where I am traveling through the southwest until I get back next Wednesday.
[00:00:57.253 --> 00:01:12.177]  Kind of retracing some of the places I went to and some places I didn't go to back in 1997 to see what the United Nations Biosphere World Heritage Site takeover has basically metastasized into.
[00:01:12.197 --> 00:01:14.358]  I was at the
[00:01:15.618 --> 00:01:23.284]  Carlsbad Cavern National Park yesterday and ran into a cornucopia of Big Brother activities.
[00:01:23.344 --> 00:01:32.510]  In fact it was an orgy of control freakism and anti-human global indoctrination with now the
[00:01:34.091 --> 00:01:46.915]  National Park Rangers festooned with firearms and tasers walking around like it's a Supermax prison with their eyes in slits just literally thinking that terrorists are under every table.
[00:01:47.735 --> 00:01:49.176]  So we're gonna be breaking that down today.
[00:01:49.196 --> 00:01:54.697]  Aaron Dykes is gonna be riding shotgun with us and bringing in the latest news as it breaks.
[00:01:55.177 --> 00:01:59.379]  Obviously throughout the week we've been having Gerald Cilente on because of MF Global.
[00:02:00.339 --> 00:02:07.365]  I was watching CNBC just about an hour ago and they had the anchor there at the desk, a male gentleman.
[00:02:07.405 --> 00:02:08.886]  I meant to write down his name but didn't have time.
[00:02:08.906 --> 00:02:10.707]  I think they were calling him Jamie something.
[00:02:11.608 --> 00:02:25.640]  And of course they had the attractive Asian young lady who's on in the morning along with Kramer and one other person and the host who was anchoring to the people out on Wall Street, Kramer and the other people.
[00:02:26.997 --> 00:02:40.491]  He was saying that it looks like this MF Global is some type of theft and crime, and that now the $600 million that they claimed they knew where it was, now it's gone, and this is sending the markets down.
[00:02:41.682 --> 00:02:45.785]  And then they cut back to Kramer and the other talking heads and they were like, no, no, no, no, no.
[00:02:46.166 --> 00:02:47.307]  This is not a big deal.
[00:02:47.347 --> 00:02:48.307]  This is not illegal.
[00:02:48.648 --> 00:02:50.029]  I'm sure it's just an accident.
[00:02:50.669 --> 00:02:54.913]  And about five minutes later, the other anchor host said, yes, it's no big deal.
[00:02:55.553 --> 00:02:56.414]  It's just rumors.
[00:02:56.514 --> 00:02:57.094]  Nothing to them.
[00:02:57.354 --> 00:02:57.975]  Nothing to them.
[00:02:58.375 --> 00:03:03.539]  You could tell somebody had popped into his ear and told him, do not say this is destroying confidence.
[00:03:03.900 --> 00:03:06.001]  Do not say people don't like being swindled.
[00:03:06.402 --> 00:03:07.342]  And they cut back to the
[00:03:08.871 --> 00:03:16.092]  The female anchor, field anchor, and she's like, yes, this just happens when you're involved in commodities.
[00:03:16.433 --> 00:03:17.333]  No big deal.
[00:03:17.393 --> 00:03:19.853]  Of course, Valente's been in it since the early 70s.
[00:03:20.293 --> 00:03:21.814]  I've made a novice study of it.
[00:03:22.114 --> 00:03:26.735]  This was money in his, in his, what's the term they use?
[00:03:27.795 --> 00:03:28.695]  Segregated account.
[00:03:28.715 --> 00:03:29.935]  It's like a bank account.
[00:03:30.455 --> 00:03:32.936]  And they took it, and they took 33,000 other people's money.
[00:03:33.376 --> 00:03:37.177]  He won't say how much it is above 100,000, but it's a lot more than 100,000.
[00:03:38.973 --> 00:03:40.494]  Now, Aaron Dykes is riding shotgun with us.
[00:03:40.514 --> 00:03:41.555]  We've got a lot of other news.
[00:03:41.975 --> 00:03:43.636]  Everything is coming to a head right now.
[00:03:44.337 --> 00:03:46.158]  But this MF Global situation is huge.
[00:03:46.198 --> 00:03:49.280]  So, Salente is joining us in T-minus 26 minutes from now.
[00:03:50.281 --> 00:03:54.584]  And we've also got huge, huge attacks on the First Amendment and the Internet.
[00:03:54.884 --> 00:03:56.625]  That bill is moving through Congress right now.
[00:03:56.665 --> 00:03:59.788]  That's a red alert situation, that so-called copyright bill.
[00:04:00.208 --> 00:04:01.269]  No judge, no jury.
[00:04:01.289 --> 00:04:02.910]  They just take your website down.
[00:04:03.490 --> 00:04:04.811]  And blacklist you from the internet.
[00:04:05.331 --> 00:04:11.235]  ECB riots against the European Central Bank begin in Italy as globalist Super Mario forces austerity.
[00:04:11.635 --> 00:04:16.498]  Raise the taxes, cut the benefits, raid the pension funds, pay it all to the mega-banks.
[00:04:17.379 --> 00:04:22.602]  Herman Cain, we've got a report here, The Whore of Babylon by Patrick Enningson, one of our great writers.
[00:04:22.962 --> 00:04:25.744]  Russian warships enter Syrian waters to prevent NATO attack.
[00:04:26.044 --> 00:04:27.265]  Huge developments on that front.
[00:04:28.466 --> 00:04:31.268]  And we've also got reports that the Germans, through the Euro,
[00:04:32.148 --> 00:04:41.575]  ...are trying to block, now get this, we'll come back with Aaron, are trying to block the Brits, or people in the UK generally, from being able to vote on being brought into the new EU dictatorship.
[00:04:41.835 --> 00:04:45.197]  It's all coming up with Alex Jones, Aaron Dykes, Gerald Cilente, and more.
[00:04:45.237 --> 00:04:45.698]  Stay with us.
