[00:00:33.251 --> 00:00:35.172]  It is Friday, September 23rd, 2011.
[00:00:35.232 --> 00:00:38.714]  This is InfoWars Nightly News.
[00:00:39.635 --> 00:00:42.036]  And I don't know, this thing's probably going to be two hours long tonight.
[00:00:42.456 --> 00:00:51.101]  So if you're looking for an info babe who's got collagen injections in her lips or some disinfo agent reading off a teleprompter, I'm here to tell you, you got the wrong place.
[00:00:52.028 --> 00:00:58.730]  This operation here at InfoWars.com is so dedicated to liberty that I had to turn back some of the news today.
[00:00:59.190 --> 00:01:02.551]  The crew is so, so energized, so hard working.
[00:01:02.951 --> 00:01:07.632]  The amount of research, I can't even get up here and do justice to what's coming up.
[00:01:08.032 --> 00:01:10.853]  Peter Del Scott on government drug dealing and more.
[00:01:11.993 --> 00:01:18.517]  We've got in studio the maker of American Dream exposing the banking cartel, Ted Lumpkin.
[00:01:19.597 --> 00:01:28.342]  We have got on-site reporting from Darren McBreen and Aaron Dykes who are in Colorado with a huge martial law drill that's coming up first in a moment.
[00:01:29.142 --> 00:01:36.506]  We've got this cancer story that is just so jam-packed
[00:01:38.254 --> 00:01:43.959]  We're going to be lucky to even be able to get all this in tonight, so let's go ahead and launch into it right now.
[00:01:45.039 --> 00:01:49.323]  First off, Operation Mountain Guardian Emergency Response Exercise.
[00:01:49.423 --> 00:01:54.227]  I found out about this yesterday afternoon, and I've missed all the big drills in Colorado.
[00:01:55.228 --> 00:01:59.211]  Over the years, I've learned that the biggest martial law drills are held in Denver.
[00:02:00.427 --> 00:02:01.948]  And we were not disappointed.
[00:02:02.289 --> 00:02:09.055]  Complete with practicing around up school kids and others and bring them to sports stadiums.
[00:02:09.075 --> 00:02:17.062]  All a exercise in federalization and the takeover of the community over a hundred agencies
[00:02:17.902 --> 00:02:21.444]  Police coming up and telling our crew to turn off their cameras.
[00:02:21.644 --> 00:02:23.486]  It was all compartmentalized in other areas.
[00:02:23.986 --> 00:02:30.470]  Our crew was able to get into a public school where they had even kids as young as six years old, first grade, going through this.
[00:02:30.490 --> 00:02:37.054]  And then, of course, the Catholic charities involved, taking folks there to the Denver NFL football.
[00:02:37.754 --> 00:02:46.437]  Now we've been in the Denver metro area today covering a widespread martial law takeover drill within the city known as Operation Mountain Guardian.
[00:03:07.148 --> 00:03:10.269]  That operation is sponsored by the Department of Homeland Security.
[00:03:10.649 --> 00:03:16.052]  We saw earlier today a Mumbai-style attack at a suburban mall in the area.
[00:03:16.392 --> 00:03:19.853]  There was also a staged attack on a train and bus facility.
[00:03:20.294 --> 00:03:27.216]  Then, later this morning, we witnessed a SWAT-style raid against an elementary school where they staged a shooting.
[00:03:27.917 --> 00:03:35.420]  And then what we learned there was that the children from that staged shooting were being relocated at the sports stadium you see directly behind me.
[00:03:36.124 --> 00:03:48.612]  We then investigated what was going on at the sports stadium and found in their own press releases, admissions, that they were planning to test the relocation processing of students and teachers during this drill.
[00:03:49.481 --> 00:03:58.888]  We were then tipped off by security personnel on this side of the stadium that indeed buses had brought children into the stadium, but no media or press was allowed inside.
[00:03:59.288 --> 00:04:10.976]  When we came around to the south end tunnel, we witnessed those buses as well as vehicles from the Denver Public Schools Safety and Security Department, including the supervisor.
[00:04:12.117 --> 00:04:28.725]  Following that, we spoke to a stage mother, a mock mother, who was here to pick up children from the facility, which led us to then talk to Denver Police Victims Response Unit Head, Scott Snow, the Victim Assistance Unit.
[00:04:29.165 --> 00:04:39.748]  And he told us that indeed the end goal of this exercise or any real event that might happen was to get the children to this stadium where the parents could then be reunified with them.
[00:04:39.768 --> 00:04:50.772]  Well this kind of ties up as far as the whole goal of this Family Information Center is to give both parents a responding point, PIOs, public information to stage out here.
[00:04:51.972 --> 00:05:00.198]  Just incredible events as we see more and more of a federalization of police and military and a total takeover of these metro areas in a fear-mongering panicking for a terrorism event.
[00:05:00.218 --> 00:05:00.838]  Alex, back to you.
[00:05:19.446 --> 00:05:20.647]  Okay, great job, Aaron.
[00:05:20.907 --> 00:05:30.737]  As we go out to break in a little while and come back with our first in-studio guest, we're going to play a report from Darren McBrain, all filed and put together there on the ground.
[00:05:31.157 --> 00:05:35.601]  Amazing new technologies that are really empowering alternative and grassroots media.
[00:05:35.982 --> 00:05:41.207]  And again, that police officer there, nice guy, trying to be helpful, doing a drill to reunite children.
[00:05:41.727 --> 00:05:49.432]  Just so happens we broke the news 10 years ago that FEMA actually plans to take your children to sports stadiums and then make you come turn your guns in to get them back.
[00:05:50.013 --> 00:06:11.467]  And so it's all an exercise in the government basically taking people to a sports stadium and the cover is children but it's also training the police to take political dissidents to sports stadiums as has been declassified in RECS 84 and other FEMA programs that we'll be talking about with Peter Dale Scott, an expert on COG, continuity of government and martial law.
[00:06:12.347 --> 00:06:13.067]  Coming up.
[00:06:13.928 --> 00:06:16.868]  But for now, that's it for our coverage.
[00:06:16.888 --> 00:06:23.370]  This is just about federalization, drill, fear-mongering to create the perception that terrorism is this big threat.
[00:06:23.810 --> 00:06:29.772]  You've got a better chance of slipping on ice and dying or dying in a car wreck.
[00:06:30.012 --> 00:06:33.473]  Hundreds of times better chance of that or being killed by bees or snakebite.
[00:06:34.053 --> 00:06:36.434]  And the bottom line is government can't
[00:06:37.688 --> 00:06:49.982]  And it won't be able to protect you from the dangers that are out there in this world, whether it be carjackings or a lightning strike, whether it be man-made or good old Mother Nature.
[00:06:50.970 --> 00:07:09.278]  Now, we just got this news in in the last hour or so, and Ron Paul, again, the Fox News geolocating one-time scientific polling system, showed that Ron Paul got double the votes, right at double the votes of the other candidates.
[00:07:09.378 --> 00:07:11.399]  And we screenshotted this and pointed it out.
[00:07:12.599 --> 00:07:18.242]  But then, after Drudge Report linked to it, Fox News simply took down
[00:07:19.082 --> 00:07:19.542]  The poll.
[00:07:20.103 --> 00:07:21.504]  And so that's a whole new story.
[00:07:21.744 --> 00:07:23.945]  Mitt Romney got 22.89 percent.
[00:07:24.566 --> 00:07:24.946]  Perry 12.8.
[00:07:25.146 --> 00:07:27.968]  Newt Gingrich 6.99.
[00:07:28.048 --> 00:07:28.689]  Ron Paul 39.27.
[00:07:29.870 --> 00:07:31.771]  So almost double.
[00:07:31.891 --> 00:07:41.038]  As we keep seeing in all the other scientific polls and exit polls and straw polls, that's what we continue to see at all of these events.
[00:07:41.866 --> 00:07:46.192]  Is that in every case, Ron Paul is getting about double, sometimes more than double.
[00:07:46.712 --> 00:07:51.058]  And when he won the NBC debate a few weeks ago, they just didn't report it.
[00:07:51.078 --> 00:07:53.421]  They said that Rick Perry had won it.
[00:07:55.669 --> 00:07:57.151]  It just continues to happen.
[00:07:57.591 --> 00:08:01.094]  That's how scared they are to keep him from becoming the frontrunner.
[00:08:01.114 --> 00:08:02.195]  He really is the frontrunner.
[00:08:02.936 --> 00:08:08.321]  Ron Paul, I really disagree with him, but he said in the debate last night, he said, I'm now the third tier candidate.
[00:08:08.341 --> 00:08:13.466]  I mean, I'm now number three, so I'm a top tier, but I'm in third place and I want to be first place.
[00:08:14.207 --> 00:08:16.489]  Ron Paul won the New Hampshire Straw Poll.
[00:08:16.509 --> 00:08:20.972]  He came in second place at the Iowa Straw Poll.
[00:08:21.012 --> 00:08:22.333]  He's won all the debates.
[00:08:22.353 --> 00:08:23.854]  He won the California Straw Poll.
[00:08:24.214 --> 00:08:26.796]  He's raising more money than even the establishment candidates.
[00:08:27.637 --> 00:08:30.238]  He's getting 70 plus percent of the military donations.
[00:08:30.859 --> 00:08:35.022]  And if they weren't running this hoax that he couldn't win, he would be the undisputed frontrunner.
[00:08:35.782 --> 00:08:41.326]  But regardless, he won CPAC Poll two years in a row and they dubbed in booing.
[00:08:42.107 --> 00:08:43.148]  Fox News did this year.
[00:08:44.130 --> 00:08:44.910]  So there you have it.
[00:08:44.930 --> 00:08:52.932]  They like these big government Republicans, Mitt Romney, and people like Rick Perry totally, and absolutely disgusting.
[00:08:53.292 --> 00:09:03.675]  So Fox News poll, Ron Paul wins, Orlando debate, and then Fox News poll is pulled, showing Ron Paul debate victory, and Fox News claims that Mitt Romney has won.
[00:09:03.695 --> 00:09:09.476]  But thank God the Drudge Report, Matt Drudge, is bucking the RINOs and exposing that, but that's about it.
[00:09:09.536 --> 00:09:12.317]  Fox News is still sitting there suckering their viewers.
[00:09:12.757 --> 00:09:24.387]  Now, you know that Big Sis came out and criticized the alternative media two weeks ago and said stop calling her Big Sis, stop calling her a... what was the term she used?
[00:09:24.427 --> 00:09:24.907]  An ogre?
[00:09:24.927 --> 00:09:26.929]  Nobody's calling you an ogre, we're calling you...
[00:09:28.823 --> 00:09:30.665]  Mr. Napolitano.
[00:09:32.087 --> 00:09:37.092]  And she is a police state thug, but she's just a front person, a puppet at the end of the day.
[00:09:37.673 --> 00:09:48.104]  But now showing the fact that they're bowing to pressure, she wouldn't be whining to Politico if they weren't, a petition to abolish TSA appears at White House website.
[00:09:50.237 --> 00:09:51.718]  And we confirmed this.
[00:09:52.539 --> 00:09:53.600]  I checked it three times.
[00:09:53.640 --> 00:09:54.941]  It is WhiteHouse.gov.
[00:09:55.401 --> 00:10:01.726]  And they say abolish the TSA and use the monstrous budget to fund more sophisticated, less intrusive counterterrorism intelligence.
[00:10:02.226 --> 00:10:04.308]  Now I'd love to believe this is them capitulating.
[00:10:04.848 --> 00:10:06.069]  And it is to a certain extent.
[00:10:06.089 --> 00:10:13.695]  But they've always planned to put a bunch of biometric face scanning, trusted traveler stuff in place.
[00:10:13.735 --> 00:10:19.640]  That's why they're grabbing your genitals now so you'll accept the national ID card, internal passport to travel.
[00:10:20.882 --> 00:10:28.728]  But this has backfired on them so bad that now they want to go ahead and start moving towards the Big Brother system now.
[00:10:28.768 --> 00:10:31.089]  So that's certainly important news.
[00:10:32.610 --> 00:10:37.314]  Now I want to get to the most important story of the night.
[00:10:38.499 --> 00:10:40.741]  And you notice all week we've been covering this.
[00:10:40.801 --> 00:10:42.623]  We've been talking about vaccines.
[00:10:43.524 --> 00:10:55.374]  We've had multiple medical doctors on, Andrew Wakefield, Dr. Sherry Tinpenny, and others, to go over the fact this is a premeditated eugenics operation to implant the population with soft kill.
[00:10:56.235 --> 00:10:56.595]  I think?
[00:11:17.563 --> 00:11:20.004]  I mean, the full interview is online.
[00:11:20.264 --> 00:11:22.605]  We're actually sending off to the station to get the original.
[00:11:22.925 --> 00:11:26.867]  I saw this more than a decade ago, but now it's on the Internet, cut up in lots of different pieces.
[00:11:26.887 --> 00:11:28.408]  We're going to play one of those here.
[00:11:29.928 --> 00:11:32.569]  But this is one of the top vaccine developers.
[00:11:32.670 --> 00:11:37.412]  Earlier, he admits that, yeah, AIDS came from monkeys that they use the kidneys for.
[00:11:37.912 --> 00:11:38.852]  That's not even in this report.
[00:11:38.872 --> 00:11:39.773]  We'll do that next week.
[00:11:40.033 --> 00:11:41.753]  Just, oh, yeah, the government created AIDS.
[00:11:41.773 --> 00:11:42.534]  Ha ha ha, you know.
[00:11:43.194 --> 00:11:44.294]  Yeah, it's in the vaccines.
[00:11:44.654 --> 00:11:51.676]  But then he goes on and says, yeah, we found out there was cancer viruses that cause leukemia in the vaccines and all these others.
[00:11:51.976 --> 00:11:54.657]  Now, we don't need him to laugh, and he's since died.
[00:11:55.277 --> 00:11:56.677]  This interview was done more than a decade ago.
[00:11:57.137 --> 00:11:58.918]  Laugh about it to know that this is true.
[00:11:59.278 --> 00:12:01.478]  I have new scientists, the rest of it, admitting this.
[00:12:01.958 --> 00:12:04.199]  But that's why breast cancer has tripled since 1980.
[00:12:06.309 --> 00:12:13.674]  That's why, in general, most types of cancers have doubled in the last decade, so most of that growth is just in the last 10 years.
[00:12:14.275 --> 00:12:24.242]  That's why we're having all these autoimmune responses in the pancreas and the brain, the increase of autism, and of course, things like diabetes.
[00:12:27.005 --> 00:12:29.546]  The UK government with UN numbers breaking it down.
[00:12:30.146 --> 00:12:36.008]  You notice that the most vaccinated countries in the world are Australia, New Zealand and North America.
[00:12:36.528 --> 00:12:38.729]  And they have the highest cancer rates in the world.
[00:12:39.049 --> 00:12:44.090]  And then right beneath that, Europe is a close third behind the Britannic nations.
[00:12:44.150 --> 00:12:48.592]  That's really what the US, Canada, England, Australia, New Zealand are as global as commonwealths.
[00:12:49.326 --> 00:12:50.768]  In fact, let's replay that again.
[00:12:50.888 --> 00:12:52.930]  I want people to see this map.
[00:12:53.911 --> 00:13:01.941]  And again, notice, and you can go check the numbers, the highest vaccination areas in the world all correspond with the highest rates of cancer.
[00:13:02.362 --> 00:13:04.985]  Australia, New Zealand, most vaccination, most cancer.
[00:13:06.889 --> 00:13:09.951]  North America, Canada, the U.S., second highest.
[00:13:10.011 --> 00:13:11.151]  Western Europe, third highest.
[00:13:11.632 --> 00:13:13.073]  Northern Europe, fourth highest.
[00:13:13.553 --> 00:13:18.216]  Southern Europe, it follows it precisely right through.
[00:13:18.916 --> 00:13:20.797]  And look at the Middle East.
[00:13:21.537 --> 00:13:27.941]  Look at Africa, where they run from the vaccines and have figured out that the medicine man is coming to kill their butt.
[00:13:28.421 --> 00:13:31.103]  They've got the lowest levels out there.
[00:13:31.343 --> 00:13:32.204]  Absolutely
[00:13:33.185 --> 00:13:38.472]  Incredible to see that information.
[00:13:39.821 --> 00:13:56.696]  Okay, now, I've gone over the global cancer rates, massively increasing, and you get varied numbers, but conservatively doubled in the last 30 years, but a lot of rare types have more than quadrupled, some types of lung cancer more than sevenfold.
[00:13:57.897 --> 00:14:01.000]  It's just mind-blowing to see all of this.
[00:14:01.020 --> 00:14:05.584]  Now, continuing, I want to talk about all the well-meaning mothers.
