[00:00:22.199 --> 00:00:23.020]  Welcome, my friends.
[00:00:23.100 --> 00:00:25.261]  It is Monday, December 19th, 2011.
[00:00:27.102 --> 00:00:32.526]  As we prepare to close out the year, 2011 is certainly long in the tooth.
[00:00:33.127 --> 00:00:38.891]  We mourn the death of the dear leader, Kim Jong-il, but of course his president father,
[00:00:39.991 --> 00:00:57.523]  Is still president even though he died in the mid-1990s because he is eternal leader and now they have passed on the flame To the latest runt in a jumpsuit engaging in genocide against his own people and before we talk about the sad passing of
[00:00:58.834 --> 00:01:11.261]  Kim Jong-il and get into the exciting news that Ron Paul has turbocharged to the pole position as the official campaign for president begins as the Republican primary is about to kick off in Iowa.
[00:01:11.622 --> 00:01:14.944]  He is now dominating with a healthy lead at number one.
[00:01:15.324 --> 00:01:17.145]  The guy that couldn't win, can't win.
[00:01:17.765 --> 00:01:21.408]  More than 80% of the people that end up getting the
[00:01:23.849 --> 00:01:34.734]  Uh, when in Iowa end up getting the Republican nomination, but now they're back saying now Iowa doesn't matter as Ron Paul surges into the poll position as the campaign kicks off.
[00:01:34.754 --> 00:01:36.956]  So we're going to be talking about that as well.
[00:01:36.976 --> 00:01:41.718]  Uh, but first I need to get to some very, very serious news this evening.
[00:01:43.139 --> 00:01:47.601]  And that deals with the latest developments on Kellogg, Brown and Root.
[00:01:49.247 --> 00:02:04.783]  And the fact that they were given the government contract to build the FEMA camps, the latest round of FEMA camps that were built in 2006, the three hundred and eighty plus million dollars is to build those new camps.
[00:02:05.965 --> 00:02:09.568]  Well, even though we had phone numbers, emails, it was a public
[00:02:12.338 --> 00:02:13.479]  Contract that they got.
[00:02:13.559 --> 00:02:14.659]  People didn't believe it.
[00:02:15.139 --> 00:02:17.100]  No mainstream media picked up our story.
[00:02:17.861 --> 00:02:22.583]  And every day mainstream media follows our lead and picks up reports that we break.
[00:02:23.023 --> 00:02:24.564]  And we're a credible news organization.
[00:02:25.865 --> 00:02:26.705]  And everybody knows that.
[00:02:27.406 --> 00:02:29.227]  But this is something that was totally blacked out.
