[00:00:00.530 --> 00:00:01.631]  Government cover-ups.
[00:00:02.292 --> 00:00:03.093]  You want answers?
[00:00:03.874 --> 00:00:04.756]  Well, so does he.
[00:00:04.776 --> 00:00:09.102]  He's Alex Jones on the GCN Radio Network.
[00:00:09.622 --> 00:00:13.688]  And now, live from Austin, Texas, Alex Jones.
[00:00:20.435 --> 00:00:31.585]  Thank you so much for joining us today, wherever you may be listening around the world, and however you may be listening, whether it's AM and FM's, XM, shortwave,
[00:00:32.864 --> 00:00:39.548]  The Internet at Infowars.com and PrisonPlanet.tv and of course all the viewers at PrisonPlanet.tv.
[00:00:39.568 --> 00:00:45.913]  We're obviously going to be live here for the next three hours and we're going to have open phones as well.
[00:00:47.294 --> 00:00:56.500]  I have quite a few vital stacks of news and information obviously here that we're going to be going over today.
[00:00:58.066 --> 00:01:04.740]  Dealing with so many huge issues, but there are some interesting articles out of Europe and also out of the Times of India.
[00:01:05.282 --> 00:01:08.509]  Bush fears arrest scraps Swiss visit.
[00:01:10.277 --> 00:01:21.345]  And it's interesting, we've been trying to get Ray McGovern on in the last week, former CIA top analyst, advisor to Ronald Reagan and George Herbert Walker Bush, to talk about the Egypt situation.
[00:01:21.946 --> 00:01:23.647]  And we got a hold of him today to get him on.
[00:01:23.667 --> 00:01:26.309]  And he said, well, I don't really want to get into that too much.
[00:01:26.849 --> 00:01:29.251]  People know what's happening there, but I'll talk about it.
[00:01:29.271 --> 00:01:31.793]  He said, I want to talk about the Bush arrest
[00:01:32.393 --> 00:01:38.701]  News that just came out and it's funny because that's one of the reasons this morning that we redoubled our efforts to get him on.
[00:01:39.041 --> 00:01:47.431]  So perfect timing to have Ray McGovern on with us in the third hour today or coming up two hours from now.
[00:01:47.531 --> 00:01:50.655]  Bush fears arrest scraps Swiss visit.
[00:01:52.208 --> 00:01:56.231]  And it's funny, because that's exactly what we were talking about last night at dinner.
[00:01:57.633 --> 00:02:05.760]  After the radio show ended, a couple times a year I like to treat, especially the Sunday crew that works six days a week, to dinner.
[00:02:05.780 --> 00:02:09.423]  And I asked where they wanted to go eat and they said, how about a downtown steakhouse?
[00:02:11.404 --> 00:02:15.288]  And it was a downtown steakhouse eight years ago that I got to see the Bush twins drunk.
[00:02:16.620 --> 00:02:23.705]  But that wasn't as interesting as what happened last night, who we saw last night at a steakhouse.
[00:02:23.725 --> 00:02:26.807]  We were going to go to one steakhouse, but it's out of business now in this great economy.
[00:02:27.107 --> 00:02:28.588]  So many of the businesses are shut down.
[00:02:29.829 --> 00:02:34.952]  So we went to another steakhouse, and they set us right down next to Karl Rove.
