[00:00:00.009 --> 00:00:00.309]  Got it.
[00:00:00.369 --> 00:00:06.794]  This transmission is coming to you.
[00:00:06.894 --> 00:00:11.037]  Waging war on corruption.
[00:00:11.277 --> 00:00:16.961]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.978 --> 00:00:20.879]  We've got it.
[00:00:34.615 --> 00:00:41.698]  It is Sunday the 7th day of August 2011 and we're here every Sunday 4 to 6 p.m.
[00:00:41.738 --> 00:00:44.279]  Central back Monday through Friday 11 a.m.
[00:00:44.299 --> 00:00:45.040]  to 2 p.m.
[00:00:45.240 --> 00:00:46.900]  Central Standard Time.
[00:00:46.940 --> 00:00:48.821]  Thank you so much for joining us today.
[00:00:49.362 --> 00:00:58.186]  We are going to have open phones on the transmission in the second half of the first hour of the entire second hour today.
[00:00:59.026 --> 00:01:17.471]  Let me first go over all of the incredibly important news and I do want to open the phones up on a spectrum of topics and we don't screen your calls but I hope that you when I do give the number out that you will call in and at least give me your view on the topics that I'm raising and then if you want to segue or digress into something else that would be great.
[00:01:18.431 --> 00:01:25.835]  But I do want to really focus in, obviously, on the big downgrade of the U.S.
[00:01:25.875 --> 00:01:27.456]  currency and the U.S.
[00:01:27.516 --> 00:01:36.681]  economy by the private megabanks that have been spending decades positioning our country for financial collapse and consolidation.
[00:01:37.660 --> 00:01:54.611]  And of course, I told you, our expert guest told you, that as soon as they got their debt deal done, that they would then announce new rounds of economic implosion, and that the Super Congress, you watch in the fall, will call for a new round of banker bailouts.
[00:01:55.171 --> 00:02:02.575]  Which is your tax money being given to the bankers, and for the bankers being given your money, you then pay them interest on the money you give them.
[00:02:02.615 --> 00:02:07.358]  You heard me right, and that's what's happened with the tens of trillions of dollars in the last three years.
[00:02:08.038 --> 00:02:10.440]  We're going to be going over all of that today.
[00:02:10.700 --> 00:02:10.820]  U.S.
[00:02:10.860 --> 00:02:11.880]  downgrade alarm.
[00:02:12.961 --> 00:02:19.723]  Bell, Chinese media reporting world leaders race to head off fresh market turmoil.
[00:02:19.743 --> 00:02:22.863]  They're worried about a total collapse in markets tomorrow.
[00:02:22.883 --> 00:02:28.445]  That's French news agency Dollar to be discarded by World, CNBC.
[00:02:29.045 --> 00:02:32.766]  See the globalists have to destroy the United States to build their world government after we
[00:02:34.002 --> 00:02:36.083]  Empower it with our military and our taxes.
[00:02:36.423 --> 00:02:37.303]  They're done with us.
[00:02:37.323 --> 00:02:48.006]  That's what Homeland Security is for, to make sure that we are destroyed and never rise again as the domestic global straightjacket system, similar to what the bankers have put in other third world countries.
[00:02:48.366 --> 00:02:51.827]  Tel Aviv stocks fall 7% on US debt downgrade.
[00:02:52.208 --> 00:02:53.088]  They're already open.
[00:02:54.178 --> 00:02:54.678]  We're good to go.
[00:03:15.939 --> 00:03:23.845]  That's why I've warned people that we've got to get the word out about who's going to be behind this depression so that when it happens the culprits don't run around grandstanding as saviors.
[00:03:24.406 --> 00:03:24.986]  But it's on.
[00:03:27.768 --> 00:03:34.313]  Geithner is to remain as Treasury Secretary and we've got a clip coming up where just a few months ago he said there's no way we're going to lose our AAA rating.
[00:03:34.593 --> 00:03:39.217]  It was always planned to do that once they got the super Congress in place.
[00:03:39.717 --> 00:03:41.439]  They've had many debt increases.
[00:03:42.537 --> 00:03:56.506]  This is all about a spectacle to get the idea of default and collapse in our minds and to make the American people think that it's our fault this is going to happen and to sell us that it's our fault instead of those that created the 1.5 plus quadrillion.
[00:03:57.687 --> 00:04:02.170]  Dollar to drop and S&P move, safe haven demand seen.
[00:04:03.656 --> 00:04:04.297]  Here's another one.
[00:04:04.677 --> 00:04:06.818]  China calls for international oversight of the U.S.
[00:04:06.878 --> 00:04:08.639]  dollar, which is really the end of U.S.
[00:04:08.699 --> 00:04:11.541]  sovereignty or gunboat diplomacy against our nation.
[00:04:12.021 --> 00:04:23.668]  Suggests single global currency to replace it, exactly what the Rockefellers and others have been positioning and pushing and promoting and promoting an end to the Constitution being the answer to all our problems and all the big magazines and newspapers the last few months.
[00:04:24.048 --> 00:04:28.451]  Promoting the last two years a bank of the world that you pay your VAT and carbon taxes to.
[00:04:30.931 --> 00:04:32.252]  We've got that news.
[00:04:32.792 --> 00:04:45.900]  Also, we've got a report out of Zero Hedge up on PrisonPlanet.com right now that breaks down the fact that world leaders are moving to try to slow the implosion.
[00:04:46.280 --> 00:04:48.701]  Again, it's designed to implode, but they want it incrementally.
