[00:00:00.129 --> 00:00:04.171]  You don't need me to tell you that humanity is in a deep crisis.
[00:00:04.591 --> 00:00:05.791]  Everyone can feel it.
[00:00:06.072 --> 00:00:14.535]  We know a tectonic struggle is now taking place between the forces of freedom and those who love darkness, bondage, and enslavement.
[00:00:14.975 --> 00:00:18.137]  Yes, my friends, evil is rising.
[00:00:18.417 --> 00:00:19.277]  But take heart.
[00:00:19.457 --> 00:00:22.979]  For every action, there is an equal and opposite reaction.
[00:00:23.259 --> 00:00:28.221]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:00:28.641 --> 00:00:32.226]  We are in an information war, and we are losing that war.
[00:00:32.506 --> 00:00:33.948]  The globalists are scared.
[00:00:34.228 --> 00:00:35.230]  They've overreached.
[00:00:35.570 --> 00:00:38.714]  The future of the info war is in your hands.
[00:00:39.074 --> 00:00:41.077]  Join PrisonPlanet.tv.
[00:00:41.337 --> 00:00:44.121]  Download the thousands of special video reports.
[00:00:44.301 --> 00:00:48.462]  No one can deny that our Republic, in fact our entire world, is at a historic crossroads right now.
[00:01:13.035 --> 00:01:20.380]  We work very hard here at Infowars.com to bring you the news and latest information in the fight for liberty worldwide.
[00:01:21.801 --> 00:01:34.669]  And because our message is resonating across the world, because we've already had such a huge effect, we know that it is our responsibility to intensify our resistance against the globalists 110%.
[00:01:35.329 --> 00:01:36.370]  I am going to do whatever I can
[00:01:42.039 --> 00:01:46.723]  To up our game in the fight against tyrants to reach even more people.
[00:01:47.743 --> 00:02:08.059]  I am asking you to join us and to be part of our fight and to support the work we're doing at PrisonPlanet.tv and to spread the word, not just about the weeknight, 30-minute, condensed, focused, hard-hitting newscast, but special reports we're gonna do multiple times a week.
[00:02:08.580 --> 00:02:10.882]  I am so excited about this.
[00:02:11.542 --> 00:02:23.004]  And I hope that you share our excitement and that you will help us get the word out about PrisonPlanet.TV, InfoWars Nightly News, and InfoWars Special Reports at 7 p.m.
[00:02:23.584 --> 00:02:25.325]  Central every weeknight.
[00:02:25.825 --> 00:02:32.906]  But whatever you do, spread the message that for every action there is an equal and opposite reaction.
[00:02:33.426 --> 00:02:36.447]  Free humanity is rising against tyranny.
