[00:00:00.879 --> 00:00:01.419]  We've got it.
[00:00:01.439 --> 00:00:07.864]  This transmission is coming to you.
[00:00:07.964 --> 00:00:10.046]  Waging war on corruption.
[00:00:10.066 --> 00:00:12.047]  Alright, here I go.
[00:00:12.387 --> 00:00:17.991]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:20.678 --> 00:00:21.859]  It is Sunday, my friends.
[00:00:22.079 --> 00:00:23.620]  The 17th day of April, 2011.
[00:00:23.700 --> 00:00:26.982]  And we're going to be live here for the next two hours.
[00:00:27.022 --> 00:00:29.243]  Stuart Rhodes, founder of Oath Keepers.
[00:00:40.689 --> 00:00:46.292]  Organization reaching out to the military and police encouraging them to relearn the Bill of Rights and Constitution.
[00:00:46.352 --> 00:00:50.474]  Some of them never learned it, so they're also reaching out for some to discover it.
[00:00:51.335 --> 00:00:57.478]  And there are 10 orders that they will never follow dealing with the police state takeover of this society.
[00:00:57.578 --> 00:01:02.141]  Oath keepers growing all across the country needed now more than ever.
[00:01:02.841 --> 00:01:07.584]  So that is coming up in the second hour of this live Sunday transmission.
[00:01:08.519 --> 00:01:19.658]  Now, I was aware of this several years ago with White House consultations, Homeland Security consultations, Pentagon cybersecurity consultations.
[00:01:21.056 --> 00:01:23.117]  Microsoft, of course, overseeing a lot of it.
[00:01:24.117 --> 00:01:34.901]  A plan to make you have a government ID number that will then be attached to thumb printers, biometric scanners that you notice are going in on almost all the new computers.
[00:01:35.621 --> 00:01:36.962]  It's all standardized already.
[00:01:37.982 --> 00:01:44.944]  To make you have an internet ID to surf the web, to purchase anything online, it will track everything you do.
[00:01:45.604 --> 00:01:49.346]  And the White House admits the IRS will track in live time all your purchases.
[00:01:50.466 --> 00:01:57.008]  No Fourth Amendment, no Fifth Amendment, just absolute total tyranny on the face of it.
[00:01:57.408 --> 00:02:01.529]  A step towards the cashless society system that they're setting up.
[00:02:01.569 --> 00:02:16.592]  They're first going to now establish the global digital currency, which is already operating as the SDR, then have all the nations sign over their currencies to be controlled and denominated in that new global benchmark.
[00:02:17.092 --> 00:02:19.093]  That will give the insiders even more control to
[00:02:20.399 --> 00:02:24.800]  Rig and steal and engage in insider trading and currency manipulation.
[00:02:24.820 --> 00:02:31.681]  And then, of course, they will fully phase out cash and all you will have is digital money and there will be no escaping them.
[00:02:32.061 --> 00:02:40.862]  They will then be able to tax you and control the economy to a level that makes it impossible to be able to even afford to have a family or have children.
[00:02:41.343 --> 00:02:45.243]  And even if you think you'll be poor and have children, the welfare is going to be cut out by then.
[00:02:45.263 --> 00:02:49.004]  And this is in the eco-science written by the White House Science Czar.
[00:02:49.724 --> 00:02:52.305]  We actually have a new special presentation on it coming out in a few weeks.
[00:02:53.265 --> 00:02:57.487]  John P. Holdren, where he says, then when you don't have money, we're coming to take your kids.
[00:02:57.967 --> 00:02:58.968]  And we're going to sterilize you.
[00:02:59.748 --> 00:03:00.808]  So, that is the plan.
[00:03:00.828 --> 00:03:03.930]  They're going to purposely bankrupt you, and then they're going to come after you.
