[00:00:00.009 --> 00:00:00.780]  Radio Network.
[00:00:07.335 --> 00:00:11.558]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:12.179 --> 00:00:13.000]  You want answers?
[00:00:13.780 --> 00:00:14.701]  Well, so does he.
[00:00:15.301 --> 00:00:18.884]  He's Alex Jones on the GCN Radio Network.
[00:00:19.505 --> 00:00:23.608]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.923 --> 00:00:47.348]  We have a absolutely jam-packed broadcast with just amazingly important developments lined up today as we track what's happening around the globe and here in the United States.
[00:00:47.408 --> 00:00:48.409]  It is the 31st day of March, 2011.
[00:00:52.406 --> 00:00:57.549]  And we're going to be live here for the next three hours at least.
[00:00:58.089 --> 00:01:01.771]  And we're going to have open phones as well.
[00:01:02.892 --> 00:01:21.462]  Webster Griffin Tarpley, one of our geopolitical analysts, will be joining us as it becomes a mainstream media firestorm discussing the fact that the core of the rebels in the east of Libya that started this whole thing with Muammar Gaddafi are al-Qaeda.
[00:01:22.441 --> 00:01:34.290]  And we have the key video posted at InfoWars.com and PrisonPlanet.com in a detailed article written by Aaron Dykes and myself, breaking down the entire history of this.
[00:01:34.730 --> 00:01:37.432]  And the headline is, Al Qaeda is 100% Pentagon run.
[00:01:40.575 --> 00:01:54.653]  And then I have a comment, a very well-written comment, by Rabbit2000, who commented on the PrisonPlanet.com posting of Al Qaeda 100% Pentagon, where he takes a little issue with me.
[00:01:56.502 --> 00:02:04.389]  He's right and he's wrong, and I'm right that Al Qaeda is 100% Pentagon run, but from a low-level perspective, I'm wrong.
[00:02:04.849 --> 00:02:15.177]  And I'm going to explain how this works, how people are looking at this from a one-dimensional perspective and not understanding what true full-spectrum dominance is.
[00:02:16.078 --> 00:02:19.721]  And Webster Griffin Tarver is going to be discussing this with us as well.
[00:02:19.961 --> 00:02:24.725]  Obviously, the big news first, when we come back from break,
[00:02:25.800 --> 00:02:27.901]  Low levels of radiation found in U.S.
[00:02:27.961 --> 00:02:28.221]  milk.
[00:02:29.441 --> 00:02:48.285]  Now remember, they tell the troops that there's no health problems from DU, even though their own internal army reports say it is a weapon that when fired from any device, any large artillery, small arms, ignites in the barrel and that you get deadly doses of it every time you use it.
[00:02:48.965 --> 00:02:54.807]  But they say now, they wave a magic wand 20 years ago in 1991 and said, no, it's now good for you.
[00:02:55.807 --> 00:03:07.491]  I wonder how Ann Coulter and George Monbiot, on the left and right, are going to feel now that Japan is saying they're bracing for deaths, and that there is radiation sickness, and that there's been an ongoing cover-up with that.
[00:03:07.511 --> 00:03:08.131]  No kidding.
[00:03:08.171 --> 00:03:17.854]  When you're getting a thousand millisieverts of radiation an hour, and that's conservative numbers, if you get five hours of that, it's a death sentence.
[00:03:19.741 --> 00:03:25.927]  And that's the radiologist and radiation poison specialist that the Washington Post was interviewing three days ago.
[00:03:26.427 --> 00:03:40.340]  So, obviously, if the radiation is so high that they've basically abandoned trying to fix the reactors and may go to dumping concrete on them to try to seal up the meltdowns, what does that tell you?
[00:03:40.360 --> 00:03:42.042]  If it's so deadly, workers can't go in there.
[00:03:42.082 --> 00:03:43.644]  I mean, do you think that's high radiation?
[00:03:44.404 --> 00:03:50.189]  100,000 times normal levels, as reported since Sunday, four and a half days ago.
[00:03:51.210 --> 00:03:53.512]  So, low levels of radiation found in U.S.
[00:03:53.592 --> 00:03:58.636]  milk, Japan's nuclear rescuers inevitable, some of them may die within weeks, Fox News.
[00:04:00.445 --> 00:04:04.706]  Continuing, President of Fukushima nuclear power plant operator sent to the hospital.
[00:04:04.746 --> 00:04:05.966]  They're not really saying why.
[00:04:06.346 --> 00:04:07.266]  I think I can guess.
[00:04:07.786 --> 00:04:09.087]  He's been at the plant quite a bit.
[00:04:09.867 --> 00:04:14.268]  Radiation levels in seawater off Japan plant spiked to all-time highs, CNN.
