[00:00:21.894 --> 00:00:24.475]  Good evening, and welcome to the InfoWars Nightly News.
[00:00:24.575 --> 00:00:26.336]  I'm your sit-in host, Rob Dew.
[00:00:26.436 --> 00:00:35.581]  Alex has taken the night off for a well-deserved little R&R, but he will be back on Monday with a very special Ron Paul presentation.
[00:00:35.601 --> 00:00:48.368]  We're going to show some vintage Ron Paul clips that proves that he's the same guy 20 years ago, is the same guy today, and not like these other shape-shifting troglodytes that are running for Republican nomination for the presidency.
[00:00:49.328 --> 00:00:57.915]  Coming up, we're going to have Don Browning, who's a retired OKC police officer, and Holland Vanden Neuwenhoff from the film A Noble Lie.
[00:00:57.935 --> 00:00:59.457]  He's one of the producers and researchers.
[00:01:00.057 --> 00:01:03.180]  And it's a film we carry here at Infowars.com.
[00:01:03.580 --> 00:01:12.507]  And they're going to be talking mainly about Don's threats that he received from the FBI while he was doing his own investigation and his police work there.
[00:01:13.388 --> 00:01:22.299]  And it just goes to show you that good cops do want to get the truth out there and they are pressured from above to just sit back and let things happen.
[00:01:22.779 --> 00:01:24.061]  Let's get to our headlines today.
[00:01:24.081 --> 00:01:26.624]  We've got an interesting TSA story today.
[00:01:27.224 --> 00:01:30.628]  Congress to fund massive expansion of TSA checkpoints.
[00:01:31.696 --> 00:01:43.423]  And Paul Joseph Watson writes in this Infowars.com article, Congress is set to give the green light on funding for a massive expansion of TSA checkpoints with the federal agency already responsible for over 9,000 such checkpoints.
[00:01:44.003 --> 00:01:51.968]  And last year, amidst increased fears, America is turning into a police state following the passage of the indefinite detention bill, which is the NDAA bill.
[00:01:53.148 --> 00:02:06.237]  Goes on to say the TSA's 25 VIPER teams, which stands for Visible Intermodal Prevention and Response, have run more than 9,300 unannounced checkpoints and other search operations in the last year.
[00:02:06.958 --> 00:02:13.322]  And the Department of Homeland Security is asking Congress they want to have 12 more teams in the next upcoming year.
[00:02:13.802 --> 00:02:20.206]  So they want to spend a total of $134 million on top of what they're already spending at the airports, which is $5 billion.
[00:02:20.286 --> 00:02:21.587]  You know how many terrorists they've found?
[00:02:21.907 --> 00:02:22.328]  Zero.
[00:02:22.968 --> 00:02:25.170]  That's what you get for five plus billion dollars.
[00:02:25.951 --> 00:02:49.489]  And this reminds me of earlier this year we reported on a TSA checkpoint that was happening on the streets of Tennessee and we're going to show you part of that clip which also goes into a little bit of a Janet, I don't even know what to say, I can't even say it's a Janet Napolitano and her little mind control bit that was going on in Walmart and then Alex ties it in and the part of Police State 4.
[00:02:49.549 --> 00:02:50.670]  So here's that clip now.
[00:02:51.360 --> 00:02:58.765]  Tuesday, Tennessee was the first to do this simultaneously at five way stations and two bus stations statewide.
[00:02:59.125 --> 00:03:07.571]  They're recruiting truck drivers like Rudy Gonzalez into the First Observer Highway Security Program to say something if they see something.
[00:03:08.011 --> 00:03:12.854]  Not only truck drivers, but cars, everybody should be aware of what's going on on the road.
[00:03:13.095 --> 00:03:17.918]  It's all meant to urge every driver to call authorities if they see something suspicious.
[00:03:25.582 --> 00:03:30.906]  Hi, I'm Janet Napolitano, Secretary of the Department of Homeland Security.
[00:03:30.926 --> 00:03:35.089]  Homeland security begins with hometown security.
[00:03:36.730 --> 00:03:43.776]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:03:45.104 --> 00:03:57.931]  The airport adventures which they now admit are going nationwide with the Viper teams at bus stops, train stops, the streets, shopping malls, random vans, sending you through body scanners, biometrically scanning 360, your naked body.
[00:03:58.031 --> 00:04:06.596]  Now TSA agents are on the interstates fighting terrorism with visible intermodal prevention and response or Viper operations.
[00:04:06.956 --> 00:04:13.600]  The Tennessee Highway Patrol is checking trucks with drug and bomb sniffing dogs during random inspections.
[00:04:13.882 --> 00:04:18.558]  The bottom line is this, if you see something suspicious, say something about it.
[00:04:19.943 --> 00:04:26.548]  And there's that buzzword, see something, say something, report on your neighbors, look around for stuff, do your own investigating.
[00:04:26.588 --> 00:04:27.269]  It's really funny.
[00:04:28.530 --> 00:04:36.636]  I really want to go into this, that statement that President Obama made, you know, we have to have a civilian national security force that's just as powerful, just as strong.
[00:04:37.417 --> 00:04:40.779]  And that's basically what you're seeing with these TSA agents.
[00:04:40.819 --> 00:04:42.461]  These are not officers of the law.
[00:04:43.241 --> 00:04:45.743]  We shouldn't even call them officers because they're not officers.
[00:04:45.763 --> 00:04:47.685]  They do not take an oath to the Constitution.
[00:04:48.145 --> 00:04:48.626]  These are just
[00:04:49.286 --> 00:04:58.469]  They're literal brown shirts that we have out there that are going through our luggage, they're sticking their hands down your pants, and if you've gone through the airport, you know what it's like.
[00:04:58.589 --> 00:05:05.091]  I mean, they're taking old ladies and strip-searching them, and then they say, that's not a strip-search, because we don't call it a strip-search, we call it a search.
[00:05:05.991 --> 00:05:07.893]  And you know what happened to the brown shirts?
[00:05:07.933 --> 00:05:19.061]  They got into power, they helped Hitler get into power, and then there was what we call the Night of Long Knives, where Hitler went around and assassinated all the leaders because he wanted to take full power, and he was afraid these guys would then go after his power.
[00:05:19.101 --> 00:05:24.985]  So those of you out there that serve the system, and do this stuff, and do it with impunity, your day will come.
[00:05:25.185 --> 00:05:25.906]  It'll happen.
[00:05:26.286 --> 00:05:27.927]  So, that's about all I have to say on that one.
[00:05:28.948 --> 00:05:30.409]  Let's go international here.
[00:05:30.429 --> 00:05:33.291]  We got China warns of an EU carbon tax trade war.
[00:05:33.511 --> 00:05:34.892]  So the trade wars are going to heat up.
[00:05:35.112 --> 00:05:36.393]  And this is from the Financial Times.
[00:05:36.953 --> 00:05:44.078]  China has warned the European Union to abandon its controversial carbon tax on airlines or risk provoking a global trade war.
[00:05:45.018 --> 00:05:55.841]  Adding weight to the warning, an industry insider told the Financial Times that the Chinese government was seriously considering measures to hit back at the EU if it insists on charging international airlines for their carbon emissions.
[00:05:56.181 --> 00:06:05.623]  And what this does, this goes back to the day before Mail Online reported that there's going to be a hike in airplane fares internationally to anybody flying into the EU.
[00:06:07.120 --> 00:06:10.562]  And this is so they could offset the carbon footprint.
[00:06:10.942 --> 00:06:18.387]  This goes into, Europe's right to tackle pollution from all airlines using its airports does not breach international laws, what the EU judges were ruling.
[00:06:18.987 --> 00:06:24.871]  And you had American and Canadian airlines filing a challenge on this, and that was essentially just thrown out.
[00:06:25.191 --> 00:06:30.935]  It was thrown out of court, and they said, sorry, we're going to charge you extra money, and in the back of this article it actually tells you,
