[00:00:23.157 --> 00:00:24.818]  It's Infowars Nightly News.
[00:00:24.878 --> 00:00:26.199]  I'm your host Alex Jones.
[00:00:26.560 --> 00:00:29.102]  It is Monday, December 5th, 2011.
[00:00:29.142 --> 00:00:34.426]  We don't have any guests tonight because I needed all the time we have to cover the news.
[00:00:35.067 --> 00:00:36.728]  It's going to be a powerful transmission.
[00:00:36.748 --> 00:00:47.537]  We've also dug up some video of Senator Jay Rockefeller talking about globalist and Bilderberg treason here in America, making a big, disgusting, sickening joke out of it.
[00:00:48.137 --> 00:00:51.620]  We also have Senator Snowe making jokes about a new world order.
[00:00:51.640 --> 00:01:00.789]  Of course, both these senators last Thursday voted to allow the military to operate domestically and to disappear American citizens.
[00:01:00.829 --> 00:01:02.550]  And they're quite proud of themselves.
[00:01:02.590 --> 00:01:07.134]  So, many times, jest is where you find the real truth.
[00:01:07.575 --> 00:01:10.598]  That is coming up after the first break.
[00:01:11.218 --> 00:01:12.279]  This evening.
[00:01:13.099 --> 00:01:25.607]  But right now, let's get into what's happening with the top of the pyramid, the big mega banks that are destroying, you could say pissing away the value of the dollar through devaluation.
[00:01:26.988 --> 00:01:32.611]  Look at this headline, Fed may give loans to IMF to help Eurozone.
[00:01:33.072 --> 00:01:34.352]  Well, internationally,
[00:01:35.753 --> 00:01:39.237]  The Federal Reserve is the North American version of this, the U.S.
[00:01:39.277 --> 00:01:39.937]  version of this.
[00:01:40.538 --> 00:01:48.585]  Internationally, the IMF is an international global consortium of the very same six megabanks.
[00:01:49.166 --> 00:01:51.849]  And so it's just with one hand giving to the other hand.
[00:01:52.912 --> 00:01:56.633]  And always acting like it's fixing the problems in Europe or it's fixing the problems in America.
[00:01:57.453 --> 00:02:08.517]  It's backstopping derivatives that the big six megabanks sold into the world market in the last 12 years or so.
[00:02:09.257 --> 00:02:11.438]  But notice they say that they may do it.
[00:02:11.978 --> 00:02:14.619]  They've been doing it for years and years and years.
[00:02:15.439 --> 00:02:16.960]  In fact, here's another headline.
[00:02:17.320 --> 00:02:25.667]  Fed says it takes no risk in lending dollars for Europe at zero or even lower than zero than they loan it out at interest to the general public and governments.
[00:02:26.347 --> 00:02:31.211]  So that's basically where the free money comes in and that devalues it.
[00:02:31.511 --> 00:02:33.032]  So they've been doing this for a long time.
[00:02:33.812 --> 00:02:36.755]  Here's a government accounting office breakdown.
[00:02:38.018 --> 00:02:38.158]  I don't
[00:02:59.038 --> 00:03:01.079]  Again, those numbers there are not in thousands.
[00:03:01.119 --> 00:03:05.102]  That's two plus trillion there that was given to Citigroup.
[00:03:05.963 --> 00:03:09.145]  You can see right there where Morgan Stanley was given over two trillion.
[00:03:09.845 --> 00:03:13.008]  Bank of America down there with what, 1.344 trillion.
[00:03:13.308 --> 00:03:14.969]  Look over here on screen right here.
[00:03:15.610 --> 00:03:17.691]  We have an article from July 20th, 2009, two years ago.
[00:03:22.867 --> 00:03:27.791]  Rescue may reach $23.7 trillion, and that's before they actually got the numbers.
[00:03:28.632 --> 00:03:30.514]  Now remember, this is your tax money.
[00:03:31.014 --> 00:03:33.176]  Then the bankers loan it back to the government.
[00:03:33.216 --> 00:03:38.020]  We give it to them in a bailout, they loan it back at interest to the government, so they've lowered the U.S.
[00:03:38.060 --> 00:03:42.604]  credit rating, they've lowered the member states and the EU's credit ratings.
[00:03:43.285 --> 00:03:48.409]  That's so that you have to borrow this from the same banks at a higher interest rate, and they created the fraud.
[00:03:49.406 --> 00:03:50.307]  I know it doesn't make sense.
[00:03:50.327 --> 00:03:54.712]  It's just an incredible level of bamboozling that is going on.
[00:03:54.732 --> 00:03:56.013]  And here's the Federal Reserve System.
[00:03:56.453 --> 00:04:03.961]  Opportunities exist to strengthen policies and processes for managing and assisting the emergency.
[00:04:06.143 --> 00:04:09.046]  Continuing here with this news.
[00:04:10.491 --> 00:04:29.142]  We have the fact that people like MF Global have made giant investments in bonds in Europe, in some cases with Corzine 40 to 1, showing just incredible gambling
[00:04:30.575 --> 00:04:31.716]  That is going on.
[00:04:31.756 --> 00:04:41.704]  But this brings volatility that the different brokerage firms and speculators love because they're the insiders and they know which way it's going to go.
[00:04:41.765 --> 00:04:54.675]  It's basically a rigged casino where the odds are absolutely stacked against the public and they come in and finance and wine and dine and hire and pay off on record county and city officials, city managers who then invest
[00:04:55.396 --> 00:05:02.622]  Not just the pension funds, but also the bonds and other programs into these derivatives.
