[00:00:21.684 --> 00:00:24.486]  Good evening and welcome to InfoWars Nightly News.
[00:00:24.546 --> 00:00:27.468]  This is Mike Adams filling in for Alex Jones this evening.
[00:00:28.149 --> 00:00:33.993]  It's Friday, December 16, 2011, and we've got a great show lined up for you, a lot of very important breaking news.
[00:00:34.513 --> 00:00:41.459]  Plus, Alex Jones is conducting an interview tonight with the creators of the very important documentary, A Noble Lie.
[00:00:42.219 --> 00:00:45.142]  And you can watch that segment here just after the news.
[00:00:45.662 --> 00:00:52.269]  Those are interviews with James Lane, the director, and Holland van den Nieuwenhoff, the key researcher for the film.
[00:00:52.629 --> 00:00:55.832]  It's a very important interview, so definitely stay tuned for that.
[00:00:56.633 --> 00:01:01.277]  Now, getting to the news, the National Defense Authorization Act, the NDAA.
[00:01:02.358 --> 00:01:09.704]  It looks like Obama is poised to sign that bill, which of course shreds the Bill of Rights and eviscerates the U.S.
[00:01:09.904 --> 00:01:10.644]  Constitution.
[00:01:11.285 --> 00:01:29.438]  Now, Obama is the one who said he wouldn't sign the bill, but it turns out that he is in fact the very person who requested that specific sections of the bill pertain to Americans, so that Americans could be arrested, they could be interrogated, they could be, quote, disappeared, never to be heard from again,
[00:01:30.439 --> 00:01:37.122]  And in fact, Glenn Greenwald from Salon wrote about the three myths of this bill.
[00:01:37.142 --> 00:01:46.305]  You see a lot of people out there arguing about this and saying it does not apply to American citizens or it does not codify indefinite detention, but in fact it does.
[00:01:46.365 --> 00:01:54.689]  If you read the bill, here are the words on screen for you, that it does detain Americans until the end of hostilities, the second myth,
[00:01:55.629 --> 00:02:01.754]  Clarifies that it does expand the scope of the war on terror as defined in previous law.
[00:02:02.434 --> 00:02:10.580]  The third myth is that it doesn't apply to Americans and once again this article clarifies that it does indeed apply to Americans.
[00:02:11.181 --> 00:02:11.941]  So there's no question.
[00:02:12.878 --> 00:02:22.722]  There's no question, if you look at the facts and read the bill, that this National Defense Authorization Act does now make America the battleground, and it makes you the potential enemy.
[00:02:23.022 --> 00:02:30.545]  It makes us all, in a sense, enemies of the state, if we are just suspected of being involved with anything related to terrorism.
[00:02:31.005 --> 00:02:31.766]  And remember, the U.S.
[00:02:31.806 --> 00:02:37.908]  government does not have to produce even a single shred of evidence to prove their accusations against you.
[00:02:38.188 --> 00:02:39.489]  This is the definition of tyranny.
[00:02:40.049 --> 00:02:51.098]  Now we shouldn't be surprised that Obama reversed his own word saying he would veto the bill and now is poised to sign it because he has a long history of lying to us about things he will or will not do.
[00:02:51.478 --> 00:02:51.998]  Remember this?
[00:02:52.599 --> 00:02:55.041]  Remember when he said he would close Guantanamo?
[00:02:55.281 --> 00:02:57.883]  This was one of his campaign promises.
[00:02:58.243 --> 00:03:01.226]  He said he would crack down on lobbyist influence in Washington.
[00:03:01.546 --> 00:03:04.948]  Well now lobbyists have greater influence than ever before in Washington.
[00:03:05.729 --> 00:03:09.715]  Obama also said he would broadcast all the healthcare negotiations on C-SPAN.
[00:03:10.275 --> 00:03:14.061]  And then he went on to have secret negotiations behind closed doors.
[00:03:14.441 --> 00:03:17.045]  Yep, private secret meetings to roll out the healthcare bill.
[00:03:17.525 --> 00:03:21.991]  And now, of course, he said he would veto the NDAA, but he is going to sign it.
[00:03:24.318 --> 00:03:28.320]  Now is the moment, more than ever, that we need to support Ron Paul.
[00:03:28.781 --> 00:03:46.673]  He's the only person who has a sense of sanity and integrity in honoring the Constitution and the Bill of Rights that would protect us from exactly this kind of tyranny that is about to be thrust upon us by Obama and all the Senators and members of Congress who signed this atrocious bill.
[00:03:47.816 --> 00:03:52.960]  Moving on, we have a very intriguing Man on the Street segment for you, brought to you by Darren McBreen.
[00:03:53.020 --> 00:03:57.804]  He interviewed some computer science experts on the streets of Austin.
[00:03:58.024 --> 00:03:59.205]  Let's go to that film right now.
[00:04:00.253 --> 00:04:08.821]  The House and the Senate have both introduced internet piracy bills that they argue are designed to stop internet theft of intellectual property.
[00:04:09.141 --> 00:04:21.173]  But civil rights groups and other critics of the bills are calling these propositions internet kill switches, as they would allow the government to shut down the internet or restrict access to certain websites or types of content.
[00:04:21.613 --> 00:04:26.219]  Should the bills pass, the internet would be monitored and patrolled by government censors.
[00:04:26.539 --> 00:04:34.189]  And the enforcement of libel and copyright infringement of the internet would be yet another step in the direction of a totalitarian state.
[00:04:35.570 --> 00:04:37.693]  Have you heard about the internet kill switch?
[00:04:38.283 --> 00:04:40.465]  I have heard rumors about an internet kill switch, yes.
[00:04:40.625 --> 00:04:43.127]  I think it's just another way for them to try and control what we do.
[00:04:43.187 --> 00:04:48.591]  Just placing any sort of restriction on the internet is just, I don't think, a good idea.
[00:04:48.631 --> 00:04:50.633]  Because to me, internet is like the great equalizer.
[00:04:50.653 --> 00:04:51.954]  It's what gives knowledge to everyone.
[00:04:51.994 --> 00:04:53.755]  It's what gives knowledge to the common man.
[00:04:53.895 --> 00:04:59.780]  I believe we do need a law, but I believe the law that they're proposing is probably going a little bit too far.
[00:05:00.060 --> 00:05:06.350]  If you were to shut down all the communications from people to people, that goes against core American values.
[00:05:06.410 --> 00:05:12.619]  Going as far as blocking and stopping search engines, you know, does exceed its bounds.
[00:05:12.780 --> 00:05:14.803]  Do you think it's an assault on our First Amendment?
[00:05:15.436 --> 00:05:16.136]  Oh yeah, for sure.
[00:05:16.176 --> 00:05:20.957]  I mean, it's publicly controlled, so the government shouldn't have a hand in what we can and what we can't see.
[00:05:21.037 --> 00:05:23.297]  It is literally an assault on our free speech.
