[00:00:07.236 --> 00:00:13.459]  In the 1950s, Universal Pictures put out a classic sci-fi horror film, The Thing.
[00:00:14.540 --> 00:00:36.010]  And it's been likened to a carrot from outer space they dig up in the snow that had crashed in Antarctica on the south pole of this planet, dug it up, and then it was basically a shapeshifter that would devour its prey and then copy them.
[00:00:36.892 --> 00:00:46.903]  And then, of course, they had the John Carpenter classic in 1982, which is probably one of the best sci-fi horror films ever made, in my humble opinion.
[00:00:47.743 --> 00:00:52.669]  But, you see, we live in the real world, and truth is stranger than fiction.
[00:00:53.416 --> 00:01:12.701]  No, we haven't had an alien that crashed millions of years ago in Antarctica that's been thawed out and is now at a research facility absorbing the crew with an eye towards invading the mainland and taking over the entire biosphere of the planet Earth.
[00:01:13.141 --> 00:01:14.682]  No, no, no, that's not happening.
[00:01:15.642 --> 00:01:22.484]  And of course, they're now re-releasing basically a remake of the 1982 from the reviews I've read.
[00:01:23.174 --> 00:01:25.956]  No, I'm talking about the real thing.
[00:01:27.557 --> 00:01:28.658]  The real deal.
[00:01:29.398 --> 00:01:50.032]  I'm talking about genetic engineers, transhumanist, working for the globalist, who in their own words admit, going back to the 1970s, that they had a plan to patent every major food crop and then every major life form
[00:01:51.482 --> 00:02:02.547]  prolific life form on this planet and put artificial genes, genetics, DNA, RNA into them to manipulate viruses, bacteria.
[00:02:03.047 --> 00:02:06.548]  And now that's been done with tens of thousands of different species.
[00:02:07.049 --> 00:02:11.551]  In some cases, hundreds of different species are being spliced together.
[00:02:11.591 --> 00:02:17.013]  You know about spider goats that are part goat, part spider that produce body armor in their milk.
[00:02:17.053 --> 00:02:18.874]  You've read about the super salmon.
[00:02:19.594 --> 00:02:25.581]  That university studies have shown will extinct the normal salmon that are in the ocean.
[00:02:26.021 --> 00:02:32.508]  And these salmon, different varieties have been mixed with other fish, insects, plants, the list goes on and on.
[00:02:33.109 --> 00:02:35.531]  You see, that's the real thing.
[00:02:36.451 --> 00:02:43.793]  You're eating corn, you're eating a GMO potato, and it's had insect genes and other traits added to it.
[00:02:44.213 --> 00:02:54.156]  It's had pharmacological traits in the BT corn and other crops where a pesticide is engineered to grow inside the corn.
[00:02:55.592 --> 00:02:59.395]  To where field mice and insects can't eat it.
[00:02:59.475 --> 00:03:00.536]  If they do, they die.
[00:03:00.916 --> 00:03:02.478]  But then you are fed this.
[00:03:02.758 --> 00:03:15.148]  My point is, as we prepare to enter 2012, we have a global ruling class that are playing God and who, quite frankly, don't know what they're doing.
[00:03:16.108 --> 00:03:22.734]  They were able to foresee with their futurists and their think tanks, hiring the top minds in the world, what could be done.
[00:03:23.871 --> 00:03:39.456]  But they are endangering the planet itself while constantly distracting the public with fake environmental crises like carbon dioxide that is 0.0360 of the atmosphere.
[00:03:40.076 --> 00:03:44.617]  The New World Order, simply put, are people trying to play God.
[00:03:44.697 --> 00:03:52.360]  They've studied how humans operate as if they were an alien coming here from a foreign planet.
[00:03:52.920 --> 00:03:53.380]  They have
[00:03:55.646 --> 00:04:10.872]  They have funded literally hundreds and hundreds of universities for more than 150 years to study every facet of psychological, spiritual, physical processes that take place.
[00:04:11.752 --> 00:04:21.036]  And they have tested and refined incredible tools of social control, propaganda, chemical control, through the water and food supply.
[00:04:21.096 --> 00:04:22.877]  This is all on record.
[00:04:24.346 --> 00:04:39.384]  The globalists have also, for at least 80 years, engaged in lethal chemical and biological as well as radiological tests on prisoners, foster children, military personnel, the list goes on and on.
[00:04:39.725 --> 00:04:42.288]  You know about injecting people with syphilis, you know about
[00:04:43.499 --> 00:04:47.380]  The horrors of children being radiated by the thousands in atomic studies.
[00:04:48.161 --> 00:04:51.362]  You know about forced sterilizations going on right into the 1980s.
[00:04:51.882 --> 00:04:53.143]  Or at least you should know about that.
[00:04:53.543 --> 00:04:55.323]  That is only the tip of the iceberg.
[00:04:56.284 --> 00:05:07.908]  And it's being done to test these systems, but also to test the personnel and to create larger pools of individuals that will carry out these type of activities.
[00:05:08.868 --> 00:05:12.450]  Because they enjoy the power, because they believe the end justifies the means,
[00:05:13.510 --> 00:05:22.038]  The point is, the global ruling class believe they are a separate species from us and openly write about this.
[00:05:22.558 --> 00:05:39.634]  They believe they have transcended the common man and are actively trying to poison and also socially dumb down the general population so that we will fit in to the mold and the typecast that they've made for us.
[00:05:41.058 --> 00:05:54.637]  So when you see movies like John Carpenter's classic or this new one that just came out, remember that the real world is a lot stranger than what Hollywood screenwriters can come up with.
[00:05:55.563 --> 00:06:04.228]  And sure, it's not as sexy, it's not as shocking as a young heroine fighting the monster from deep space.
[00:06:04.909 --> 00:06:10.772]  And there aren't bodies splitting apart and spewing out tentacles with razor-sharp teeth.
[00:06:11.913 --> 00:06:16.756]  And heroes standing up to it with flamethrowers and dynamite.
[00:06:18.157 --> 00:06:23.921]  No, in this war, the thing, the globalist,
[00:06:25.086 --> 00:06:43.635]  System of control is simply taking over species after species, infecting every major food crop, every staple food animal, and splicing new systems into their DNA that irrevocably spread into the entire family.
[00:06:44.605 --> 00:06:57.390]  Take the case of corn, going back over a decade, close to 90% of all known corn varieties, and there are thousands originating in Mexico, have now been infected.
[00:06:58.050 --> 00:07:09.094]  The latest numbers I saw is that there is no known major cultivated crop, unless it's in closed laboratories, that has not been infected.
[00:07:10.251 --> 00:07:11.772]  Everything is being infected.
[00:07:12.112 --> 00:07:22.560]  So in the thing, it shows under an electron microscope the alien cells metastasizing and taking over the natural cells of the husky or of the human that it's infected.
[00:07:22.740 --> 00:07:25.122]  But in reality, this is already happening to us.
[00:07:26.072 --> 00:07:27.713]  But it doesn't happen right away.
[00:07:27.793 --> 00:07:38.802]  You see, if a GMO crop was put out that caused people to mutate and bleed out and die, or turn into something else right in front of you, you would recognize it as a threat.
[00:07:38.922 --> 00:07:44.766]  But because it's a slow, creeping, methodical death, you're not aware of it.
[00:07:45.387 --> 00:07:52.072]  We're designed to face a frontal assault, a saber-toothed cat jumping out against a troop of hunting Cro-Magnon.
[00:07:53.305 --> 00:07:57.689]  We are not designed to deal with poison that's been added into our environment.
[00:07:57.989 --> 00:08:00.971]  We're designed to just basically adapt to it or die.
[00:08:01.252 --> 00:08:15.163]  And so the globalists have developed a very, very sophisticated, soft-kill, incremental, ambient, genetic Armageddon takeover system where it just slowly is ramped up.
[00:08:18.005 --> 00:08:18.526]  If you look,
[00:08:19.755 --> 00:08:35.058]  Please, for you and your family's sake, and for the future of this planet, and the lifeforms that developed here over untold eons, there is a total revolution by the quote, scientific class.
[00:08:35.958 --> 00:08:49.120]  In their lust for power, in their lust for extended life, in their lust for super weapons to dominate the globe, they have already opened up a thousand times a thousand Pandora's boxes.
[00:08:50.496 --> 00:09:07.831]  And if you just look at the admitted studies in guinea pigs, rats, mice, dogs, monkeys, where the life cycles are in weeks, months, or years, instead of human life cycles being in around 76 years,
[00:09:09.835 --> 00:09:27.544]  In every major study, within three generations, with every major GMO crop where they've had cross-species splicing and genetic chimera cross-clone manipulation, in every case within three generations, the genitals shrivel up to nothing.
[00:09:28.004 --> 00:09:31.006]  Fertility goes down to almost zero.
[00:09:48.357 --> 00:10:08.531]  There are more horror movie type mutations where most of the young are born dead or deformed, or the young are born small, mentally retarded, with hair growing out of their mouths, eyeballs on the back of their head, and within three generations it does get like a John Carpenter movie-the-thing.
[00:10:09.963 --> 00:10:11.183]  This is not by accident.
[00:10:11.243 --> 00:10:12.484]  They stack these traits.
[00:10:13.264 --> 00:10:20.145]  And genetic engineers that we've interviewed who work for these companies have said, hey, this potato is sterilizing the rats.
[00:10:20.585 --> 00:10:22.106]  They're like, don't worry about that trait.
[00:10:22.526 --> 00:10:23.386]  Just move ahead.
[00:10:24.086 --> 00:10:27.747]  So there are Trojan horse traits that have been added to all of these.
[00:10:28.287 --> 00:10:30.168]  This is 21st century warfare.
[00:10:30.368 --> 00:10:36.109]  And of course, that's just the tip of the iceberg when we talk about chimeras and cross-species clones.
[00:10:37.069 --> 00:10:40.953]  And the Island of Dr. Maru type things that are happening that H.G.
[00:10:40.993 --> 00:10:44.177]  Wells predicted over a hundred years ago would come to fruition.
[00:10:45.778 --> 00:10:51.664]  The real revolution and why the globalists are so arrogant is they've created new classes of vaccines.
[00:10:52.125 --> 00:10:53.026]  They call them vaccines.
[00:10:53.066 --> 00:10:54.888]  That's a diversion.
[00:10:55.789 --> 00:10:58.772]  They're really genetically engineered nanotech.
[00:10:59.827 --> 00:11:00.727]  And they advertise it.
[00:11:00.968 --> 00:11:16.535]  Soon, we've already developed it, but soon we're going to get approval, they say, of a vaccine where you'll never be angry, you'll never be sad, or you'll never want to drink alcohol or use cocaine, because the virus actually goes in and changes your brain chemistry.
[00:11:17.776 --> 00:11:18.356]  Listen to me.
