[00:00:27.759 --> 00:00:28.319]  Good evening.
[00:00:28.659 --> 00:00:32.161]  It is Thursday, October 20th, 2011.
[00:00:33.161 --> 00:00:34.981]  It's InfoWars Nightly News.
[00:00:35.222 --> 00:00:36.662]  I'm Alex Jones, your host.
[00:00:37.302 --> 00:00:38.403]  Thank you for joining us.
[00:00:39.243 --> 00:00:41.524]  This is going to be another incredibly important...
[00:00:42.739 --> 00:00:44.061]  News broadcast tonight.
[00:00:45.282 --> 00:00:58.738]  It is with great sadness that I tell the viewers of this program that unfortunately we've been right all along about the globalist plans for this world and for our families.
[00:00:59.479 --> 00:01:01.682]  A global depression is being orchestrated
[00:01:02.643 --> 00:01:09.607]  The entire West is being shredded and turned into a high-tech police state.
[00:01:09.667 --> 00:01:15.870]  An iron curtain of tyranny is descending upon our society.
[00:01:19.132 --> 00:01:23.595]  My one goal is to light bushfires
[00:01:25.305 --> 00:01:33.169]  Or brush fires, as Thomas Jefferson said, in the minds of men and women everywhere to recognize liberty versus tyranny.
[00:01:33.950 --> 00:01:52.680]  Coming up at the end of the news tonight, we've put together a piece dealing with just a small snapshot of subliminal messages in Disney cartoons and magazine ads, Sharpie commercials, TV shows demonizing
[00:01:54.522 --> 00:01:55.943]  Ron Paul with Subliminals.
[00:01:56.604 --> 00:01:58.205]  Very important report.
[00:01:58.826 --> 00:02:06.993]  Just a small snapshot that we're going to be breaking down coming up at the end of this newscast this evening.
[00:02:07.994 --> 00:02:13.599]  Also, I did a working vacation down at the Texas-Mexico border.
[00:02:15.518 --> 00:02:17.559]  And I'm going to break down some of what happened there.
[00:02:18.060 --> 00:02:26.565]  The fear of the cartels, Fast and Furious, our own government arming the cartels, and in federal court admitting that they allow them to ship narcotics into the country.
[00:02:27.165 --> 00:02:33.569]  Then the Border Patrol uses that as a pretext to search the general public and search citizens.
[00:02:34.129 --> 00:02:40.213]  They wanted to search our RV, and I had a confrontation with them at the same checkpoint a few weeks ago.
[00:02:40.633 --> 00:02:44.616]  I had a confrontation with them, but this time things got a lot more heated.
[00:02:45.436 --> 00:02:58.142]  And of course the Border Patrol itself has been caught shipping drugs into the country and is named in the Fast and Furious documents being involved allowing the guns to be shipped into Mexico and cocaine into the country.
[00:02:58.503 --> 00:03:00.984]  Now does that mean the individual Border Patrol agents are bad?
[00:03:01.724 --> 00:03:04.326]  No, I'm sure most of these people are totally innocent.
[00:03:04.686 --> 00:03:09.329]  I'm sure all the guys that were stopping my RV aren't involved in this.
[00:03:09.449 --> 00:03:17.773]  But they're stopping Alex Jones and my family and treating me, like I'm a criminal, guilty until proven innocent.
[00:03:18.754 --> 00:03:19.795]  And that's outrageous.
[00:03:20.987 --> 00:03:23.971]  So we're going to be breaking that down coming up as well.
[00:03:24.431 --> 00:03:27.575]  But first, let's get to tonight's first big story.
[00:03:28.056 --> 00:03:35.185]  Muammar Gaddafi, after 40-plus years of rule of the North African country of Libya, reportedly has been killed.
[00:03:35.865 --> 00:03:37.307]  And it looks just like Gaddafi.
[00:03:37.347 --> 00:03:38.909]  We know he did have some body doubles.
[00:03:39.847 --> 00:03:49.057]  Being marched out, beaten, and then shot in the head after his convoy was reportedly bombed from the air by NATO forces.
[00:03:49.697 --> 00:03:51.339]  Now, this could be true.
[00:03:52.080 --> 00:03:56.404]  The problem is, the Bin Laden thing was totally fake, that's been confirmed.
[00:03:57.225 --> 00:03:59.527]  We have a government that lies about WMDs.
[00:04:00.128 --> 00:04:03.051]  We have a government that has been caught lying over and over again.
[00:04:03.611 --> 00:04:07.856]  And Hillary Clinton, who was a congenital liar, has now showed up in Libya.
[00:04:08.596 --> 00:04:14.242]  We don't know if any of this is true, and so we'll continue to track this as it unfolds.
[00:04:14.762 --> 00:04:19.167]  They've also reportedly hid Qaddafi's body.
[00:04:19.727 --> 00:04:26.015]  Has been taken to a secret location, perhaps Madame Couteau's wax museum.
[00:04:26.296 --> 00:04:34.046]  I'm not sure, but reportedly he begged for his life and then was killed execution style.
[00:04:34.952 --> 00:04:41.936]  So that's basically it for Muammar Gaddafi, but we were told a few months ago he was killed inside his compound in Tripoli.
[00:04:42.317 --> 00:04:45.579]  We were also told five months ago he flew out to Venezuela.
[00:04:46.459 --> 00:04:51.242]  We were also told that Saddam Hussein's sons were killed three or four times before they actually were.
[00:04:51.482 --> 00:04:55.365]  We were told Ammar al-Awlaki was killed five times before the latest killing.
[00:04:56.025 --> 00:05:01.289]  So, again, with known liars telling us something, who knows if it's true or not?
[00:05:02.287 --> 00:05:07.849]  But if it is computer-morphed footage of him being killed, it's certainly better than your average video game.
[00:05:08.449 --> 00:05:13.490]  And Gaddafi did swear to fight to the end, so my gut, just watching the video, tells me it's real.
[00:05:14.831 --> 00:05:16.731]  And my gut has never been wrong.
[00:05:17.291 --> 00:05:19.472]  So, bon voyage, Muammar Gaddafi!
[00:05:20.762 --> 00:05:26.127]  I guess they say death to tyrants, but you were such a little tyrant compared to the New World Order.
[00:05:26.668 --> 00:05:35.656]  And now they've put Al-Qaeda in control of Libya and given them a bunch of shoulder-fired missiles, and now I have to give my rights up, I'm told, because of that.
[00:05:36.597 --> 00:05:46.324]  And moving on to that, we're told that the first TSA domestic checkpoints in the nation have been set up in Tennessee.
[00:05:46.864 --> 00:05:51.448]  The problem is, in this little news package we're about to play, over two years ago,
[00:05:52.108 --> 00:05:55.372]  TSA running 14 other federal agencies, including U.S.
[00:05:55.512 --> 00:06:00.557]  Army, pulled over whole families, cars, shut down traffic for hours.
[00:06:00.978 --> 00:06:03.040]  The governor said, hey, you don't have authorization.
[00:06:03.060 --> 00:06:05.883]  And the governor of Tennessee was told to go to hell.
[00:06:06.504 --> 00:06:10.368]  The governor in charge now, though, thinks this is all, I guess, a great idea.
[00:06:11.949 --> 00:06:19.854]  And they're reporting that the TSA is not only going to pull you and your family over, but they are going to have to go ahead and grab your genitals.
[00:06:20.495 --> 00:06:23.537]  And if you go to a football game, NFL, they're going to grab your genitals.
[00:06:23.977 --> 00:06:33.083]  It's part of your slave training, teaching you you're guilty until proven innocent, and only your government can be trusted.
[00:06:34.274 --> 00:06:39.297]  Break-ins on the radio saying don't trust your neighbors, only trust the troll Napolitano.
[00:06:40.357 --> 00:06:52.364]  Walmarts and 9,000 other locations, don't trust your neighbors, terrorists are everywhere, only trust Homeland Security that are actually known terrorists and got the underwear bomber on the plane on Christmas Day confirmed.
[00:06:53.504 --> 00:06:58.747]  It's this message of trust us, we're going to set checkpoints up all over the country.
[00:07:00.543 --> 00:07:02.343]  Just amazing that this is happening.
[00:07:02.784 --> 00:07:10.126]  And we come back from this piece, we're going to get into Senator Orrin Hatch as TSA forced him to go through body scanners.
[00:07:10.726 --> 00:07:18.308]  I have witnessed people refusing at a California airport to go through body scanners and being ordered to.
[00:07:19.308 --> 00:07:20.668]  Being ordered to be microwaved.
[00:07:21.309 --> 00:07:29.591]  And of course it's also really radiating the TSA workers who are getting thousands of times what the public gets in radiation.
[00:07:30.919 --> 00:07:35.601]  But perhaps the little uniforms the pot bellies are wearing protect them from that.
[00:07:36.061 --> 00:07:38.342]  So here is your American nightmare.
[00:07:38.683 --> 00:07:44.585]  The TSA has been on the streets for years, but now they're just basically announcing it in the news.
[00:07:44.605 --> 00:07:46.446]  They're also at high school proms.
[00:07:46.846 --> 00:07:53.910]  This is Checkpoint USA, where you and your family are driving down the highway, and a bunch of state police under TSA command
[00:07:55.396 --> 00:08:09.400]  ICE is there, the Army's there, all looking at you like predators, like you've done something wrong, swarming on their enemy, the American people, all with their little drill sergeant hats on, and get your baby out of that baby seat!
[00:08:09.760 --> 00:08:11.000]  I'm searching this vehicle!
[00:08:11.220 --> 00:08:13.561]  Get your butt over there, American slave!
[00:08:14.181 --> 00:08:16.822]  As they get ready to take us into the full depression,
[00:08:17.827 --> 00:08:23.560]  This is the total breaking of the American people's will ahead of forced inoculation, gun confiscation.
[00:08:23.861 --> 00:08:25.625]  That's where it all leads.
[00:08:25.965 --> 00:08:26.888]  Let's go to this report.
[00:08:27.312 --> 00:08:34.475]  Tennessee is now the first state ever to work with the TSA to deploy a simultaneous counter-terrorism operation statewide.
[00:08:34.655 --> 00:08:44.580]  You know, this was a massive operation, really bringing all federal, state, and local agencies together to not only do random searches, but also create an army of agents on wheels.
[00:08:45.060 --> 00:08:52.804]  Friday, listeners pointed out local news saying the army was going to be out, regular army running checkpoints, searching citizens with police.
[00:08:53.544 --> 00:08:55.545]  The governor got called, our listeners called,
[00:08:56.806 --> 00:09:04.788]  The Whiteville Police Department plans to conduct a seatbelt checkpoint on Saturday, April 4th at Highway 64 within the city limits of Whiteville.
[00:09:04.808 --> 00:09:12.029]  The checkpoint was planned to be in conjunction with Homeland Security and the 251st Military Police in Bolivar.
[00:09:12.049 --> 00:09:14.070]  Representative from Tennessee, District 80.
