[00:00:00.049 --> 00:00:01.230]  More on corruption.
[00:00:01.690 --> 00:00:04.532]  Alex Jones on the GCN Radio Network.
[00:00:11.136 --> 00:00:11.797]  Big Brother.
[00:00:12.437 --> 00:00:13.478]  Mainstream media.
[00:00:14.218 --> 00:00:15.459]  Government cover-ups.
[00:00:15.959 --> 00:00:16.800]  You want answers?
[00:00:17.540 --> 00:00:18.541]  Well, so does he.
[00:00:19.101 --> 00:00:22.704]  He's Alex Jones on the GCN Radio Network.
[00:00:23.284 --> 00:00:27.367]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.649 --> 00:00:38.852]  Here we are, ladies and gentlemen, the 22nd day of December 2011 on this Thursday edition.
[00:00:44.910 --> 00:00:49.754]  I have some of the biggest news I've ever broken on this radio show today.
[00:00:49.794 --> 00:00:57.241]  It began to break yesterday when one of our callers, I just called him with a lot of really good tips because her husband works in the Department of Defense.
[00:00:57.281 --> 00:00:58.362]  We interviewed him last night.
[00:00:59.022 --> 00:01:03.286]  She said, listen, you didn't look at the right area in the documents that I've been sending you.
[00:01:03.947 --> 00:01:12.134]  It talks about blue force awareness and how the military mans the FEMA camps and how the rest of the American people are the enemy.
[00:01:13.619 --> 00:01:25.007]  And we went and got the documents off the federal government website, and within an hour of it being posted at Infowars.com, with links to it, they pulled it.
[00:01:26.328 --> 00:01:26.949]  They pulled it.
[00:01:27.349 --> 00:01:29.751]  First, they started altering the document in live time.
[00:01:29.811 --> 00:01:40.279]  We have the earlier one, and then about, by the time I talked about it on the radio, but hadn't even, you know, done an official piece on it yet, yesterday in the afternoon,
[00:01:41.493 --> 00:01:42.393]  Well, we're still on air.
[00:01:42.994 --> 00:01:45.614]  By the end of it, they'd change dates and remove things.
[00:01:46.475 --> 00:01:53.917]  This is in live time on the big federal government, Homeland Security, Department of Defense contracting website.
[00:01:55.518 --> 00:02:03.460]  And then by about an hour and a half after the article had been out at about 6 o'clock Central, 6 p.m.
[00:02:03.500 --> 00:02:07.902]  Central, Aaron Dykes and I worked feverishly on top of doing the nightly news to get that out.
[00:02:09.079 --> 00:02:20.525]  They removed it completely and put a notice about, do not post classified information, you know, if you're a federal employee issuing contracts, implying that it was classified.
[00:02:21.345 --> 00:02:25.387]  And I've seen that in contracts before where it's public, then they classify it again.
[00:02:26.808 --> 00:02:28.529]  But super creepy.
[00:02:29.728 --> 00:02:34.909]  And I didn't notice, though, I didn't see yesterday, biggest thing ever in all this, the comments.
[00:02:35.229 --> 00:02:37.090]  There's like 400 of them there, I've scanned through them.
[00:02:37.570 --> 00:02:51.033]  The comments are almost universally saying, whoa, this is big, especially veterans, current military folks in Afghanistan going, this blue force, red force, all these designations, transponders, this is what we do with the enemy.
[00:02:51.614 --> 00:02:56.595]  And I remember being at urban warfare drills in Temple, Texas, in Oakland, California,
[00:02:57.435 --> 00:02:57.835]  We're good to go.
[00:03:24.631 --> 00:03:29.624]  It's just off the charts that everybody who doesn't have a transponder badge, terrorist.
[00:03:30.065 --> 00:03:32.992]  For the drones, going back even...
[00:03:34.428 --> 00:03:35.249]  Twelve years ago.
[00:03:35.689 --> 00:03:36.609]  This is in Police State 2000.
[00:03:37.090 --> 00:03:39.251]  I have then all the raw footage.
[00:03:39.271 --> 00:03:47.937]  I've got to dig into that bend before all those VHS tapes go bad, because I shot that on VHS before I even got the money to buy a digital camera, a DV cam for like $5,000.
[00:03:48.097 --> 00:03:51.980]  I had to save my money and couldn't even buy that then.
[00:03:52.960 --> 00:03:57.503]  But I was shooting it on VHS, a used camera I bought for like $100.
[00:03:58.063 --> 00:03:59.504]  That's how much money I had, even like in 98, 99.
[00:04:02.216 --> 00:04:11.878]  And I've got all the raw footage of them giving us a tour, and they've got this Humvee with this big robot 50 cal gun on top of it, maybe a bit above 50 cal.
[00:04:11.898 --> 00:04:13.358]  I'm going to pull a video up.
[00:04:13.698 --> 00:04:21.540]  And they're talking about, yeah, we can target the insurgents with this, and then it just designates those that don't have a transponder.
[00:04:21.780 --> 00:04:27.661]  We hit the button, we can even go get in a dugout or whatever, and the Humvee sits there just killing everybody.
[00:04:28.831 --> 00:04:30.532]  And then I'm like, well, what about robots?
[00:04:31.332 --> 00:04:36.374]  Uh, you've got, uh, and they're like, well, we're not going to get into the swords, which the public was just shown the last six years.
[00:04:36.394 --> 00:04:39.475]  Uh, but we even have even better stuff, but that's classified.
[00:04:39.495 --> 00:04:40.516]  And boy, I've talked to the troops.
[00:04:40.556 --> 00:04:41.036]  Boy, do they.
