[00:00:00.089 --> 00:00:00.689]  We're good.
[00:00:21.917 --> 00:00:25.420]  Or order online at CandlesInCans.com.
[00:00:25.540 --> 00:00:32.647]  One more time, that's 855-485-8555 or visit us at CandlesInCans.com.
[00:00:36.630 --> 00:00:38.572]  Waging war on corruption.
[00:00:39.032 --> 00:00:41.795]  Alex Jones on the GCN Radio Network.
[00:00:48.359 --> 00:00:52.564]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:53.205 --> 00:00:54.006]  You want answers?
[00:00:54.787 --> 00:00:55.688]  Well, so does he.
[00:00:56.329 --> 00:00:59.974]  He's Alex Jones on the GCN Radio Network.
[00:01:00.534 --> 00:01:04.579]  And now, live from Austin, Texas, Alex Jones.
[00:01:07.259 --> 00:01:09.341]  Okay, my friends, we are live.
[00:01:09.401 --> 00:01:15.245]  It is Columbus Day, the 10th day of October, 2011, on this live Monday edition.
[00:01:15.265 --> 00:01:17.807]  We're going to be here for the next three hours live.
[00:01:17.827 --> 00:01:20.989]  Then, of course, back tonight, 7 p.m.
[00:01:21.049 --> 00:01:21.849]  Central, 8 p.m.
[00:01:21.909 --> 00:01:24.711]  Eastern, for InfoWars Nightly News.
[00:01:25.732 --> 00:01:32.502]  And we're working on getting a whole bunch of different guests on the nightly news tonight, but that'll be a surprise.
[00:01:32.623 --> 00:01:35.847]  And we've got some really big guests coming up throughout the week.
[00:01:36.488 --> 00:01:40.334]  Also, one of my favorite and also extremely famous musicians.
[00:01:41.095 --> 00:01:45.457]  He's saying he's probably going to come visit me next week or the week after and stay at my house here in Austin.
[00:01:45.917 --> 00:01:49.299]  And that musician, if that does happen, will be in studio with us.
[00:01:49.699 --> 00:01:53.201]  So I'm extremely excited about that coming up next week.
[00:01:53.661 --> 00:01:59.484]  Certainly a lot of people out there are awake and waking up even further and waking up others around them.
[00:02:00.264 --> 00:02:02.926]  It is extremely exciting and it was so wonderful.
[00:02:03.406 --> 00:02:07.028]  I didn't talk enough about this yesterday because I'm just so poleaxed by it.
[00:02:07.788 --> 00:02:30.324]  So, lightning struck by it, that it's just so good to see the liberty and the burning spirit of freedom in the eyes of anti-Federal Reserve demonstrators calling for an end of the private banking dictatorship over the United States and the world at the big successful event in Dallas.
[00:02:31.451 --> 00:02:35.355]  Houston and then in the pouring rain in San Antonio yesterday.
[00:02:35.415 --> 00:02:36.135]  Just incredible.
[00:02:36.155 --> 00:02:46.986]  It was so good seeing all of you out there and I'd like to open the phones up for people that are protesting the Federal Reserve and calling for a return of the Glass-Steagall Act and for the Federal Reserve to be audited and then abolished.
[00:02:48.345 --> 00:03:02.456]  I'd like to talk to people who have been at Occupy Wall Street events, specifically if you've been in the Fed events or Occupy Wall Street events, and clearly now the Democrats have tried to co-opt the entire Occupy Wall Street movement.
[00:03:02.476 --> 00:03:11.622]  That was my point a few weeks ago, is I don't want to see it turned in to just more class warfare and a call for collectivism that we've been seeing.
[00:03:13.038 --> 00:03:18.907]  And now that's definitely how the liberal and conservative mainstream media have framed it.
[00:03:20.349 --> 00:03:22.152]  But is that really what's happening on the streets?
[00:03:23.013 --> 00:03:28.441]  We see a lot of people that are part of the Occupy Wall Street movement that are awake right now.
[00:03:29.878 --> 00:03:35.822]  But we also see the unions and others coming in and clearly, at least as far as media coverage, taking it over.
[00:03:36.542 --> 00:03:46.588]  And I did see some Occupy Dallas people that were upset with us, somehow thought that, you know, occupying the Fed was the wrong thing, but others from their group came over and understood what we were doing.
[00:03:47.929 --> 00:03:59.957]  I know there was some Occupy Houston people that were big supporters of ending the Fed, but also a few at first that thought that, you know, that we weren't on their side until I explained we were.
[00:03:59.977 --> 00:04:08.843]  And then in Occupy the Fed in San Antonio, Matt Medina has been hanging out with them for several weeks, and it was grassroots, and a week ago he was telling us they were great.
[00:04:09.523 --> 00:04:14.566]  Until MoveOn.org came in and did take it over, and they said, no Ron Paul, no Alex Jones.
[00:04:14.586 --> 00:04:20.169]  In fact, we have an interview from in the Fed yesterday in San Antonio, powerful, with Matt Medina, that if I can...
[00:04:21.348 --> 00:04:25.989]  Get it culled out of all the hours of video we have that will be airing tonight.
