[00:00:22.591 --> 00:00:26.354]  Welcome, ladies and gentlemen, to another edition of InfoWars Nightly News.
[00:00:27.255 --> 00:00:33.120]  It's the day after Thanksgiving, November 25, 2011, on this Friday edition.
[00:00:34.061 --> 00:00:46.232]  And we're going to premiere here for the first time on InfoWars Nightly News an in-depth interview, at least part of the interview, that my team conducted with Dr. Nick Begditsch in Alaska.
[00:00:47.170 --> 00:00:53.895]  Now, Dr. Begich is an amazing individual and of course his father was Congressman Begich, his brother is a U.S.
[00:00:53.935 --> 00:00:54.255]  Senator.
[00:00:55.316 --> 00:01:09.346]  He has researched so many patents and government secret programs and much of what we know about the global super science program, stuff that would be thought of science fiction just a few decades ago, comes from Dr. Nick Begich.
[00:01:10.086 --> 00:01:15.230]  And so we're going to premiere here part of a lengthy interview that our crew did
[00:01:15.965 --> 00:01:27.647]  That was intended for an upcoming film, but because of everything happening in the world, we're just going ahead and releasing our chemtrail research that's groundbreaking, our HAARP research, our mind control research, everything.
[00:01:27.667 --> 00:01:31.268]  We're just putting it out there, and I hope it's not pearls before swine.
[00:01:31.308 --> 00:01:34.309]  I hope that you get this information and get it out to everybody you know.
[00:01:34.869 --> 00:01:44.091]  If you go to prisonplanet.tv, you'll notice in the special reports, there's new stuff there almost every day now, and we've got a whole team working around the clock to bring you this information.
[00:01:44.781 --> 00:01:47.742]  And it's because you do value this information that we're able to operate.
[00:01:48.482 --> 00:01:56.025]  It's your support of InfoWars.com, the buying of the books and videos, your memberships here at PrisonPlanet.tv that make it all possible.
[00:01:56.785 --> 00:01:59.846]  But the information that Dr. Begich covers is so groundbreaking.
[00:02:00.325 --> 00:02:12.158]  And so we're going to premiere this here for you, and if you want to watch it at your leisure or download it, it's also posted in the special reports section of PrisonPlanet.tv.
[00:02:12.659 --> 00:02:15.261]  So I give you Dr. Nick Begich.
[00:02:15.922 --> 00:02:28.734]  And his breakdown of some of the secret sciences that are being used against the population of the planet today, including high-tech electronic mind control that in his research dwarfs chemical mind control.
[00:02:29.235 --> 00:02:33.159]  So here is the Infowars.com interview with Dr. Nick Begich.
[00:02:58.416 --> 00:03:07.818]  The system that we're talking about is going to be the HAARP system, the High Frequency Active Auroral Research Project, operating up here in Alaska.
[00:03:07.958 --> 00:03:13.759]  And if you also think about, and most people remember this from even high school science,
[00:03:14.099 --> 00:03:22.043]  But the magnetic field lines that come from the South Pole stretching around and then intersecting at the North Pole and surrounding the planet.
[00:03:22.083 --> 00:03:31.067]  These magnetic field lines are very much similar to what you would see on a bar magnet illustration in your basic science books or in a motor.
[00:03:31.147 --> 00:03:42.453]  If you think about the Earth spinning and actually creating a dynamo, a motor and these magnetic field lines being one of the out products of that in conjunction with interaction with
