[00:00:27.202 --> 00:00:29.084]  You wanted it, you've got it.
[00:00:29.765 --> 00:00:47.683]  It's Infowars Nightly News, the beginning of a true independent news network to challenge the phony left-right paradigm and the prostitutes that the establishment has bought on both sides of the political spectrum to control the population.
[00:00:48.877 --> 00:00:54.379]  It is so historical what we're doing here and we couldn't do it without your support.
[00:00:55.119 --> 00:01:08.105]  I want to thank you from the bottom of my heart for being supporters of PrisonPlanet.tv and InfoWarsNews.com and of course the weekday radio show from 11 a.m.
[00:01:08.125 --> 00:01:08.865]  to 2 p.m.
[00:01:09.625 --> 00:01:12.786]  the news websites InfoWars.com and PrisonPlanet.com.
[00:01:13.487 --> 00:01:16.748]  It is incredible that we're reaching tens of millions of people a week.
[00:01:17.901 --> 00:01:19.182]  And it's only growing.
[00:01:19.703 --> 00:01:32.075]  That's why the establishment, from Al Gore to Glenn Beck, on the left and the right, are invading cyberspace and trying to bring a mainline version of what we do to the population.
[00:01:33.422 --> 00:01:44.889]  But if you look at the numbers at StatBrain or Google Analytics or Alexa, we are absolutely annihilating Glenn Beck and Al Gore on every single front.
[00:01:45.529 --> 00:01:48.891]  The people don't want the same old fake flavors of left-right.
[00:01:49.551 --> 00:01:53.214]  They want simple, common sense, basic, pro-human
[00:01:54.508 --> 00:01:55.169]  Information.
[00:01:55.209 --> 00:01:56.069]  That's what you'll get here.
[00:01:56.570 --> 00:01:59.512]  We call it 1776 Worldwide.
[00:02:00.072 --> 00:02:02.374]  Now, we've got quite a transmission lined up for you.
[00:02:03.514 --> 00:02:10.339]  Many years ago, I had different cable networks and systems say, Alex, we want you to do a nightly news show.
[00:02:10.379 --> 00:02:11.020]  We'd pick it up.
[00:02:11.560 --> 00:02:19.626]  But I was so busy with a radio show that's also sent out via video on the web and making documentary films and writing books that I said, you know what?
[00:02:20.426 --> 00:02:21.207]  I'm not ready for that.
[00:02:22.867 --> 00:02:37.933]  But now, here with some commentary at the start of the show, I just want to point out that I realize it's my responsibility to bring you unscripted, but heavily researched, teleprompter-free news and information.
[00:02:38.993 --> 00:02:45.116]  And because we've reached so many people, it is our responsibility to go to the next level, and we couldn't do it without you.
[00:02:45.156 --> 00:02:48.897]  So again, I want to thank all of you for spreading the word about PrisonPlanet.tv.
[00:02:51.963 --> 00:02:58.606]  Coming up tonight, we're going to talk to Dr. Sherry Tenpenny about the eugenics program.
[00:03:00.147 --> 00:03:00.707]  The U.S.
[00:03:00.747 --> 00:03:07.730]  government and other major governments adding steroids to vaccines to carry out population reduction.
