[00:00:00.009 --> 00:00:00.289]  Got it.
[00:00:00.309 --> 00:00:06.754]  This transmission is coming to you.
[00:00:06.835 --> 00:00:10.978]  Waging war on corruption.
[00:00:11.238 --> 00:00:12.659]  It's Alex Jones.
[00:00:13.220 --> 00:00:16.923]  Coming to you live from the front lines of the InfoWar.
[00:00:26.836 --> 00:00:29.998]  It is Sunday, the 21st day of August, 2011.
[00:00:30.878 --> 00:00:35.380]  We're going to be live here for the next two hours.
[00:00:37.421 --> 00:00:54.249]  Coming up, at around 20 after, I'm going to present a live report to you, breaking down the fact that the military industrial complex, it's self-owned by offshore banks,
[00:00:54.989 --> 00:01:20.359]  Has not just conquered most of the world, but is also trying to conquer free humanity, trying to eradicate the family, trying to eradicate all forms of independence, which this corporate borg sees as a threat to its absolute, eternal domination over humanity, what the social engineers now, for over 80 years, have called the final revolution against humanity.
[00:01:21.530 --> 00:01:23.511]  This is the control freak revolution.
[00:01:24.271 --> 00:01:29.273]  Obviously, the reports have gotten a lot of attention up at InfoWars.com and PrisonPlanet.com.
[00:01:29.654 --> 00:01:35.216]  Ron Paul, they're setting the stage for violence in this country.
[00:01:35.916 --> 00:01:37.537]  That is one of the headlines.
[00:01:38.157 --> 00:01:50.683]  Robert Wannick, who's reported for InfoWars.com, also a great reporter with We Are Change Minnesota, did a video interview with Ron Paul, and he said, are we in danger with these FEMA camps?
[00:01:52.048 --> 00:01:54.691]  Emergency Centers Establishment Act.
[00:01:55.371 --> 00:01:57.233]  And Ron Paul said, absolutely.
[00:01:58.214 --> 00:02:00.156]  That's what the establishment wants.
[00:02:00.236 --> 00:02:01.577]  They want to create violence.
[00:02:01.617 --> 00:02:02.398]  That's their plan.
[00:02:03.099 --> 00:02:05.381]  Very, very powerful information.
[00:02:05.901 --> 00:02:11.787]  So I thought that I would just give you a snapshot look at FEMA camps in this country.
[00:02:11.987 --> 00:02:16.532]  And remember, we already have the biggest prison population in the world.
[00:02:17.486 --> 00:02:21.167]  We already have a military budget bigger than all other governments combined.
[00:02:21.567 --> 00:02:27.769]  We have congressional reports of plans to expand the already existing internment facilities.
[00:02:29.370 --> 00:02:42.434]  Now the mainstream media is reporting on this more, but saying, oh, they're just now deciding to get ready for this because of the depression, or the greatest recession, as Geithner has called it.
[00:02:43.474 --> 00:02:45.295]  Well, we've told you for over
[00:02:46.593 --> 00:02:55.179]  Sixteen years now, but intensely for ten, that with the end of the Glass-Steagall Act and the derivatives bubble, that this was their plan.
[00:02:55.820 --> 00:03:05.487]  So they're economically destroying us, posing as our saviors, and as society begins to break down and unravel, many people are going to beg for the military to be used.
[00:03:06.087 --> 00:03:07.428]  The military will be used.
[00:03:08.509 --> 00:03:10.951]  They will do their job and shut down the rioting.
[00:03:12.292 --> 00:03:14.374]  Then there'll be terror attacks.
[00:03:15.717 --> 00:03:29.646]  Which are blamed on domestic groups, so the public will say, well, the army already dealt with the rioting thugs, so it's reasonable that they're going after other troublemakers.
[00:03:30.186 --> 00:03:37.951]  You know, for a decade I've been laying out this scenario, and now you, of course, have seen it unfold over in England and other parts of Europe.
[00:03:38.772 --> 00:03:43.235]  More and more people are asking, how does Alex Jones predict the future?
[00:03:43.895 --> 00:03:44.976]  I don't predict the future.
[00:03:46.499 --> 00:03:51.562]  The past is an example of how humans operate.
[00:03:52.142 --> 00:03:58.025]  Then you study current activities and globalist white papers, and you know what their plan is.
[00:03:58.085 --> 00:04:10.531]  The question is, does the public have the courage and the will and the self-preservation instincts to face the facts, to get involved, and to turn the tide?
[00:04:10.571 --> 00:04:13.473]  Because knowledge of this information
[00:04:14.927 --> 00:04:21.509]  And the active resistance to it in the Infowar is what will save this republic.
[00:04:21.549 --> 00:04:28.272]  But we have a case of very virulent, hot tyranny breathing down our necks here.
[00:04:29.534 --> 00:04:34.236]  But for every action, there's an equal and opposite reaction, and that's Ron Paul, that's Alex Jones, that's you!
[00:04:35.077 --> 00:04:38.638]  You are the answer to the 1984 society.
[00:04:39.278 --> 00:04:39.839]  You are 1776.
[00:04:40.359 --> 00:04:48.463]  Now when we come back, I'm gonna give you a rundown of a lot of the other big news, and we're getting into this special report.
[00:04:48.963 --> 00:04:51.084]  FEMA camps in America.
[00:05:02.651 --> 00:05:03.572]  Tyranny is here.
[00:05:03.912 --> 00:05:07.475]  The grim future foretold in 1984 has become reality.
[00:05:07.835 --> 00:05:10.097]  It really says that the state is God.
[00:05:10.237 --> 00:05:15.521]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:05:15.941 --> 00:05:22.186]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:05:22.606 --> 00:05:28.168]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:05:28.548 --> 00:05:32.249]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:05:32.749 --> 00:05:36.750]  Prepare to enter the secretive world of emergency dictatorship.
[00:05:37.050 --> 00:05:42.572]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:05:42.992 --> 00:05:45.973]  It's only the beginning of the New World Order's hellish plan.
[00:05:46.553 --> 00:05:47.954]  The police state isn't coming.
[00:05:48.514 --> 00:05:48.954]  It's here.
[00:05:49.634 --> 00:05:56.663]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:05:59.407 --> 00:06:04.453]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:04.833 --> 00:06:07.096]  Because there's a war on for your mind.
[00:06:17.213 --> 00:06:20.919]  It is Sunday, the 21st day of August, 2011.
[00:06:21.480 --> 00:06:25.346]  We're going to be live here for the next three hours.
