[00:00:26.220 --> 00:00:27.080]  Thank you for joining us.
[00:00:27.120 --> 00:00:32.482]  This is an InfoWars.com special report on August 30th, 2011.
[00:00:32.522 --> 00:00:37.024]  We've got several guests joining us coming up, but first, the news.
[00:00:37.504 --> 00:00:39.685]  Well, next stop for NATO.
[00:00:40.085 --> 00:00:54.510]  They're announcing that indeed they've been financing the rebels in Syria, just like they financed the rebels in Libya, and there's talk of blockades, embargoes, and perhaps even air bombardments of the nation of Syria.
[00:00:55.490 --> 00:01:03.073]  On top of that, Congressman Ron Paul has come out and said, look, you've already caused a giant quagmire in Libya.
[00:01:03.454 --> 00:01:15.159]  No doubt that Muammar Gaddafi was an unsavory character, but now you're simply creating a power vacuum that brings in even more dangerous elements.
[00:01:15.959 --> 00:01:25.063]  Quote, Gaddafi may well have been a tyrant, but as such, he was no worse than many others that we support and count as allies.
[00:01:25.444 --> 00:01:37.009]  We see a pattern of relatively secular leaders in the Arab world being targeted for regime change, with the resulting power vacuum being filled by much more radical elements.
[00:01:37.049 --> 00:01:44.973]  And that's what we'll be talking to Pepe Escobar, writer for Asia Times, who's been in the Middle East and North Africa, and he's got the article out
[00:01:45.293 --> 00:01:47.454]  How Al Qaeda got to rule Tripoli.
[00:01:47.554 --> 00:01:50.575]  Again, that is coming up.
[00:01:50.795 --> 00:01:52.836]  An in-depth look at that situation.
[00:01:53.716 --> 00:01:58.398]  Also, negative view of federal government hits new high.
[00:01:58.998 --> 00:02:05.741]  The federal government is at an all-time historical low with credibility with the American people.
[00:02:05.881 --> 00:02:07.341]  And why is that happening?
[00:02:07.782 --> 00:02:10.823]  Well, you've got the federal government pushing the states.
[00:02:11.663 --> 00:02:15.705]  And also in DC, raiding people that are having lemonade stands.
[00:02:16.325 --> 00:02:19.646]  You have young children being fined, or even adults being arrested.
[00:02:20.026 --> 00:02:27.149]  We have federal regulations coming into force that seek to restrict people having gardens in their own yards.
[00:02:27.529 --> 00:02:33.672]  And Gibson Guitars has now been raided, and we've now learned it wasn't over illegal foreign wood, it was over
[00:02:34.775 --> 00:02:46.543]  Quote, labor practices because under UN Agenda 21 International Law, you can't import wood and then work the wood or make any changes to it.
[00:02:47.104 --> 00:02:58.752]  Continuing with other reasons that the federal government is so incredibly unpopular, we have an article at Infowars.com today that quotes CoinWorld as well as the U.S.
[00:02:58.912 --> 00:03:02.215]  Secret Service and Department of Justice.
[00:03:03.175 --> 00:03:07.519]  And in that report, feds may seize liberty dollars.
[00:03:07.980 --> 00:03:23.214]  And they go on in the report to say that the owner, who is awaiting sentencing after his conviction, is a quote, unique type of terrorist, because they seek to undermine our democratic form of government.
[00:03:23.234 --> 00:03:24.415]  When it's the Federal Reserve,
[00:03:25.235 --> 00:03:28.499]  That in actuality has been doing that all along.
[00:03:28.539 --> 00:03:38.792]  And the Secret Service, this is the big new development here, is saying that they may raid people that actually own silver and gold coins that they got from the Liberty Dollar.
[00:03:39.072 --> 00:03:41.695]  An incredible new development on that front.
[00:03:42.236 --> 00:04:01.368]  Continuing with news, yesterday we interviewed Mike Adams of Natural News, the health ranger, and he compiled an extensive report, Natural News Exposes Secret Vaccine Industry Ties and Military Involvement with Institute of Medicine Reveals Fatal Conflicts of Interest.
[00:04:02.328 --> 00:04:15.677]  And we've now learned that the Institute of Medicine claims they're not federally funded, but 64% of their funding comes from the federal government, but the private funding comes from the Bill and Melinda Gates Foundation and others.
[00:04:16.638 --> 00:04:17.819]  And don't forget, who else?
[00:04:19.073 --> 00:04:20.393]  That's right, McDonald's.
[00:04:20.953 --> 00:04:39.278]  So we weren't surprised today when we received and made phone calls and confirmed that all over North Texas and Dallas and Fort Worth, when you get the little paper sheet that is in the bottom of the McDonald's tray with your hamburger and cheeseburger, it's got all these messages about how important it is to vaccinate.
[00:04:39.738 --> 00:04:45.960]  And where it says, immunize means healthy lives, little heart over the eye, so you know it's good for you.
[00:04:46.480 --> 00:04:56.727]  And Rick Perry, the presidential candidate, of course, here in Texas, engaged in a mass criminal hoax and told the world it was the law to take the deadly Gardasil vaccine that had killed people in trial.
[00:04:56.807 --> 00:04:59.809]  So this is par for the course for the state of Texas.
[00:04:59.849 --> 00:05:09.015]  But remember, McDonald's did not tell anybody they're part of this pro-vaccine propaganda arm, the Institute of Medicine.
[00:05:09.495 --> 00:05:13.338]  Well, that's it for the news brief here at the start of the transmission.
[00:05:13.618 --> 00:05:15.640]  We're going to come back from break and go to
[00:05:16.880 --> 00:05:33.806]  A reporter from the Asia Times, Pepe Escobar, who has lived all over the world, interviewed the heads of the Northern Alliance and many others, and who has the inside scoop on Al Qaeda being handed control of Libya by NATO and the U.S.
[00:05:33.846 --> 00:05:34.186]  government.
[00:05:34.466 --> 00:05:35.206]  Please stay with us.
[00:05:35.286 --> 00:05:37.487]  It's InfoWars.com Special Report.
[00:05:38.001 --> 00:05:42.022]  You don't need me to tell you that humanity is in a deep crisis.
[00:05:42.462 --> 00:05:43.682]  Everyone can feel it.
[00:05:43.942 --> 00:05:52.405]  We know a tectonic struggle is now taking place against the forces of freedom and those who love darkness, bondage, and enslavement.
[00:05:52.845 --> 00:05:55.985]  Yes, my friends, evil is rising.
[00:05:56.266 --> 00:05:57.126]  But take heart.
[00:05:57.326 --> 00:06:00.827]  For every action, there is an equal and opposite reaction.
[00:06:01.107 --> 00:06:06.088]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:06:06.528 --> 00:06:10.111]  We are in an information war, and we are losing that war.
[00:06:10.351 --> 00:06:11.712]  The globalists are scared.
[00:06:12.072 --> 00:06:13.093]  They've overreached.
