[00:00:24.116 --> 00:00:25.017]  I'm Alex Jones.
[00:00:25.077 --> 00:00:30.580]  This is InfoWars Nightly News on Tuesday, September 13th, 2011.
[00:00:31.201 --> 00:00:43.589]  And we've had a lot of jam-packed transmissions in the last week and a half since we kicked off this worldwide resistance to tyranny on September 1st.
[00:00:44.149 --> 00:00:47.452]  But tonight is particularly power-packed.
[00:00:48.257 --> 00:00:59.334]  We've got a special report documenting the fact that there are more slaves today, 27 plus million, than there has ever been in world history.
[00:00:59.754 --> 00:01:01.757]  More slaves alive today.
[00:01:02.895 --> 00:01:04.736]  ...than we've ever had before.
[00:01:05.336 --> 00:01:11.820]  We're also going to look at government narcotics trafficking, which has grown from poppies, which are right now being... How do you deal with it?
[00:01:11.960 --> 00:01:13.320]  What are you doing about it?
[00:01:13.400 --> 00:01:15.341]  Well, frankly, this is a part of their culture.
[00:01:15.381 --> 00:01:18.423]  So, while it might grind in my gut, it's what they do.
[00:01:19.103 --> 00:01:25.827]  I will tell you, Director Deutsch, as a former Los Angeles police narcotics detective, that the agency has dealt drugs throughout this country for a long time.
[00:01:27.677 --> 00:01:30.759]  It's a trillion plus dollar a year industry worldwide.
[00:01:31.179 --> 00:01:33.741]  Half of that is consumed here in the United States.
[00:01:34.181 --> 00:01:36.503]  Five hundred billion dollars.
[00:01:36.843 --> 00:01:39.985]  We're going to be looking at some incredible developments on that front.
[00:01:40.906 --> 00:01:55.055]  And we're also going to have a special report followed by our reporters dealing with Facebook and their face scanning system as they prepare the public for total Big Brother surveillance.
[00:01:55.936 --> 00:01:56.856]  All that and more.
[00:01:57.897 --> 00:01:59.378]  is coming up tonight.
[00:01:59.758 --> 00:02:06.383]  But first off, out of this cornucopia of news, I've got Ron Paul news again.
[00:02:08.224 --> 00:02:16.489]  Just a few days ago, he won the MSNBC poll, and MSNBC would not report it.
[00:02:17.950 --> 00:02:26.196]  Now, today, the Wall Street Journal only allowed you to vote for Perry, Romney, or Bachman, or someone else,
[00:02:27.685 --> 00:02:30.966]  And 60.4% were for Ron Paul.
[00:02:31.586 --> 00:02:41.568]  And when you read the comments, and there are hundreds of these, Ron Paul, shame on you Wall Street Journal for leaving his name off the poll.
[00:02:42.008 --> 00:02:43.748]  Stupid media trying to shut him out.
[00:02:45.049 --> 00:02:46.149]  I voted for somebody else.
[00:02:46.229 --> 00:02:47.309]  I'm voting for Ron Paul.
[00:02:48.009 --> 00:02:49.229]  Other equals Ron Paul.
[00:02:49.670 --> 00:02:50.890]  Ron Paul won this debate.
[00:02:50.930 --> 00:02:54.090]  I'm sick of Ron Paul being excluded, marginalized and ignored.
[00:02:54.110 --> 00:02:56.011]  I mean, go read it for yourself.
[00:02:57.498 --> 00:03:00.748]  He is winning the straw polls, or coming in second place.
[00:03:01.209 --> 00:03:04.779]  He is dominating everywhere, and their response...
[00:03:05.976 --> 00:03:13.360]  Is Bachman 1.2, Perry 16.5, Romney 21.8, and this is geo-located.
[00:03:13.660 --> 00:03:14.741]  You can only vote once.
[00:03:15.221 --> 00:03:16.262]  So this is scientific.
[00:03:17.082 --> 00:03:28.329]  It's just like he got 54% of the MSNBC when it closed, and they just showed the other candidates and didn't point out that he got more than all the others combined.
[00:03:30.030 --> 00:03:30.850]  They're scared of him.
[00:03:30.910 --> 00:03:31.151]  Why?
[00:03:31.191 --> 00:03:32.792]  Because he's anti-New World Order.
[00:03:33.092 --> 00:03:34.993]  Because he's the real deal.
[00:03:37.637 --> 00:03:38.997]  They're scared of Ron Paul.
[00:03:39.237 --> 00:03:41.538]  And this is a long line.
[00:03:41.958 --> 00:03:46.440]  There have been hundreds of examples in this campaign so far of this exact type of behavior.
[00:03:46.780 --> 00:03:48.120]  Same thing three and a half years ago.
[00:03:48.480 --> 00:03:50.461]  But this time people are awake more than ever.
[00:03:50.681 --> 00:03:51.741]  He is a major contender.
[00:03:52.001 --> 00:03:54.082]  So that's our top story today.
[00:03:54.382 --> 00:03:55.723]  Because it's not just about Ron Paul.
[00:03:55.783 --> 00:04:03.565]  It's about globalist, corporate, whore, teleprompter media just so scared of a real constitutionalist.
[00:04:05.051 --> 00:04:11.255]  Now, in a few other news items I have here that I'm getting into government drug dealing, I gotta read this one, it's so weird.
[00:04:11.936 --> 00:04:15.819]  Eel removed from man's bladder after entering penis during beauty spa.
[00:04:16.259 --> 00:04:18.220]  This is out of Metro News out of the UK.
[00:04:18.781 --> 00:04:26.706]  They've got all sorts of weird beauty spa things where you get these tanks with fish that eat the skin off of you and supposedly give you this great exfoliation.
[00:04:27.126 --> 00:04:28.888]  It's the same thing here with these eels.
[00:04:29.568 --> 00:04:34.810]  You know, I'm just glad I'm a common guy that likes a good steak or some enchiladas and a cold beer.
[00:04:35.150 --> 00:04:39.232]  I don't need to feel like I'm pampering myself in a bathtub full of eels.
[00:04:39.892 --> 00:04:41.133]  But there's that bizarre news.
[00:04:41.173 --> 00:04:43.333]  Just thought I'd hit something strange for an occasion.
[00:04:47.728 --> 00:04:48.589]  That's being spun.
[00:04:48.609 --> 00:04:52.812]  They're really handing over all their sovereignty to private bankers that set up the derivative scam.
[00:04:53.293 --> 00:04:54.193]  Botman's coming out.
[00:04:54.213 --> 00:04:56.475]  We'll talk about this more with Mike Adams when he joins us.
[00:04:57.016 --> 00:05:02.020]  Saying that she knows people that have been made million retarded from the Gardasil shot.
[00:05:02.360 --> 00:05:05.123]  Shows how issues that were fringe are now mainstream.
[00:05:05.783 --> 00:05:05.983]  U.S.
[00:05:06.003 --> 00:05:08.104]  Census data shows rising poverty.
[00:05:08.585 --> 00:05:13.027]  A record number of Americans are now under poverty.
[00:05:13.447 --> 00:05:14.988]  It's just a giant amount.
[00:05:15.648 --> 00:05:18.470]  And we also have a record number of children.
[00:05:18.490 --> 00:05:21.791]  22% are now living in poverty.
[00:05:22.212 --> 00:05:23.752]  Worse than many third world nations.
[00:05:24.353 --> 00:05:27.054]  Again, number of poor hits 46 million in 2010.
[00:05:27.814 --> 00:05:29.335]  You always get these numbers about 8-9 months late.
[00:05:30.976 --> 00:05:35.121]  And so America, under globalism, NAFTA and GATT is certainly falling apart.
[00:05:35.341 --> 00:05:36.142]  And then this story.
[00:05:36.162 --> 00:05:37.504]  We're going to try to get these guys on the show.
[00:05:37.544 --> 00:05:40.207]  They made 9-11 Press for Truth many years ago.
[00:05:40.528 --> 00:05:45.874]  They've gotten interviews with some of the top former White House advisors like Richard Clark.
[00:05:46.815 --> 00:05:54.999]  They've identified the CIA agents that ordered the 9-11 stand-down and they've now been threatened with prison time if they release their names.
[00:05:55.359 --> 00:06:01.102]  And more and more we're seeing Wall Street Journal, New York Times people facing trials for releasing government corruption.
[00:06:01.522 --> 00:06:02.963]  So this is serious.
[00:06:03.003 --> 00:06:06.925]  CIA threatens 9-11 researchers after discovery of cover-up details.
[00:06:07.745 --> 00:06:08.846]  That is coming up.
[00:06:10.609 --> 00:06:12.812]  In the next few days, we're working on getting those folks on.
[00:06:13.372 --> 00:06:23.344]  Now, let's shift gears to the whole shadow government that can't be investigated and is above the law, untouchable, until we take our country back.
[00:06:24.825 --> 00:06:29.571]  I remember seeing Paul Watson break this about five months ago at PrisonPlanet.com.
[00:06:31.460 --> 00:06:41.187]  Since then, it's in the Chicago Tribune and El Paso Times, and I know our guys have put together a package that they can roll over showing some of these mainstream headlines.
[00:06:41.808 --> 00:06:49.173]  But the CIA, just three days ago, it was confirmed, did go ahead and declare national security.
[00:06:50.194 --> 00:06:58.139]  In this trial where the head of the Sinaloa, that's the number one drug cartel in Mexico, who got caught by the Mexican government, has said, look, I have U.S.
[00:06:58.179 --> 00:07:04.343]  government immunity, and there's a photo of him, and the DEA and others came in
[00:07:06.130 --> 00:07:21.502]  uh... to the uh... court hearing and they've now released a pdf of that the federal government's own servers where they go yes it's true this guy works for us he shipped narcotics into the united states we ship guns into mexico to knock out their competition
[00:07:22.082 --> 00:07:25.203]  And then of course they have the side issue of them demonizing the Second Amendment.
[00:07:25.563 --> 00:07:34.307]  So the federal government is shipping tens of thousands of weapons into Mexico to certain cartels to wipe out cartels that aren't laundering their money through them.
[00:07:34.867 --> 00:07:39.288]  And what the head of the Sinaloa cartel has now claimed, he was the head of U.S.
[00:07:39.368 --> 00:07:43.030]  operations, so I guess number two, has now been confirmed.
[00:07:43.050 --> 00:07:49.192]  And there's just part of the federal affidavit where they're saying, yeah, he's been told he has immunity.
[00:07:49.712 --> 00:07:50.593]  But it's a good lesson
