[00:00:22.728 --> 00:00:25.810]  Welcome to tonight's InfoWars Nightly News broadcast.
[00:00:25.850 --> 00:00:27.451]  The date is Wednesday, November 16, 2011.
[00:00:27.591 --> 00:00:38.619]  I'm Aaron Dyk sitting in and tonight really is a tale of the parasites versus the plebiscites as we have insider trading and the Feds taking over.
[00:00:39.279 --> 00:00:44.163]  And Occupy Wall Street protesters being pushed out of their parks and clamped down upon.
[00:00:44.203 --> 00:00:45.705]  We'll get into that in just a moment.
[00:00:46.085 --> 00:00:52.050]  Later in the broadcast, we have an exclusive interview that our camera guys got with Immortal Technique.
[00:00:52.851 --> 00:00:56.394]  He's a very prominent rapper in the anti-New World Order circles.
[00:00:56.414 --> 00:00:59.076]  He's been covering issues like 9-11 for a long time.
[00:00:59.396 --> 00:01:02.119]  That's coming up in the broadcast, but first in the news.
[00:01:02.699 --> 00:01:07.762]  There are timing questions that have emerged in the MF Global customer cash shortfall.
[00:01:08.162 --> 00:01:20.509]  That's because at least $200 million was found to be short October 27, just days before the firm declared bankruptcy after bad bets on the European sovereign debt crisis.
[00:01:20.989 --> 00:01:25.852]  MF Global Holdings Limited may have faced a shortfall in customer funds even as far back as October 27.
[00:01:26.932 --> 00:01:38.360]  Just hours before the bankruptcy filing, MF Global executives told regulators they believed a shortfall had somehow occurred, possibly starting on October 27 or October 28, the people told the paper.
[00:01:38.801 --> 00:01:40.862]  Then that number later went to 600 million.
[00:01:41.222 --> 00:01:43.224]  Then, in Paul Joseph Watson's report,
[00:01:43.624 --> 00:01:50.308]  Based on Bloomberg and other reports, you find out the number's really almost $900 million, of which there was a shortfall.
[00:01:50.728 --> 00:02:00.854]  In Paul Watson's article, MF Global looted customers' accounts via internal bank run, but the big players got a warning ahead of time that the financial broker was set to collapse.
[00:02:01.255 --> 00:02:10.200]  And you go on to find out that many people were warned and there were miraculous transfers just before the firm went bankrupt.
[00:02:10.900 --> 00:02:12.942]  Uh, and billions of dollars were transferred.
[00:02:13.402 --> 00:02:14.683]  And why was there a shortfall?
[00:02:14.723 --> 00:02:15.744]  Well, we'd all like to know.
[00:02:15.804 --> 00:02:29.254]  You've heard Gerald Cilente on this broadcast last night and on the Alex Jones Show today talking about his personal losses in MF Global, how they shorted him, and some 21,000 other customers, according to these reports.
[00:02:29.995 --> 00:02:34.579]  And at least one CFTC commissioner is upset about it, Bart Chilton.
[00:02:35.319 --> 00:02:36.960]  A Democratic Commissioner of the U.S.
[00:02:37.001 --> 00:02:41.164]  Commodity Futures Trading who reports on the $600 million missing.
[00:02:41.204 --> 00:02:42.525]  The money's not where it should be.
[00:02:42.545 --> 00:02:46.829]  I think something nefarious has happened, potentially something illegal.
[00:02:47.349 --> 00:02:48.330]  Yeah, you think so.
[00:02:48.590 --> 00:02:50.952]  Possibly nefarious, possibly illegal.
[00:02:51.452 --> 00:03:00.160]  Obviously should be looked into, but neither MF Global nor its former chief, John Corzine, who just resigned, has yet been charged with anything.
[00:03:00.840 --> 00:03:02.642]  And so we'll see how that develops.
[00:03:03.002 --> 00:03:21.558]  But they do report that many customers will be getting at least 60% of their money back, which would be a number figuring $520 million out of the total $869 million that was essentially stolen and questionably transferred just before the bankruptcy.
[00:03:21.598 --> 00:03:22.358]  Something to watch.
[00:03:22.719 --> 00:03:23.900]  Meanwhile, New York
[00:03:24.540 --> 00:03:32.530]  Police have ousted the Occupy Wall Street from Zuccotti Park and Mayor Bloomberg said that decision was his and his alone.
[00:03:32.610 --> 00:03:34.112]  Mine and mine alone, the quote says.
[00:03:34.492 --> 00:03:37.116]  We'll get more into later how it was not his decision.
[00:03:37.156 --> 00:03:39.218]  It was coordinated federally through 18 cities.
