[00:00:21.135 --> 00:00:22.336]  We're making history.
[00:00:22.956 --> 00:00:27.859]  For more than 50 years in this country, there has been no teleprompter-free news.
[00:00:28.899 --> 00:00:29.760]  Why is that important?
[00:00:30.120 --> 00:00:33.502]  I got stacks of news articles here, research that I've done, my crew's done.
[00:00:34.102 --> 00:00:43.747]  I'm here, a man with the information, with the crew, with the reporters, bringing you our analysis, citizen analysis, totally slanted and proud of it.
[00:00:44.428 --> 00:00:50.271]  Slanted towards private property, individual freedom, a wild, wild west worldwide.
[00:00:51.440 --> 00:00:55.484]  We want to take 1776 not just worldwide, but galaxy-wide.
[00:00:56.305 --> 00:00:57.586]  That's what we're into.
[00:00:58.286 --> 00:00:58.747]  Freedom!
[00:00:59.087 --> 00:00:59.788]  And more of it.
[00:01:00.529 --> 00:01:01.489]  And more of it still.
[00:01:02.130 --> 00:01:05.013]  Well, this is no Holds Barred.
[00:01:05.933 --> 00:01:08.914]  We're going to be here for a long time tonight, but it's going to move fast.
[00:01:09.414 --> 00:01:14.676]  We have got Max Keiser joining us with a big extensive interview on a host of issues we're going to be talking to him about.
[00:01:15.097 --> 00:01:15.937]  You name it, it's coming up.
[00:01:15.997 --> 00:01:20.139]  All those bank fees that are piling up in the Cashless Society slave grid.
[00:01:20.419 --> 00:01:22.720]  I'm also going to break some of that down coming up before he joins us.
[00:01:23.320 --> 00:01:29.102]  We've got that stock trader, Eliseo Rustani, who made all the big news saying that Goldman Sachs rules the world.
[00:01:29.602 --> 00:01:31.683]  He's going to be joining us coming up tonight.
[00:01:32.824 --> 00:01:33.264]  But first,
[00:01:34.295 --> 00:01:38.636]  First, let's get to the news and a bunch of special reports we have coming up tonight.
[00:01:38.857 --> 00:01:40.837]  We've got an autistic child and his father.
[00:01:40.857 --> 00:01:42.678]  We talked to it in the Fed in Dallas.
[00:01:42.698 --> 00:01:43.278]  That's coming up.
[00:01:43.578 --> 00:01:53.801]  We've got a report on the bizarre, very dark, kind of snuff film-ish murals that are all over the Denver airport.
[00:01:53.841 --> 00:01:54.942]  We've sent our reporters there.
[00:01:55.362 --> 00:01:56.702]  You've been asking us about it for years.
[00:01:56.742 --> 00:01:57.343]  We've been there.
[00:01:58.023 --> 00:01:59.843]  We've tried to contact the artist to get answers.
[00:02:00.524 --> 00:02:01.204]  That's coming up.
[00:02:02.609 --> 00:02:03.744]  It's a jam-packed transmission.
[00:02:04.710 --> 00:02:15.194]  I gotta say, it was supposed to be a 30-minute show, and we've got stations and people already wanting to pick it up, but I'm sorry, it's just going to have to stay PrisonPlanet.tv for a while, because we're bringing a lot to the game.
[00:02:15.234 --> 00:02:16.535]  We want to stay on the field.
[00:02:17.335 --> 00:02:23.778]  Kind of like that song where he's racing, he's racing, he's plotting the course, he's racing, racing, riding on his horse.
[00:02:24.118 --> 00:02:25.319]  He's going the distance.
[00:02:25.819 --> 00:02:26.939]  He's going for speed.
[00:02:27.480 --> 00:02:32.942]  It's the fact that we are into this, and I'm so proud of my little bitty crew, always bringing more to the table.
[00:02:33.462 --> 00:02:34.102]  Just like I do.
[00:02:34.563 --> 00:02:35.363]  Never shutting up.
[00:02:35.844 --> 00:02:37.185]  Because we got passion.
[00:02:37.385 --> 00:02:38.065]  We're real.
[00:02:38.365 --> 00:02:45.170]  I'm not taking some federal talking point and repeating it and regurgitating it and manipulating the population.
[00:02:45.530 --> 00:02:47.432]  I'm here letting it all hang out.
[00:02:48.479 --> 00:02:49.539]  Weeknight, 7 o'clock.
[00:02:49.619 --> 00:02:54.381]  And it's your subscriptions to PrisonPlanet.tv where you see it first at 7 p.m.
[00:02:54.401 --> 00:03:06.907]  and everything else is at PrisonPlanet.tv that funds it virally then spilling like a virus busting open a cell and billions more viruses of liberty spreading out into the system-wide system.
[00:03:07.427 --> 00:03:09.248]  It is you that's scaring the establishment.
[00:03:09.268 --> 00:03:12.129]  Make no mistake, we're just the tip of the spear.
[00:03:12.689 --> 00:03:14.650]  Alright, let's go ahead and get into the news.
[00:03:15.595 --> 00:03:22.159]  You know, it came out today that VeriSign, this has been the internet kill switch plan all along.
[00:03:22.179 --> 00:03:23.720]  It's not going to be total internet kill.
[00:03:24.220 --> 00:03:25.581]  It's going to be selective.
[00:03:25.601 --> 00:03:30.024]  We've already seen the Justice Department, same folks that ship guns into Mexico, cocaine back in.
[00:03:30.044 --> 00:03:30.844]  Oh yeah, they've been caught.
[00:03:31.165 --> 00:03:32.886]  Fashion Furious goes really deep.
[00:03:35.347 --> 00:04:01.090]  have said that they want to just kill sites individually and the feds are already doing it and so VeriSign says worldwide if the UN or a private group or organization ask to be able to shut your website down no judge no jury no nothing it's shut down it's gone goodbye bye bye that's the internet kill switch uh... selectively whenever the gods of the new world order uh... want to do that the good news is we're going to expose them and
[00:04:01.630 --> 00:04:07.395]  As they attempt to censor people, it only causes folks to look for the censored information that much more.
[00:04:07.856 --> 00:04:09.497]  You see, freedom has a posse.
