[00:00:23.697 --> 00:00:24.638]  Thank you for joining us.
[00:00:24.658 --> 00:00:30.803]  This is an InfoWars.com special report streaming live at PrisonPlanet.tv.
[00:00:30.883 --> 00:00:32.204]  Thank you so much for joining us.
[00:00:32.324 --> 00:00:37.528]  It is August 25th, 2011 on this Thursday edition.
[00:00:38.029 --> 00:00:44.574]  Coming up later in this special news report, we're going to break down the fact that Obama has incredibly low approval ratings.
[00:00:44.934 --> 00:00:49.378]  In fact, the lowest in modern history for a president two and a half years
[00:00:49.778 --> 00:00:50.439]  We're good.
[00:01:07.421 --> 00:01:19.788]  Steve Jobs, the owner and head of Apple, has stepped down because of health issues, and I think it's important to go back and look at the real history of Apple, not the public relations campaign that we've been fed.
[00:01:20.228 --> 00:01:32.976]  Also, towards the end of this transmission, we're going to look at the latest developments in Libya, and the fact that even mainstream media admits Al Qaeda is being protected and put into power in that North African state.
[00:01:33.576 --> 00:01:36.717]  As a new base of operations to menace the West.
[00:01:37.057 --> 00:01:43.739]  But don't worry, Big Brother is going to be more than happy to take good care of us by taking our liberties.
[00:01:44.580 --> 00:01:55.063]  Now, before we get to all of that news, I first want to get into a report dealing with the fact that the carbon taxes, the greenhouse taxes, are now hitting.
[00:01:55.843 --> 00:02:00.965]  It turns out that Congress won't pass a law to restrict coal power plants that
[00:02:01.405 --> 00:02:04.286]  Give more than 50% of the power to the United States.
[00:02:04.886 --> 00:02:16.970]  And so President Obama is simply using the EPA and regulators to go in and slap the new regulations that they admit will cause rolling blackouts and huge power price increases against their competition.
[00:02:17.390 --> 00:02:23.811]  Because you see General Electric and other insiders that are part of his administration, they're exempt.
[00:02:24.252 --> 00:02:25.312]  So let's go to that report.
[00:02:28.675 --> 00:02:36.262]  Obama hit struggling Americans with energy rate hikes following Barack Obama's vow to bankrupt the coal power industry.
[00:02:36.763 --> 00:02:46.112]  Americans are set to be hit with a wave of utility bill hikes as draconian EPA regulations drive up the cost of energy.
[00:02:46.232 --> 00:02:48.594]  So if somebody wants to build a coal power plant, they can.
[00:02:49.255 --> 00:02:57.098]  It's just that it will bankrupt them because they're going to be charged a huge sum for all that greenhouse gas that's being emitted.
[00:02:57.639 --> 00:03:16.167]  The Obama administration's crusade against coal-fired power plants, which was launched on the back of discredited junk science about hyped global warming threats, has little to do with improving the environment and everything to do with lowering living standards by creating artificial scarcity.
[00:03:16.647 --> 00:03:24.073]  The EPA has now listed as harmful carbon dioxide that is part of the life cycle of the planet.
[00:03:24.653 --> 00:03:38.744]  New EPA rules dictate that utility companies will be forced to spend an initial outlay of $800 million to conform with regulations that mandate harmful emissions be reduced under the Clean Air Act.
[00:03:39.224 --> 00:03:50.609]  And yet power plants supplied by General Electric, one of Barack Obama's biggest campaign contributors, have received an EPA waiver and will not be subject to the new regulations.
[00:03:51.270 --> 00:03:59.594]  The new rules will exacerbate the problem of rolling blackouts, warns Donna Nelson, head of the Texas Public Utility Commission.
[00:04:00.254 --> 00:04:08.980]  Nelson said, quote, I have no doubt in my mind that this rule will result in reliability issues and rolling outages in Texas.
[00:04:09.580 --> 00:04:23.770]  Obama's strict enforcement of draconian EPA regulations has led to new clean-burning coal-fired plants being mothballed and other existing ones being shut down, which has in turn led to Texas and other states becoming energy-dependent.
[00:04:24.958 --> 00:04:29.701]  All of this, of course, will lead to significantly higher utility bills for U.S.
[00:04:29.741 --> 00:04:38.725]  citizens, who are being assaulted with more and more expenses, even as the threat of a double-dip recession lowers living standards.
[00:04:42.868 --> 00:04:50.812]  With more on these incredible developments, we're joined by InfoWars.com reporter Darren McBreen in downtown Austin.
[00:04:55.985 --> 00:05:11.244]  I'm Darren McBreen with InfoWars Nightly News and I'm here today at the Texas State Capitol and we're about to find out if the people of Austin are aware that they are about to be hit by a wave of utility bill hikes as new EPA regulations drive up the cost of energy.
[00:05:11.923 --> 00:05:17.847]  What do you think about paying higher utility bills because of the EPA's new regulations against power plants?
[00:05:18.167 --> 00:05:33.618]  You know, there may be some new regulations coming up against power plants at this point, but unfortunately right now I think that our citizens statewide and nationwide are basically overburdened, especially with today's economic developments and situations that are going on.
[00:05:34.159 --> 00:05:41.524]  I think rate hikes should be at a minimal to at least try to alleviate some of the burden on our taxpayers and our citizens nationwide and statewide.
[00:05:41.798 --> 00:05:46.123]  I know a lot of people that are going to be not only shocked but a little bit irritated about that as well.
[00:05:46.203 --> 00:05:51.309]  Because it's such a hot summer, everybody's bills are already up through the roof.
[00:05:51.550 --> 00:06:01.982]  You're already paying through the roof because the ACs are running non-stop and then all of a sudden it's like, on top of that and with a downturn economy, yeah, it doesn't seem to jive that well.
[00:06:02.193 --> 00:06:04.575]  Of course I don't want to pay higher utility bills.
[00:06:04.635 --> 00:06:07.937]  They're already extremely high right now as it is.
[00:06:08.037 --> 00:06:12.180]  Well I don't want to pay more because of the carbon dioxide thing.
[00:06:12.200 --> 00:06:13.080]  That doesn't seem right.
[00:06:13.100 --> 00:06:14.681]  Especially if it's not even proven.
[00:06:15.202 --> 00:06:17.884]  Generally I prefer regulations that
[00:06:18.959 --> 00:06:24.000]  That deter pollution, and paying a little bit more for that, in an unregulated environment.
[00:06:24.440 --> 00:06:26.701]  It all has to be regulated some way, right?
[00:06:27.181 --> 00:06:28.782]  It's gonna mess our environment up.
[00:06:29.342 --> 00:06:35.844]  I understand the tax on carbon footprints, but I mean, who's, who's, you know, getting a new Lexus, you know what I mean?
[00:06:36.004 --> 00:06:38.824]  Do you think that carbon dioxide is dangerous?
[00:06:40.325 --> 00:06:43.546]  I think carbon dioxide can be very dangerous.
[00:06:44.626 --> 00:06:46.026]  Okay, what do plants breathe?
[00:06:47.327 --> 00:06:48.267]  Carbon dioxide.
