[00:00:06.781 --> 00:00:07.023]  I'm good.
[00:00:08.991 --> 00:00:10.251]  David Knight for InfoWars.
[00:00:10.291 --> 00:00:16.253]  We're here live in Copenhagen for the 2014 Bilderberg meeting and this is basically the end.
[00:00:16.933 --> 00:00:19.334]  The last of the delegates have pulled away.
[00:00:19.954 --> 00:00:22.134]  It's a bit after three o'clock in the afternoon.
[00:00:22.814 --> 00:00:28.216]  This has been an unusual Bilderberg conference in the sense that we were so close to where they were.
[00:00:28.276 --> 00:00:36.358]  It was in a smack dab in the middle of a very busy city as opposed to being out in a remote resort with golf courses where people were very far away.
[00:00:36.398 --> 00:00:37.298]  So we were able to get
[00:00:38.078 --> 00:00:44.003]  Quite a bit of close-up footage of them arriving, of them departing, of them having their meetings on the outside.
[00:00:44.043 --> 00:00:59.134]  And of course, as Watson pointed out, they had their bizarre charm offensive, where one politician, Samsung, who is a member of parliament from the Netherlands, he's the leader of the Labour Party, he came out several times to engage the public, to engage the press.
[00:00:59.997 --> 00:01:01.218]  Was it anything of substance?
[00:01:01.258 --> 00:01:05.781]  We did hear him make some interesting admissions about some things that were not on the agenda.
[00:01:06.021 --> 00:01:09.924]  Did you have a presentation about renewable energy?
[00:01:10.124 --> 00:01:16.308]  I don't know enough about... Oh, about renewable energy I should have, but that's not our main topic on the agenda.
[00:01:16.388 --> 00:01:17.108]  No?
[00:01:17.208 --> 00:01:18.810]  What's your favorite topic been so far?
[00:01:19.530 --> 00:01:20.371]  My favorite topic?
[00:01:20.891 --> 00:01:23.252]  I think it's the discussion about privacy.
[00:01:24.313 --> 00:01:24.593]  Really?
[00:01:24.633 --> 00:01:27.314]  Does privacy exist, or should privacy exist?
[00:01:27.574 --> 00:01:32.155]  It should exist, and it's getting more difficult to keep it.
[00:01:33.255 --> 00:01:33.715]  For who?
[00:01:33.855 --> 00:01:34.515]  Us or you guys?
[00:01:34.555 --> 00:01:36.756]  Well, for me, because you're following me with a camera.
[00:01:36.776 --> 00:01:38.176]  You're in a public place!
[00:01:38.216 --> 00:01:40.276]  Yeah, and for you, you're in a public place too.
[00:01:40.776 --> 00:01:41.557]  Now, why are we here?
[00:01:42.117 --> 00:01:45.677]  We're here because we want people to understand that Bilderberg exists.
[00:01:46.197 --> 00:01:47.778]  We want them to understand the agenda.
[00:01:48.358 --> 00:01:53.679]  For many decades, of course, it was laughed at if anyone suggested there was even such a group as Bilderberg.
[00:01:54.079 --> 00:02:08.577]  We're hoping, by documenting the fact that it really exists, that we really see these people going in and out of these meetings, we're hoping that now that people are accepting that it's there, that they start to question whether or not this is really just some benign meeting.
[00:02:09.198 --> 00:02:13.301]  This is a meeting that they have pushed very hard for decades to keep secretive.
[00:02:13.881 --> 00:02:17.343]  And now we see the fruits of what they've been planning for a long time.
[00:02:17.784 --> 00:02:23.127]  As Davignon has said, he took credit for creation of the European Union and the Euro back in 1955.
[00:02:24.448 --> 00:02:27.670]  People in Europe are not happy with the fruits of what happened there.
[00:02:28.191 --> 00:02:31.393]  Daniel Esselstyn told people well before we saw the town turn
[00:02:31.817 --> 00:02:32.137]  I'm good to go.
[00:02:51.377 --> 00:02:57.383]  People need to connect these dots and understand what's going on, and that's what we hope will come of this Bilderberg meeting.
[00:02:57.724 --> 00:03:05.832]  The fact that, as we saw with Ed Balls trying to sneak in with a suitcase full of paperwork, this is not just a social meeting.
[00:03:06.473 --> 00:03:12.199]  Now, of course, one of the topics that they put out there in their release agenda was, does privacy exist?
[00:03:13.322 --> 00:03:23.049]  That's an odd question for somebody, and many people point out the irony of Keith Alexander and General Petraeus, former director of the CIA, being at a conference where they're asking, does privacy exist?
[00:03:23.489 --> 00:03:27.652]  Of course, Google, Palantir are also there, the data mining corporations.
[00:03:28.513 --> 00:03:33.196]  They don't believe that privacy exists because they've done everything they can to take it away.
[00:03:33.276 --> 00:03:37.058]  That's why we see Ed Balls sneaking in with paper information.
[00:03:37.098 --> 00:03:45.622]  That's why they need to meet in a hotel that has had everyone removed for days in advance so they can go over it for any listing devices, any bugging devices.
[00:03:45.682 --> 00:03:47.363]  They want to meet face-to-face.
[00:03:47.483 --> 00:03:54.607]  They want to exchange information with paperwork because they know that there is no security, there is no privacy in the electronic world.
[00:03:55.512 --> 00:03:59.117]  They're not concerned about their personal safety.
[00:03:59.137 --> 00:04:00.939]  That's not what these barricades are for.
[00:04:00.979 --> 00:04:05.666]  We captured them over and over again, going out one by one, jogging through the city.
[00:04:06.126 --> 00:04:10.051]  If they were concerned that they were going to be attacked or kidnapped or shot in the streets,
[00:04:10.672 --> 00:04:13.035]  They would be going with partners or bodyguards.
[00:04:13.095 --> 00:04:14.376]  They would have a police escort.
[00:04:14.676 --> 00:04:16.018]  That wasn't what was happening here.
[00:04:16.058 --> 00:04:19.201]  They were going on strolls individually, going shopping, going jogging.
[00:04:19.681 --> 00:04:22.284]  That was one of the reasons we were able to get such good pictures of that.
[00:04:22.984 --> 00:04:25.727]  What they're concerned about is the information.
[00:04:26.268 --> 00:04:34.035]  They want to keep that from you, just as they're keeping the information from you as they negotiate these Trans-Pacific and Trans-Atlantic partnerships in secret.
[00:04:34.736 --> 00:04:47.080]  In a scenario that exactly mirrors the way they have created the European Union and the EU, that is the way these elite bankers, industrialists, multinational corporations, politicians and generals operate in secret.
[00:04:47.940 --> 00:04:55.943]  Well that's it for this conference, but stay tuned because I know more information is going to be surfacing as people start to blow the whistle on Bilderberg 2014.
[00:04:57.343 --> 00:04:58.884]  David Knight for InfoWars.com
[00:05:09.469 --> 00:05:12.511]  We're taking our justice back!
[00:05:12.671 --> 00:05:14.652]  You're not our police!
[00:05:14.932 --> 00:05:17.134]  You're not our minister!
[00:05:29.181 --> 00:05:37.046]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:05:37.306 --> 00:05:39.387]  All the major networks are state-run.
[00:05:39.547 --> 00:05:42.189]  We are partnering this year with the NFL.
