[00:00:01.386 --> 00:00:06.994]  With all those sneezy people and the Jenny McCrackens of the world not vaccinating their babies?
[00:00:07.094 --> 00:00:09.517]  Are you opposed to vaccines?
[00:00:09.597 --> 00:00:10.378]  We didn't vaccinate.
[00:00:11.130 --> 00:00:11.430]  Really?
[00:00:11.630 --> 00:00:12.531]  You're one of those communists?
[00:00:12.551 --> 00:00:13.311]  You know what?
[00:00:13.431 --> 00:00:18.072]  I've read too many books about autism.
[00:00:18.092 --> 00:00:23.114]  So, making a personal, educated decision somehow makes you a communist.
[00:00:23.474 --> 00:00:24.654]  Now, let me be clear.
[00:00:25.034 --> 00:00:31.116]  There have been plenty of healthy people, including myself, who have received vaccinations and don't have autism.
[00:00:31.596 --> 00:00:39.499]  But why is it so taboo to point out that autism rates have exploded as vaccinations have become more prevalent across the globe?
[00:00:40.060 --> 00:00:49.248]  Until the wonderful people like us introduced vaccinations to Africa, the African children basically were autism free.
[00:00:50.309 --> 00:00:52.491]  They never heard of autism, never had a case of that.
[00:00:52.571 --> 00:00:53.252]  Are you familiar with that?
[00:00:53.352 --> 00:00:54.193]  Have you ever heard that before?
[00:00:55.934 --> 00:01:05.443]  Once again, I'm not claiming that vaccinations are inherently evil, but what is the health benefit of injecting mercury into your body?
[00:01:05.908 --> 00:01:11.931]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:01:12.091 --> 00:01:22.256]  The CDC did, in fact, conduct studies on the link between autism and thimerosal, the preservative in vaccines that is 50% mercury by weight.
[00:01:22.737 --> 00:01:30.201]  Thimerosal was used in most childhood vaccines and the rogam shot for pregnant women prior to the early 2000s.
[00:01:30.541 --> 00:01:33.102]  What Dr. Hooker found was that data on over 400,000 infants
[00:01:34.943 --> 00:01:50.608]  Born between 1991 and 1997, which was analyzed by a CDC epidemiologist, proves unequivocally that in 2000, CDC officials were informed internally of the very high risk of autism, non-organic sleep disorder, and speech disorder.
[00:01:50.968 --> 00:01:51.268]  Really?
[00:01:51.288 --> 00:01:52.628]  You're one of those communists?
[00:01:52.909 --> 00:01:57.030]  Let's move away from autism and into the effectiveness of vaccinations.
[00:01:57.710 --> 00:02:03.652]  Every year people become ill and every year people who are not vaccinated are blamed for the illnesses.
[00:02:04.457 --> 00:02:08.739]  Not to mention the people who get sick just days after taking vaccinations.
[00:02:09.359 --> 00:02:18.283]  Yet it's somehow the fault of the unvaccinated for infecting the vaccinated, while polio vaccines have crippled a conservative 50,000 children since 2012.
[00:02:20.023 --> 00:02:25.926]  Whether you choose to vaccinate or not, educate yourself and don't be bullied into a herd-like mentality.
[00:02:26.266 --> 00:02:29.747]  We'll end with this man's tale of his son descending into autism.
[00:02:30.208 --> 00:02:32.649]  You can find more reports at InfoWars.com.
[00:02:34.090 --> 00:02:44.036]  My name is Jimmy Beckway, and several years ago, Shawn Michael here, my second son, who's 10 years old, he received a vaccine, and a little while later, he started exhibiting symptoms of autism.
[00:02:44.496 --> 00:02:52.782]  And according to the MD who's treating him alternatively, it was definitely the vaccines which caused this, and you can do research on the internet anywhere and find out about it, what all it's doing.
[00:02:53.162 --> 00:02:59.486]  Like Alex said, now one in every 58 children is autistic, there has to be something going on, and it is the vaccines.
[00:03:00.266 --> 00:03:02.048]  But it is reversible if you get on it.
[00:03:02.168 --> 00:03:05.711]  So don't let them tell you, but immediately quit giving your children vaccines.
[00:03:05.771 --> 00:03:09.515]  I will never give either one of my two children a vaccine again as long as I live.
[00:03:09.855 --> 00:03:12.598]  Even if it means my death, I will not give them a vaccine.
[00:03:13.857 --> 00:03:17.599]  Sir, sir, tell us how old your son was when this happened.
[00:03:17.659 --> 00:03:21.382]  Son was, I'm going to say, around two, about two years old or younger.
[00:03:21.402 --> 00:03:23.063]  How was he acting before the shots?
[00:03:23.303 --> 00:03:28.206]  He was acting normal and they really noticed that he was sick when he went in, but they gave him the shot anyway.
[00:03:28.266 --> 00:03:29.166]  I wasn't there that day.
