[00:00:06.278 --> 00:00:07.399]  Mainstream media.
[00:00:08.060 --> 00:00:09.181]  Government cover-ups.
[00:00:09.841 --> 00:00:11.322]  You want answers?
[00:00:11.382 --> 00:00:12.904]  Well, so does he.
[00:00:12.944 --> 00:00:16.987]  He's Alex Jones on the GCN Radio Network.
[00:00:17.147 --> 00:00:22.151]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.311 --> 00:00:31.199]  Blasting out on the AM and FM dial, from Oregon to Colorado, to Florida to New York, I'm Alex Jones.
[00:00:31.929 --> 00:00:48.799]  Your host, Simulcasting at InfoWars.com, InfoWars.net, PresentPlanet.com, as well as Global Shortwave 12.172 and 93.20 during the day and back from 9 to midnight at 5.085 and 68.90.
[00:00:49.079 --> 00:00:58.264]  Yesterday I read a New Jersey Herald article, DNA legacy still water first in the country to identify pupils through genetic fingerprinting.
[00:00:59.068 --> 00:01:08.697]  And the article goes on to say, peoples were brought into the school cafeteria one class at a time, had their DNA collected by a patrolman, Tom Cicetti, who took two swabs of each people's mouth.
[00:01:09.178 --> 00:01:13.402]  There were a few complaints from the peoples who seemed eager for their turn to be swabbed.
[00:01:13.982 --> 00:01:16.304]  It wasn't bad, said one first grader.
[00:01:16.344 --> 00:01:17.285]  Some kids actually liked it.
[00:01:17.305 --> 00:01:20.989]  A police officer said, it tickles so a lot of kids start laughing.
[00:01:22.589 --> 00:01:33.640]  Now they started drug testing about 10 years ago in more conservative areas of the country where people were foolishly brought into it just for football players or if you wanted to park in the parking lot or a privilege or being banned.
[00:01:34.341 --> 00:01:36.283]  Now it's universal they're going to test for nicotine.
[00:01:36.804 --> 00:01:38.926]  That's the problem with this and we've got the
[00:01:44.560 --> 00:01:54.524]  DNA-Fingerprint.com, hyperlink on the main guest section of InfoWars.com, and he now joins me here on the air.
[00:01:55.864 --> 00:01:58.225]  I really appreciate you coming on the show, sir.
[00:02:00.646 --> 00:02:02.507]  Do we have Joe there?
[00:02:03.107 --> 00:02:03.767]  Yeah, hello, Alex.
[00:02:04.067 --> 00:02:05.007]  Fantastic.
[00:02:05.308 --> 00:02:07.728]  I appreciate you joining us today, sir.
[00:02:07.928 --> 00:02:09.129]  No, thank you for inviting me.
[00:02:09.933 --> 00:02:11.654]  Now, we know they've been taking fingerprints.
[00:02:11.694 --> 00:02:14.174]  The parents store them, or the school stores them.
[00:02:14.674 --> 00:02:15.775]  Now it's DNA.
[00:02:16.455 --> 00:02:21.016]  Have you heard about Colorado's going to have federal checkpoints taking hair forcibly?
[00:02:21.036 --> 00:02:23.037]  That came out a few days ago.
[00:02:24.057 --> 00:02:25.098]  No, I'm not aware of that.
[00:02:25.178 --> 00:02:35.541]  But, you know, there's a problem with just, like, a parent taking, like, a lock of hair from their child, because there's two things that affect DNA negatively.
[00:02:36.121 --> 00:02:39.282]  And one is bacteria, and the other is the sunlight.
[00:02:40.049 --> 00:02:45.552]  So, by just taking a locker here, over a period of time, you're not going to be able to extract the DNA.
[00:02:46.352 --> 00:02:53.295]  Instead, you take the soft, tender mucous membrane tissue out of the side of the cheek.
[00:02:53.555 --> 00:03:03.440]  Right, by rubbing it for like five seconds, it absorbs the buccal cells, and then you place that in the tube, and there's a fixative agent that preserves the DNA.
[00:03:03.500 --> 00:03:08.142]  Antibacterial fixative agent that preserves the DNA, and then you place that tube
[00:03:08.837 --> 00:03:18.382]  That's vapor-proof in a red envelope that filters off the ultraviolet light and it literally preserves the DNA for an indefinite period of time, forever.
[00:03:18.543 --> 00:03:21.304]  Again, we're talking to the president and founder of DNA LifePrint.
[00:03:21.804 --> 00:03:23.846]  DNA-LifePrint.com's website.
[00:03:23.886 --> 00:03:24.566]  Want to find out more?
[00:03:26.387 --> 00:03:28.408]  Look, if parents want this thing, they'll go out and buy it.
[00:03:28.428 --> 00:03:29.289]  I have no problem with that.
[00:03:30.029 --> 00:03:32.911]  It says the school takes two swabs.
[00:03:33.732 --> 00:03:42.474]  Now, this always starts where it's just the parents having it, but why it says two swabs, then it says, oh, one of the kids goes home with the parents.
[00:03:42.654 --> 00:03:44.394]  Now, what happens here?
[00:03:44.634 --> 00:03:44.955]  No, no.
[00:03:45.015 --> 00:03:55.137]  The reason why we have two swabs instead of one is the amount of DNA that's absorbed on each swab is an enormous amount.
[00:03:55.197 --> 00:03:58.097]  It's going to be a minimum of 1,000 to 7,800 nanograms of DNA.
[00:04:01.358 --> 00:04:05.740]  Uh, to do an analysis you need three quarters of one percent of the one thousand.
[00:04:06.400 --> 00:04:21.706]  But, you know, instead of having one, I decided let's put two in there, so in case the parent needed the sample and used one of the swabs, God forbid the child was lost, and then years later they needed it for medical reasons, you had two samples.
[00:04:22.819 --> 00:04:26.702]  Those cotton swabs are in the tube together, and they stay with the family.
[00:04:26.742 --> 00:04:29.484]  There's no big brother involved, no repository.
[00:04:29.804 --> 00:04:33.046]  It goes home and stays in the privacy of the family at room temperature.
[00:04:33.587 --> 00:04:46.096]  Joe, you certainly heard about the big scandals in North Carolina, Virginia, Texas, where they have been caught taking the heel blood sample, but taking an extra ampule and putting it in a federal database.
[00:04:46.156 --> 00:04:46.816]  Were you aware of that?
[00:04:47.076 --> 00:04:47.937]  No, I'm not aware of that.
[00:04:48.971 --> 00:04:49.231]  Really?
[00:04:49.251 --> 00:04:51.513]  You've got a DNA sample company, but you weren't aware of that?
[00:04:51.573 --> 00:04:55.677]  No, I mean, I've heard rumors and everything else, but I won't comment on it.
[00:04:55.697 --> 00:04:57.278]  It's been in the Associated Press.
[00:04:57.358 --> 00:04:59.520]  Would you like me to email or fax you that article?
[00:05:00.061 --> 00:05:00.421]  Uh, no.
[00:05:01.022 --> 00:05:02.463]  Okay, well I just want you to know it's true.
[00:05:02.483 --> 00:05:03.083]  Uh-huh.
[00:05:03.744 --> 00:05:08.428]  Certainly you know the government starts something out as voluntary, and then it becomes mandatory.
[00:05:09.629 --> 00:05:13.773]  You haven't heard about the government discussing mandatory DNA samples from everybody?
[00:05:14.798 --> 00:05:23.763]  Now, let me tell you, there's been rumors about everything about maintaining DNA samples, but everything that I've heard, it's being maintained in the privacy of your own home.
[00:05:24.363 --> 00:05:30.466]  And whether the family keeps it or, God forbid, you need it for other reasons, you're going to be able to still obtain it.
[00:05:30.546 --> 00:05:35.429]  But, just like at the World Trade Center, when they wanted the families to bring in the toothbrushes,
[00:05:36.024 --> 00:05:39.066]  You know, the majority of that, they weren't able to extract the DNA.
[00:05:39.086 --> 00:05:48.414]  I mean, you're talking about a plastic toothbrush that, uh, who knows who used it last or whatever, uh, depending on the toothpaste, whether or not they were able to extract it and it wasn't successful.
[00:05:48.754 --> 00:06:00.964]  Well, here's another... If I'm maintaining the sample of the DNA, it's kept in a privacy-run home, and only, God forbid, if you need it, then you turn it over to the authorities or to the medical... Well, why are they... Well, here's an important question.
[00:06:01.384 --> 00:06:02.345]  Who set this up?
[00:06:02.445 --> 00:06:03.526]  First-grade students?
[00:06:04.521 --> 00:06:12.007]  Uh, in these counties in New Jersey, and it says all the children just loved it, and they just marched in and did it.
[00:06:12.027 --> 00:06:13.108]  Well, yeah, they're first graders.
[00:06:14.069 --> 00:06:14.769]  They do what they're told.
[00:06:14.789 --> 00:06:19.093]  They're told, stand here, you go to the bathroom, you sit there, you do that.
[00:06:19.273 --> 00:06:21.795]  And it says, oh, all the children loved it.
[00:06:22.135 --> 00:06:24.257]  Look, who set this up is what I'm asking.
[00:06:24.597 --> 00:06:33.164]  What you have is, we distribute DNA kits all over the country through police departments, non-profit organizations, and especially corporate sponsorships.
[00:06:33.746 --> 00:06:35.208]  They're giving back to the community.
[00:06:35.689 --> 00:06:37.651]  And it's a win-win for everyone.
[00:06:37.711 --> 00:06:43.579]  The corporate sponsor gets the media attention on it, and the families receive it free of charge.
[00:06:43.799 --> 00:06:46.182]  Let's give some of them a little bit of attention.
[00:06:46.202 --> 00:06:47.664]  Who are these corporations?
[00:06:48.487 --> 00:06:48.787]  All right.
[00:06:49.108 --> 00:06:50.690]  We have corporations all over the country.
[00:06:50.710 --> 00:06:52.552]  We have car dealerships all over the country.
[00:06:52.612 --> 00:06:54.694]  We have... I imagine... Oh, Red McCombs?
[00:06:55.315 --> 00:06:56.236]  Pardon?
[00:06:56.256 --> 00:06:57.477]  Does Red McCombs do that?
[00:06:57.858 --> 00:06:59.680]  I'm not familiar with individual names.
[00:06:59.720 --> 00:07:00.721]  What about IBM?
[00:07:00.761 --> 00:07:02.022]  Are they helping out with a little money?
[00:07:03.003 --> 00:07:03.604]  I'm not familiar.
[00:07:03.624 --> 00:07:08.850]  I mean, I'm not... I don't know exactly... I'm not prepared to give you a list of all the people that have done it, but we've...
[00:07:09.310 --> 00:07:09.570]  Uh-huh.
[00:07:09.610 --> 00:07:14.014]  Well, you know, whether it's a face scan, whether it's a DNA sample, whether it's a fingerprint, whatever it is,
[00:07:29.648 --> 00:07:38.390]  You know, God forbid your child is missing, whatever you have is worth its weight in gold to you if that is what's needed to bring your child back.
[00:07:38.650 --> 00:07:39.770]  But can we go back to this?
